	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL		CACNA1G CACNA1H KCNAB2 NTRK2	CACNA1C CACNA2D1 KCNAB2 KCNE4 KCNJ3	CHRNB2 HCN4 KCNJ2 SCN3A	ANK2 CACNA1G CHRNB2 KCNAB2 KCNH2 NTRK2 SCN1B		ANK2 CACNA1G CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ2 KCNMB2 SCN1B SCN3A SCN3B SLC8A1	CACNA2D1 CHRNB2 HCN4 KCNE4 KCNH2	CACNA1H HCN4 KCNAB2 KCNJ2 NTRK2 SCN1B	ANK2 CACNA1C CACNA1G KCNE4 KCNMB2 SCN3B TAC1			ANK2 CACNA1C HCN4 KCNJ3 NTRK2		KCNMB2 SCN3A	ANK2 CACNA1C CACNA1G KCNJ2 KCNJ3 KCNMB2 TAC1		ANK2 CACNA1H CACNA2D1 CHRNB2 KCNE4 KCNJ2 KCNJ3 KCNMB2 SLC8A1	ANK2 CACNA1C CACNA1G CACNA1H HCN4 KCNAB2 KCNE4 KCNH2 KCNJ2 KCNJ3 KCNMB2 NTRK2 SCN3B SLC8A1		CACNA1G CACNA1H KCNAB2 KCNE4 KCNH2	CACNA1G CACNA2D1 KCNAB2 SLC8A1	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNMB2 NTRK2 SCN3A SCN3B SLC8A1	ANK2 CACNA1H KCNH2 SCN1B	ANK2 CACNA1G CACNA1H CACNA2D1 CHRNB2 KCNAB2 KCNJ2 NTRK2 SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 KCNMB2 NTRK2 SLC8A1		CACNA1G CACNA2D1 CHRNB2 HCN4 KCNJ2 KCNJ3 KCNMB2 NTRK2 SCN3B		ANK2 CACNA1H CACNB2 HCN4 KCNH2 SLC8A1	CACNB2 SCN3A TAC1	ANK2 CACNA1G KCNE4 KCNMB2 NTRK2 SLC8A1 TAC1	ANK2 CACNA1C HCN4 KCNJ2 KCNMB2 NTRK2 SCN1B	CACNA1G CACNA2D1 CHRNB2 KCNAB2 KCNE4 KCNH2 SLC8A1 TAC1	CACNA1C KCNE4 KCNJ2 KCNJ3 NTRK2 SCN3A SLC8A1	ANK2 CACNA2D1 CHRNB2 KCNAB2 KCNJ2 KCNMB2 SCN3B	KCNAB2 KCNE4		CACNA1G KCNJ2 SCN1B	
GO_ADENYL_NUCLEOTIDE_BINDING				ABCC8 ADCY5 AK5 BRSK2 CAMK1 CAMK2B DGKB GCK HCN4 KCNJ11 KSR2 MAPK4 MYO3A PAK3 PAK6 WNK2	ABCC8 ADCY1 AK5 BRSK2 CAMK1 CAMK2B CLCN4 DGKB GCK HSPA12A KCNJ11 KIF19 MAPK4 MYO3A NTRK2 TTLL6 WNK2	ABCC4 ATP1A3 CAMK1 CHD5 CIT CNGA4 CTPS1 EPHA4 HSPA12A INSRR KIF19 KSR2 MYO3A P2RX6 PRKCG STARD9 TTLL7	ABCC8 ACSL6 ACSS3 AK5 CACNA1B CAMK2B CAMKV CIT CTPS1 DGKB DNAH11 DNAH14 ENTPD1 EPHA4 FIGNL2 GCK HSPA12A KIF5A KIF5C KSR2 MAST1 NEK10 P2RX6 PAK6 PDE2A PRKCG RET SPEG STARD9 SYN1 TTLL10 TTLL6 WNK3	ABCC8 ACSS3 ADCY1 ADCY2 ADCY5 AK5 AKT3 ATP1A3 BRSK1 BRSK2 DNAH11 ENTPD1 GCK HCN4 HSPA6 KIF19 KSR2 MAP3K12 P2RX6 PAK6 RAPGEF4 STARD9 SYN1 WNK2	ABCC4 ADCY5 BRSK2 CHD5 DGKB DNAH11 ENTPD1 HCN4 HSPA12A KCNT2 KIF5A KSR2 MAP3K12 MAPK10 MYO3A NTRK2 PAK6 STARD9 TTLL7 UBE2QL1 WNK2	ABCC8 ACSL6 ADCY1 ADCY2 ADCY5 AKT3 ATP1A3 BRSK1 CAMKV CHD5 CNGA4 DGKB DNAH14 EPHA4 FIGNL2 GCK HSPA6 KCNT2 KIF5A KIF5C KSR2 MAPK10 PAK6 PDE2A SPEG TTLL6 UBE2QL1 WNK2			ABCC4 ACSS3 ADCY1 ADCY2 ADCY5 AK5 AKT3 CNGA4 DGKB DNAH14 HCN4 HSPA6 INSRR KIF5A KSR2 MAP3K12 MYO3A NAV3 NEK10 NTRK2 PDE2A RAPGEF4 TTLL10 TTLL7			ABCC4 ABCC8 ACSL6 ADCY2 ADCY5 AK5 AKT3 CACNA1B CAMK1 CNGA4 DNAH11 DNAH14 EPHA4 FIGNL2 GCK HSPA6 KIF5A KIF5C KSR2 MYO3A NAV3 NEK10 P2RX6 PAK3 PAK6 RAPGEF4 RPS6KL1 STARD9 SYN1 TTLL10 UBE2QL1	ABCC8 ADCY1 AKT3 BRSK2 CAMK2B CNGA4 CTPS1 DGKB DNAH11 EPHA4 FIGNL2 HCN4 HSPA12A HSPA6 KIF5A KSR2 MAP3K12 NAIP NAV3 RAPGEF4 STARD9 TTLL10 TTLL6 TTLL7	ACSL6 ACSS3 ADCY1 ADCY2 ADCY5 BRSK1 BRSK2 CHD5 CLCN4 CNGA4 DNAH14 FIGNL2 GCK INSRR KCNJ11 KIF5A MAST1 MYO3A P2RX6 PDE2A RAPGEF4 RPS6KL1 SPEG STARD9 SYN1 TTLL10 TTLL6 TTLL7 WNK2	ABCC4 ADCY1 AKT3 ATP1A3 CHD5 CLCN4 CNGA4 DNAH11 DNAH14 EPHA4 GCK HCN4 HSPA12A HSPA6 KCNJ11 KCNT2 KIF5A KSR2 MAP3K12 MAST1 MYO3A NAV3 NTRK2 PAK3 PAK6 PDE2A RAPGEF4 RPS6KL1 SPEG SYN1 TTLL10 TTLL6 TTLL7 WNK2		ABCC8 ACSL6 ADCY2 CAMK2B CHD5 FIGNL2 GCK HSPA12A INSRR KCNJ11 KIF19 KIF5A NEK10 P2RX6 PDE2A RAPGEF4 RET STARD9 TTLL7	ABCC4 ACSL6 ADCY5 CHD5 CIT FIGNL2 KIT KSR2 MAP3K12 MAPK10 NAIP NAV3 NEK10 P2RX6 STARD9	ABCC8 ACSL6 ADCY5 AK5 AKT3 ATP1A3 BRSK2 CAMK1 CAMK2B CAMKV CIT CTPS1 DGKB DNAH11 DNAH14 ENTPD1 EPHA4 KIF19 KIT KSR2 MAP3K12 MAPK10 MAPK4 NAIP NAV3 NEK10 NTRK2 P2RX6 PAK3 PAK6 TTLL7		ACSL6 ADCY1 ADCY2 ADCY5 AKT3 ATP1A3 BRSK1 BRSK2 CACNA1B CAMK1 CAMK2B EPHA4 FIGNL2 HSPA6 INSRR KIF5A MAP3K12 MAPK10 MAST1 NAIP NAV3 NTRK2 P2RX6 PRKCG RAPGEF4 SPEG STARD9 TTLL10 TTLL6 TTLL7 WNK3	ABCC4 ACSL6 ADCY2 ADCY5 CACNA1B DGKB EPHA4 KSR2 MAST1 MYO3A NAV3 NEK10 NTRK2 PAK6 STARD9 TTLL6		ABCC4 ACSS3 ADCY5 AK5 AKT3 ATP1A3 BRSK2 DGKB DNAH14 HCN4 HSPA6 KCNJ11 KSR2 MAP3K12 MAPK10 MYO3A NTRK2 P2RX6 PAK6 RAPGEF4 RET SPEG TTLL6	ABCC4 ACSS3 ADCY5 AK5 ATP1A3 BRSK2 CIT CTPS1 DGKB ENTPD1 EPHA4 HSPA12A KSR2 MAPK10 NAV3 NEK10 PDE2A RPS6KL1 SYN1 TTLL6 WNK2	ACSL6 AK5 ATP1A3 BRSK2 CAMK2B CAMKV CLCN4 CNGA4 DGKB DNAH11 EPHA4 GCK HCN4 HSPA12A INSRR KCNJ11 KIF1A MAP3K12 MAPK4 MAST1 NAV3 NEK10 PDE2A PRKCG RAPGEF4 RET SPEG TTLL10 TTLL6 TTLL7 WNK2		ACSL6 ADCY5 AK5 ATP1A3 BRSK2 CACNA1B CHD5 CIT CNGA4 DGKB DNAH14 ENTPD1 EPHA4 GCK HSPA12A KCNT2 KIF5A MAPK10 MYO3A NAIP NTRK2 PAK6 PDE2A PRKCG SPEG TTLL7	ABCC8 ACSS3 ADCY5 ATP1A3 BRSK1 BRSK2 CACNA1B CAMK2B CAMKV CHD5 CNGA4 DGKB EPHA4 FIGNL2 HCN4 HSPA12A KCNJ11 KIF19 KIF5C KSR2 MAP3K12 MAPK10 MAPK4 MAST1 NTRK2 PAK6 PRKCG RET SPEG TTLL10 TTLL7 WNK2	ABCC4 ACSL6 ACSS3 ADCY1 AK5 BRSK2 CLCN4 CNGA4 DGKB DNAH11 DNAH14 FIGNL2 HSPA12A HSPA6 KIF19 MAP3K12 MAPK4 NAV3 RAPGEF4 SPEG STARD9 WNK2	ACSS3 ADCY1 AK5 AKT3 CAMKV CIT GCK KCNT2 NAIP NAV3 NTRK2 P2RX6 RAPGEF4 RET STARD9 SYN1 TTLL10 TTLL6 TTLL7 WNK3	ABCC4 ADCY1 ADCY5 ATP1A3 CAMK1 CNGA4 CTPS1 DNAH11 DNAH14 EPHA4 FIGNL2 GCK HSPA12A KIT KSR2 MAPK10 MAST1 NAV3 NEK10 PAK6 PRKCG RET RPS6KL1 SPEG STARD9 WNK2				ABCC4 ABCC8 ACSL6 ACSS3 ADCY5 CIT CNGA4 DNAH11 ENTPD1 EPHA4 FIGNL2 MAP3K12 MAPK4 NAV3 PAK6 PRKCG RAPGEF4 SYN1 TTLL10 TTLL6 TTLL7 WNK3
GO_ADULT_BEHAVIOR	CARTPT CHL1 GABRG2 GRIN1 PCDH17	PBX3 SDK1	EPHA4 SEZ6L TMOD1 UCHL1		CHRNA3 CHRNB2 NR4A3 SPTBN4	CARTPT CHRNA5 CHRNB2 EFNB3 EPHA4 PBX3 SPTBN4	CHRNA3 CHRNA5 CHRNB2 EFNB3 EPHA4 GABRG2 GHRL GIP NR4A3 SPTBN4 UCHL1 UNC79	BRS3 CHRNB2 EFNB3 GABRG2 GHRL SEZ6 SPTBN4 UCHL1	GHRL NR4A3 PBX3 PCDH17 SDK1 SEZ6 SEZ6L	CHL1 CHRNA5 EPHA4 GHRL NR4A3 PCDH17 SEZ6 SEZ6L SPTBN4 TMOD1			EFNB3 PBX3 SDK1		NPY SEZ6L SPTBN4	CARTPT EPHA4 GIP PBX3 PCDH17 SEZ6L SPTBN4 TMOD1 UNC79		CHRNA5 CHRNB2 GIP PBX3 SDK1 TMOD1 UNC79	BRS3 CARTPT EFNB3 EPHA4 NPY PBX3 PCDH17 SEZ6 SEZ6L TMOD1 UNC79	CHRNA3 NPY PCDH17 UCHL1	CHRNA3 NR4A3 SEZ6L TMOD1		CHL1 CXCL12 EFNB3 EPHA4 GHRL NR4A3 SEZ6 SPTBN4		CHRNA3 CHRNB2 CXCL12 EFNB3 EPHA4 GIP GRIN1 NPY PBX3 PCDH17 SDK1 SPTBN4 TMOD1	CARTPT CHL1 EPHA4 PCDH17 SDK1 SPTBN4	BRS3 CHRNA3 EFNB3 GIP SDK1 UCHL1	BRS3 CHL1 CHRNB2 CXCL12 EFNB3 GIP GRIN1 NPY PBX3 SEZ6 SPTBN4 UCHL1 UNC79	BRS3 CHRNA3 EPHA4 PBX3 SDK1 TMOD1 UCHL1 UNC79	CHRNA3 EFNB3 EPHA4 GHRL GRIN1 NR4A3 PBX3 SDK1 SEZ6L SPTBN4	CARTPT GABRG2 PCDH17	CARTPT EFNB3 EPHA4 GABRG2 GRIN1 PBX3 SDK1 SPTBN4 UCHL1 UNC79	BRS3 EFNB3 EPHA4 NR4A3 PBX3 SDK1 SEZ6		BRS3 PBX3 PCDH17 SEZ6 TMOD1 UNC79	CARTPT CHRNB2 EPHA4 GIP NR4A3 PBX3 SDK1 SEZ6L UNC79	CHRNA3 CHRNA5 NR4A3 SDK1	EPHA4 GABRG2	GABRG2 NR4A3 PBX3 SEZ6L TMOD1 UNC79	CHRNA5 EPHA4 PBX3
GO_ADULT_LOCOMOTORY_BEHAVIOR	CHL1 GRIN1		EPHA4 SEZ6L TMOD1 UCHL1			EFNB3 EPHA4 PBX3 SPTBN4	EFNB3 EPHA4 GIP SPTBN4 UCHL1	EFNB3 SEZ6 SPTBN4 UCHL1	PBX3 SEZ6 SEZ6L	CHL1 EPHA4 SEZ6 SEZ6L SPTBN4 TMOD1			EFNB3 PBX3		SEZ6L SPTBN4	EPHA4 GIP PBX3 SEZ6L SPTBN4 TMOD1		GIP PBX3 TMOD1	EFNB3 EPHA4 PBX3 SEZ6 SEZ6L TMOD1		SEZ6L TMOD1		CHL1 CXCL12 EFNB3 EPHA4 SEZ6 SPTBN4		CXCL12 EFNB3 EPHA4 GIP GRIN1 PBX3 SPTBN4 TMOD1	CHL1 EPHA4 SPTBN4	EFNB3 GIP UCHL1	CHL1 CXCL12 EFNB3 GIP GRIN1 PBX3 SEZ6 SPTBN4 UCHL1	EPHA4 PBX3 TMOD1 UCHL1	EFNB3 EPHA4 GRIN1 PBX3 SEZ6L SPTBN4		EFNB3 EPHA4 GRIN1 PBX3 SPTBN4 UCHL1	EFNB3 EPHA4 PBX3 SEZ6		PBX3 SEZ6 TMOD1	EPHA4 GIP PBX3 SEZ6L			PBX3 SEZ6L TMOD1	EPHA4 PBX3
GO_AXON	GABRG2 GRIK3 GRIN1 KIF5C NTS TAC1	BASP1 BRSK2 CPLX2 KCNAB2 KIF5A NTRK2	AP3B2 ATCAY BOC BSN CD200 CNGA3 CPLX1 CPT1C DDC ELAVL4 EPHA4 GAD2 GRIK3 GRIK5 KCNA6 KCNAB2 KIF1A KIF5A MAP1B MAP2 MAP6 NFASC PRPH PTPRN SCGN STMN2 SYT5 TMOD2 UCHL1 UNC13A VSTM2L	AP3B2 BRSK2 CADM2 CDK5R1 CDK5R2 DDC ELAVL4 GRIK3 KCNA6 KCNC1 KCNJ11 MAP1A SCN3A SYT5	BASP1 BRSK2 CDK5R1 CDK5R2 CRH DDC KCNAB2 KCNC1 KCNJ11 MAP1A NTRK2 PTPRN PTPRN2 SCN1B SPTBN4 STMN3 TUBB4A	ATP1A3 BSN CPT1C CRH EPHA4 INSRR MAPK8IP1 PRKCG SPTBN4 SRCIN1 STMN3 TMOD2 UNC80	AP3B2 BOC BSN CDK5R1 CDK5R2 CNGA3 CPLX2 CRMP1 DDC EPHA4 GABRG2 GHRL GRIK5 HAP1 KCNAB2 KIF5A KIF5C KIRREL3 MAP1B MAP2 MAP6 MAP9 MAPK8IP1 MAST1 NEFM NFASC PRKCG PTPRN RET SCGN SCN1B SCN3A SLC8A1 SPTBN4 SRCIN1 STMN2 STMN3 SYN1 SYP SYT5 TMOD2 UCHL1 UCN3 UNC80	AP3B2 ATCAY ATP1A3 BASP1 BRSK1 BRSK2 C1QL1 CDK5R1 CDK5R2 CRMP1 GABRG2 GHRL GRIK3 GRIK5 KCNIP3 MAP2 MAP3K12 MAP6 MAPK8IP1 NCS1 NFASC SCGN SLC18A1 SNAP25 SPTBN4 STMN2 STX1A SYN1 SYT5 UCHL1	BASP1 BOC BRSK2 CNGA3 CRH DSCAML1 GHRL GRIK5 KCNAB2 KCNC1 KIF5A KIRREL3 MAP3K12 MAP9 NFASC NTRK2 SCN1B SNAP25 SRCIN1 STX1A SYP USH2A	ADORA2A ATP1A3 BASP1 BRSK1 BSN CADM2 DSCAML1 ELAVL4 EPHA4 GHRL GRIK5 HAP1 KIF5A KIF5C KIRREL3 MAP2 NEFM NTS PRPH PTPRN SCGN SNAP25 SPTBN4 SRCIN1 STMN2 STX1A SYP TAC1 UCN3 UNC80	ADORA2A BRSK1 CDK5R1 NEFM SYN1 SYP TUBB4A	ATCAY CADM2 CDK5R1 KCNA6 MAST1 NEFM NTS SNAP25 TAC1	BASP1 CPLX1 DDC INSRR KIF5A MAP2 MAP3K12 NFASC NTRK2 SNAP25 TUBB4A		ATCAY BSN C1QL1 CADM2 DDC KIF5C NFASC SCN3A SPTBN4 SYT4 USH2A	ATCAY BASP1 BOC BSN C1QL1 CADM2 CD200 CPT1C DDC DSCAML1 ELAVL4 EPHA4 GAD2 GRIK5 HAP1 KCNC1 KIF5A KIF5C KIRREL3 MAP2 NEFL NTS SCGN SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYN1 SYP SYT5 TAC1 UCN3 UNC80 USH2A	AP3B2 ATCAY BRSK2 BSN CADM2 CD200 CPLX1 DSCAML1 ELAVL4 EPHA4 HAP1 KIF5A MAP2 MAP3K12 MAP6 NFASC PTPRN2 SCGN SLC18A1 SNAP25 SRCIN1 USH2A	BOC BRSK1 BRSK2 BSN C1QL1 CADM2 CDK5R2 CNGA3 CPLX1 CPLX2 CPT1C CRH ELAVL4 GRIK5 HAP1 INSRR KCNC1 KCNJ11 KIF5A KIRREL3 MAP1A MAP2 MAP9 MAPK8IP1 MAST1 NCS1 NEFM NFASC PRPH SLC8A1 SNAP25 SRCIN1 STMN2 SYN1 SYT5 TMOD2 UNC80 USH2A VSTM2L	ADORA2A AP3B2 ATCAY ATP1A3 BASP1 BOC C1QL1 CADM2 CDK5R2 CNGA3 CPLX1 CPLX2 CRH DSCAML1 ELAVL4 EPHA4 GRIK5 HAP1 KCNA6 KCNAB2 KCNC1 KCNJ11 KIF5A KIRREL3 MAP1A MAP2 MAP3K12 MAP6 MAPK8IP1 MAST1 NCS1 NEFM NFASC NTRK2 NTS PRPH PTPRN SCGN SLC18A1 SLC8A1 SNAP25 STMN2 STX1A SYN1 SYP SYT5 TMOD2 USH2A VSTM2L	GRIK3 KCNA6 KIF1A KIF5C SCN3A SYT4 UCHL1 UNC13A	AP3B2 BSN C1QL1 CPLX1 CRH DSCAML1 INSRR KCNAB2 KCNIP3 KCNJ11 KIF5A MAP1A MAP2 MAP6 NFASC RET SRCIN1 TUBB4A USH2A	AP3B2 C1QL1 CRH KCNAB2 KCNC1 MAP1A MAP3K12 SLC8A1 TUBB4A USH2A	ATP1A3 BASP1 BRSK2 CADM2 CDK5R1 CNGA3 CPLX1 CPT1C DDC DSCAML1 EPHA4 GHRL KCNIP3 MAP3K12 MAP6 NCS1 NEFM NTRK2 PTPRN SCGN SCN3A SLC18A1 SLC8A1 SNAP25 SPTBN4 STMN3 STX1A USH2A	DDC ELAVL4 KCNC1 MAP1A PTPRN2 SCN1B STMN3 UNC13A VSTM2L	AP3B2 ATP1A3 BASP1 BOC BRSK1 BRSK2 BSN CADM2 CD200 CPLX1 CRH ELAVL4 EPHA4 GAD2 GRIK5 GRIN1 HAP1 INSRR KCNAB2 KCNC1 KIF5A MAP1B MAP3K12 MAST1 NCS1 NEFM NTRK2 PRKCG SNAP25 SPTBN4 STMN2 STX1A SYP UNC13A USH2A	BASP1 CADM2 CPLX2 DDC DSCAML1 EPHA4 KCNC1 KIRREL3 MAST1 NTRK2 PTPRN2 SCGN SLC8A1 SNAP25 SPTBN4 SRCIN1 UNC80 USH2A	BRSK2 C1QL1 CD200 CDK5R2 KCNJ11 KIRREL3 NTRK2 PTPRN SNAP25 SRCIN1 SYP TUBB4A UCHL1 UCN3 UNC80	AP3B2 ATP1A3 BASP1 BRSK2 CNGA3 CPLX1 CPLX2 CRH DDC GRIK5 GRIN1 KCNC1 KCNIP3 KCNJ11 MAP3K12 MAP6 MAP9 NEFM NTRK2 PTPRN PTPRN2 RET SNAP25 SPTBN4 SYP UCHL1	AP3B2 ATCAY ATP1A3 BOC BRSK2 CPLX1 DDC EPHA4 SLC18A1 SLC8A1 SRCIN1 SYN1 SYP SYT5 UCHL1	ATP1A3 BASP1 BOC BRSK2 BSN CD200 CDK5R1 CDK5R2 CNGA3 CPLX2 DDC ELAVL4 EPHA4 GAD2 GHRL GRIK5 GRIN1 INSRR KCNJ11 KIF1A MAP1A MAP1B MAP2 MAP3K12 MAP6 MAP9 MAPK8IP1 MAST1 NCS1 NEFL NFASC PRKCG PTPRN PTPRN2 RET SCGN SLC8A1 SNAP25 SPTBN4 STMN2 SYT5 TUBB4A VSTM2L	ATCAY CRMP1 GABRG2 GRIK3 KCNA6 KIF5C NTS PRPH SCN3A SYT4 TAC1 UNC13A	ATCAY ATP1A3 BASP1 BOC BRSK2 CPLX2 CPT1C DDC DSCAML1 EPHA4 GABRG2 GAD2 GRIN1 HAP1 KCNC1 KIF5A KIRREL3 MAP1A MAPK8IP1 NEFL NTRK2 NTS PRKCG PRPH PTPRN2 SCGN SLC8A1 SPTBN4 SRCIN1 STX1A SYT5 TAC1 TMOD2 UCHL1 VSTM2L	ADORA2A ATP1A3 BRSK1 BRSK2 BSN C1QL1 CADM2 CPLX1 CPLX2 DSCAML1 EPHA4 GRIK5 KCNC1 KCNIP3 KCNJ11 KIF5C KIRREL3 MAP1A MAP3K12 MAP6 MAP9 MAPK8IP1 MAST1 NCS1 NEFL NFASC NTRK2 PRKCG PTPRN PTPRN2 RET SCN1B SRCIN1 STMN3 SYT5 TMOD2 UCN3	BRSK2 CADM2 CD200 CDK5R1 DDC DSCAML1 ELAVL4 GRIK3 KCNAB2 KCNC1 MAP3K12 PTPRN2 SLC8A1 STMN3 SYT5 TAC1 TMOD2	ADORA2A BSN C1QL1 CD200 CPLX1 CRH DSCAML1 ELAVL4 GAD2 GRIK5 KCNC1 KCNIP3 MAP1B MAP2 MAPK8IP1 NEFM NFASC NTRK2 RET SCN3A SLC18A1 SLC8A1 STMN2 SYN1 SYT5 UCN3 UNC80	AP3B2 ATP1A3 BSN CDK5R1 CPLX1 CRH EPHA4 GRIK5 KCNAB2 KCNC1 KCNIP3 MAP1A MAP9 MAST1 NCS1 NEFM PRKCG PTPRN2 RET SRCIN1 STX1A SYP SYT5 TUBB4A UNC13A UNC80	AP3B2 ATP1A3 CADM2 KCNAB2 MAP3K12 MAP9 NCS1 SRCIN1 STMN3 TUBB4A	DDC DSCAML1 EPHA4 GABRG2 NTS STMN3	AP3B2 CADM2 CDK5R1 GABRG2 HAP1 KCNJ11 PRKCG PTPRN SCN1B SYT5	CDK5R1 CDK5R2 CRH EPHA4 KCNC1 KCNIP3 MAP2 MAP3K12 MAP9 PRKCG PTPRN PTPRN2 SYN1 TMOD2 UCN3
GO_AXON_DEVELOPMENT	ARX CHL1 GRIN1 KIF5C		ADCY1 BOC CELSR3 DOK6 EPHA4 ETV1 ISL1 JAM3 KIF5A LGR6 LMX1A MAP1B MAP2 MAP6 NFASC PAK3 PAX6 UCHL1 VASH2 VSTM2L	BRSK2 CDK5R1 CHRNB2 MAP1A NR4A3 PAK3	ADCY1 BRSK2 CDK5R1 CELSR3 CHRNB2 MAP1A NR4A3 NTRK2 SCN1B SPTBN4	CHRNB2 EFNB3 EPHA4 EVL SHC3 SPTBN4 VASH2	BOC CDK5R1 CELSR3 CHRNB2 CRMP1 EFNB3 EPHA4 EVL GFRA1 GFRA3 ISL1 ISLR2 JAM3 KIF5A KIF5C LGR6 MAP1B MAP2 MAP6 NCAM1 NFASC NR4A3 PAX6 PLXNC1 RET SCN1B SPTBN4 UCHL1 VASH2	ADCY1 ARX BRSK1 BRSK2 CDK5R1 CHRNB2 CRMP1 EFNB3 ISL1 MAP2 MAP6 NFASC SHC3 SPP1 SPTBN4 TMEFF1 UCHL1	BOC BRSK2 DSCAML1 KIF5A NFASC NR4A3 NTRK2 PAX6 RTN4RL1 SCN1B SHC3 VASH2	ADCY1 BRSK1 CELSR3 CHL1 DSCAML1 EPHA4 ISL1 KIF5A KIF5C LGR6 MAP2 NCAM1 NR4A3 PLXNC1 RTN4RL1 SHC3 SPTBN4		CDK5R1 CXCL12 DOK6 NCAM1	ADCY1 EFNB3 EVL KIF5A MAP2 NFASC NTRK2 PLXNC1		ARX EVL KIF5C NFASC PAX6 SHC3 SPTBN4	ARX BOC CELSR3 DSCAML1 EPHA4 ETV1 GFRA3 ISL1 JAM3 KIF5A KIF5C LGR6 LMX1A MAP2 NCAM1 NEFL PAK3 PAX6 RTN4RL1 SHC3 SPTBN4 TUBB2B	ADCY1 BRSK2 CELSR3 DSCAML1 EPHA4 EVL JAM3 KIF5A LGR6 MAP2 MAP6 NFASC RTN4RL1 TUBB2B VASH2	ADCY1 BOC BRSK1 BRSK2 CHRNB2 DOK6 ETV1 JAM3 KIF5A MAP1A MAP2 NFASC PLXNC1 SHC3 VSTM2L	ADCY1 BOC DOK6 DSCAML1 EFNB3 EPHA4 EVL GFRA3 JAM3 KIF5A MAP1A MAP2 MAP6 NFASC NTRK2 PAK3 PLXNC1 SHC3 VSTM2L	ARX KIF5C PAK3 TMEFF1 UCHL1	DSCAML1 ISLR2 KIF5A MAP1A MAP2 MAP6 NFASC NR4A3 RET VASH2		BRSK2 CDK5R1 CELSR3 CHL1 CXCL12 DSCAML1 EFNB3 EPHA4 ETV1 EVL ISL1 ISLR2 LMX1A MAP6 NCAM1 NR4A3 NTRK2 PAK3 PLXNC1 RTN4RL1 SPTBN4 VASH2	LGR6 MAP1A NR4A3 SCN1B VSTM2L	ADCY1 BOC BRSK1 BRSK2 CHRNB2 CXCL12 EFNB3 EPHA4 ETV1 EVL GFRA1 GRIN1 ISLR2 KIF5A LGR6 MAP1B NCAM1 NTRK2 PLXNC1 RTN4RL1 SPTBN4	CELSR3 CHL1 DSCAML1 EPHA4 LMX1A NTRK2 PAX6 SHC3 SPTBN4	BRSK2 EFNB3 EVL NTRK2 PLXNC1 SHC3 UCHL1	BRSK2 CHL1 CHRNB2 CXCL12 EFNB3 GFRA1 GRIN1 ISLR2 MAP6 NCAM1 NTRK2 PLXNC1 RET RTN4RL1 SPP1 SPTBN4 UCHL1	BOC BRSK2 DOK6 EPHA4 ETV1 GFRA3 LGR6 LMX1A PAX6 SHC3 UCHL1 VASH2	BOC BRSK2 CDK5R1 EFNB3 EPHA4 ETV1 GRIN1 JAM3 LMX1A MAP1A MAP1B MAP2 MAP6 NEFL NFASC NR4A3 PAX6 PLXNC1 RET SPTBN4 VSTM2L	ARX CRMP1 KIF5C PAK3 TMEFF1	BOC BRSK2 DSCAML1 EFNB3 EPHA4 ETV1 EVL GFRA1 GFRA3 GRIN1 ISLR2 KIF5A LGR6 MAP1A NCAM1 NEFL NTRK2 RTN4RL1 SPTBN4 UCHL1 VSTM2L	BRSK1 BRSK2 CELSR3 DSCAML1 EFNB3 EPHA4 EVL KIF5C LGR6 MAP1A MAP6 NEFL NFASC NR4A3 NTRK2 RET SCN1B	ADCY1 BRSK2 CDK5R1 CELSR3 CHRNB2 DSCAML1 EVL GFRA1 LGR6 NR4A3 VASH2	ADCY1 CELSR3 DOK6 DSCAML1 GFRA1 ISL1 MAP1B MAP2 NFASC NTRK2 PAX6 RET RTN4RL1 SHC3 SPP1	ADCY1 CDK5R1 CELSR3 CHRNB2 EPHA4 EVL GFRA1 ISLR2 LGR6 MAP1A NR4A3 RET RTN4RL1 SHC3		DSCAML1 EPHA4 SPP1 TMEFF1	CDK5R1 NR4A3 RTN4RL1 SCN1B TMEFF1	
