	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_ACTION_POTENTIAL	0	4	5	4	7	0	12	5	6	7	0	0	5	0	2	7	0	9	14	0	5	4	9	4	9	8	0	9	0	6	3	7	7	8	7	7	2	0	3	0
GO_ADENYL_NUCLEOTIDE_BINDING	0	0	0	16	17	17	33	24	21	28	0	0	24	0	0	31	24	29	34	0	19	15	31	0	31	16	0	23	21	31	0	26	32	22	20	26	0	0	0	22
GO_ADULT_BEHAVIOR	5	2	4	0	4	7	12	8	7	10	0	0	3	0	3	9	0	7	11	4	4	0	8	0	13	6	6	13	8	10	3	10	7	0	6	9	4	2	6	3
GO_ADULT_LOCOMOTORY_BEHAVIOR	2	0	4	0	0	4	5	4	3	6	0	0	2	0	2	6	0	3	6	0	2	0	6	0	8	3	3	9	4	6	0	6	4	0	3	4	0	0	3	2
GO_AXON	6	6	31	14	17	13	44	30	22	30	7	9	11	0	11	35	22	39	49	8	19	10	28	9	35	18	15	26	15	43	12	35	37	17	27	26	10	6	10	15
GO_AXON_DEVELOPMENT	4	0	20	6	10	7	29	17	12	17	0	4	8	0	7	22	15	15	19	5	10	0	22	5	21	9	7	17	12	21	5	21	17	11	15	14	0	4	5	0
GO_BEHAVIOR	9	0	12	6	9	17	21	20	18	23	4	7	7	4	7	24	0	23	30	8	10	10	20	0	27	17	14	26	14	20	8	25	20	9	15	21	6	7	8	13
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	3	3	7	0	0	9	11	11	0	9	0	0	4	0	4	11	6	12	13	0	0	4	11	4	13	12	0	10	7	13	3	16	11	7	8	9	0	0	6	0
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	3	5	0	0	5	7	7	4	7	0	2	0	2	3	7	0	8	10	2	3	4	8	0	9	10	0	6	4	8	3	10	8	6	7	7	0	0	3	0
GO_CARDIAC_CONDUCTION	0	2	7	4	7	5	12	9	5	12	2	0	5	0	4	8	5	13	19	0	7	4	11	6	13	10	0	12	6	11	0	9	13	9	9	10	2	0	7	3
