Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	wt_0_24h_96hpi_1	wt_0_24h_96hpi_2	wt_0_24h_96hpi_3	wt_100_24h_96hpi_1	wt_100_24h_96hpi_2	wt_100_24h_96hpi_3
C9orf102	3.00659642216022	-5.00760506168944	1.70062811670269	-2.94456207827411	0.00323412059721674	0.0228295050241056	2.07841627813278	8.2298341277688	7.73132812705972	0	0	0
AIF1	2.92697386359968	-4.96348496756855	1.66941261429342	-2.97319244210297	0.00294719605255865	0.0213592989737076	6.23524883439834	6.1723755958266	5.15421875137315	0	0	0
SCHIP1	5.84432603845279	-3.99710524292281	1.35898538635661	-2.94124225547332	0.00326898764768512	0.0230173932255692	19.7449546422614	7.2011048617977	6.01325520993534	2.10664151672228	0	0
STMND1	26.1956368959421	-1.89525782309798	0.518248542798112	-3.65704419131632	0.000255140407025574	0.00286841093570679	48.8427825361204	33.9480657770463	41.2337500109852	3.15996227508342	18.8618636244951	11.1273971519222
FXYD1	18.2876479511452	-1.654403895567	0.553829649414476	-2.98720716255636	0.00281538872272115	0.0205914652827137	16.6273302250623	33.9480657770463	32.6433854253633	9.47988682525026	8.93456698002399	8.09265247412526
HSPA6	416.244612738189	-1.62357567931852	0.330243873318811	-4.91629311091308	8.81983133111675e-07	2.16193157285289e-05	602.740720658507	559.628720688279	723.308698109365	125.345170244976	273.000657722955	213.443709005054
AK316321	172.332463983919	-1.27640353820772	0.231141934352184	-5.52216343514241	3.34850794075215e-08	1.21194811120425e-06	331.507396362179	183.113809342856	217.336224016234	105.332075836114	82.3965621491101	114.308716197019
MAGED4	1422.21030657684	-1.14819536189847	0.370955025593295	-3.09524142465002	0.00196652756817609	0.0153647550697853	2345.49276987284	1117.19998284461	2417.32859439401	952.201965558471	715.758088066366	985.28043872475
WBSCR27	103.005301540215	-1.00906914069477	0.25593381597934	-3.94269564118961	8.05708773840285e-05	0.00108818218909373	122.626560409834	132.706075310272	157.203671916881	88.4789437023358	70.4838061757448	46.5327517262202
ADORA2A	158.491185524254	1.00680090660038	0.198973321556517	5.05997939183221	4.19301793976246e-07	1.15128831407511e-05	113.273687158237	112.13148999085	91.0578646075923	216.984076222395	174.720420942691	242.779574223758
SLC25A27	161.236211719728	1.00721076054576	0.224981302332233	4.47686429985365	7.57473617349874e-06	0.000142223899876401	89.3718999597096	132.706075310272	99.6482291932142	155.891472237449	256.124253427354	233.675340190367
FAM95B1	59.1131832399836	1.00725221047522	0.304383940820708	3.30915030457707	0.000935795849631383	0.00840518155475682	39.4899092845228	44.2353584367573	34.3614583424877	61.0926039849461	80.4111028202159	95.0886665709718
UPK2	110.131237998799	1.00764427288	0.279668075784331	3.60300070021956	0.000314564680918215	0.00340480943636891	83.1366511253113	59.6662974263238	76.4542448120351	213.824113947311	101.258425773605	126.447694908207
AK057596	832.647624611239	1.00787157053282	0.141338715576824	7.13089521451752	9.97182146897807e-13	8.7379874824337e-11	678.602914810353	544.197781698712	438.108593866718	1202.89230604842	1189.29013800764	942.794013235592
BAI2	117.695965237079	1.01041874621328	0.227866173685884	4.43426389213061	9.23874064578648e-06	0.000170562798575538	83.1366511253113	92.585633937399	59.2735156407912	154.838151479088	174.720420942691	141.621418297192
GOLGA6L4	86.6880046263798	1.01095939681754	0.253757948537148	3.98395164622613	6.77786696249579e-05	0.000936829098499229	69.6269453174482	59.6662974263238	43.8108593866718	108.492038111197	117.142100404759	121.389787111879
BRSK1	72.0907977727735	1.01164429690783	0.262785289870994	3.84969911140939	0.000118263013387921	0.00150826519999051	54.0388232314523	42.1778999048151	47.2470052209205	93.7455474941415	101.258425773605	94.0770850117061
CBX2	74.152234338084	1.01187922019843	0.274587538631756	3.68508791491607	0.000228623710575538	0.00261524961616515	47.803574397054	53.4939218304972	46.3879687623583	80.0523776354466	123.098478391442	94.0770850117061
PBX3	81.676112494052	1.01230658660521	0.290947785119838	3.47934109960056	0.000502648358651903	0.00503858896570933	55.0780313705187	64.8099437561793	42.9518229281096	83.2123399105301	95.3020477869225	148.702489212052
RBP1	133.934436939188	1.0133507518317	0.208019175787219	4.87142951123049	1.10793690849894e-06	2.64547021411337e-05	78.9798185690457	92.585633937399	94.4940104418411	149.571547687282	184.647717587162	203.327893412397
FXYD6	107.245075194725	1.0160188717239	0.228083400999484	4.45459365859857	8.40522315277196e-06	0.000156754844012083	75.8621941518465	79.2121534797747	58.414479182229	125.345170244976	151.887638660408	152.748815449114
AK123332	75.7599215381251	1.01609285796712	0.346618648346433	2.93144313733394	0.00337391126194066	0.0235659080286733	68.5877371783818	57.6088388943816	24.9120572983036	90.585585219058	136.996693693701	75.8686169449243
CXXC4	281.776895904584	1.01747178042644	0.15131116236631	6.72436695690189	1.76357472294670e-11	1.25673569945704e-09	207.841627813278	166.654141087318	184.692838590871	343.382567225732	369.295435174325	418.794765535982
AL832212	101.69878961659	1.0215363623386	0.257719108818212	3.96375871010466	7.37788262371048e-05	0.00100985457676109	91.4503162378424	60.6950266922949	49.8241145966071	154.838151479088	134.01850470036	119.366623993348
FZD4	45.3005090458785	1.02287223436046	0.38485529513227	2.65780995428141	0.00786502304556167	0.0456375502576746	34.2938685891909	16.4596682555376	38.6566406352986	41.0795095760845	69.4910765112977	71.8222907078617
