Hormone	CCK	GCG	GHRL	INS	NTS	SCT	SST	CCK	GCG	GHRL	INS	NTS	SCT	SST
	pos	pos	pos	pos	pos	pos	pos	neg	neg	neg	neg	neg	neg	neg
TF														
ARX	0.24779617419448635	0.495154384563102	0.92791	0.8005858522239059	0.5969880816005816	0.755422793298852	0.7822466882000001	-0.31230551542962026	-0.38397647195774504	-0.5707213948360097	-0.4595262836527478	-0.4820777411966807	-0.4984150689130733	-0.42576134814091465
ASCL1	0.25314578894927475	0.42231222305002397	0.7914051598999999	0.682811667503247	0.50916516491632	0.6442925461766578	0.667170377898898	-0.26636225105476874	-0.32748969316804116	-0.48676257044168425	-0.391925372064592	-0.41115928468923696	-0.42509322812527106	-0.5110551932167524
EGR3	0.26689167553744025	0.48210376661198845	0.5797299713062576	0.6560017913962881	0.49370350762648035	0.99803	0.6572306883885896	-0.21469737383220153	-0.3747940993394927	-0.4914323214197594	-0.51463643684724	-0.4041559357675713	-0.48560450272331396	-0.6779099071400123
ETS1	0.1829852661286995	0.23232761834759827	0.4535435759774219	0.21442172054580272	0.2690341757090335	0.2379761695758472	0.2805224347823494	-0.16695310114135556	-0.18031743496606817	-0.27183481726012093	-0.28044117053707784	-0.2282569276038087	-0.26978440784904006	-0.38804090511311995
ETV1	0.20087349064901835	0.401391950302233	0.7522009623999999	0.6489869152467871	0.4839424184686954	0.6123759331597813	0.92791	-0.2531673430278673	-0.3112666872278264	-0.4626495915098628	-0.3725103865802634	-0.39079150012367725	-0.40403519146369365	-0.39530268506832283
FEV	0.33530575910205007	0.4257216445810596	0.95493	0.6335877743929379	0.49298345390860626	0.5978454965227825	0.6190740653561665	-0.2667148900263621	-0.330417173413883	-0.44413487970556614	-0.5138858529968501	-0.38151881185598985	-0.4848962611933249	-0.6769211931821825
INSM1	0.16312445831164726	0.2975029131514423	0.45486332919336586	0.3745011243816673	0.3740814481338792	0.2514014028089904	0.3229061074160449	-0.14715544235668404	-0.24060526349903463	-0.35762235870578557	-0.28648497640995807	-0.23516381186680102	-0.358050571173493	-0.25577559980107123
ISL1	0.306799477567992	0.6235692899999999	0.5247541657671054	0.4320441163112585	0.72209	0.42126271887807526	0.36753275559630066	-0.22738519957390138	-0.4655414632993458	-0.6505397954918941	-0.7527064704676439	-0.4185368241699524	-0.7102444077362481	-0.99151
LHX1	0.2552433392133697	0.41733346660023696	0.6203013871017735	0.4969125221757031	0.40789518648951656	0.6210441281	0.4436466442354625	-0.28294183877967716	-0.5160233000042361	-0.7889673203360899	-0.6495778613110632	-0.6488499265153231	-0.4360595334310279	-0.5600855244584755
LMX1A	0.78087	0.6009938685	0.8073865100224673	0.6802732682000001	0.663997942873449	0.5742118945997292	0.573161251741071	-0.37552421421235993	-0.7209435021	-0.8362987279173238	-0.6885470729843213	-0.6877754682194688	-0.5981558651854386	-0.718425422276367
MAFA	0.4652893278	0.46055685645066624	0.7041626005905399	0.5797558711455746	0.5791061807900725	0.5245372246000001	0.5443610552188213	-0.32511999999999996	-0.458505648465558	-0.5536262740330435	-0.44086493347061323	-0.39644347950394715	-0.48348577786111274	-0.580733668881405
MAFB	0.151255620981983	0.653	0.37489911990293695	0.17724099420316056	0.22238364964108703	0.19671110177139525	0.23187984459109	-0.1380034334034445	-0.14905039174295195	-0.22469865994721597	-0.23181267156594848	-0.18867717635730827	-0.22300379152801647	-0.32075461216650497
MAFF	0.4092700742273705	0.5196305889421368	0.5926156719	0.47463483022313707	0.6017295238661088	0.5174274050262173	0.42375697988811784	-0.32554890536613745	-0.49288882943885953	-0.7535961631631298	-0.6272427344035159	-0.6197605432913634	-0.591858396177345	-0.8262416599156415
MLXIPL	0.22673450983889026	0.4671401762560653	0.786911618	0.5504566752042408	0.5362729694366939	0.5194040314573144	0.4335358542956347	-0.474051605091372	-0.37678731251157677	-0.5231515028570847	-0.522039278678484	-0.542717940223242	-0.60142045745724	-0.47477565526498877
NEUROD1	0.26704763845037377	0.5116639953946297	0.7823022165	0.64409030335566	0.6433685180681118	0.43237575338827944	0.4477287475917568	-0.21596718809693924	-0.41380788218441983	-0.6150611533834204	-0.40808774181118485	-0.3175258623773152	-0.537137296626907	-0.4398987691661852
NEUROD2	0.25435730439973037	0.3844756984688641	0.5819664546214101	0.4839837696	0.48344140409241604	0.4777126265511599	0.5237944014632594	-0.25945602112175825	-0.40327861115715946	-0.7557365293433068	-0.6520373456488757	-0.4862170909335415	-0.8115852948	-0.6371010089669946
