	ARX	ASCL1	E2F7	ETV1	FEV	FOXD4L5	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.884342408068	1	1	0.00250246289255	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0072474346341	1	1	1
GO_AXON	0.0203176198346	1	0.00333807884669	1	0.0837338721872	0.970466906457	1	1	1	0.569269732938	0.0	1	0.00859318116316	1
GO_AXON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	0.720792183355	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0	0.316327034157	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	0.000188085760656	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	0.516248022587	1	1	1	1	1	0.000345202630756	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000480027460326	1	1	1	1	1	0.0371338362952	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0644766090849	1	1	1	1	1	0.256556249722	1	1	1
GO_CATION_TRANSPORT	1	1	1	1	0.113788776503	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.0199934745186	1	1	1
GO_CELL_BODY	1	1	1	1	0.785416885639	1	1	1	1	1	0.0151755310239	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	0.0323157877477	1	1	1	1	1	0.0	0.00443631301868	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.850030968304	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.00774110848392	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.563798654863	1	1	1
GO_DENDRITIC_TREE	1	1	1	1	1	1	1	1	1	1	0.0	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	1	1	1	1	0.589184088453	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	1	1	0.091810930415	1	1	1
GO_GATED_CHANNEL_ACTIVITY	1	1	1	1	1.87264792406e-05	1	1	1	1	1	5.54075023662e-06	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000230614985971	1	1	1	1	1	0.018681259874	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000129723803478	1	1	1	1	1	0.0224398885412	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0493471602604	1	1	1	1	1	0.598471800234	1	1	1
GO_ION_TRANSPORT	1	1	1	1	0.0260187140234	1	1	1	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0135426435389	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	0.600248322313	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	0.778718096545	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	0.0218127030869	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.394437476033	0.0319257815633	1	0.494052578679	1	1	1	0.00925758971296	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	1	0.119716078486	1	1	1	1	1	0.533257863223	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	1	1	1	1	1	1	0.784509380013	1	1	1
GO_NEUROGENESIS	1	1	1	1	0.301407923174	1	1	1	1	1	0.00730322640058	0.0374586573895	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	0.139402871321	1	1	1	1	1	0.0113779298872	0.652316663691	1	1
GO_NEURON_DIFFERENTIATION	1	1	1	1	0.592487325883	1	1	1	1	1	0.00967461321532	0.813714201126	1	1
GO_NEURON_PROJECTION	0.000319754216841	1	0.00126994416394	1	3.04433536202e-05	0.0301886194771	1	1	1	0.0268540600068	3.35360018877e-05	9.07952569662e-05	4.13629189686e-05	1
GO_NEURON_TO_NEURON_SYNAPSE	1	1	1	1	1	1	1	1	1	1	0.149082510323	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	0.000300019249544	1	1	1
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	1	1	1	1	1	1	1	1	1	1	1	1	1	0.538142887624
GO_POSTSYNAPSE	0.114245350987	1	1	1	1	1	1	1	1	1	4.86890309447e-05	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.203450199863	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	0.013556499316	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.111471500122	1	1	1
GO_POTASSIUM_ION_TRANSPORT	1	1	1	1	1	1	1	1	1	1	0.0572594628901	1	1	1
GO_PRESYNAPSE	0.274765753837	1	0.0139604935223	1	0.000182836793996	1	1	1	1	1	0.000139615264823	1	1	1
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	1	1	1	1	1	1	1	1	1	1	0.34128952798	1	1	1
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	1	1	1	1	1	1	1	1	1	1	0.302163654244	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	1	1	0.153653784751	1	1	1
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000986881229373	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_ION_TRANSPORT	1	1	1	1	0.003394978595	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	0.0600814023704	1	1	1	1	1	0.00104665099103	1	1	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	0.703692371323	1	1	1
GO_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	0.456482238285	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	0.556956209806	1
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000109290184924	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_TRANSPORT	1	1	1	1	0.0297686482644	1	1	1	1	1	0.0605620334293	1	1	1
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	1	1	1	1	1	1	1	1	1	0.0	0.268638681344	1	1
GO_SIGNAL_RELEASE	1	1	1	1	1	1	1	1	1	1	1	0.417976975726	1	1
GO_SOMATODENDRITIC_COMPARTMENT	1	1	0.0402449244788	1	0.00891744102097	1	1	1	1	1	0.0	1	1	1
GO_SYNAPSE	0.00526054988559	0.589189691121	0.00105311017505	1	6.71137082442e-06	0.000427325456222	1	1	1	0.0236435679748	1.40157313533e-05	0.000963682614291	1	1
GO_SYNAPSE_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.0484869839259	1	1	1
GO_SYNAPTIC_MEMBRANE	1	1	0.897601845491	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_SIGNALING	1	1	1	1	0.00101405777875	1	1	1	1	1	0.0	0.000145984973596	1	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	1	1	0.00110368755412	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	0.306986144254	1	1	1
GO_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000505786246461	1	1	1	1	1	0.0638690138045	1	1	1
GO_TRANSPORTER_ACTIVITY	1	1	1	1	0.0589064418685	1	1	1	1	1	1	1	1	1
GO_TRANSPORTER_COMPLEX	1	1	1	1	0.191589895552	1	1	1	1	1	0.000136934525941	1	1	1
GO_TRANSPORT_VESICLE	1	1	1	1	1	1	1	1	1	1	0.000173964346218	1	1	1
GO_TRANSPORT_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	0.952240239923	1	1	1
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.845915818605	1	1	1	1	1
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0842390970903	1	1	1	1	1	1	1	1	1
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	1	1	1	1	0.000285535365433	1	1	1	1	1	1	1	1	1
