	genes
0	['RFX6', 'AMPD3', 'KLK12', 'SPINK4', 'SUSD2', 'CIT', 'PNPO', 'CHRNA1', 'CLPS', 'VSTM2L', 'BTBD17', 'TP73', 'TMEM158', 'CDRT4', 'GHRL', 'STX2', 'HOPX', 'KIF19', 'GATA2', 'IGFN1', 'SPON2', 'C1orf127', 'GDAP1', 'DCHS1', 'KCNF1', 'PRR5-ARHGAP8', 'CCDC14', 'CELA3A', 'SPDYE7P', 'ANK2', 'EML1', 'SPC25', 'PAX6', 'CDH5', 'GLT8D2', 'SLC1A2', 'CENPE', 'FAM227A', 'CELA3B', 'SPDYE5', 'MAFB', 'FAIM2', 'LINC00893', 'ABCA9', 'OLFML2B', 'FOXJ1', 'FAM13A-AS1', 'AMBP', 'RPL36A-HNRNPH2', 'WNK3', 'ACSL6', 'CERS1', 'MUC16', 'ONECUT1', 'CPT1C', 'CNTNAP4', 'PMP22', 'abParts', 'PNISR', 'DDN', 'RGS5', 'DEFB1', 'PLGLB2', 'BCRP3', 'SFRP1', 'ANGPT2', 'GSTA2', 'ACTN3', 'GOLGA7B', 'DENND2A', 'ANKFN1', 'PPP1R14A', 'TCTEX1D4', 'SLC7A4', 'WIF1', 'SMOC2', 'CD96', 'PRELP', 'REM2', 'NOTUM', 'CSF1R', 'AX747853', 'GREB1', 'RGS17', 'MUC17', 'TAC3', 'DRD2', 'CD70', 'DKFZp686O16217', 'PLEKHH2', 'KSR2', 'SLC16A12', 'EML5', 'C2CD4A', 'P2RX6', 'LDHD', 'SULT1C2P1', 'GDF11', 'GGT5', 'CLCNKA', 'FLJ00385', 'NPSR1-AS1', 'FAM161A', 'LRP2BP', 'DPF3', 'IGHG1', 'ATP8B2', 'VAV3', 'FUT7', 'CBFA2T3', 'CCDC125', 'CLCN4', 'ARHGEF26-AS1', 'FAM92B', 'COL6A4P2', 'SCHIP1', 'PAK6', 'SHISA9', 'RASL11B', 'ENPP7', 'PTPRT', 'RGS16', 'SAP30', 'AK024092', 'JA760600', 'CLCA1', 'ARL9', 'LOC729603', 'OSBPL6', 'FAM110B', 'ARL4D', 'TRPM3', 'HAP1', 'SLC14A1', 'NTNG2', 'SLC22A13', 'DNM3', 'SH3BP5-AS1', 'LAPTM5', 'C4orf21', 'DPYSL3', 'FAM167A', 'MMP13', 'JAKMIP2', 'L1TD1', 'GABRG2', 'MYSM1', 'EDAR', 'CIB4', 'UBE2S', 'CCDC181', 'TRPC6', 'HSPB7', 'LOC100652999', 'PBOV1', 'AX746617', 'EVA1A', 'AK125858', 'DKFZP434K028', 'NPTX1', 'PMFBP1', 'CTTNBP2', 'PTHLH', 'NEAT1', 'WDR96', 'AK055257', 'FKSG51', 'STARD8', 'ZNF788', 'FBN1', 'SERF2-C15ORF63', 'AK091729', 'AK127339', 'RAD51L3-RFFL', 'AK025664', 'HIF1A-AS2', 'AK309215']
1	['NEUROD1', 'NEUROG3', 'ETV1', 'FEV', 'USP13', 'JAM3', 'MIAT', 'TOX', 'SLC6A17', 'HES4', 'SCN2A', 'PELI3', 'SDK1', 'EBF3', 'GOLGA6L5', 'HCN4', 'KCNH3', 'CHST8', 'RCOR2', 'SLC7A2', 'UTS2B', 'MAP3K12', 'SPIB', 'USH1G', 'SEC11C', 'SLITRK6', 'HCP5', 'MALAT1', 'FGF14', 'MMRN1', 'AK125301', 'WSB1', 'PDE2A', 'FCAMR', 'LRP1B', 'SYT14', 'MAP1B', 'LINC00939', 'CCDC85B', 'GABRP', 'DNAH14', 'NHSL2', 'NACAD', 'UNC80', 'IMPG1', 'FDPSP2', 'ATP13A4', 'BSN', 'CTXN1', 'ZDHHC11', 'CFH', 'SYNGR3', 'CRMP1', 'ITPRIP', 'CCDC78', 'USP6', 'DTX1', 'PLAC4', 'AK131337', 'CHRNB4', 'RD3', 'ANKRD45', 'APLN', 'GPC2', 'ASIC1', 'CCDC74B', 'FAM155B', 'SLC25A27', 'TMEM212', 'RTEL1', 'UBN2', 'PITRM1-AS1', 'CRISPLD2', 'WDR17', 'CPLX2', 'CLCA4', 'hCG_2023280', 'SNED1', 'POM121L10P', 'LRRC37A', 'DPCR1', 'FZD4', 'KCNT2', 'TSSK4', 'PCYT1B', 'CFC1', 'PCED1B-AS1', 'THBS4', 'MCM3AP-AS1', 'CCDC40', 'MYBPC2', 'KCNQ1OT1', 'UGDH-AS1', 'KCNJ3', 'TMEM45A', 'LOC100996634', 'DPEP1', 'SYNE2', 'WHAMMP1', 'B3GAT1', 'COL12A1', 'BC040894', 'CACNA2D2', 'NBPF10', 'CEP290', 'GFRA1', 'C1RL-AS1', 'KNDC1', 'PDZD4', 'PLTP', 'RNF157-AS1', 'QSOX2', 'TTLL10', 'AF086126', 'VN1R1', 'DST', 'POM121L9P', 'AB073649', 'FAM64A', 'KL', 'CLGN', 'TBC1D8B', 'BC068238', 'TRIM66', 'SLC26A7', 'TMEFF1', 'GLUD1P3', 'KCNMB3', 'XKR7', 'GPR155', 'PARD6A', 'WDR52', 'PRKCG', 'C12orf50', 'APOB', 'CD300LF', 'ELAVL3', 'B3GNTL1', 'CACNB2', 'CHD5', 'AX746834', 'LOC440434', 'IGSF9B', 'ANKRD36B', 'CNPY1', 'DQ586822', 'ATP6V1B1', 'MIPOL1', 'BC033528', 'CDHR1', 'APBB1', 'AHNAK', 'UBE2Q2P2', 'AX747535', 'SGOL1-AS1', 'LOC202181', 'GRIN2C', 'ZNF514', 'AX747833', 'LSAMP', 'LOC100130000', 'AK090700', 'BC073807', 'AK095546', 'AK023417', 'LOC644172', 'LOC100527964', 'LOC286437', 'BC053580', 'HIST2H2BF', 'CR933660', 'FW340055', 'LOC100131564', 'AK097143', 'AX747140', 'AX746677', 'AK096291', 'AX748336', 'LOC595101', 'FLJ45340', 'TBC1D3H', 'AL137655', 'MGC4836', 'AX748283', 'LOC100505716']
2	['ASCL1', 'SV2B', 'DNAJC12', 'GNAO1', 'SCG3', 'SH3RF3', 'CACNA2D1', 'RGS9', 'HEPACAM2', 'ASXL3', 'OR51E1', 'BAALC', 'ID4', 'PTPRN', 'PGA4', 'ISL1', 'GIP', 'DNAJB13', 'ADAMTSL2', 'RIIAD1', 'ASCL2', 'FOXP2', 'PCSK2', 'MAP6', 'NOL4', 'KIAA1324', 'MIR137HG', 'STX1A', 'SSTR2', 'C4orf48', 'KCNB2', 'SAMD11', 'FTCD', 'RIMBP2', 'RNF150', 'CACNA1E', 'MEX3B', 'RAB26', 'ST8SIA5', 'LTBP2', 'FXYD6', 'LEFTY1', 'LIMCH1', 'SIX2', 'SBK1', 'FJX1', 'TTR', 'FUT1', 'CCDC88A', 'MLLT11', 'OLFML3', 'BTBD11', 'JMJD1C-AS1', 'RTN4RL1', 'FAM126A', 'SLC6A16', 'KCNE4', 'GPBAR1', 'GPR162', 'DTX3', 'CACNG4', 'ELFN1', 'NFASC', 'SPOCK3', 'ST6GALNAC5', 'CYP27C1', 'FXYD1', 'SOCS1', 'ABCC4', 'SAMD14', 'CLDN6', 'COL21A1', 'MDK', 'TMEM169', 'MS4A8', 'MSMB', 'CELF4', 'GABBR2', 'SSTR5-AS1', 'PLCG2', 'SIRPA', 'PLAG1', 'KCTD16', 'VCAN', 'VWA5B2', 'GRAP2', 'RAB36', 'ZCCHC12', 'DPY19L2', 'SORCS2', 'CLIP3', 'TMOD2', 'RBP2', 'RGS14', 'NKAIN1', 'RPLP0P2', 'APLP1', 'STMN2', 'SERPINA10', 'PODXL2', 'TRPM2', 'PRICKLE2', 'TPGS1', 'GAN', 'SHC3', 'RRAGD', 'POU2F2', 'SRM', 'AX746771', 'CPLX1', 'TTBK1', 'PGA3', 'ASRGL1', 'BASP1', 'MBOAT4', 'MUC15', 'RSAD2', 'FER1L6-AS1', 'TNFSF14', 'DLG2', 'MED12L', 'MATN2', 'TMEM132C', 'LOC100862671', 'TTLL6', 'HGFAC', 'NRXN2', 'TENM2', 'BEND5', 'HMBOX1', 'SCUBE3', 'JMJD7-PLA2G4B', 'KCNC1', 'EPM2A', 'NPPB', 'DYNC1I1', 'C12orf68', 'FAM135B', 'ADCY5', 'LAMP3', 'NAV3', 'ACE', 'NNMT', 'SOGA3', 'CHRNA3', 'FGF9', 'BC107568', 'PCDH17', 'AK125727', 'KLHL35', 'C9orf102', 'HRH3', 'PCDHB14']
3	['CHGA', 'HHEX', 'ACSS3', 'TFCP2L1', 'INSC', 'PCBP4', 'PROX1', 'KCNH2', 'DKFZp686M11215', 'ABCC9', 'SYT5', 'LOC646214', 'C10orf10', 'AP3B2', 'INSRR', 'GPR137C', 'TPPP3', 'PPM1E', 'CCNA1', 'NPTX2', 'HIC1', 'NCAM1', 'BC029255', 'NAALADL1', 'GRHL3', 'CR627206', 'C9orf66', 'SDK2', 'STARD4-AS1', 'LOC100128288', 'CABP4', 'LRAT', 'BAI2', 'CXCL12', 'MTSS1', 'FBXL16', 'JX088243', 'CELF5', 'AK123889', 'SAMD5', 'SLC7A14', 'AX747756', 'BC010924', 'KIAA1456', 'AX747590', 'DKFZp434C0631', 'SGSM1', 'HNRPF', 'ZFR2', 'SDCBP2-AS1', 'TSIX', 'RASAL1', 'BC042825', 'LOC643406', 'GOLGA6L4', 'SPDYE6', 'HNRNPU-AS1', 'AK054970', 'BC006435', 'C8orf15', 'ADORA2A', 'NCALD', 'BC019672', 'AGAP9', 'TFPI2', 'DQ570835', 'UNQ2560', 'DNER', 'XAF1', 'BGN', 'AK096592', 'AK094916', 'DKFZp564E1082', 'BC040733', 'SPDYE8P', 'AK125871', 'FAM19A5', 'PHYHIP', 'TSNAX-DISC1', 'ASIC4', 'BMS1P6', 'ANKRD20A9P', 'AX748292', 'AX747850', 'TRO', 'AK311113', 'LOC100288123', 'MAGEA5', 'AK128593', 'TAS2R20', 'DKFZp586B1922', 'BC090058', 'FLJ00278', 'AF198444', 'LOC100190986', 'FAM157A', 'AX748379', 'PRKD1', 'TCL6', 'AK094909', 'LOC399744', 'DQ598910', 'S100G', 'HBT8', 'AX746640', 'BC041025', 'LOC90834', 'AF289551', 'LOC400927', 'C12orf55', 'WBSCR27', 'BC041347', 'RSPH10B2', 'LOC731275']
4	['SCG2', 'CHGB', 'CCND2', 'C14orf132', 'ARX', 'SMAD9', 'CABP7', 'KCNK16', 'CCDC113', 'C22orf42', 'CFC1B', 'LMX1B', 'AKR1B1', 'GSTM2', 'PLEKHB1', 'IGSF10', 'DKK3', 'ACTL6B', 'KCTD12', 'SEZ6', 'THRA1', 'COL16A1', 'TMEFF2', 'FAM101B', 'CAMK2B', 'DOCK8', 'ADH6', 'MMD2', 'ROBO1', 'RGS11', 'SSPO', 'SCG5', 'FABP5', 'ENTPD1', 'CELSR2', 'NEGR1', 'POU5F1', 'SCN3B', 'KIRREL3', 'NALCN', 'SLC30A8', 'GPRIN3', 'ITGA7', 'GAP43', 'NTRK2', 'UCN3', 'KHK', 'PTPN22', 'PLXNC1', 'KCNH7', 'GRB14', 'KRT4', 'MYO3A', 'NKTR', 'KLB', 'PGF', 'NPM2', 'INSM1', 'MAP1A', 'CAND2', 'NEK10', 'CD52', 'NEFL', 'TTC7B', 'CPB1', 'MEX3A', 'ANKS1B', 'FAXC', 'WNK2', 'CD37', 'SPON1', 'KCNK17', 'SLC12A5', 'ATP6V0E2', 'PLCXD3', 'SMOC1', 'FMN2', 'CEND1', 'MLN', 'SYN1', 'SCARA3', 'SMTNL2', 'MX1', 'SLC35F3', 'TUBA1A', 'HOOK3', 'LRRC36', 'CACNB4', 'PNMAL1', 'DLL1', 'HNF1A-AS1', 'CAMK1', 'STMN4', 'CLSPN', 'FAM171B', 'IFIT1', 'USP32P2', 'ADAMTSL1', 'CHRM4', 'EFCC1', 'E02193', 'KRTAP5-2', 'SPDYE1', 'ST8SIA3', 'GYLTL1B', 'PEX5L', 'VWCE', 'LRFN2', 'SRRM4', 'UNC79', 'ELOVL4', 'GADD45G', 'CCDC150', 'LONRF2', 'MEP1B', 'KIAA0845', 'PALMD', 'F10', 'SYT2', 'HERC5', 'CGREF1', 'RFTN2', 'AK025975', 'LIPC', 'LINC00514', 'KCNAB2', 'AK027332', 'AX747264', 'AK126532']
5	['TSPAN11', 'SNAP25', 'E2F7', 'KIAA2022', 'TET1', 'SCGB1C1', 'HES6', 'RASD1', 'GABRE', 'PHGR1', 'TMOD1', 'CNIH2', 'FCGBP', 'IL17C', 'ITGBL1', 'KCNIP3', 'KCNH8', 'CYP4F24P', 'RUNX1T1', 'NINJ1', 'CNGA3', 'DDC', 'HERC2P4', 'LOC653513', 'DSCAML1', 'BAIAP3', 'TEKT2', 'CCDC28B', 'MAP2', 'MFAP2', 'BRSK2', 'PLCL1', 'TMSB15B', 'DPYSL4', 'PSD', 'CDHR3', 'TUBB4A', 'RAPGEF4', 'AX746734', 'LIN7A', 'AK026379', 'G0S2', 'CNTD2', 'LGI3', 'GPR173', 'TMEM190', 'SPDYA', 'AK091996', 'RUNDC3A', 'JPH4', 'MUC2', 'CECR6', 'SIM1', 'SLC22A17', 'MINOS1-NBL1', 'PPP4R4', 'GPR116', 'CR627394', 'FLJ35282', 'C15orf61', 'KIAA0931', 'LOC388849', 'LOC100507351', 'AX747619', 'AF116693', 'GPR123', 'AX746867', 'FOXD4L2']
6	['LMX1A', 'CRYBA2', 'CELF3', 'KIF1A', 'VASH2', 'YPEL1', 'TMEM151A', 'RUSC1-AS1', 'BRSK1', 'AKT3', 'MPP2', 'MAFA', 'SSTR5', 'ARHGAP9', 'KCNK3', 'PBX3', 'PAX4', 'LINC00894', 'LZTS1', 'CACNA1H', 'PDZRN3', 'CACNA1C', 'ZBTB25', 'LINC00643', 'RNPC3', 'SIDT1', 'CAMKV', 'GDF10', 'DLL4', 'ILDR2', 'PKHD1L1', 'MAP9', 'EPHB3', 'SFMBT2', 'ZNF883', 'BOC', 'CERKL', 'NDRG4', 'CACNA1G', 'DOCK4', 'CADPS', 'STK31', 'ICA1L', 'FLT1', 'SPARC', 'LRIG1', 'SLC30A4', 'HMGB3', 'RAB3C', 'ANKRD36C', 'HSPA2', 'SFTPA2', 'CITED4', 'STMND1', 'CATSPERB', 'SEMA6B', 'TUBA3FP', 'SLC25A34', 'SPAG8', 'CACNG6', 'MCOLN3', 'YPEL4', 'CBX2', 'FAM131B', 'SLC38A5', 'ZCCHC18', 'WWC2-AS2', 'GNG4', 'BCL2', 'KIAA1328', 'BCAT1', 'TMPRSS6', 'KIAA1549', 'FIGNL2', 'SST', 'FAM71E2', 'GRASP', 'TUBB2B', 'CRIP2', 'UTY', 'ZNF117', 'RAB4B-EGLN2', 'NTRK1', 'RNF213', 'ADCY1', 'ATP6V1G2', 'PRKXP1', 'H1FX-AS1', 'TMPRSS11E', 'MAGED4', 'AGAP11', 'C6orf201', 'NPY', 'PCDHA2', 'CCDC39', 'C11orf92', 'CYMP', 'HSPA6', 'UBE2Q2P1', 'DKFZp434A128', 'FER1L4', 'AK310876', 'BC042374', 'CYSLTR2', 'CORO2B', 'LOC100272216', 'FW340024', 'PLCE1-AS1', 'AX746605']
7	['AB074188', 'SVOP', 'TMEM61', 'KCNJ6', 'ACOT7', 'C21orf58', 'MYT1', 'TMEM200A', 'HLA-DQA2', 'GNG2', 'MIR7-3HG', 'KLHL32', 'MARCH4', 'CLEC4G', 'EVL', 'SLC8A1', 'TMEM132B', 'PGM5', 'TUB', 'AK094786', 'CSH1', 'GCH1', 'CADM2', 'ZNF382', 'AK5', 'SCGB1A1', 'SGCD', 'RAP1GAP2', 'TSPAN7', 'LINC00617', 'IFI6', 'ZNF492', 'C7', 'PPP1R16B', 'CYP27A1', 'FLJ22184', 'MAPK10', 'AK024119', 'FAM181B', 'SETBP1', 'PCSK1N', 'CXXC4', 'USP41', 'AF131837', 'PLEKHO1', 'COL14A1', 'DPP10', 'AK055386', 'CD200', 'AK056490', 'CSRNP3', 'LOC728392', 'MX2', 'LOC283731', 'UBE2QL1', 'LTF', 'AX747516', 'CPE', 'ARHGAP24', 'LOC646903', 'CRISPLD1', 'HLF', 'BEX1', 'HECW2', 'GLYATL3', 'LOC100506123', 'ALAS2', 'NR2F2-AS1', 'TDO2', 'ABLIM2', 'AK022997', 'UCHL1', 'NAIP', 'FFAR2', 'AK123868', 'GCK', 'CNR1', 'KCNN3', 'TUBB3', 'BRS3', 'ZG16', 'LINC00907', 'EDIL3', 'ADD2', 'PRPH', 'AK128153', 'SMA', 'KAL1', 'IL11', 'AF258560', 'TTC18', 'BC033961', 'AX746485', 'BC042451', 'GFRA3', 'NPAS3', 'DUSP26', 'CCDC162P', 'DIRAS1', 'KCNMB2-IT1', 'AK054990', 'AX747090', 'AK056486', 'FLJ31662', 'C10orf82', 'GRAMD2', 'BST2', 'PRRT2', 'LGR6', 'C6orf185', 'GPR133', 'IFI44L', 'IFI27', 'AK311213', 'ACBD7', 'AK092380', 'TRAM1L1', 'AL832212', 'NAT8L', 'AK127443', 'AL109792', 'EPHA8', 'LOC100506585', 'CACNA1B', 'NOV', 'BC150585', 'IFI44', 'FHL1', 'MAPK8IP2', 'CERS6-AS1', 'RNF157', 'FAM21B', 'AK027252', 'ADAM20P1', 'SUMO1P3', 'GDAP1L1', 'FAM95B1', 'GUSBP3', 'Hfb1', 'TNP1', 'AK025511', 'GRIK3', 'NXF2', 'GUCY1A3', 'ATCAY', 'KCNA6', 'TUBB2C', 'AK095045', 'C19orf70', 'RIC3', 'ZRSR1', 'GPR119', 'BC073817', 'IPO11-LRRC70', 'HERV-Fb1', 'AK024248', 'AK128656', 'AK126286', 'AK128563', 'AX746764']
8	['DACH1', 'ATOH8', 'NAT14', 'PTPRN2', 'STARD9', 'ARNT2', 'TAF9B', 'SEPT5-GP1BB', 'ADM5', 'SSTR3', 'CELSR3', 'SPTBN4', 'MCF2L', 'SRSF12', 'SV2A', 'C7orf41', 'CDKN1C', 'NOXO1', 'DQ583756', 'TMEM151B', 'AX747158', 'HEY1', 'DNAH11', 'GABRB3', 'PPP1R3C', 'LINC00340', 'UCKL1-AS1', 'HEYL', 'LRP4-AS1', 'AX746775', 'MTUS2', 'MUC5AC', 'ZSCAN12P1', 'NUTM1', 'SPRED3', 'MUC5B', 'SPEG', 'ROS1', 'AEBP1', 'CHRNB2', 'UPK2', 'AK126318', 'LOC283335', 'AX746826', 'ITPR1', 'C1orf168', 'TTLL7', 'LOC729683', 'KIAA1817', 'CR627225', 'CNTN3', 'ANP32A-IT1', 'AK057681', 'MIR29C', 'SLC25A53', 'CPNE9', 'BC040563', 'AX747755', 'BX537634', 'LOC151009', 'RGAG4', 'AK057596', 'FW340027', 'TCP11X2', 'AK128400', 'AFF2', 'MURC', 'FAM226B', 'PGM5P2', 'CARTPT', 'BC043205', 'BC131755', 'DQ588732', 'C19orf26', 'AX746823', 'HV535469', 'WISP1', 'LOC100132215', 'IFNE', 'LINC00842', 'AX747175', 'MIR4697HG', 'AK126180', 'AK094156', 'DQ573539', 'BC040358', 'C1orf110', 'AB007962', 'C14orf105']
9	['PCSK1', 'ISLR2', 'HMP19', 'TAGLN3', 'ENPP2', 'KCNH6', 'SOX4', 'ABCC8', 'SLC18A1', 'NFAT5', 'CDH22', 'NPW', 'KCNMA1', 'CCDC17', 'LOC389332', 'SHF', 'COL1A2', 'CACNG7', 'LRRTM3', 'DHRS2', 'ADCY2', 'TFF2', 'TMEM189-UBE2V1', 'ADAM12', 'SCT', 'GTF2IRD1P1', 'PGA5', 'ZDHHC8P1', 'FRMPD4', 'JAKMIP1', 'NEUROD2', 'EIF4EBP1', 'SERPINI1', 'TMEM198', 'RBP1', 'SCN1B', 'RET', 'KCNMB2', 'PDE8B', 'REEP2', 'UCP2', 'DNLZ', 'ZFP69B', 'CACNA1A', 'RPRML', 'PTGDR2', 'CCDC86', 'C9orf16', 'MSH5', 'PPP1R1A', 'TRPC7', 'PAPPA2', 'SUSD4', 'AVPR1B', 'CHL1', 'TPH1', 'IGSF21', 'SULT1A4', 'STRC', 'CTSL2', 'NXPE1', 'TMEM196', 'PRKCH', 'LOC149134', 'RTN1', 'SULT2A1', 'NEFM', 'SH2D3C', 'GALNT16', 'CCDC146', 'AK125437', 'EPHA4', 'COLQ', 'CSH2', 'RGS4', 'FAM179A', 'LRRC10B', 'FAT3', 'LINC00494', 'MRPL34', 'NTS', 'GPC6', 'GJD2', 'IQCA1', 'SLC14A2', 'GDF1', 'LYPD8', 'FSTL5', 'FAM153A', 'CRH', 'LOC399715', 'PDGFD', 'SEZ6L', 'USH2A', 'KCNJ2', 'SRCIN1', 'FFAR1', 'APOA1', 'S100A1', 'LPPR5', 'BEGAIN', 'TMEM145', 'LOC100131257', 'KIF5A', 'DLL3', 'TMEM59L', 'CRISP3', 'RPS6KL1', 'CES1', 'GAST', 'LINGO1', 'SMA5', 'LY6H', 'PRR7', 'DKFZp779K0112', 'FAM57B', 'IGF2', 'OR51E2', 'AK129879', 'MARCH1']
