	genes
RFX6	0
NEUROD1	1
ASCL1	2
SV2B	2
CHGA	3
SCG2	4
NEUROG3	1
DNAJC12	2
GNAO1	2
SCG3	2
TSPAN11	5
LMX1A	6
AB074188	7
DACH1	8
CHGB	4
CRYBA2	6
PCSK1	9
SNAP25	5
ST18	10
MAPK8IP1	11
ETV1	1
ISLR2	9
FEV	1
HMP19	9
CCND2	4
AMPD3	0
C1QL1	10
KLK12	0
SH3RF3	2
SPINK4	0
SUSD2	0
C14orf132	4
CACNA2D1	2
RGS9	2
STMN3	11
CELF3	6
ARX	4
KIF1A	6
SVOP	7
ATOH8	8
E2F7	5
BLMH	11
CIT	0
TAGLN3	9
USP13	1
SMAD9	4
PNPO	0
CABP7	4
CHRNA1	0
TMEM61	7
ENPP2	9
HEPACAM2	2
KCNJ6	7
JAM3	1
KCNH6	9
KCNK16	4
MIAT	1
DOK6	11
CCDC113	4
AMER3	11
HHEX	3
ACOT7	7
CHST9	10
PYY	11
ASXL3	2
OR51E1	2
TOX	1
SOX4	9
PTCH1	11
ZNF846	11
NAT14	8
AGT	11
CLPS	0
SLC6A17	1
VASH2	6
YPEL1	6
ABCC8	9
BAALC	2
ID4	2
NR4A3	11
NUP210	11
TMEM151A	6
VSTM2L	0
C21orf58	7
ACSS3	3
SLC18A1	9
BTBD17	0
TFCP2L1	3
PTPRN2	8
TP73	0
PTPRN	2
C22orf42	4
HES4	1
TMEM158	0
KIAA2022	5
CFC1B	4
TET1	5
RUSC1-AS1	6
PGA4	2
STARD9	8
ISL1	2
MAPK4	10
MYT1	7
OGFRL1	11
SCN2A	1
PELI3	1
TMEM200A	7
CDRT4	0
ARNT2	8
SDK1	1
INSC	3
BRSK1	6
GHRL	0
HLA-DQA2	7
NOVA2	11
GIP	2
LMX1B	4
COL22A1	10
STX2	0
NFAT5	9
DNAJB13	2
HOPX	0
SCGB1C1	5
ADAMTSL2	2
AKR1B1	4
CDH22	9
HES6	5
KIF19	0
AKT3	6
MPP2	6
PTP4A3	10
RASD1	5
CDK5R2	10
GNG2	7
GSTM2	4
MIR7-3HG	7
RIIAD1	2
NPW	9
TAF9B	8
KLHL32	7
MARCH4	7
ASCL2	2
PLEKHB1	4
IGSF10	4
FOXP2	2
CLEC4G	7
PCSK2	2
MAP6	2
NOL4	2
MAFA	6
SEPT5-GP1BB	8
DKK3	4
GABRE	5
KIAA1324	2
EBF3	1
SSTR5	6
ARHGAP9	6
GOLGA6L5	1
MIR137HG	2
GATA2	0
STX1A	2
IGFN1	0
KCNK3	6
LRRN2	10
PCBP4	3
SPON2	0
STXBP1	11
ACTL6B	4
C1orf127	0
EVL	7
KCNMA1	9
KCTD12	4
PROX1	3
SEZ6	4
SLC8A1	7
SSTR2	2
TMEM132B	7
PHGR1	5
GDAP1	0
HCN4	1
KCNH2	3
KCNH3	1
C4orf48	2
DCHS1	0
KCNB2	2
KCNF1	0
ADM5	8
SAMD11	2
PGM5	7
TUB	7
CHST8	1
PRR5-ARHGAP8	0
PBX3	6
FTCD	2
RCOR2	1
ZNF519	10
DKFZp686M11215	3
CCDC14	0
AK094786	7
CCDC17	9
THRA1	4
CSH1	7
LOC389332	9
CELA3A	0
QDPR	10
SLC7A2	1
UTS2B	1
SHF	9
ABCC9	3
EXOSC4	11
SPDYE7P	0
PAX4	6
GCH1	7
LINC00894	6
COL16A1	4
SSTR3	8
TMOD1	5
CELSR3	8
GPR148	11
LZTS1	6
RIMBP2	2
SPTBN4	8
TMEFF2	4
ANK2	0
EML1	0
GRIK5	10
MAP3K12	1
RNF150	2
SYT5	3
VGF	11
COL1A2	9
CHRNA5	11
SPC25	0
CACNG7	9
PDE6B	10
CNIH2	5
PAX6	0
CDH5	0
FCGBP	5
RPS15AP10	11
STXBP5L	10
CACNA1E	2
CACNA1H	6
GLT8D2	0
MCF2L	8
MEX3B	2
RAB26	2
SLC1A2	0
CADM2	7
LRRTM3	9
SCGN	11
ST8SIA5	2
DHRS2	9
LTBP2	2
SPIB	1
IL17C	5
FAM101B	4
FXYD6	2
CENPE	0
FAM227A	0
USH1G	1
LEFTY1	2
ADCY2	9
TFF2	9
CELA3B	0
PDZRN3	6
LIMCH1	2
CACNA1C	6
ZNF382	7
TMEM189-UBE2V1	9
LOC646214	3
SPDYE5	0
ZBTB25	6
ANKRD65	11
AK5	7
CAMK2B	4
DOCK8	4
SEC11C	1
ADAM12	9
ITGBL1	5
SIX2	2
SLITRK6	1
SBK1	2
HCP5	1
FJX1	2
ADH6	4
MMD2	4
SCGB1A1	7
ROBO1	4
TTR	2
SGCD	7
RGS11	4
FUT1	2
RAP1GAP2	7
MAFB	0
TSPAN7	7
KCNIP3	5
FAIM2	0
LINC00643	6
CCDC88A	2
MLLT11	2
LINC00893	0
C10orf10	3
SCT	9
GTF2IRD1P1	9
KCNH8	5
MALAT1	1
RNPC3	6
SSPO	4
ABCA9	0
AP3B2	3
INSRR	3
OLFML2B	0
PGA5	9
SRSF12	8
ZDHHC8P1	9
NHLH1	11
SIDT1	6
FGF14	1
FRMPD4	9
MMRN1	1
SCG5	4
FABP5	4
JAKMIP1	9
CAMKV	6
CYP4F24P	5
LINC00617	7
SV2A	8
MYBPC3	11
FOXJ1	0
FAM13A-AS1	0
RUNX1T1	5
AMBP	0
NEUROD2	9
ENTPD1	4
GDF10	6
AK125301	1
NINJ1	5
RPL36A-HNRNPH2	0
GPR137C	3
CELSR2	4
WNK3	0
OLFML3	2
EIF4EBP1	9
WSB1	1
DLL4	6
PDE2A	1
SERPINI1	9
ACSL6	0
CNGA3	5
ILDR2	6
NKD1	10
TPPP3	3
FCAMR	1
PKHD1L1	6
CERS1	0
GRIN1	11
PPM1E	3
BTBD11	2
IFI6	7
TMEM198	9
ZNF492	7
C7	7
DDC	5
LRP1B	1
MAP9	6
JMJD1C-AS1	2
MUC16	0
RTN4RL1	2
CCNA1	3
EPHB3	6
RBP1	9
ONECUT1	0
SFMBT2	6
NPTX2	3
SCN1B	9
CTPS1	11
HERC2P4	5
C7orf41	8
RET	9
SYP	10
PPP1R16B	7
FAM126A	2
KCNMB2	9
LINC00261	11
PDE8B	9
REEP2	9
SYT14	1
CYP27A1	7
ZNF883	6
BOC	6
CERKL	6
FLJ22184	7
MAP1B	1
NEGR1	4
CDKN1C	8
CPT1C	0
CNTNAP4	0
LINC00939	1
CCDC85B	1
CNGA4	11
SLC6A16	2
GABRP	1
DNAH14	1
KCNE4	2
PMP22	0
UCP2	9
DNLZ	9
MAPK10	7
POU5F1	4
GPBAR1	2
LOC653513	5
NOXO1	8
abParts	0
ZFP69B	9
TMEM178B	11
PNISR	0
NHSL2	1
HIC1	3
GPR162	2
DSCAML1	5
CACNA1A	9
NCAM1	3
RPRML	9
SCN3B	4
BAIAP3	5
DDN	0
LRRC49	11
MAPK12	11
NACAD	1
NDRG4	6
TEKT2	5
KIRREL3	4
MAD2L2	11
PTGDR2	9
AK024119	7
CCDC28B	5
CCDC86	9
RGS5	0
NALCN	4
SH3TC2	11
FAM181B	7
UNC80	1
DTX3	2
SLC30A8	4
DEFB1	0
IMPG1	1
C9orf16	9
CACNA1G	6
DOCK4	6
GPRIN3	4
ITGA7	4
PLGLB2	0
BC029255	3
FDPSP2	1
ATP13A4	1
CACNG4	2
BCRP3	0
GAP43	4
NTRK2	4
KTN1-AS1	10
BSN	1
CTXN1	1
ELFN1	2
MAP2	5
NFASC	2
SFRP1	0
SPOCK3	2
SPP1	11
