	genes
CYP27A1	4
ZNF883	2
BOC	3
CERKL	4
FLJ22184	0
MAP1B	0
NEGR1	3
CDKN1C	2
CPT1C	3
CNTNAP4	3
LINC00939	7
CCDC85B	7
CNGA4	3
SLC6A16	4
GABRP	2
DNAH14	3
KCNE4	1
PMP22	1
UCP2	2
DNLZ	2
MAPK10	5
POU5F1	5
GPBAR1	3
LOC653513	3
NOXO1	5
abParts	7
ZFP69B	2
TMEM178B	1
PNISR	7
NHSL2	6
HIC1	0
GPR162	5
DSCAML1	1
CACNA1A	3
NCAM1	3
RPRML	1
SCN3B	0
BAIAP3	2
DDN	0
LRRC49	0
MAPK12	0
NACAD	3
NDRG4	3
TEKT2	2
KIRREL3	3
MAD2L2	2
PTGDR2	0
AK024119	4
CCDC28B	1
CCDC86	0
RGS5	2
NALCN	5
SH3TC2	2
FAM181B	3
UNC80	6
DTX3	7
SLC30A8	3
DEFB1	2
IMPG1	1
BMS1P1	5
C9orf16	1
CACNA1G	3
DOCK4	6
GPRIN3	5
ITGA7	6
PLGLB2	5
BC029255	5
FDPSP2	5
ATP13A4	3
CACNG4	0
SEPT3	4
BCRP3	2
GAP43	3
NTRK2	2
KTN1-AS1	6
BSN	2
CTXN1	0
ELFN1	7
MAP2	4
NFASC	5
SFRP1	2
SPOCK3	3
SPP1	5
ST6GALNAC5	3
UCN3	3
ZDHHC11	3
CYP27C1	3
SETBP1	6
ANGPT2	6
GSTA2	2
MFAP2	7
PCSK1N	3
DQ583756	5
CXXC4	1
MSH5	4
DNAPTP1	5
KHK	3
FXYD1	3
PTPN22	3
TMEM151B	2
BRSK2	0
ACTN3	2
CFH	5
ANKRD13B	1
CADPS	1
GOLGA7B	5
DENND2A	0
PLXNC1	0
PLCL1	2
PPP1R1A	1
USP41	3
AF131837	3
SOCS1	2
SYNGR3	1
ERO1LB	3
CRMP1	6
TRPC7	1
ANKFN1	2
STK31	6
ABCC4	5
PAPPA2	3
SAMD14	2
PPP1R14A	3
AX748371	5
KCNH7	2
MMP11	0
SUSD4	0
NAALADL1	1
PLEKHO1	5
AX747158	0
GRB14	2
TCTEX1D4	4
ICA1L	3
SLC7A4	2
HEY1	7
DNAH11	7
BX647938	7
KRT4	2
UNC13A	4
FLT1	1
WIF1	1
AVPR1B	0
CHL1	0
GABRB3	3
SMOC2	3
