	genes
0	['RFX6', 'TSPAN11', 'FEV', 'CCND2', 'AMPD3', 'STMN3', 'CELF3', 'KIF1A', 'TAGLN3', 'SMAD9', 'KCNH6', 'KCNK16', 'CCDC113', 'AMER3', 'OR51E1', 'NAT14', 'SLC6A17', 'ABCC8', 'NR4A3', 'NUP210', 'ACSS3', 'SLC18A1', 'BTBD17', 'PTPRN2', 'TP73', 'TMEM158', 'RUSC1-AS1', 'ARNT2', 'SDK1', 'GHRL', 'NOVA2', 'GIP', 'COL22A1', 'SCGB1C1', 'AKT3', 'RASD1', 'CDK5R2', 'MIR7-3HG', 'KIAA1324', 'EBF3', 'SSTR5', 'C1orf127', 'EVL', 'KCTD12', 'SEZ6', 'KCNH3', 'DCHS1', 'SAMD11', 'TUB', 'RCOR2', 'EXOSC4', 'COL16A1', 'GPR148', 'SPTBN4', 'MAP3K12', 'VGF', 'CACNG7', 'PAX6', 'CACNA1H', 'CADM2', 'LRRTM3', 'DHRS2', 'SPIB', 'PDZRN3', 'ZBTB25', 'ANKRD65', 'CAMK2B', 'SEC11C', 'ADAM12', 'MMD2', 'LINC00643', 'MLLT11', 'SCT', 'INSRR', 'SRSF12', 'SIDT1', 'FGF14', 'CAMKV', 'MYBPC3', 'WSB1', 'CNGA3', 'TPPP3', 'CERS1', 'GRIN1', 'BTBD11', 'TMEM198', 'MAP9', 'RTN4RL1', 'NPTX2', 'RET', 'SYT14', 'FLJ22184', 'MAP1B', 'HIC1', 'SCN3B', 'DDN', 'LRRC49', 'MAPK12', 'PTGDR2', 'CCDC86', 'CACNG4', 'CTXN1', 'BRSK2', 'DENND2A', 'PLXNC1', 'MMP11', 'SUSD4', 'AX747158', 'AVPR1B', 'CHL1', 'CD96', 'TPST2', 'CLDN6', 'DTX1', 'TMEM169', 'C9orf66', 'CAND2', 'SULT1A4', 'MUC17', 'TAC3', 'TTC7B', 'DPYSL4', 'HMGB3', 'CCDC74B', 'LRP4-AS1', 'PRKCH', 'PSD', 'AIF1', 'CITED4', 'WNK2', 'STMND1', 'ARHGAP33', 'TNFRSF6B', 'PITRM1-AS1', 'RTN1', 'LPPR3', 'ZNF853', 'SH2D3C', 'LOC646903', 'SORCS2', 'CLIP3', 'SLC12A5', 'APLP1', 'C5orf49', 'VAV3', 'CELF5', 'CBFA2T3', 'CCDC40', 'YPEL4', 'CBX2', 'MAST1', 'FAM92B', 'UGDH-AS1', 'UPK2', 'DKFZp434C0631', 'HOOK3', 'KCNG1', 'NAIP', 'WWC2-AS2', 'GNG4', 'B3GAT1', 'SAP30', 'CADM3', 'TMPRSS6', 'STMN4', 'LRFN1', 'CNR1', 'KNDC1', 'RASAL1', 'PDZD4', 'TUBB3', 'IFIT1', 'IQCA1', 'ATP1A3', 'KIAA1817', 'C3orf80', 'OSBPL6', 'QSOX2', 'MBOAT4', 'RSAD2', 'LIMS2', 'LGI3', 'CPA1', 'NTNG2', 'CRIP2', 'KRTAP5-2', 'LAPTM5', 'ZNF117', 'ST8SIA3', 'NCALD', 'NRXN2', 'SLC25A53', 'GPR173', 'PRRT3', 'CRLF1', 'BEND5', 'PRKCG', 'SRCIN1', 'VWCE', 'JPH4', 'JMJD7-PLA2G4B', 'NCS1', 'MUC2', 'EPM2A', 'AX747755', 'GADD45G', 'UNQ2560', 'S100A1', 'MINOS1-NBL1', 'BEGAIN', 'TMEM145', 'CACNB2', 'HSPB7', 'TCP11X2', 'AK311213', 'CNPY1', 'NPY', 'PMFBP1', 'GRIN2C', 'CYMP', 'RNF157', 'AK128593', 'STARD8', 'FBN1', 'FAM57B', 'TUBB2C', 'C19orf70', 'ZRSR1', 'FAM157A', 'AK127339', 'CR933660', 'ITGA4', 'FW340024', 'RAD51L3-RFFL', 'TACR3', 'LOC100271836', 'AF289551', 'AX746867']
1	['NEUROD1', 'SCG2', 'NEUROG3', 'DNAJC12', 'GNAO1', 'ETV1', 'ISLR2', 'C1QL1', 'SH3RF3', 'SPINK4', 'SUSD2', 'C14orf132', 'CACNA2D1', 'TMEM8C', 'CABP7', 'CHRNA1', 'HEPACAM2', 'KCNJ6', 'ASXL3', 'TOX', 'SOX4', 'CLPS', 'VASH2', 'YPEL1', 'C22orf42', 'CFC1B', 'PGA4', 'STARD9', 'MAPK4', 'SCN2A', 'AKR1B1', 'HES6', 'KIF19', 'MPP2', 'PTP4A3', 'PLEKHB1', 'PCSK2', 'MAP6', 'DKK3', 'ARHGAP9', 'IGFN1', 'KCNK3', 'LRRN2', 'SPON2', 'STXBP1', 'ACTL6B', 'SLC8A1', 'SSTR2', 'PHGR1', 'KCNH2', 'KCNB2', 'KCNF1', 'CELA3A', 'SHF', 'SSTR3', 'LZTS1', 'PDE6B', 'CDH5', 'RPS15AP10', 'GLT8D2', 'MCF2L', 'MEX3B', 'RAB26', 'SLC1A2', 'LIMCH1', 'FUT1', 'RAP1GAP2', 'C10orf10', 'OLFML2B', 'PGA5', 'NEUROD2', 'NINJ1', 'DLL4', 'SERPINI1', 'ACSL6', 'NKD1', 'LRP1B', 'RBP1', 'SFMBT2', 'PPP1R16B', 'FAM126A', 'LINC00261', 'KCNE4', 'PMP22', 'TMEM178B', 'DSCAML1', 'RPRML', 'CCDC28B', 'IMPG1', 'C9orf16', 'CXXC4', 'ANKRD13B', 'CADPS', 'PPP1R1A', 'SYNGR3', 'TRPC7', 'NAALADL1', 'FLT1', 'WIF1', 'PRELP', 'NOTUM', 'ITPRIP', 'KLB', 'PPP1R3C', 'MDK', 'CHRNB4', 'SDK2', 'GPR142', 'SPARC', 'MAP1A', 'MSMB', 'NEK10', 'RD3', 'GPC2', 'CD99L2', 'PLCG2', 'C6orf226', 'HSPA2', 'SFTPA2', 'P2RX6', 'WSCD1', 'CABP4', 'CRISPLD2', 'GDF11', 'VWA5B2', 'GGT5', 'FAM171A2', 'CLCNKA', 'LIMD2', 'ZCCHC12', 'SEMA6B', 'CCL19', 'NKAIN1', 'SMOC1', 'TUBA3FP', 'ATP8B2', 'CHST10', 'SLC25A34', 'FUT7', 'NEURL', 'RGS4', 'PRICKLE2', 'FAM131B', 'SCHIP1', 'ZCCHC18', 'MMP2', 'SRM', 'TMEM35', 'BHMT', 'LINC00494', 'WNT9A', 'MDN1', 'GPC6', 'LOC145837', 'PGA3', 'FIGNL2', 'SST', 'AMPH', 'PCDHB16', 'FAM65C', 'DPYSL3', 'MED12L', 'NTRK1', 'SCUBE1', 'MATN2', 'TMEM132C', 'MMP13', 'SLC26A7', 'JAKMIP2', 'L1TD1', 'TENM2', 'USH2A', 'RGAG4', 'CIB4', 'ELAVL3', 'UNC93A', 'APOA4', 'C10orf35', 'NAV3', 'NPTX1', 'TRO', 'BC107568', 'LOC100188947', 'KCNAB2', 'SERF2-C15ORF63', 'CORO2B']
2	['ASCL1', 'PCSK1', 'MAPK8IP1', 'KLK12', 'RGS9', 'E2F7', 'BLMH', 'CIT', 'PNPO', 'TMEM61', 'ENPP2', 'MIAT', 'ACOT7', 'TMEM151A', 'C21orf58', 'TFCP2L1', 'ISL1', 'OGFRL1', 'PELI3', 'ADAMTSL2', 'GNG2', 'GSTM2', 'NPW', 'TAF9B', 'KLHL32', 'ASCL2', 'MAFA', 'PCBP4', 'GDAP1', 'C4orf48', 'CHST8', 'PBX3', 'QDPR', 'PAX4', 'GCH1', 'RIMBP2', 'EML1', 'SYT5', 'CHRNA5', 'SPC25', 'CNIH2', 'LTBP2', 'FXYD6', 'LEFTY1', 'SPDYE5', 'AK5', 'ITGBL1', 'SBK1', 'ADH6', 'SGCD', 'TSPAN7', 'FAIM2', 'CCDC88A', 'LINC00893', 'NHLH1', 'FABP5', 'FOXJ1', 'CELSR2', 'OLFML3', 'EIF4EBP1', 'PKHD1L1', 'PPM1E', 'IFI6', 'C7', 'DDC', 'EPHB3', 'SCN1B', 'CTPS1', 'C7orf41', 'REEP2', 'ZNF883', 'CDKN1C', 'GABRP', 'UCP2', 'DNLZ', 'ZFP69B', 'BAIAP3', 'TEKT2', 'MAD2L2', 'RGS5', 'SH3TC2', 'DEFB1', 'BCRP3', 'NTRK2', 'BSN', 'SFRP1', 'GSTA2', 'TMEM151B', 'ACTN3', 'PLCL1', 'SOCS1', 'ANKFN1', 'SAMD14', 'KCNH7', 'GRB14', 'SLC7A4', 'KRT4', 'NKTR', 'MSI1', 'NPM2', 'PLAC4', 'ECE2', 'CSF1R', 'KCNJ11', 'NREP', 'LRIG1', 'STARD4-AS1', 'LSP1', 'SLC38A3', 'CELF4', 'ANKRD45', 'STRC', 'GAL', 'SYNM', 'CD200', 'SSTR1', 'ASIC1', 'DZIP1', 'MEX3A', 'ANKRD36C', 'CD70', 'LOC400891', 'CSRNP3', 'MX2', 'FAM155B', 'C2CD4A', 'TMEM212', 'RTEL1', 'WDR17', 'SPON1', 'RAB36', 'ARHGAP24', 'NPSR1-AS1', 'MTUS2', 'DPY19L2', 'TUBB4A', 'DPF3', 'TMOD2', 'RGS14', 'MTSS1', 'ATP6V0E2', 'GOLGA8B', 'FZD4', 'FBXL16', 'SMKR1', 'PCYT1B', 'EPHA4', 'PCED1B-AS1', 'PODXL2', 'TRPM2', 'SPEG', 'THBS4', 'MLN', 'SAMD5', 'ANXA6', 'SCARA3', 'SMTNL2', 'CHRNB2', 'TPGS1', 'PAK6', 'TMEM45A', 'C3orf18', 'SHC3', 'MANEAL', 'LRRC10B', 'TUBA1A', 'NPTXR', 'AK126318', 'ABLIM2', 'RASL11B', 'FFAR2', 'HSPA12A', 'RGS16', 'WHAMMP1', 'CACNB4', 'HNRPF', 'TTBK1', 'COL12A1', 'DLL1', 'FKBP7', 'JA760600', 'TTLL7', 'CACNA2D2', 'CEP290', 'CAMK1', 'FSD1', 'SH3RF3-AS1', 'LRP3', 'PLTP', 'RNF157-AS1', 'ARL9', 'FAM110B', 'TTLL10', 'ADAMTSL1', 'CHRM4', 'G0S2', 'TNFSF14', 'SLC22A13', 'POM121L9P', 'RAB4B-EGLN2', 'TTC18', 'FAM167A', 'BC068238', 'RNF213', 'HGFAC', 'CRH', 'GPR155', 'KIAA0922', 'PARD6A', 'KCNJ2', 'PRKXP1', 'HMBOX1', 'H1FX-AS1', 'LRFN2', 'APOA1', 'EDAR', 'LONRF2', 'DNER', 'SLC22A17', 'UBE2S', 'LINC00930', 'PRRT2', 'BGN', 'LGR6', 'KIAA0845', 'LOC440434', 'DQ600483', 'MAGED4', 'ADCY5', 'IGSF9B', 'PHYHIP', 'PPP4R4', 'AK122764', 'LAMP3', 'TSNAX-DISC1', 'ACBD7', 'MIPOL1', 'PGM5P2', 'DUSP2', 'ASIC4', 'APBB1', 'NNMT', 'AHNAK', 'BC150585', 'C11orf92', 'HV535469', 'LSAMP', 'PRR7', 'TDRD6', 'DKFZp779K0112', 'LIPC', 'AX746995', 'BC090058', 'AF116693', 'ANKRD36', 'LOC90834', 'AB007962', 'AK309215', 'AX746764', 'LOC100505716', 'HV535487', 'LOC728407']
3	['SV2B', 'CHGA', 'SCG3', 'LMX1A', 'AB074188', 'SNAP25', 'ARX', 'SVOP', 'USP13', 'GAD2', 'JAM3', 'DOK6', 'CHST9', 'PYY', 'AGT', 'BAALC', 'ID4', 'VSTM2L', 'PTPRN', 'KIAA2022', 'TMEM200A', 'CDRT4', 'INSC', 'HLA-DQA2', 'GPC5-AS1', 'DNAJB13', 'HOPX', 'IGSF10', 'CLEC4G', 'GABRE', 'MIR137HG', 'GATA2', 'STX1A', 'KCNMA1', 'TMEM132B', 'FTCD', 'AL831889', 'AK094786', 'TMOD1', 'TMEFF2', 'ANK2', 'GRIK5', 'COL1A2', 'FCGBP', 'STXBP5L', 'CACNA1E', 'SCGN', 'FAM101B', 'USH1G', 'TFF2', 'CACNA1C', 'SIX2', 'SLITRK6', 'HCP5', 'ROBO1', 'RGS11', 'MAFB', 'KCNIP3', 'SSPO', 'ZDHHC8P1', 'FRMPD4', 'MMRN1', 'SCG5', 'JAKMIP1', 'CYP4F24P', 'LINC00617', 'FAM13A-AS1', 'RUNX1T1', 'AMBP', 'ENTPD1', 'GPR137C', 'PDE2A', 'FCAMR', 'JMJD1C-AS1', 'CCNA1', 'HERC2P4', 'SYP', 'KCNMB2', 'PDE8B', 'BOC', 'NEGR1', 'CPT1C', 'CNTNAP4', 'CNGA4', 'DNAH14', 'GPBAR1', 'LOC653513', 'CACNA1A', 'NCAM1', 'NACAD', 'NDRG4', 'KIRREL3', 'FAM181B', 'SLC30A8', 'CACNA1G', 'ATP13A4', 'GAP43', 'SPOCK3', 'ST6GALNAC5', 'UCN3', 'ZDHHC11', 'CYP27C1', 'PCSK1N', 'KHK', 'FXYD1', 'PTPN22', 'USP41', 'AF131837', 'ERO1LB', 'PAPPA2', 'PPP1R14A', 'ICA1L', 'GABRB3', 'SMOC2', 'MYO3A', 'REM2', 'COL14A1', 'NKX6-1', 'ZNF518A', 'INSM1', 'MS4A8', 'IGSF21', 'GREB1', 'LRRC16B', 'AK055386', 'APLN', 'RGS17', 'NEFL', 'MPPED1', 'SSTR5-AS1', 'RAB3C', 'MPP1', 'CPB1', 'NXPE1', 'TMEM196', 'SRRM3', 'SLC16A12', 'LOC283731', 'EML5', 'SIRPA', 'UBE2QL1', 'SULT1C2P1', 'CDHR3', 'AX747516', 'VCAN', 'CPE', 'GRAP2', 'KCNK17', 'CLCA4', 'NEFM', 'FAM161A', 'CRISPLD1', 'SNED1', 'CCDC146', 'HLF', 'ZSCAN12P1', 'LINC00890', 'LRRC37A', 'KCNT2', 'PLCXD3', 'RPLP0P2', 'STMN2', 'AK096718', 'BEX1', 'ELAVL4', 'SERPINA10', 'LCP1', 'CACNG6', 'CCDC125', 'AEBP1', 'AX746734', 'COL6A4P2', 'GPR112', 'TAC1', 'CAMK2N2', 'KCNJ3', 'FAM179A', 'LOC283335', 'DPEP1', 'FAT3', 'ENPP7', 'DKFZp686D16130', 'STK33', 'LRRC36', 'NTS', 'BC040894', 'GCK', 'ASRGL1', 'FAM171B', 'CLCA1', 'TTC25', 'ZG16', 'AK311257', 'AK091593', 'USP32P2', 'GRIA2', 'LINC00907', 'BASP1', 'MUC15', 'TRPM3', 'AK092251', 'FFAR3', 'HAP1', 'PRPH', 'SLC14A1', 'FLJ35024', 'C11orf87', 'LOC100216479', 'KAL1', 'UTY', 'KL', 'FSTL5', 'GPR83', 'GFRA3', 'LOC642366', 'GABRG2', 'INS-IGF2', 'DACT1', 'KCNMB3', 'SEZ6L', 'TMEM190', 'DIRAS1', 'KCNMB2-IT1', 'SCUBE3', 'AK125333', 'AK054990', 'UNC79', 'CPNE9', 'MYSM1', 'FFAR1', 'CD300LF', 'LPPR5', 'PAK3', 'KIF5A', 'MEP1B', 'CCDC181', 'KIF5C', 'C12orf68', 'CHD5', 'FGF17', 'PCDH20', 'TRPC6', 'FAM135B', 'PBOV1', 'PALMD', 'RPS6KL1', 'CES1', 'F10', 'EVA1A', 'CALY', 'GAST', 'GPR116', 'LINGO1', 'ACE', 'TRAM1L1', 'GUCY1B3', 'GPRASP2', 'CARTPT', 'GPR64', 'AL109792', 'C1orf95', 'BC020343', 'CACNA1B', 'DQ588732', 'ASIC5', 'SOGA3', 'ZNF514', 'FHL1', 'MAPK8IP2', 'CERS6-AS1', 'HSPA6', 'PCDH17', 'CLEC4GP1', 'GABRA1', 'LY6H', 'LOC100130000', 'ADAMTS2', 'GDAP1L1', 'CYSLTR2', 'LINC00514', 'Hfb1', 'LOC388849', 'GRIK3', 'FLJ00278', 'GUCY1A3', 'ATCAY', 'KCNA6', 'AK095045', 'RIC3', 'GPR119', 'GPR123', 'BC073817', 'LOC100288332', 'AK124197', 'LOC399744', 'TRPA1', 'BC041025', 'AK302511', 'C1orf110', 'RSPH10B2']
4	['DACH1', 'CA8', 'ST18', 'HMP19', 'AK092048', 'NKX2-2', 'MYT1', 'LMX1B', 'MARCH4', 'NOL4', 'SEPT5-GP1BB', 'HCN4', 'SYT4', 'SUCNR1', 'CSH1', 'ST8SIA5', 'IL17C', 'PTCHD2', 'ILDR2', 'CYP27A1', 'CERKL', 'SLC6A16', 'AK024119', 'SEPT3', 'MAP2', 'MSH5', 'TCTEX1D4', 'UNC13A', 'GRHL3', 'TMSB15B', 'SLC30A4', 'DRD2', 'LOC100129175', 'PLEKHH2', 'AF070581', 'LOC728392', 'ARHGEF25', 'FAM105A', 'IGFBPL1', 'PAK7', 'COLQ', 'CSH2', 'RAPGEF4', 'MX1', 'ALAS2', 'TDO2', 'AK022997', 'UCHL1', 'DCX', 'AK123868', 'GJD2', 'ZFR2', 'LOC729683', 'INA', 'TUBB2B', 'AK128153', 'GDF1', 'CYGB', 'ANP32A-IT1', 'BC033961', 'BC042451', 'ADCY1', 'DUSP26', 'TMEFF1', 'PCDHB10', 'XKR7', 'SRRM4', 'AX747090', 'PRR18', 'ELOVL4', 'TMPRSS11E', 'C10orf82', 'GRAMD2', 'SCN3A', 'DLL3', 'C6orf185', 'FAM19A5', 'RAB39B', 'C6orf201', 'LOC441204', 'NAT8L', 'HERC5', 'NOV', 'C1orf173', 'PTHLH', 'CHRNA3', 'FGF9', 'DBC1', 'BC041484', 'NXF2', 'LOC100507351', 'BC073932', 'HRH3', 'PCDHB14', 'ECEL1']
5	['CHGB', 'HHEX', 'ZNF846', 'NFAT5', 'GOLGA6L5', 'ZNF519', 'DKFZp686M11215', 'CCDC14', 'CCDC17', 'BX649158', 'THRA1', 'SLC7A2', 'ABCC9', 'SPDYE7P', 'LINC00894', 'CENPE', 'FAM227A', 'CELA3B', 'ZNF382', 'TMEM189-UBE2V1', 'LOC646214', 'TTR', 'GTF2IRD1P1', 'MALAT1', 'ABCA9', 'AP3B2', 'SV2A', 'GDF10', 'AK125301', 'RPL36A-HNRNPH2', 'ZNF492', 'MAPK10', 'POU5F1', 'NOXO1', 'GPR162', 'NALCN', 'BMS1P1', 'GPRIN3', 'PLGLB2', 'BC029255', 'FDPSP2', 'NFASC', 'SPP1', 'DQ583756', 'DNAPTP1', 'CFH', 'GOLGA7B', 'ABCC4', 'AX748371', 'PLEKHO1', 'CR627206', 'USP6', 'TPH1', 'PGF', 'LINC00340', 'AX747853', 'AADAT', 'LOC100128288', 'AK128619', 'SLC25A27', 'PLAG1', 'LDHD', 'LOC149134', 'LOC284581', 'SULT2A1', 'AX746775', 'hCG_2023280', 'GPM6B', 'CATSPERB', 'CXCL12', 'GALNT16', 'RBP2', 'TSSK4', 'SPAG8', 'CFC1', 'JX088243', 'HECW2', 'SPRED3', 'AK123889', 'MCOLN3', 'CLCN4', 'ARHGEF26-AS1', 'KCNQ1OT1', 'GLYATL3', 'LOC100506123', 'SLC7A14', 'SLC38A5', 'AK095242', 'CCR6', 'AX747756', 'BC010924', 'SHISA9', 'AX747590', 'AX746771', 'SGSM1', 'LIN7A', 'ARC', 'AK055017', 'AK128833', 'DGKB', 'C1orf168', 'AK024092', 'GFRA1', 'KIAA1549', 'BC005905', 'TSIX', 'LOC643406', 'GOLGA6L4', 'SPDYE6', 'LINC00202-1', 'LOC729603', 'CR627225', 'SLC14A2', 'FER1L6-AS1', 'AK130076', 'CNTN3', 'GOLGA6L9', 'EFCC1', 'E02193', 'HNRNPU-AS1', 'VN1R1', 'DNM3', 'AK055694', 'C4orf21', 'AB073649', 'AF258560', 'AK054970', 'BC006435', 'C8orf15', 'SPDYE1', 'AX746485', 'TBC1D8B', 'FAM153A', 'TTLL6', 'TRIM66', 'ATP6V1G2', 'MIR29C', 'LOC399715', 'GLUD1P3', 'CCDC162P', 'PDGFD', 'BC019672', 'AGAP9', 'SPDYA', 'WDR52', 'AK091996', 'C12orf50', 'TFPI2', 'APOB', 'ZRANB2-AS1', 'AK128559', 'FLJ31662', 'BX537634', 'CCDC150', 'DQ570835', 'AK093555', 'LOC151009', 'SIM1', 'DYNC1I1', 'PFN1P2', 'AK096592', 'BC022892', 'LOC100131257', 'AK094916', 'AK057596', 'CRISP3', 'AX746834', 'DKFZp564E1082', 'BC040733', 'LOC100652999', 'SPDYE8P', 'AX746617', 'FW340027', 'AK125871', 'AK128400', 'LHFPL4', 'ANKRD36B', 'AGAP11', 'SYT2', 'DQ586822', 'MURC', 'AK092380', 'AK125858', 'AL832212', 'AX747639', 'DKFZP434K028', 'BC043205', 'CR627394', 'BC131755', 'LOC642776', 'FLJ35282', 'FKBP1A-SDCBP2', 'UBE2Q2P2', 'BMS1P6', 'CCDC39', 'PODN', 'ANKRD20A9P', 'NEAT1', 'RFTN2', 'AX748292', 'AX747850', 'MUC3A', 'AX746823', 'AF086346', 'AK097012', 'DQ588114', 'AL832937', 'BC007880', 'E10222', 'AK091624', 'AK293147', 'BC041654', 'AK027840', 'TBC1D3C', 'AK026392', 'AK128361', 'FAM21B', 'WDR96', 'AX747833', 'AK311113', 'AL832439', 'LOC100288123', 'AX747393', 'AK125727', 'AK055257', 'AK090700', 'DKFZp434A128', 'AK027252', 'FER1L4', 'FKSG51', 'AK310876', 'AX747179', 'WISP1', 'KIAA0931', 'MAGEA5', 'LOC727896', 'ADAM20P1', 'SUMO1P3', 'TAS2R20', 'FLJ44955', 'ZNF788', 'IFNE', 'BC073807', 'FAM95B1', 'LOC100216546', 'AK095546', 'AK023417', 'AX746869', 'PMS2L14', 'AK025511', 'LINC00842', 'AX747175', 'AK124970', 'LOC644172', 'AX747619', 'AF198444', 'LOC100190986', 'LOC286437', 'AK091729', 'BC053580', 'AK097119', 'C9orf102', 'LOC100294362', 'AX748379', 'AK027332', 'TCL6', 'AX747264', 'FW340055', 'AK129879', 'BX648496', 'AK090844', 'N4BP2L2-IT2', 'LQFBS-1', 'LOC100131564', 'FOXD4L5', 'AK094909', 'DQ571357', 'DQ598910', 'S100G', 'HBT8', 'AK025664', 'AX746640', 'AX747140', 'AX747648', 'AK094156', 'PLCE1-AS1', 'HERV-Fb1', 'AX746677', 'AK096291', 'TMEM56-RWDD3', 'AX746605', 'MARCH1', 'AX748336', 'LOC595101', 'LOC441081', 'FLJ45340', 'HIF1A-AS2', 'AK024248', 'LOC400927', 'C12orf55', 'FAM196A', 'AK126532', 'C14orf105', 'AK123332', 'TBC1D3H', 'SNX29P2', 'AL137655', 'AX747819', 'FOXD4L2', 'MGC4836', 'AK123654', 'AX748322', 'AF420437', 'AK091275', 'BC041347', 'AX748283', 'SPRY3', 'CATSPER2', 'OCLM', 'AX747598', 'AK055910']
6	['CRYBA2', 'CDH22', 'RIIAD1', 'FOXP2', 'PROX1', 'ADM5', 'PGM5', 'PRR5-ARHGAP8', 'UTS2B', 'ADCY2', 'DOCK8', 'SCGB1A1', 'RNPC3', 'ONECUT1', 'NHSL2', 'UNC80', 'DOCK4', 'ITGA7', 'KTN1-AS1', 'SETBP1', 'ANGPT2', 'CRMP1', 'STK31', 'COL21A1', 'AK131337', 'DPP10', 'GABBR2', 'KSR2', 'FAXC', 'UBN2', 'LRAT', 'CPLX2', 'AK125437', 'CCDC154', 'FMN2', 'ROS1', 'MYBPC2', 'NR2F2-AS1', 'KIAA1456', 'SLC35F3', 'POU2F2', 'LOC100996634', 'PTPRT', 'BCL2', 'BCAT1', 'HNF1A-AS1', 'NBPF10', 'SDCBP2-AS1', 'AK026379', 'KCNN3', 'EDIL3', 'SMA', 'DST', 'SH3BP5-AS1', 'DLG2', 'GUSBP9', 'NPAS3', 'PEX5L', 'RSPH4A', 'EYA4', 'KCNC1', 'AK056486', 'XAF1', 'GPR133', 'PCDHB9', 'IFI44L', 'AFF2', 'ATP6V1B1', 'BC033528', 'AK127443', 'CDHR1', 'LOC100506585', 'IFI44', 'CTTNBP2', 'SGOL1-AS1', 'CLSTN2', 'C19orf26', 'SMA5', 'AK311497', 'UBE2Q2P1', 'BC042374', 'GUSBP3', 'LOC728175', 'C17orf65', 'LOC100527964', 'OR51E2', 'HIST2H2BF', 'LOC100272216', 'PRKD1', 'AK097143', 'ACTG1P4', 'AX748052', 'LOC731275']
7	['ATOH8', 'PTCH1', 'HES4', 'TET1', 'BRSK1', 'STX2', 'LOC389332', 'CELSR3', 'RNF150', 'FJX1', 'KCNH8', 'WNK3', 'MUC16', 'LINC00939', 'CCDC85B', 'abParts', 'PNISR', 'DTX3', 'ELFN1', 'MFAP2', 'HEY1', 'DNAH11', 'BX647938', 'CCDC78', 'UCKL1-AS1', 'CTSL2', 'CD52', 'HEYL', 'ANKS1B', 'AK056490', 'DKFZp686O16217', 'KCTD16', 'LTF', 'CD37', 'FLJ00385', 'BAI2', 'LRP2BP', 'MUC5AC', 'IGHG1', 'POM121L10P', 'DPCR1', 'NUTM1', 'MUC5B', 'CEND1', 'MCM3AP-AS1', 'SYN1', 'GAN', 'RRAGD', 'CDK5R1', 'SYNE2', 'KIT', 'MRPL34', 'CPLX1', 'KIAA1328', 'AX746826', 'ITPR1', 'PNMAL1', 'BAI1', 'C2CD4B', 'FAM46C', 'C1RL-AS1', 'CLSPN', 'BRS3', 'BC042825', 'FAM71E2', 'ARL4D', 'GRASP', 'ADD2', 'AF086126', 'CNTD2', 'FAM64A', 'IL11', 'LYPD8', 'ADORA2A', 'GYLTL1B', 'APOC3', 'CLGN', 'LOC100862671', 'AK057681', 'SDPR', 'LOC100130557', 'RUNDC3A', 'EFNB3', 'BC040563', 'FLJ38723', 'CECR6', 'NPPB', 'BST2', 'B3GNTL1', 'TMEM59L', 'IFI27', 'FAM226B', 'EPHA8', 'PCDHA2', 'AX747535', 'LOC202181', 'C15orf61', 'CGREF1', 'AK025975', 'AL110171', 'AK316321', 'LOC100132215', 'DKFZp586B1922', 'TNP1', 'KLHL35', 'IGF2', 'MIR4697HG', 'AK126180', 'IPO11-LRRC70', 'DQ573539', 'BC040358', 'AK126286', 'WBSCR27', 'AK128563', 'AX746991', 'LOC100288069', 'AX747658', 'BX641154']
