Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	1/149	0.2531683771269965	0.3193921019310716	0	0	3.5229374110953064	4.8394608456599695	TUBB4A
GO_Biological_Process_2018	cellular response to interleukin-1 (GO:0071347)	1/150	0.254635627656387	0.3193921019310716	0	0	3.4991169198163194	4.7865178494309815	SFRP1
GO_Biological_Process_2018	negative regulation of cell differentiation (GO:0045596)	1/150	0.254635627656387	0.3193921019310716	0	0	3.4991169198163194	4.7865178494309815	SFRP1
GO_Biological_Process_2018	response to lipopolysaccharide (GO:0032496)	1/155	0.2619298523456677	0.3271312748179799	0	0	3.384654818865345	4.534349460692842	PTPN22
GO_Biological_Process_2018	T cell receptor signaling pathway (GO:0050852)	1/163	0.2734561765591013	0.3400672964901644	0	0	3.2162118258609484	4.170184964924455	PTPN22
GO_Biological_Process_2018	peptidyl-serine modification (GO:0018209)	1/170	0.2833976890843033	0.3509307554192862	0	0	3.0819059483027096	3.885987864561398	GALNT16
GO_Biological_Process_2018	positive regulation of hydrolase activity (GO:0051345)	1/172	0.286213691986492	0.3529160354579202	0	0	3.0455524776854417	3.8100366216388313	SFRP1
GO_Biological_Process_2018	negative regulation of Wnt signaling pathway (GO:0030178)	1/174	0.28901891161237425	0.35487132185316844	0	0	3.0100395497414056	3.7362511879025977	SFRP1
GO_Biological_Process_2018	regulation of angiogenesis (GO:0045765)	1/177	0.2932066102914165	0.3585005193058916	0	0	2.9582834928229667	3.6294522366318667	SFRP1
GO_Biological_Process_2018	negative regulation of protein phosphorylation (GO:0001933)	1/178	0.2945971616523497	0.358693615233614	0	0	2.9414213499851325	3.5948475419501627	SFRP1
GO_Biological_Process_2018	regulation of mitotic cell cycle phase transition (GO:1901990)	1/184	0.3028846625415781	0.3672476533316634	0	0	2.844118492953696	3.3970242223854465	TUBB4A
GO_Biological_Process_2018	regulation of GTPase activity (GO:0043087)	1/188	0.3083568760079909	0.37233133161130855	0	0	2.782718829158457	3.273861685690662	SFRP1
GO_Biological_Process_2018	positive regulation of cell differentiation (GO:0045597)	1/194	0.3164868009971549	0.3790027123052349	0	0	2.6953913280610853	3.1009769454029024	SFRP1
