	ARX	ASCL1	E2F7	ETV1	FEV	FOXD4L5	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000882181813123	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_ION_TRANSPORT	1	1	1	1	0.00303477837874	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	0.053705595982	1	1	1	1	1	0.000935610283122	1	1	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	0.628996892932	1	1	1
GO_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	0.408030017345	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	0.497837890885	1
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1	1	1	1	9.7696561232e-05	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_TRANSPORT	1	1	1	1	0.0266098086717	1	1	1	1	1	0.0541352179862	1	1	1
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	1	1	1	1	1	1	1	1	1	0.0	0.240126604047	1	1
GO_SIGNAL_RELEASE	1	1	1	1	1	1	1	1	1	1	1	0.373612295479	1	1
GO_SOMATODENDRITIC_COMPARTMENT	1	1	0.0359743215884	1	0.00797126658865	1	1	1	1	1	0.0	1	1	1
GO_SYNAPSE	0.00470240405415	0.526649429806	0.00094138403816	1	5.99948893232e-06	0.000381992091913	1	1	1	0.0211347140019	1.25290521014e-05	0.000861444819595	1	1
GO_SYNAPSE_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.0433416811607	1	1	1
GO_SYNAPTIC_MEMBRANE	1	1	0.802320467129	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_SIGNALING	1	1	1	1	0.00090647501095	1	1	1	1	1	0.0	0.00013049858904	1	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	1	1	0.000986595323301	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	0.274403490015	1	1	1
GO_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000452128675667	1	1	1	1	1	0.0570912380981	1	1	1
GO_TRANSPORTER_ACTIVITY	1	1	1	1	0.0526553401152	1	1	1	1	1	1	1	1	1
GO_TRANSPORTER_COMPLEX	1	1	1	1	0.171256061964	1	1	1	1	1	0.000122408252814	1	1	1
GO_TRANSPORT_VESICLE	1	1	1	1	1	1	1	1	1	1	0.000155509743676	1	1	1
GO_TRANSPORT_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	0.851158192408	1	1	1
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.756121761726	1	1	1	1	1
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0752994119242	1	1	1	1	1	1	1	1	1
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	1	1	1	1	0.00025524438543	1	0.928416029428	1	1	1	1	1	1	1
