TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
FLI1	DLX5	0.92054	50.98	0.982	rgb(228, 30, 31)	1.9996	None
NR4A2	DLX5	-0.34198	48.98	-9.8E-01	rgb(  5, 88,254)	1.9596	None
RXRG	DLX5	0.34759	48.99	0.994	rgb(228, 27, 29)	1.9598	None
FLI1	EDNRB	0.89841	50.97	0.973	rgb(228, 31, 33)	1.9994	None
NR4A2	EDNRB	-0.02199	35.62	-6.2E-01	rgb( 83,135,241)	1.6924	None
RXRG	EDNRB	-0.16863	48.27	-2.7E-01	rgb(158,181,227)	1.9454	None
FLI1	EPHA8	0.36778	43.56	0.558	rgb(223,110,111)	1.8512	None
HOXB2	EPHA8	0.15965	48.14	0.142	rgb(219,190,190)	1.9428	None
NR4A2	EPHA8	0.87528	50.96	0.955	rgb(228, 35, 36)	1.9992	None
FLI1	FUT9	0.77526	50.89	0.894	rgb(227, 46, 48)	1.9978	None
NR4A2	FUT9	0.92054	50.98	0.984	rgb(228, 29, 31)	1.9996	None
RXRG	FUT9	-0.34656	43.25	-2.5E-01	rgb(163,184,226)	1.845	None
FLI1	FZD1	0.4059	44.39	0.388	rgb(221,143,144)	1.8678	None
NR4A2	FZD1	0.00744	35.39	0.389	rgb(221,143,143)	1.6878	None
RXRG	FZD1	0.27887	48.83	0.834	rgb(226, 58, 59)	1.9566	None
FLI1	GATA3	-0.53245	49.94	-9.4E-01	rgb( 12, 92,253)	1.9788	None
NR4A2	GATA3	-0.43438	49.71	-7.1E-01	rgb( 62,123,244)	1.9742	None
RXRG	GATA3	0.047022	47.55	0.547	rgb(223,113,114)	1.931	None
FLI1	GFOD2	-0.054279	47.59	-5.9E-01	rgb( 89,139,239)	1.9318	None
HOXB2	GFOD2	0.81187	50.92	0.919	rgb(227, 41, 43)	1.9984	None
NR4A2	GFOD2	0.49115	49.86	0.856	rgb(226, 54, 55)	1.9772	None
FLI1	GGT5	0.25017	41.17	0.172	rgb(219,184,184)	1.8034	None
HOXB2	GGT5	0.22305	40.49	0.492	rgb(222,123,124)	1.7898	None
NR4A2	GGT5	0.19993	40.1	0.096	rgb(218,199,199)	1.782	None
RXRG	GGT5	0.77526	50.89	0.895	rgb(227, 46, 48)	1.9978	None
FLI1	GPR85	0.17266	48.31	0.312	rgb(220,157,158)	1.9462	None
NR4A2	GPR85	0.42859	46.59	0.659	rgb(224, 91, 92)	1.9118	None
RXRG	GPR85	0.4578	49.78	0.784	rgb(226, 67, 69)	1.9756	None
FLI1	HLA-DPB1	0.14484	47.98	0.979	rgb(228, 30, 32)	1.9396	None
NR4A2	HLA-DPB1	-0.14484	47.98	-9.8E-01	rgb(  3, 87,254)	1.9396	None
RXRG	HLA-DPB1	0.72784	49.64	0.639	rgb(224, 95, 96)	1.9728	None
FLI1	INSM1	0.6762	48.88	0.884	rgb(227, 48, 50)	1.9576	None
NR4A2	INSM1	0.13901	38.52	0.523	rgb(223,117,118)	1.7504	None
RXRG	INSM1	0.20216	48.54	0.542	rgb(223,113,114)	1.9508	None
HOXB2	KCND3	-0.20751	40.28	-2.8E-01	rgb(156,180,228)	1.7856	None
NR4A2	KCND3	0.032545	47.44	0.445	rgb(222,132,133)	1.9288	None
RXRG	KCND3	-0.011618	47.19	-1.9E-01	rgb(177,192,224)	1.9238	None
FLI1	KCNF1	0.76287	50.31	0.834	rgb(226, 58, 59)	1.9862	None
NR4A2	KCNF1	-0.1705	48.29	-2.9E-01	rgb(155,179,228)	1.9458	None
RXRG	KCNF1	0.1705	48.29	0.291	rgb(220,162,162)	1.9458	None
FLI1	KCNG2	-0.4376	49.72	-7.2E-01	rgb( 60,122,244)	1.9744	None
NR4A2	KCNG2	-0.21876	40.43	-4.3E-01	rgb(123,160,233)	1.7886	None
