	partition_group
DQ583756	5
FAM110B	5
FAXC	5
FOXP2	5
GABBR2	5
GFRA1	5
GIP	5
HERC5	5
JAM3	5
KCNH7	5
KIAA1456	5
PODXL2	5
PTCH1	5
RGAG4	5
ROBO1	5
RUNX1T1	5
SCGB1C1	5
SLC14A2	5
SLC16A12	5
SLC18A1	5
SPOCK3	5
SPON1	5
STK31	5
STK33	5
TMEM35	5
TMOD2	5
TOX	5
ZCCHC12	5
AB074188	6
ABCC8	6
ACSL6	6
ADCY2	6
AK054990	6
AK096718	6
APLP1	6
BAALC	6
BASP1	6
BRSK2	6
BSN	6
CACNA1B	6
CCDC181	6
CERKL	6
CPB1	6
FAM179A	6
FHL1	6
FSTL5	6
GATA2	6
GHRL	6
GPR162	6
ICA1L	6
KCNH6	6
KCNJ2	6
KCNK3	6
KCNMA1	6
KCNMB2	6
KIF5A	6
LIN7A	6
LINC00890	6
LMX1A	6
LOC100652999	6
LPPR5	6
MTSS1	6
NDRG4	6
NEFM	6
PAK7	6
PAPPA2	6
PTPRN	6
RTN4RL1	6
S100A1	6
SAMD14	6
SCG2	6
SLC8A1	6
SNAP25	6
SNED1	6
STX1A	6
STXBP5L	6
TMEM132B	6
TPH1	6
UCN3	6
VCAN	6
ADAMTSL1	7
AGT	7
AKT3	7
AMPD3	7
ARHGAP9	7
ARNT2	7
BGN	7
BOC	7
CACNA1H	7
CACNA2D1	7
CAMKV	7
CBFA2T3	7
CCDC40	7
CD52	7
CDKN1C	7
CELA3B	7
CELF5	7
CELSR3	7
CHRM4	7
CHRNB2	7
CLPS	7
CORO2B	7
CPLX1	7
CRLF1	7
CTPS1	7
CYMP	7
DCHS1	7
DPYSL4	7
ELAVL4	7
GGT5	7
HEYL	7
ID4	7
IGFN1	7
ITGA7	7
KCTD12	7
LGR6	7
LINC00261	7
LINC00494	7
LRFN1	7
MAP1B	7
MLLT11	7
MUC5B	7
NCAM1	7
NHLH1	7
NOVA2	7
NPTXR	7
NPY	7
NR4A3	7
PDE8B	7
PRELP	7
PSD	7
RAB26	7
RAB39B	7
RNF157	7
RUNDC3A	7
SDCBP2-AS1	7
SDK1	7
SDK2	7
SDPR	7
SH3RF3	7
SH3RF3-AS1	7
SPTBN4	7
SSTR1	7
STMN2	7
SV2A	7
SYNM	7
TMEM151B	7
TP73	7
TSPAN11	7
TTLL6	7
TUB	7
VGF	7
WNK2	7
YPEL1	7
AK130076	8
ALAS2	8
AX746617	8
AX746834	8
CACNA1C	8
CD96	8
CDHR3	8
CPE	8
DENND2A	8
DGKB	8
DKFZP434K028	8
DOCK8	8
FAT3	8
GLYATL3	8
H2AFB3	8
LOC100128288	8
MAPK10	8
MX2	8
NREP	8
RAPGEF4	8
SCN2A	8
SPRED3	8
SYT5	8
ZNF492	8
