	AEBP1	ARX	ASCL1	ASCL2	EBF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG		NKX6-1 PAX6	GCK HHEX		HHEX PAX6	GCK PAX6	GCK PAX6		GCK PAX6				GCK PAX6		GCK NKX6-1 PAX6	GCK HHEX NKX6-1	GCK NEUROD1 NKX2-2 PAX4		HHEX NEUROD1			NKX2-2 NKX6-1	HHEX NKX6-1				GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6	GCK NKX6-1			GCK PAX6	GCK HHEX NEUROD1		
REACTOME_CA2_ACTIVATED_K_CHANNELS		KCNMB3 KCNN3				KCNMA1 KCNMB2 KCNMB3		KCNMB3 KCNN3		KCNMA1 KCNMB2			KCNMA1 KCNMB2 KCNMB3 KCNN3	KCNMA1 KCNMB3	KCNMB2 KCNMB3 KCNN3	KCNMA1 KCNMB2 KCNMB3			KCNMA1 KCNMB2 KCNMB3 KCNN3	KCNMA1 KCNN3			KCNMA1 KCNMB2 KCNMB3 KCNN3	KCNMA1 KCNN3	KCNMB2 KCNMB3			KCNMA1 KCNMB2 KCNN3		KCNMA1 KCNMB2 KCNMB3 KCNN3				
REACTOME_CARDIAC_CONDUCTION		CACNA1C CACNA2D1 CAMK2B FGF14 KCNJ2 KCNK17 SLC8A1	CACNB4 CAMK2B KCNJ11 KCNJ2 KCNK17 SCN1B SCN3A	ATP1A3 CACNB4 CAMK2B KCNH2 KCNJ11 KCNJ2 KCNK17 SCN1B		CACNA2D1 CACNG6 CACNG7 CAMK2B FGF14 KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNB2 CACNB4 CACNG7 FGF14 KCNH2 KCNJ2 KCNK16 KCNK17 SCN1B SCN3B SLC8A1	ATP1A3 CACNB4 CACNG7 KCNJ2 KCNK3 SCN1B		ATP1A3 CACNA1C CACNB4 CACNG6 KCNK3 SCN3B		CACNA1C CACNG6 FGF14 KCNK3	CACNA1C CACNB4 CACNG6 FGF14 KCNJ2 KCNK17	ATP1A3 CACNA2D1 CACNB4 CACNG6 CAMK2B KCNK17 KCNK3	CACNA1C CACNA2D1 CACNG4 CACNG6 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNB4 CACNG4 CACNG6 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1	CAMK2B KCNH2 KCNJ11 KCNJ2 KCNK17 KCNK3	CACNA2D1 CACNB4 CACNG6 KCNJ2 KCNK17 KCNK3 SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNK3 SCN3A SCN3B SLC8A1	CAMK2B KCNH2 KCNJ11 KCNK17 KCNK3 SCN1B	ATP1A3 CACNA2D1 CAMK2B KCNJ2 KCNK3 SCN1B SCN3B	CACNA2D1 CACNB4 CACNG6 FGF14 KCNJ11 KCNK3	ATP1A3 CACNA2D1 CACNB4 CACNG6 FGF14 KCNJ11 KCNJ2 SCN1B SCN3B	ATP1A3 KCNJ2 KCNK3 SLC8A1	CACNA2D1 CACNB4 FGF14 KCNK17	CACNA2D1 CACNB4 KCNK16 KCNK17	ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1	ATP1A3 CACNA2D1 CACNB4 CACNG4 CACNG6 CACNG7 KCNK16 KCNK17 SLC8A1	ATP1A3 CACNA1C CACNB4 CACNG7 CAMK2B KCNJ11 KCNJ2 KCNK16 KCNK3 SCN1B SCN3B	ATP1A3 CACNA1C CACNA2D1 CACNB4 CACNG7 FGF14 KCNH2 KCNK3 SCN1B SLC8A1	CACNA1C CACNB4 CACNG6 FGF14 KCNJ2 KCNK17 SCN3A SCN3B SLC8A1	ABCC9 ATP1A3 CACNA1C CACNA2D1 CACNB4 CACNG4 KCNH2 KCNJ2 KCNK3 SCN3B		ABCC9 CACNG6 CAMK2B FGF14 KCNH2 KCNJ11 KCNJ2 SCN1B SCN3B
REACTOME_CHYLOMICRON_ASSEMBLY						APOA1 APOC3					APOA1 APOA4 APOC3										APOA1 APOC3	APOA1 APOC3		APOA1 APOC3						APOA1 APOA4 APOC3	APOA1 APOA4 APOC3	APOA1 APOC3		
REACTOME_CHYLOMICRON_REMODELING						APOA1 APOC3					APOA1 APOA4 APOC3										APOA1 APOC3	APOA1 APOC3		APOA1 APOC3						APOA1 APOA4 APOC3	APOA1 APOA4 APOC3	APOA1 APOC3		
REACTOME_GABA_B_RECEPTOR_ACTIVATION		ADCY1 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 KCNJ2 KCNJ6	ADCY1 KCNJ2		GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY2 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 KCNJ2 KCNJ6	ADCY1 GABBR2 GNG2	ADCY1 ADCY2 KCNJ6		ADCY1 ADCY2 GNG2 KCNJ3 KCNJ6	ADCY2 GNG2 KCNJ2 KCNJ3	ADCY1 ADCY2 GABBR2 KCNJ3	ADCY1 ADCY2 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3	ADCY2 KCNJ2	ADCY2 KCNJ2	GABBR2 GNG4 KCNJ3 KCNJ6		ADCY1 ADCY2 GNG4 KCNJ2	ADCY1 GNG4 KCNJ6	GABBR2 GNG2 KCNJ2 KCNJ3 KCNJ6	GABBR2 GNG2 GNG4 KCNJ2	ADCY1 KCNJ3 KCNJ6	ADCY1 ADCY2 GNG2	GABBR2 GNG2 GNG4		GABBR2 GNG4 KCNJ2 KCNJ6	ADCY1 ADCY2 GABBR2 GNG2 GNG4 KCNJ3 KCNJ6	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY2 GABBR2 GNG4 KCNJ2 KCNJ6		GNG4 KCNJ2
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS		ADCY1 APOA1 CAMK2B CCR6 GNG2 GNG4 PRKCG RBP2 RGS11 RGS16 RGS4 RGS9 SSTR1 SSTR3 SSTR5	ADCY1 CAMK2B CCR6 GABBR2 GPC2 RBP2 RGS16 RGS5 RGS9 SSTR5	ADCY1 CAMK2B CCR6 GPC2 PTGDR2 RBP2 RGS14 RGS16 SSTR3 SSTR5	AGT GPC2 SSTR3 SSTR5	APOA1 APOC3 CAMK2B CCL19 GNAO1 GNG2 GNG4 GPC2 GPC6 PRKCG RBP2 RGS16 RGS4 RGS5 SST SSTR2 SSTR3 SSTR5 SUCNR1 TTR	ADCY1 ADCY2 AGT APOC3 CCL19 CLPS GNAO1 GNG2 GNG4 GPC2 GPC6 PRKCG PTGDR2 RBP1 RGS11 RGS16 RGS4 RGS9 SST SSTR1 SSTR3 SSTR5	ADCY1 GABBR2 NPW PYY RBP2 RGS11 RGS16 RGS4 RGS5 RGS9 SST SSTR2 SSTR5	ADCY1 GABBR2 GNG2 RBP2 SSTR3 SSTR5 TTR	ADCY1 ADCY2 AGT APOA1 GPC6 RBP1 RGS16 RGS5 SSTR1 TTR	AGT APOA1 APOA4 APOC3 PRKCG		ADCY2 AGT APOA1 CCR6 GNG2 NPW PTGDR2 PYY RBP2 RGS11 RGS4 RGS5 SSTR1 TTR	ADCY1 ADCY2 APOA1 CAMK2B CCR6 GABBR2 GPC2 PTGDR2 PYY RBP2 RGS11 RGS16 RGS4 RGS5 RGS9 SSTR1 SSTR2 TTR	ADCY1 ADCY2 APOA1 CCL19 GNG2 GNG4 NPW NPY PTGDR2 PYY RBP1 RBP2 RGS14 RGS16 RGS5 SST SSTR1 TTR	ADCY1 AGT APOA1 CCL19 GABBR2 GNAO1 GNG2 GNG4 NPY PTGDR2 PYY RBP1 RBP2 RGS14 RGS16 SST SSTR5 TTR	ADCY2 AGT APOA1 CAMK2B CLPS GNAO1 GPC2 NPW SSTR2 SSTR3	ADCY2 APOA1 CLPS GNAO1 GPC2 GPC6 SSTR3 TTR	APOA4 CAMK2B CCR6 CLPS GABBR2 GNAO1 GNG4 GPC6 RBP1 RGS14 RGS4 RGS9 SSTR2 SUCNR1	CAMK2B CCR6 GABBR2 GPC2 NPW PTGDR2 RBP2 RGS9 SSTR1	ADCY1 ADCY2 AGT APOA1 APOC3 CAMK2B CCL19 CCR6 CLPS GNAO1 GNG4 GPC6 NPY PRKCG PYY RBP1 RBP2 RGS11 RGS16 RGS9 SST SSTR5 TTR	ADCY1 APOA1 APOC3 GNG4 GPC6 NPW SSTR5	CLPS GABBR2 GNAO1 GNG2 NPW NPY PTGDR2 PYY RGS4 RGS9 SSTR3 SSTR5	APOA1 APOC3 GABBR2 GNG2 GNG4 GPC2 NPY PTGDR2 RBP1 RGS14 RGS16 RGS4 SST SSTR5			APOA1 CAMK2B GABBR2 GNG2 GNG4 PRKCG PTGDR2 RBP1 RBP2 RGS14 RGS5 RGS9 SSTR1 SSTR5 TTR	ADCY1 GABBR2 GNAO1 GPC2 GPC6 NPW PRKCG PTGDR2 PYY RGS11 RGS14 RGS5 RGS9 SUCNR1 TAS2R20	CAMK2B GABBR2 GNAO1 GNG4 NPW PRKCG PTGDR2 RGS9 SSTR1 SSTR5	ADCY1 ADCY2 AGT APOA1 APOA4 APOC3 CCL19 GABBR2 GNAO1 GNG2 GNG4 GPC2 GPC6 NPW PYY RBP1 RBP2 RGS14 RGS4 RGS5 RGS9 SSTR2 SSTR3 SSTR5 TTR	ADCY1 AGT APOA1 APOA4 APOC3 CCL19 GABBR2 GNAO1 GNG2 GNG4 GPC6 PTGDR2 PYY RBP2 RGS14 RGS5 SSTR5	ADCY1 ADCY2 AGT APOA1 APOC3 CCR6 CLPS GABBR2 GNAO1 GNG4 GPC2 NPW PRKCG PTGDR2 PYY RBP1 RGS14 RGS16 RGS5 RGS9 SSTR1 SSTR3 SSTR5 TTR	CAMK2B CLPS GNG4 PTGDR2 TAS2R20	AGT CAMK2B CCR6 GNG4 NPW PRKCG PYY RGS11 RGS14 RGS9 SSTR5 TAS2R20
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	FFAR1 GAST NTS TAC1				AGT GHRL NTS	AVPR1B FFAR2 GHRL GNG2 GNG4 MLN RGS16 RGS4 RGS5 TACR3 TRPC6 TRPC7 UTS2B	AGT AVPR1B BRS3 FFAR2 GHRL GNG2 GNG4 MLN RGS16 RGS4 TRPC6 TRPC7 UTS2B	BRS3 FFAR2 GHRL RGS16 RGS4 RGS5 TRPC6 UTS2B		AGT FFAR1 FFAR2 FFAR3 GAST GHRL NTS RGS16 RGS5 TAC1 TAC3 TACR3 TRPC6	AGT BRS3 MLN		AGT FFAR1 FFAR2 FFAR3 GAST GNG2 MLN NTS RGS4 RGS5 TAC1 TRPC6		AVPR1B FFAR2 GNG2 GNG4 RGS16 RGS5 TAC3 TRPC6 UTS2B	AGT AVPR1B BRS3 FFAR3 GAST GNG2 GNG4 NTS RGS16 TAC3 TRPC6	AGT ARHGEF25 BRS3 TRPC7 UTS2B		AVPR1B GHRL GNG4 RGS4 TAC3 TACR3 TRPC7 UTS2B		AGT ARHGEF25 AVPR1B GNG4 MLN RGS16 TAC3 TRPC6	ARHGEF25 BRS3 GNG4 MLN TRPC7	AVPR1B BRS3 GNG2 MLN RGS4 TRPC7	BRS3 FFAR1 FFAR3 GNG2 GNG4 RGS16 RGS4 TACR3 UTS2B			FFAR2 GHRL GNG2 GNG4 MLN RGS5 TRPC7	FFAR1 FFAR3 GAST NTS RGS5 TAC1 TRPC6 UTS2B		AGT BRS3 FFAR1 FFAR2 FFAR3 GAST GNG2 GNG4 NTS RGS4 RGS5 TAC1 TAC3 UTS2B	AGT BRS3 FFAR2 GNG2 GNG4 MLN RGS5 TRPC7	AGT AVPR1B GHRL GNG4 MLN RGS16 RGS5 TAC3 TRPC7 UTS2B		
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	FFAR1 GPR119	GPR119 ISL1 PAX6 PCSK1			GPR119 PAX6 SEC11C	GIP ISL1 PAX6 PCSK1 SEC11C	GIP ISL1 PAX6 PCSK1 SEC11C		GIP PAX6	FFAR1 ISL1 PCSK1			FFAR1 GIP GPR119 ISL1 PAX6 PCSK1	GIP ISL1	GIP PAX6 PCSK1 SEC11C				ISL1 PCSK1 SEC11C		GIP SEC11C		GIP PCSK1	FFAR1 ISL1 PAX6			PAX6 PCSK1			FFAR1 GIP ISL1 PCSK1 SEC11C	ISL1 PAX6 PCSK1 SEC11C	GIP ISL1 PCSK1 SEC11C		
REACTOME_INSULIN_PROCESSING		KIF5A PCSK1 PCSK2 SLC30A8 STX1A				KIF5A KIF5C PCSK1 PCSK2 SLC30A8	CPE KIF5A PCSK1 PCSK2 SLC30A8 STX1A	CPE KIF5A PCSK2 STX1A		CPE KIF5A KIF5C PCSK1 STX1A		CPE KIF5A	CPE KIF5A KIF5C PCSK1 PCSK2 SLC30A8 STX1A	KIF5A PCSK2 SLC30A8 STX1A	KIF5A PCSK1 SLC30A8	CPE KIF5A SLC30A8 STX1A	KIF5A PCSK1		PCSK1 PCSK2 STX1A		KIF5A SLC30A8 STX1A		CPE PCSK1 PCSK2			CPE KIF5A		CPE KIF5A STX1A	CPE KIF5C PCSK1	CPE KIF5A PCSK1 PCSK2 STX1A	CPE PCSK1 SLC30A8	CPE PCSK1 PCSK2 STX1A		
