	100_8h(8hpi)	100_8h(24hpi)	100_8h(48hpi)	100_8h(72hpi)	0_8h(8hpi)	0_8h(24hpi)	0_8h(48hpi)	0_8h(72hpi)
7SK	7.3466	7.3287	7.3426	7.4556	7.2098	7.1368	7.1453	7.2621
A1BG	 7.909	7.8261	7.9265	8.1357	7.9709	7.8832	7.9844	7.9717
A1BG-AS1	8.2528	8.3602	8.2311	8.2225	8.1954	 8.171	8.1884	8.2395
A1CF	8.93214	8.76469	9.51706	10.5816	9.18782	8.43672	8.73075	8.85759
A2M	6.7794	6.8045	6.9347	7.2242	6.9888	6.8692	6.9382	6.8625
A2M-AS1	7.1044	 7.107	7.1349	7.2087	7.0434	6.7152	6.9825	7.1705
A2ML1	6.3444	 6.405	6.4295	6.5981	6.4996	6.4871	 6.492	6.3589
A2MP1	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106
A3GALT2	6.3691	6.5855	6.4838	6.4385	 6.522	6.3718	6.4838	6.6059
A4GALT	7.1467	7.2206	7.1426	7.1249	7.1658	7.1193	7.1794	7.1303
A4GNT	6.3783	6.3577	6.5272	6.4404	6.4611	6.3577	6.3535	  6.55
AAAS	10.6958	10.3541	10.4048	10.2351	10.2672	 10.458	10.3439	10.3685
AACS	10.7198	10.3863	10.4939	10.4834	10.3728	10.4912	10.4252	10.4741
AACSP1	6.3018	6.3268	6.4016	6.4886	6.4349	6.3268	6.4016	6.4792
AADAC	6.3529	6.5557	6.3529	6.2853	6.3529	6.2685	6.3529	6.2853
AADACL3	6.5642	6.4195	 6.547	6.6211	6.5042	6.3981	6.4914	6.5793
AADACL4	6.5423	6.3884	6.3884	6.3884	6.3372	6.3884	6.3884	6.3884
AADAT	9.6923	9.6592	9.4592	9.1057	9.2508	9.6894	9.2631	8.9205
AAED1	8.8489	8.5553	8.6834	8.7285	8.5596	8.4674	8.5804	 8.751
AAGAB	11.1213	11.0804	11.0199	10.8786	10.8118	11.0846	10.7584	10.5707
AAK1	10.7396	11.0808	10.9778	11.0109	11.1369	11.0454	11.0973	10.9788
AAMDC	8.3934	 8.564	8.5115	8.6062	8.5949	8.4362	8.5775	8.5789
AAMP	11.6286	11.6317	11.6457	11.7126	11.6454	11.6048	11.6366	11.6687
AANAT	6.4731	6.4386	6.4731	6.5814	6.4731	6.4006	6.4731	6.5088
AAR2	10.1368	10.1397	10.1492	10.0967	10.0678	10.0501	 10.021	10.1278
AARD	7.7699	7.6725	7.9035	7.7071	7.9029	 7.353	7.8358	8.6856
AARS	11.6106	11.6816	11.6479	11.6785	11.6653	11.6438	11.6554	11.6202
AARS2	10.1392	10.0597	10.0918	9.95381	10.0774	10.0615	 10.094	10.2723
AARSD1	9.3415	9.2828	9.3019	9.3399	9.2865	9.3792	9.2985	9.2069
AASDH	8.9952	9.0037	8.9946	8.8915	 9.036	9.0349	9.0571	9.0718
AASDHPPT	11.1299	10.9637	11.0753	 10.994	 10.937	10.9865	10.8951	10.9668
AASS	11.3029	11.3246	11.2498	11.1011	11.3768	11.8577	11.4668	11.1499
AATF	10.2531	10.3294	 10.143	9.93844	10.0255	10.2335	10.0217	9.78055
AATK	9.4498	8.8544	9.3617	9.8034	9.2814	8.9168	9.2853	9.7263
AATK-AS1	6.6163	 6.772	6.6611	6.7088	6.7853	6.6547	 6.825	6.9218
AB000466	 7.621	7.7056	7.9171	7.9906	 7.841	7.6471	 7.655	7.8568
