	ARX	ASCL1	ASCL2	CCDC17	DPF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	ONECUT1 PAX6	GCK HHEX				GCK ONECUT1 PAX6	GCK ONECUT1 PAX6		GCK PAX6			GCK PAX6		GCK NEUROG3 PAX6	GCK HHEX	GCK NEUROD1 NKX2-2 PAX4		HHEX NEUROD1	HHEX NEUROG3		ONECUT1 PAX6						GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6	GCK ONECUT1			GCK PAX6	GCK HHEX NEUROD1 NEUROG3	HHEX NEUROG3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION				CYSLTR2 GABRB3 GPR83 GRIA2 GRIN2C	ADORA2A CYSLTR2 GABBR2 GRIA2 GRIN2C	AVPR1B CHRM4 CHRNA3 CHRNA5 CHRNB2 GABRB3 GABRG2 GRIK5 GRIN2C P2RX6 SSTR2 SSTR3	AVPR1B BRS3 CHRM4 CHRNA5 CHRNB2 CYSLTR2 GABRG2 GRIK3 GRIK5 GRIN2C P2RX6 SSTR1 SSTR3	BRS3 CHRNA5 CSH1 GABBR2 GABRB3 GABRG2 GRIK5 SSTR2	CHRNA3 CHRNA5 CHRNB2 CSH1 GABBR2 SSTR3	ADORA2A CHRNA5 GABRA1 GABRB3 GPR83 GRIA2 GRIK5 P2RX6 SSTR1		CHRM4 CYSLTR2 GABRA1 GABRB3 GRIA2 GRIK5 P2RX6 SSTR1			ADORA2A AVPR1B BRS3 CHRM4 CYSLTR2 GABBR2 GABRA1 GPR83 GRIK5	BRS3 CHRNA3 P2RX6 SSTR2 SSTR3		AVPR1B GABBR2 GABRB3 GPR83 GRIN2C P2RX6 SSTR2		AVPR1B CHRM4 CHRNA3 CHRNA5 CHRNB2 GPR83 GRIK5 GRIN1 P2RX6			AVPR1B BRS3 CHRM4 CHRNB2 GABBR2 GRIK5 GRIN1 GRIN2C P2RX6 SSTR3	ADORA2A BRS3 CHRM4 CHRNA3 GABBR2 GABRA1 GRIK5				CHRM4 CYSLTR2 GABBR2 GABRA1 GABRB3 GABRG2 GPR83 GRIA2 GRIN1 GRIN2C	ADORA2A BRS3 GABBR2 GABRB3 GRIK5 GRIN2C SSTR1	BRS3 CHRM4 CHRNA5 CHRNB2 CSH1 GABBR2 GABRA1 GABRB3 GRIK3 GRIK5 SSTR2 SSTR3	ADORA2A BRS3 GABBR2 GABRG2 GPR83 GRIK5 GRIN2C P2RX6	ADORA2A AVPR1B CHRM4 CHRNB2 CSH1 GABBR2 GABRA1 GRIK5 GRIN2C P2RX6 SSTR1 SSTR3	BRS3 CHRM4 CHRNA5 GRIN1 GRIN2C P2RX6
KEGG_TYPE_II_DIABETES_MELLITUS	ABCC8 CACNA1B CACNA1C	ABCC8 CACNA1A CACNA1G GCK KCNJ11	ABCC8 CACNA1G GCK KCNJ11			ABCC8 CACNA1A CACNA1B CACNA1E CACNA1G GCK	ABCC8 CACNA1A CACNA1C CACNA1E GCK	CACNA1A CACNA1E CACNA1G MAPK10		ABCC8 CACNA1A CACNA1C CACNA1E CACNA1G GCK MAPK10	CACNA1C CACNA1E	ABCC8 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G GCK	ABCC8 CACNA1A CACNA1G	CACNA1C CACNA1E CACNA1G GCK KCNJ11	CACNA1A CACNA1C CACNA1E CACNA1G GCK KCNJ11 MAPK10	ABCC8 CACNA1E CACNA1G GCK KCNJ11	CACNA1G MAPK10	ABCC8 CACNA1A CACNA1C MAPK10	KCNJ11 MAPK10	CACNA1B CACNA1E CACNA1G MAPK10	CACNA1A CACNA1B CACNA1C	CACNA1E CACNA1G KCNJ11 MAPK10	CACNA1G KCNJ11 MAPK10	CACNA1A CACNA1E CACNA1G MAPK10	CACNA1A MAPK10		CACNA1A CACNA1E GCK KCNJ11	CACNA1A CACNA1B CACNA1E CACNA1G GCK MAPK10	ABCC8 CACNA1B CACNA1C CACNA1E CACNA1G KCNJ11 MAPK10	ABCC8 CACNA1A CACNA1C CACNA1E CACNA1G MAPK10	CACNA1A CACNA1C CACNA1E GCK	CACNA1C CACNA1G GCK MAPK10	ABCC8 KCNJ11
REACTOME_CARDIAC_CONDUCTION	CACNA1C CACNA2D1 CACNA2D2 CAMK2B FGF14 FXYD1 FXYD6 KCNE4 KCNJ2 KCNK17 SLC8A1	CAMK2B FXYD1 FXYD6 KCNJ11 KCNJ2 KCNK17 SCN1B SCN3A	ATP1A3 CACNA2D2 CAMK2B FXYD1 KCNH2 KCNJ11 KCNJ2 KCNK17 SCN1B			CACNA2D1 CACNA2D2 CAMK2B FGF14 FXYD1 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SCN3A SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 CACNB2 FGF14 FXYD6 ITPR1 KCNE4 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SCN3B SLC8A1	ATP1A3 CACNA2D2 FXYD6 KCNE4 KCNJ2 KCNK3 SCN1B		ATP1A3 CACNA1C FXYD1 ITPR1 KCNE4 KCNK3 SCN3B	CACNA1C FGF14 KCNK3	CACNA1C CACNA2D2 FGF14 KCNE4 KCNJ2 KCNK17	ATP1A3 CACNA2D1 CAMK2B FXYD6 ITPR1 KCNE4 KCNK17 KCNK3	CACNA1C CACNA2D1 CACNA2D2 CACNG4 FXYD1 ITPR1 KCNE4 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNG4 FXYD1 FXYD6 KCNE4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SCN3B SLC8A1	CAMK2B KCNE4 KCNH2 KCNIP3 KCNJ11 KCNJ2 KCNK17 KCNK3	CACNA2D1 KCNJ2 KCNK17 KCNK3 SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNE4 KCNH2 KCNIP3 KCNK3 SCN3A SCN3B SLC8A1	CACNA2D2 CAMK2B FXYD6 KCNH2 KCNJ11 KCNK17 KCNK3 SCN1B	ATP1A3 CACNA2D1 CACNA2D2 CAMK2B FXYD6 ITPR1 KCNIP3 KCNJ2 KCNK3 SCN1B SCN3B	CACNA1C CACNA2D1 CACNA2D2 CACNB2 ITPR1 KCNE4 SLC8A1	CACNA2D1 CACNA2D2 FGF14 ITPR1 KCNJ11 KCNK3	ATP1A3 CACNA2D1 CACNA2D2 FGF14 FXYD1 FXYD6 KCNIP3 KCNJ11 KCNJ2 SCN1B SCN3B	ATP1A3 FXYD6 KCNE4 KCNJ2 KCNK3 SLC8A1	CACNA2D1 CACNA2D2 FGF14 KCNK17	CACNA2D1 CACNA2D2 ITPR1 KCNK16 KCNK17	ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 FXYD6 KCNH2 KCNJ11 KCNK16 SLC8A1	ATP1A3 CACNA2D1 CACNA2D2 CACNG4 FXYD6 ITPR1 KCNE4 KCNK16 KCNK17 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CAMK2B FXYD6 ITPR1 KCNE4 KCNIP3 KCNJ11 KCNJ2 KCNK16 KCNK3 SCN1B SCN3B	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 FGF14 FXYD6 ITPR1 KCNE4 KCNH2 KCNIP3 KCNK3 SCN1B SLC8A1	CACNA1C CACNA2D2 FGF14 FXYD1 FXYD6 KCNE4 KCNIP3 KCNJ2 KCNK17 SCN3A SCN3B SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 CACNG4 FXYD1 FXYD6 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK3 SCN3B	CAMK2B FGF14 FXYD1 ITPR1 KCNH2 KCNIP3 KCNJ11 KCNJ2 SCN1B SCN3B
REACTOME_GABA_B_RECEPTOR_ACTIVATION	ADCY1 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 ADCY5 GABBR2 KCNJ2 KCNJ6	ADCY1 ADCY5 KCNJ2			GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY2 ADCY5 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 ADCY5 GABBR2 KCNJ2 KCNJ6	ADCY1 ADCY5 GABBR2 GNG2	ADCY1 ADCY2 ADCY5 KCNJ6	ADCY1 ADCY2 ADCY5 GNG2 KCNJ3 KCNJ6	ADCY2 ADCY5 GNG2 KCNJ2 KCNJ3	ADCY1 ADCY2 GABBR2 KCNJ3	ADCY1 ADCY2 ADCY5 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3	ADCY2 KCNJ2	ADCY2 ADCY5 KCNJ2	ADCY5 GABBR2 GNG4 KCNJ3 KCNJ6		ADCY1 ADCY2 ADCY5 GNG4 KCNJ2	ADCY2 ADCY5	ADCY1 ADCY5 GNG4 KCNJ6	ADCY5 GABBR2 GNG2 KCNJ2 KCNJ3 KCNJ6	ADCY5 GABBR2 GNG2 GNG4 KCNJ2	ADCY1 KCNJ3 KCNJ6	ADCY1 ADCY2 GNG2	GABBR2 GNG2 GNG4	ADCY1 ADCY5 GABBR2	ADCY5 GABBR2 GNG4 KCNJ2 KCNJ6	ADCY1 ADCY2 GABBR2 GNG2 GNG4 KCNJ3 KCNJ6	ADCY1 GABBR2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY2 ADCY5 GABBR2 GNG4 KCNJ2 KCNJ6	ADCY5 GNG4 KCNJ2
REACTOME_GABA_RECEPTOR_ACTIVATION	ADCY1 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 ADCY5 GABBR2 KCNJ2 KCNJ6	ADCY1 ADCY5 KCNJ2			GABRB3 GABRG2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY2 ADCY5 GABRG2 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 ADCY5 GABBR2 GABRB3 GABRG2 KCNJ2 KCNJ6	ADCY1 ADCY5 GABBR2 GNG2	ADCY1 ADCY2 ADCY5 GABRA1 GABRB3 KCNJ6	ADCY1 ADCY2 ADCY5 GNG2 KCNJ3 KCNJ6	ADCY2 ADCY5 GABRA1 GABRB3 GNG2 KCNJ2 KCNJ3	ADCY1 ADCY2 GABBR2 KCNJ3	ADCY1 ADCY2 ADCY5 GNG2 GNG4 KCNJ2 KCNJ3	ADCY1 GABBR2 GABRA1 GNG2 GNG4 KCNJ2 KCNJ3	ADCY2 KCNJ2	ADCY2 ADCY5 KCNJ2	ADCY5 GABBR2 GABRB3 GNG4 KCNJ3 KCNJ6		ADCY1 ADCY2 ADCY5 GNG4 KCNJ2	ADCY2 ADCY5 GABRB3	ADCY1 ADCY5 GNG4 KCNJ6	ADCY5 GABBR2 GNG2 KCNJ2 KCNJ3 KCNJ6	ADCY5 GABBR2 GABRA1 GNG2 GNG4 KCNJ2	ADCY1 KCNJ3 KCNJ6	ADCY1 ADCY2 GNG2	GABBR2 GNG2 GNG4	ADCY1 ADCY5 GABBR2 GABRA1 GABRB3 GABRG2	ADCY5 GABBR2 GABRB3 GNG4 KCNJ2 KCNJ6	ADCY1 ADCY2 GABBR2 GABRA1 GABRB3 GNG2 GNG4 KCNJ3 KCNJ6	ADCY1 GABBR2 GABRG2 GNG2 GNG4 KCNJ2 KCNJ3 KCNJ6	ADCY1 ADCY2 ADCY5 GABBR2 GABRA1 GNG4 KCNJ2 KCNJ6	ADCY5 GNG4 KCNJ2
REACTOME_GPCR_LIGAND_BINDING				CXCL12 CYSLTR2 FFAR1 FFAR3 NTS TAC1 TAS2R20	ADORA2A CYSLTR2 GABBR2	AVPR1B CHRM4 FFAR2 FZD4 GHRL GIP GNG2 GNG4 MLN SCT SST SSTR2 SSTR3 SUCNR1 UCN3	AGT AVPR1B BRS3 CHRM4 CRH CYSLTR2 FFAR2 GHRL GIP GNG2 GNG4 MLN SCT SST SSTR1 SSTR3 UCN3	BRS3 CRH FFAR2 FZD4 GABBR2 GHRL PYY SCT SST SSTR2 UCN3		ADORA2A AGT FFAR1 FFAR2 FFAR3 FZD4 GHRL NTS SSTR1 TAC1 TAC3 UCN3		AGT CHRM4 CYSLTR2 FFAR1 FFAR2 FFAR3 GIP GNG2 GPBAR1 MLN NTS PYY SSTR1 TAC1 UCN3		AVPR1B CHRM4 CRH FFAR2 FZD4 GIP GNG2 GNG4 GPBAR1 NPY PYY SCT SST SSTR1 TAC3	ADORA2A AGT AVPR1B BRS3 CHRM4 CRH CYSLTR2 FFAR3 FZD4 GABBR2 GNG2 GNG4 GPBAR1 NPY NTS PYY SCT SST TAC3				CRH FFAR2 FZD4 GABBR2 GPBAR1 SCT SSTR1	AGT AVPR1B CHRM4 CRH CXCL12 FZD4 GIP GNG4 GPBAR1 MLN NPY PYY SCT SST TAC3			AVPR1B BRS3 CHRM4 CRH CXCL12 FZD4 GABBR2 GIP GNG2 GPBAR1 MLN NPY PYY SCT SSTR3	ADORA2A BRS3 CHRM4 FFAR1 FFAR3 FZD4 GABBR2 GNG2 GNG4 NPY SST				CHRM4 CYSLTR2 FFAR1 FFAR3 GABBR2 GPBAR1 NTS PYY SCT SUCNR1 TAC1 TAS2R20	ADORA2A BRS3 FZD4 GABBR2 GNG4 GPBAR1 SCT SSTR1 TAC3 UCN3	AGT BRS3 CHRM4 FFAR1 FFAR2 FFAR3 FZD4 GABBR2 GIP GNG2 GNG4 GPBAR1 NTS PYY SSTR2 SSTR3 TAC1 TAC3 UCN3	ADORA2A AGT BRS3 CRH FFAR2 FZD4 GABBR2 GNG2 GNG4 GPBAR1 MLN PYY SCT UCN3	ADORA2A AGT AVPR1B CHRM4 CRH CXCL12 FZD4 GABBR2 GHRL GIP GNG4 MLN PYY SCT SSTR1 SSTR3 TAC3	AGT BRS3 CHRM4 CRH FZD4 GNG4 GPBAR1 MLN PYY TAC3 TAS2R20 UCN3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	ADCY1 CAMK2B CHRM4 GNG2 GNG4 PRKCG RGS11 RGS16 RGS4 RGS9 SSTR1 SSTR3	ADCY1 ADCY5 CAMK2B GABBR2 GPC2 RGS16 RGS5 RGS9				CAMK2B CHRM4 GNAO1 GNG2 GNG4 GPC2 GPC6 PRKCG RGS16 RGS4 RGS5 SST SSTR2 SSTR3 SUCNR1 TTR	ADCY1 ADCY2 ADCY5 AGT CHRM4 CLPS GNAO1 GNG2 GNG4 GPC2 GPC6 ITPR1 PRKCG RBP1 RGS11 RGS16 RGS4 RGS9 SST SSTR1 SSTR3	ADCY1 ADCY5 GABBR2 PYY RGS11 RGS16 RGS4 RGS5 RGS9 SST SSTR2	ADCY1 ADCY5 GABBR2 GNG2 ITPR1 SSTR3 TTR	ADCY1 ADCY2 ADCY5 AGT GPC6 ITPR1 RBP1 RGS16 RGS5 SSTR1 TTR	ADCY1 ADCY2 ADCY5 GNG2 SSTR1 TTR	ADCY2 ADCY5 AGT CHRM4 GNG2 PYY RGS11 RGS4 RGS5 SSTR1 TTR	ADCY1 ADCY2 CAMK2B CHRM4 GABBR2 GPC2 ITPR1 PYY RGS11 RGS16 RGS4 RGS5 RGS9 SSTR1 SSTR2 TTR	ADCY1 ADCY2 ADCY5 CHRM4 GNG2 GNG4 ITPR1 NPY PYY RBP1 RGS16 RGS5 SST SSTR1 TTR	ADCY1 AGT CHRM4 GABBR2 GNAO1 GNG2 GNG4 NPY PYY RBP1 RGS16 SST TTR	ADCY2 AGT CAMK2B CLPS GNAO1 GPC2 SSTR2 SSTR3	ADCY2 ADCY5 CLPS GNAO1 GPC2 GPC6 SSTR3 TTR	ADCY5 CAMK2B CLPS CXCL12 GABBR2 GNAO1 GNG4 GPC6 RBP1 RGS4 RGS9 SSTR2 SUCNR1	CAMK2B GABBR2 GPC2 RGS9 SSTR1	ADCY1 ADCY2 ADCY5 AGT CAMK2B CHRM4 CLPS CXCL12 GNAO1 GNG4 GPC6 ITPR1 NPY PRKCG PYY RBP1 RGS11 RGS16 RGS9 SST TTR	ADCY2 ADCY5 AGT CLPS GPC6 ITPR1 SUCNR1 TTR		ADCY5 CHRM4 CLPS CXCL12 GABBR2 GNAO1 GNG2 NPY PYY RGS4 RGS9 SSTR3	ADCY5 CHRM4 GABBR2 GNG2 GNG4 GPC2 NPY RBP1 RGS16 RGS4 SST		ADCY1 ADCY2 CHRM4 GNG2 ITPR1 TTR	CAMK2B GABBR2 GNG2 GNG4 PRKCG RBP1 RGS5 RGS9 SSTR1 TTR	ADCY1 ADCY5 CHRM4 GABBR2 GNAO1 GPC2 GPC6 ITPR1 PRKCG PYY RGS11 RGS5 RGS9 SUCNR1 TAS2R20	ADCY5 CAMK2B GABBR2 GNAO1 GNG4 ITPR1 PRKCG RGS9 SSTR1	ADCY1 ADCY2 AGT CHRM4 GABBR2 GNAO1 GNG2 GNG4 GPC2 GPC6 ITPR1 PYY RBP1 RGS4 RGS5 RGS9 SSTR2 SSTR3 TTR		ADCY1 ADCY2 ADCY5 AGT CHRM4 CLPS CXCL12 GABBR2 GNAO1 GNG4 GPC2 ITPR1 PRKCG PYY RBP1 RGS16 RGS5 RGS9 SSTR1 SSTR3 TTR	ADCY5 AGT CAMK2B CHRM4 GNG4 ITPR1 PRKCG PYY RGS11 RGS9 TAS2R20
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	DGKB GNG2 GNG4 MLN RGS16 RGS4			CYSLTR2 FFAR1 FFAR3 GAST NTS TAC1	CYSLTR2 DGKB	AVPR1B DGKB FFAR2 GHRL GNG2 GNG4 MLN RGS16 RGS4 RGS5	AGT AVPR1B BRS3 CYSLTR2 FFAR2 GHRL GNG2 GNG4 ITPR1 MLN RGS16 RGS4	BRS3 DGKB FFAR2 GHRL RGS16 RGS4 RGS5		AGT DGKB FFAR1 FFAR2 FFAR3 GAST GHRL ITPR1 NTS RGS16 RGS5 TAC1 TAC3	DGKB FFAR2 GNG2 TAC3	AGT CYSLTR2 FFAR1 FFAR2 FFAR3 GAST GNG2 MLN NTS RGS4 RGS5 TAC1	ARHGEF25 DGKB ITPR1 MLN RGS16 RGS4 RGS5	AVPR1B FFAR2 GNG2 GNG4 ITPR1 RGS16 RGS5 TAC3	AGT AVPR1B BRS3 CYSLTR2 FFAR3 GAST GNG2 GNG4 NTS RGS16 TAC3			AVPR1B DGKB GHRL GNG4 RGS4 TAC3		AGT ARHGEF25 AVPR1B GNG4 ITPR1 MLN RGS16 TAC3	AGT CYSLTR2 DGKB FFAR2 ITPR1	ARHGEF25 BRS3 GNG4 ITPR1 MLN	AVPR1B BRS3 DGKB GNG2 MLN RGS4	BRS3 DGKB FFAR1 FFAR3 GNG2 GNG4 RGS16 RGS4			DGKB FFAR2 GHRL GNG2 GNG4 MLN RGS5	CYSLTR2 DGKB FFAR1 FFAR3 GAST ITPR1 NTS RGS5 TAC1		AGT BRS3 DGKB FFAR1 FFAR2 FFAR3 GAST GNG2 GNG4 ITPR1 NTS RGS4 RGS5 TAC1 TAC3	AGT BRS3 FFAR2 GNG2 GNG4 MLN RGS5	AGT AVPR1B GHRL GNG4 ITPR1 MLN RGS16 RGS5 TAC3	AGT BRS3 GNG4 ITPR1 MLN TAC3
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	ADCY1 GNG2 GNG4 PRKCG RGS16 RGS4	ADCY1 ADCY5 RGS16	ADCY1 ADCY5 RGS16			GNG2 GNG4 PRKCG RGS16 RGS4	ADCY1 ADCY2 ADCY5 GNG2 GNG4 PRKCG RGS16 RGS4	ADCY1 ADCY5 RGS16 RGS4	ADCY1 ADCY5 GNG2	ADCY1 ADCY2 ADCY5 RGS16	ADCY1 ADCY2 ADCY5 GNG2	ADCY2 ADCY5 GNG2 RGS4	ADCY1 ADCY2 RGS16 RGS4	ADCY1 ADCY2 ADCY5 GNG2 GNG4 RGS16	ADCY1 GNG2 GNG4 RGS16		ADCY2 ADCY5	ADCY5 GNG4 RGS4		ADCY1 ADCY2 ADCY5 GNG4 PRKCG RGS16	ADCY2 ADCY5	ADCY1 ADCY5 GNG4	ADCY5 GNG2 RGS4	ADCY5 GNG2 GNG4 RGS16 RGS4		ADCY1 ADCY2 GNG2	GNG2 GNG4 PRKCG	ADCY1 ADCY5 PRKCG	ADCY5 GNG4 PRKCG	ADCY1 ADCY2 GNG2 GNG4 RGS4	ADCY1 GNG2 GNG4	ADCY1 ADCY2 ADCY5 GNG4 PRKCG RGS16	ADCY5 GNG4 PRKCG
