	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_ACTION_POTENTIAL	0	4	8	4	7	0	17	7	7	8	0	0	0	9	5	13	16	2	7	6	12	4	10	9	0	9	0	6	0	8	10	11	9	9	0	0	4
GO_ADULT_BEHAVIOR	5	3	8	5	7	8	14	9	6	12	2	0	3	12	5	14	15	4	7	4	12	4	18	6	6	16	9	11	0	13	9	6	9	11	6	8	5
GO_ALCOHOL_BINDING	0	3	5	0	3	3	6	4	4	6	6	0	4	5	7	5	6	0	0	0	7	4	8	0	5	0	6	8	0	4	6	10	9	9	2	5	3
GO_AXON	6	15	37	17	22	17	53	39	20	40	8	12	16	43	34	51	63	8	25	17	42	13	45	24	20	32	23	53	0	45	52	27	41	37	13	13	23
GO_AXON_DEVELOPMENT	5	0	28	8	15	11	39	25	11	27	0	6	8	28	23	26	30	6	18	0	35	9	28	12	13	22	22	27	0	28	27	21	24	28	0	8	0
GO_BEHAVIOR	9	0	22	11	14	21	31	26	13	31	6	7	8	37	17	40	47	9	18	14	30	10	40	21	19	36	19	28	3	32	28	17	28	29	10	17	22
GO_BIOLOGICAL_ADHESION	9	0	43	19	28	25	59	40	18	43	10	23	0	55	40	60	66	8	34	23	58	23	53	43	27	34	36	45	7	48	49	49	50	56	22	20	0
GO_CALCIUM_CHANNEL_COMPLEX	0	5	4	2	3	3	8	4	4	7	0	2	2	9	5	4	11	0	4	4	5	0	7	6	4	5	3	7	0	9	8	5	7	5	0	3	3
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0	2	0	3	3	3	3	0	0	0	0	0	0	0	0	4	3	0	2	3	4	0	0	2	0	0	0	0	4	3	0	3	3	5	0	0	0
GO_CALCIUM_ION_BINDING	5	15	25	13	20	19	38	25	10	21	9	10	11	32	25	30	38	7	18	13	37	13	26	20	0	21	27	32	6	30	33	35	28	30	9	15	14
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	3	5	10	5	7	10	17	15	6	14	0	4	7	14	12	14	19	0	0	8	17	6	16	16	7	14	9	19	0	22	17	10	16	13	0	9	0
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	4	6	4	4	6	11	10	4	11	0	0	5	9	6	9	15	2	4	6	12	4	10	12	5	9	5	13	0	15	12	7	12	10	0	6	4
GO_CARDIAC_CONDUCTION	0	3	7	5	8	5	13	10	0	14	2	0	5	9	6	13	21	0	7	5	12	6	13	10	4	13	6	13	0	12	15	9	11	11	0	9	5
GO_CATION_CHANNEL_ACTIVITY	7	6	20	18	14	15	39	25	12	30	0	7	11	27	15	34	39	8	20	14	31	11	25	23	10	27	11	27	0	27	30	20	27	24	6	15	15
GO_CATION_CHANNEL_COMPLEX	4	8	15	14	10	6	24	18	9	23	0	7	6	24	13	19	30	4	14	7	22	6	18	16	11	22	0	15	0	21	21	13	23	18	0	9	12
GO_CATION_TRANSMEMBRANE_TRANSPORT	8	10	30	22	23	25	52	38	14	40	0	12	16	40	29	47	63	7	24	16	44	16	45	34	15	42	25	42	0	41	41	30	41	38	12	25	25
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	8	24	19	18	18	43	30	13	32	0	7	11	30	19	40	49	8	21	16	38	11	32	26	12	32	19	31	0	32	35	26	31	29	8	19	19
GO_CATION_TRANSPORT	10	12	34	27	30	27	64	49	16	47	0	15	19	48	37	56	71	9	30	19	52	19	54	38	16	47	29	48	0	48	48	37	50	44	15	29	30
GO_CELLULAR_COMPONENT_MORPHOGENESIS	6	10	36	12	22	16	53	34	18	35	0	10	11	37	34	38	42	11	24	0	41	18	44	19	18	28	30	36	0	37	42	29	32	33	10	11	15
GO_CELL_BODY	6	9	29	16	16	16	43	26	14	32	6	10	9	33	20	38	47	11	23	16	36	14	43	19	14	30	24	37	0	33	34	21	33	31	11	16	15
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	3	7	0	5	9	0	14	0	7	14	4	7	0	16	8	12	19	4	9	8	17	0	12	16	7	0	8	9	6	16	12	12	14	15	0	0	0
GO_CELL_CELL_SIGNALING	16	25	57	33	51	38	102	72	30	72	12	18	19	81	63	93	103	17	48	35	82	33	92	43	35	69	51	73	6	75	87	63	71	78	22	34	46
GO_CELL_JUNCTION_ASSEMBLY	6	10	14	7	10	8	24	15	8	17	4	8	6	22	16	28	27	0	11	0	17	0	29	17	0	16	0	18	4	18	19	15	18	24	7	7	0
GO_CELL_JUNCTION_ORGANIZATION	7	15	28	17	20	16	43	27	13	28	7	11	12	40	28	42	47	8	18	0	34	12	42	29	12	23	20	40	7	29	34	25	29	34	12	15	15
GO_CELL_MORPHOGENESIS	6	12	38	17	25	17	58	38	17	40	0	13	13	39	35	46	49	11	27	13	50	18	50	24	21	30	31	39	0	38	42	33	38	40	15	0	0
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	6	0	32	10	19	15	46	30	13	31	0	10	11	31	28	32	40	9	24	10	42	13	41	19	17	24	27	33	0	29	34	25	29	31	11	0	0
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	6	7	29	9	19	14	42	27	13	27	0	10	10	28	25	28	32	9	21	8	37	12	36	17	15	23	24	32	3	29	32	22	25	27	9	9	0
GO_CELL_PART_MORPHOGENESIS	6	10	33	12	21	15	49	31	16	33	0	10	11	34	31	35	37	11	21	0	39	17	40	17	17	28	27	35	0	34	37	26	28	32	10	10	14
