	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF519	ZNF846
GO_CELL_PROJECTION_ORGANIZATION	0	23	49	21	34	40	77	56	29	57	0	19	20	62	66	63	76	14	34	21	67	32	68	34	34	45	49	74	0	53	60	52	50	64	26	23	31
GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	3	0	15	0	8	7	14	9	8	9	0	0	8	13	11	11	10	4	6	4	13	7	9	6	5	8	7	10	0	8	11	8	9	10	0	4	6
GO_CHEMICAL_HOMEOSTASIS	9	0	27	16	22	0	53	38	0	45	8	0	0	36	29	45	58	0	0	0	37	16	43	32	18	39	29	40	0	33	35	30	46	39	12	21	0
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	2	0	0	3	0	4	13	9	3	9	0	0	0	7	0	8	6	2	4	4	13	0	10	0	4	8	5	6	0	6	9	6	5	6	3	0	4
GO_CIRCULATORY_SYSTEM_PROCESS	7	9	0	9	13	14	31	18	9	26	5	0	11	22	0	35	46	7	17	9	29	14	27	22	0	28	21	22	0	29	35	22	25	26	0	14	0
GO_CYTOSKELETAL_PROTEIN_BINDING	0	11	29	13	25	25	55	37	19	32	7	14	22	42	40	51	58	0	19	12	34	16	41	27	14	28	33	49	0	36	36	36	36	39	12	15	34
GO_DENDRITIC_TREE	6	9	27	10	11	15	46	27	16	29	6	10	11	36	30	48	51	7	20	12	29	0	42	24	15	27	24	44	0	27	39	17	35	31	9	11	22
GO_DISTAL_AXON	4	9	18	7	11	7	26	23	13	20	4	6	5	22	19	23	36	4	8	9	23	6	26	12	9	16	12	29	0	20	27	16	21	17	6	0	16
GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3	4	7	4	4	6	12	11	4	11	0	0	5	10	7	9	16	2	0	6	12	4	11	12	5	9	5	13	0	15	12	7	13	11	0	6	0
GO_EXTRACELLULAR_MATRIX	0	0	22	0	16	14	26	17	10	24	7	7	11	26	19	27	32	0	17	14	32	15	29	14	11	0	17	20	0	18	16	22	26	29	9	0	13
GO_GATED_CHANNEL_ACTIVITY	9	7	21	18	16	14	42	26	12	31	0	11	12	31	17	36	42	8	21	15	31	13	27	25	10	26	13	27	0	31	32	23	28	24	6	15	15
GO_GLUTAMATERGIC_SYNAPSE	3	6	22	11	11	12	21	21	7	21	0	0	8	16	17	22	26	7	11	9	29	8	28	9	9	20	12	24	0	22	24	12	19	23	0	6	12
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	4	0	7	5	3	4	0	12	0	5	0	2	0	6	4	7	6	3	0	0	6	0	8	0	4	7	0	9	0	8	8	5	0	10	0	4	6
GO_HEART_PROCESS	3	5	10	6	8	10	19	13	5	16	0	0	6	15	0	20	29	0	10	6	18	8	17	12	0	20	11	16	0	19	24	13	14	14	0	10	0
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	3	5	6	5	9	5	13	0	7	11	0	7	0	13	7	10	15	4	8	6	14	0	10	15	4	5	6	6	6	14	11	9	11	13	0	0	0
GO_HORMONE_ACTIVITY	4	3	5	0	0	7	13	7	3	7	2	5	0	13	0	12	15	0	5	0	0	0	8	5	5	9	0	5	2	8	0	7	9	6	0	0	6
GO_HORMONE_TRANSPORT	5	0	16	9	12	8	26	21	8	27	0	0	0	29	15	27	30	0	13	0	18	8	19	12	11	21	15	20	0	20	20	16	24	17	0	6	14
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	9	0	31	21	21	19	52	34	15	37	0	15	17	38	30	42	59	7	22	15	41	18	41	32	13	37	25	38	0	39	38	28	39	31	10	22	18
GO_INSULIN_SECRETION	4	4	14	9	10	5	20	17	5	18	0	0	4	21	13	21	24	0	12	0	17	5	15	8	11	16	11	17	0	14	18	10	19	15	0	6	13
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	14	16	58	29	35	27	86	60	30	69	0	20	21	64	50	78	92	17	42	30	71	26	71	47	28	54	45	55	6	61	63	56	62	61	21	0	33
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	0	0	8	3	5	3	6	5	6	7	0	0	0	7	4	9	13	0	0	3	8	0	8	4	0	6	0	6	0	6	8	6	8	7	2	0	4
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	3	3	10	5	6	4	12	11	6	10	0	0	0	12	7	17	20	2	0	6	13	0	14	6	0	11	7	11	0	12	12	10	12	12	3	0	8
GO_ION_GATED_CHANNEL_ACTIVITY	2	0	4	0	0	2	3	0	3	5	0	0	4	6	4	5	5	0	0	0	5	3	0	6	0	3	5	0	0	8	0	0	0	0	0	0	0
GO_ION_TRANSMEMBRANE_TRANSPORT	12	13	39	25	28	28	68	45	20	48	0	17	20	51	36	59	73	10	31	23	49	20	55	39	19	48	32	46	0	49	48	39	49	45	14	27	30
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	9	29	21	19	19	52	32	16	36	0	11	15	39	25	46	56	9	23	18	40	14	36	31	14	33	23	32	0	37	38	29	38	32	9	20	22
GO_ION_TRANSPORT	16	15	43	30	35	31	83	55	22	57	10	21	25	62	45	71	88	12	39	25	63	22	68	44	23	55	39	53	0	60	62	48	65	57	18	31	33
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	5	0	9	10	6	9	14	13	0	10	0	0	4	10	5	14	11	4	7	4	11	0	9	6	4	15	0	10	0	8	13	9	9	9	3	5	8
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	6	0	9	10	7	10	18	15	0	12	0	6	5	13	7	15	13	4	8	6	13	0	11	9	5	15	0	11	0	12	14	10	10	11	3	6	8
GO_LOCOMOTORY_BEHAVIOR	3	0	10	4	5	10	15	13	4	12	0	3	0	16	0	13	16	3	8	7	13	0	18	8	8	17	8	11	0	12	12	0	9	12	0	5	9
GO_MAIN_AXON	0	2	7	3	9	0	8	5	3	7	3	0	2	6	0	8	11	0	8	7	5	3	6	5	3	6	0	9	0	5	8	4	10	6	2	0	4
GO_MEMBRANE_DEPOLARIZATION	2	0	5	6	6	3	14	6	3	10	0	0	0	11	5	9	16	2	4	4	9	5	11	10	0	8	5	10	0	8	10	9	11	8	0	6	0
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	0	2	3	3	4	0	9	3	0	4	0	0	0	5	3	5	9	0	3	3	7	4	6	6	0	5	3	6	0	3	5	5	5	4	0	3	0
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0	0	2	2	3	0	7	2	0	4	0	0	0	4	3	4	7	0	0	3	4	2	5	5	0	5	3	4	0	3	5	3	3	4	0	3	0
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6	6	20	17	13	11	33	25	11	28	0	6	10	24	15	28	41	7	17	13	31	11	24	22	9	26	15	27	0	27	29	18	28	22	0	15	13
GO_METAL_ION_TRANSPORT	8	0	29	25	23	22	50	37	14	41	7	13	16	40	30	42	58	6	26	16	43	17	45	35	0	41	24	38	0	37	40	28	41	33	11	23	21
GO_MICROTUBULE	0	0	13	0	9	8	24	0	0	13	0	5	7	15	14	21	22	0	9	0	0	0	0	0	8	0	12	26	0	12	13	13	14	18	8	9	17
GO_MICROTUBULE_BASED_PROCESS	0	13	20	0	0	17	35	30	0	21	6	8	12	24	27	37	35	6	17	12	0	0	25	14	13	18	22	40	0	22	27	24	25	31	10	17	21
GO_MICROTUBULE_BINDING	0	4	13	0	6	10	23	10	0	13	0	7	7	14	13	20	18	3	8	5	12	6	14	6	6	8	13	21	0	12	12	15	13	18	5	7	15
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0	9	0	8	11	14	23	22	0	0	0	0	11	0	19	29	26	0	12	9	0	0	17	11	9	0	14	33	0	0	21	19	20	23	9	12	17
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	5	14	15	12	0	24	15	7	19	0	0	0	17	0	24	32	5	15	9	22	9	17	13	0	20	13	17	0	14	18	16	17	0	5	12	9
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	0	0	19	18	18	12	35	21	9	25	0	7	10	25	18	31	41	4	18	9	29	13	26	19	0	25	18	25	0	19	21	20	23	19	7	16	15
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0	5	12	6	9	7	21	13	7	16	0	0	8	14	10	20	28	0	11	7	19	7	16	14	5	15	6	17	0	16	20	13	15	14	0	9	7
GO_NEUROGENESIS	0	24	55	27	38	40	88	61	31	59	14	18	28	66	64	79	83	16	48	30	79	36	76	35	36	45	58	80	0	57	71	57	61	64	20	28	37
GO_NEURON_DEVELOPMENT	7	17	43	17	26	30	68	46	21	50	9	15	22	55	53	57	66	15	34	17	61	26	60	28	28	36	42	59	0	44	53	39	50	45	18	17	25
GO_NEURON_DIFFERENTIATION	0	20	52	23	35	37	80	54	24	54	11	16	24	62	59	69	75	15	45	25	71	34	71	30	33	40	50	70	0	50	67	48	56	56	18	22	30
GO_NEURON_PROJECTION	11	26	59	33	38	34	101	65	35	74	12	27	27	86	61	97	111	16	47	32	80	28	92	51	35	70	56	92	0	75	86	53	71	68	23	31	47
GO_NEURON_PROJECTION_GUIDANCE	3	0	14	0	9	7	26	13	6	17	0	5	8	19	11	11	14	4	8	0	22	6	16	9	6	10	15	16	0	15	16	14	14	16	0	6	0
GO_NEURON_PROJECTION_TERMINUS	3	4	14	4	6	4	14	8	6	9	0	3	6	12	10	10	19	5	7	6	13	4	14	8	5	12	8	13	0	12	15	7	12	12	3	0	9
GO_NEURON_SPINE	2	3	9	5	6	0	15	10	9	10	3	6	0	15	14	16	19	0	0	6	13	0	16	10	7	14	12	18	0	10	12	10	13	8	4	7	9
GO_NEURON_TO_NEURON_SYNAPSE	4	9	19	9	11	15	26	26	12	20	5	0	7	27	21	29	33	4	9	0	28	0	35	14	15	18	17	31	0	21	26	18	21	25	13	11	18
GO_NEUROTRANSMITTER_SECRETION	0	4	12	5	11	6	19	12	7	12	4	0	4	11	13	23	16	4	6	4	11	4	20	6	4	11	7	16	0	12	16	8	15	17	5	6	8
GO_NEUROTRANSMITTER_TRANSPORT	0	4	16	7	13	7	22	14	8	14	5	0	6	14	15	25	20	4	9	5	15	6	22	7	0	13	10	18	0	14	18	11	17	18	5	7	8
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	7	25	19	16	15	46	28	13	37	0	11	13	34	21	39	46	10	22	15	33	13	29	28	12	28	13	28	0	33	32	24	31	26	8	17	16
GO_PEPTIDE_HORMONE_SECRETION	4	4	16	9	12	6	23	19	7	21	0	0	0	25	14	23	28	0	12	0	18	7	16	11	11	19	13	18	0	17	20	14	22	15	0	6	13
GO_PEPTIDE_SECRETION	4	0	20	11	14	11	27	25	11	28	0	0	7	34	23	29	36	4	18	0	23	13	23	18	14	24	18	25	0	20	27	19	29	21	0	0	13
GO_PERIKARYON	0	4	13	6	5	5	16	8	6	12	0	3	0	10	9	13	17	0	6	5	16	6	16	6	0	10	5	12	0	9	11	7	13	10	3	6	7
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	5	9	22	21	17	12	42	30	13	26	0	8	0	29	0	35	44	7	23	11	31	0	28	19	12	29	0	25	0	26	33	21	35	28	8	0	16
GO_PLASMA_MEMBRANE_REGION	9	16	33	18	19	20	49	42	22	46	8	18	14	50	44	59	68	7	0	19	46	0	56	35	26	40	35	45	0	40	46	45	39	48	15	16	27
GO_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT	0	7	17	9	0	11	27	0	14	18	5	0	8	19	20	21	28	5	15	8	23	12	31	0	9	17	13	25	0	16	18	15	23	22	8	0	0
GO_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	0	7	13	6	0	11	21	0	9	14	0	0	7	16	17	14	22	5	12	6	18	11	25	0	7	16	0	20	0	12	15	0	17	15	5	0	9
GO_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0	6	9	6	6	9	18	0	7	12	0	4	0	13	13	0	15	3	10	6	15	10	21	0	0	12	0	15	0	9	13	0	14	13	0	0	0
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	2	4	8	4	8	6	13	8	6	10	0	0	0	9	11	15	16	0	5	5	13	0	16	8	8	9	6	11	0	12	10	6	9	11	0	4	8
GO_POSITIVE_REGULATION_OF_TRANSPORT	8	0	32	18	27	18	40	29	12	33	9	11	11	34	24	41	50	0	22	12	29	16	36	0	15	28	0	35	0	23	32	30	35	35	0	14	20
GO_POSTSYNAPSE	7	14	30	16	17	20	48	41	21	36	8	15	11	47	37	49	56	8	16	12	40	12	54	28	19	33	29	47	0	39	42	30	33	39	13	14	24
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	3	3	6	4	3	4	9	12	4	9	0	0	3	8	6	11	14	0	0	0	9	0	13	6	6	9	0	12	0	9	12	7	8	10	4	4	8
GO_POSTSYNAPTIC_MEMBRANE	6	7	12	9	7	9	28	25	14	22	4	12	7	25	23	31	32	4	8	9	22	8	31	18	14	19	16	23	0	22	26	24	20	24	6	7	15
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	3	3	7	5	4	6	12	15	5	9	0	0	3	10	7	14	15	0	4	3	11	0	15	6	6	11	4	12	0	11	13	9	9	11	4	5	9
GO_POTASSIUM_CHANNEL_ACTIVITY	2	0	9	11	6	0	16	11	6	13	0	4	3	11	7	16	20	3	12	5	11	6	9	7	3	12	5	10	0	7	13	9	11	9	3	6	8
GO_POTASSIUM_CHANNEL_COMPLEX	0	3	8	9	6	0	11	11	4	11	0	4	0	10	6	11	16	2	9	3	11	3	8	7	3	12	0	5	0	6	10	7	11	8	3	3	7
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2	0	9	11	6	0	16	12	6	14	0	4	3	11	7	17	22	3	12	5	12	6	11	7	4	14	7	12	0	8	14	9	11	10	4	7	9
GO_POTASSIUM_ION_TRANSPORT	0	0	11	14	10	0	22	14	8	19	0	6	4	16	10	23	26	0	14	5	16	8	13	10	0	14	11	15	0	12	15	10	15	12	5	8	12
GO_PRESYNAPSE	6	12	28	14	19	10	38	25	16	27	10	11	14	38	31	39	48	7	16	12	31	13	38	23	15	26	19	39	3	30	35	24	33	29	8	9	20
GO_PRESYNAPTIC_MEMBRANE	3	3	12	5	7	4	10	11	8	15	5	5	0	13	9	14	18	3	0	5	12	6	16	8	4	11	6	12	0	10	10	10	11	12	0	0	5
GO_REGULATION_OF_BLOOD_CIRCULATION	5	5	10	7	8	10	23	14	7	18	0	0	7	16	9	20	30	3	10	6	23	8	18	15	0	21	11	17	2	20	23	13	13	15	0	11	0
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	4	0	13	9	12	8	19	16	6	17	0	6	0	18	12	19	26	0	11	8	17	7	20	15	8	19	10	19	0	18	19	14	21	17	7	8	12
GO_REGULATION_OF_CELL_DEVELOPMENT	0	13	29	16	20	22	50	35	22	31	9	12	12	33	38	46	42	8	29	13	47	18	49	17	20	31	32	51	0	28	39	32	36	40	15	17	18
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0	11	18	12	14	18	40	28	16	27	0	12	9	25	35	30	34	5	19	14	38	16	42	15	17	27	21	36	0	24	30	23	28	29	12	11	15
GO_REGULATION_OF_EXOCYTOSIS	0	5	11	5	10	5	18	9	5	12	4	0	6	12	13	21	20	0	8	5	8	0	15	0	5	11	7	16	0	10	11	0	13	13	5	7	10
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0	0	4	2	4	0	8	5	2	6	0	0	0	5	3	6	10	0	3	2	5	3	6	5	0	6	0	5	0	3	6	4	4	4	0	4	0
GO_REGULATION_OF_HORMONE_LEVELS	9	0	22	11	14	11	32	26	11	32	0	0	8	36	17	34	38	0	17	0	24	9	24	14	14	26	17	27	0	27	25	18	27	20	0	8	16
GO_REGULATION_OF_HORMONE_SECRETION	4	0	13	9	10	7	22	19	7	21	0	0	0	26	11	22	24	0	11	0	15	6	15	10	9	15	11	15	0	19	14	12	20	13	0	5	10
GO_REGULATION_OF_INSULIN_SECRETION	3	0	10	8	7	0	17	14	4	15	0	0	0	19	10	17	19	0	9	0	13	0	12	7	9	12	9	13	0	13	13	8	15	13	0	5	9
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	5	7	19	17	16	9	36	21	10	26	0	9	8	28	17	27	41	4	20	11	23	12	29	21	9	25	16	28	0	28	28	22	31	20	7	13	14
GO_REGULATION_OF_ION_TRANSPORT	7	8	23	22	23	13	50	28	12	33	6	14	12	37	25	35	52	7	26	13	30	14	41	25	13	30	21	35	0	36	36	29	41	28	10	18	17
GO_REGULATION_OF_MEMBRANE_POTENTIAL	7	0	16	15	14	9	44	26	12	32	0	8	7	30	17	32	41	6	16	13	31	11	30	21	12	24	18	25	0	29	29	22	25	23	8	16	13
GO_REGULATION_OF_METAL_ION_TRANSPORT	4	0	14	9	13	9	21	14	7	20	4	8	7	21	15	15	26	0	12	9	19	8	25	16	0	19	10	17	0	18	18	15	23	16	7	7	11
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0	16	31	16	19	22	50	37	23	35	9	11	13	36	41	45	44	9	27	14	49	20	54	17	20	32	32	52	0	31	41	30	36	41	14	20	22
GO_REGULATION_OF_NEURON_DIFFERENTIATION	0	10	25	13	16	18	42	29	15	26	6	9	11	28	33	33	33	7	23	9	38	17	43	14	18	28	26	44	0	22	35	23	28	32	11	13	15
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0	9	17	10	12	15	34	23	12	22	0	9	7	19	27	27	27	5	18	8	30	14	38	10	13	24	16	33	0	19	28	17	22	25	10	8	13
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0	5	14	5	12	6	19	13	8	13	5	0	4	13	15	24	19	4	8	5	13	5	21	6	0	11	9	16	0	13	18	10	17	17	5	6	8
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0	0	9	3	7	6	13	7	4	8	3	0	3	6	7	15	13	3	5	3	7	0	11	0	3	6	6	9	0	6	10	0	8	12	4	3	6
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	3	0	12	8	9	5	20	16	6	17	0	0	0	22	11	19	22	0	9	0	14	5	13	9	9	14	10	14	0	16	14	11	17	13	0	5	9
GO_REGULATION_OF_PEPTIDE_SECRETION	0	0	15	10	11	9	22	21	8	21	0	0	0	27	17	23	27	0	12	0	17	9	17	12	12	18	13	18	0	17	20	15	21	18	0	0	9
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	4	0	6	4	0	4	15	12	0	9	0	3	0	10	5	9	8	3	4	4	14	0	11	0	6	9	6	7	0	8	9	7	7	6	3	0	0
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0	5	10	5	8	5	15	8	4	9	3	0	5	8	8	17	17	2	5	0	6	0	11	0	0	7	6	11	0	8	11	6	11	11	3	6	7
GO_REGULATION_OF_SECRETION	6	8	26	15	23	17	45	33	14	36	8	8	9	43	27	45	48	7	23	10	27	15	40	19	16	30	20	33	0	32	29	23	38	32	8	0	18
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0	4	11	4	9	5	13	9	6	11	5	0	0	8	11	14	18	0	8	6	14	5	18	9	10	14	0	16	0	10	12	0	14	11	6	0	8
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0	0	9	4	6	6	13	11	3	11	5	0	4	9	10	16	13	2	5	0	7	0	13	0	5	9	6	12	0	6	12	6	12	12	3	3	9
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0	0	7	0	4	5	10	6	3	8	3	0	0	5	6	12	11	0	3	0	4	0	8	0	0	6	4	7	0	5	8	0	8	10	3	0	6
GO_REGULATION_OF_SYSTEM_PROCESS	8	7	16	14	19	17	42	22	9	29	6	0	9	28	16	32	46	5	23	12	41	20	33	21	0	33	24	29	3	30	35	26	28	33	10	15	14
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	5	7	20	18	19	0	39	21	11	29	0	9	8	30	19	30	44	0	22	12	25	13	32	22	10	27	20	30	0	31	30	26	32	25	10	16	15
GO_REGULATION_OF_TRANSPORT	13	0	55	37	45	32	96	67	24	76	20	22	23	79	56	85	99	12	47	22	60	30	82	43	36	59	46	78	0	67	71	65	84	73	20	30	39
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	7	8	20	13	19	13	37	24	9	25	7	5	0	25	22	35	37	9	14	10	32	10	37	20	17	26	21	33	0	26	30	15	24	28	14	10	19
GO_RETROGRADE_AXONAL_TRANSPORT	0	2	3	0	0	0	3	0	0	4	0	0	0	3	2	4	5	0	2	0	0	0	3	2	0	0	0	4	0	6	3	0	0	0	0	2	0
GO_SECRETION	10	0	41	19	34	23	62	44	22	55	12	0	0	59	42	62	67	10	37	18	45	24	56	30	20	43	0	48	0	43	49	41	55	48	16	0	0
GO_SIGNAL_RELEASE	6	8	25	14	22	17	42	34	14	35	6	6	0	38	23	44	43	7	19	9	29	13	37	19	14	31	21	32	0	30	35	25	36	30	7	10	20
GO_SITE_OF_POLARIZED_GROWTH	0	4	8	0	0	5	15	15	8	12	0	4	0	14	11	12	20	0	0	0	11	0	12	5	4	0	7	18	0	10	13	9	11	0	0	0	8
