	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	1	1	1	1	1	1	1	1	1	1	1	0.249480738441	1	1	1
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	1	1	1	1	0.938491714325	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	1	1	1	0.126865522735	1	1	1
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000814878686138	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_ION_TRANSPORT	1	1	1	1	0.00280323863168	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	0.0496075284017	1	1	1	1	1	1	0.000864230831998	1	1	1
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	0.580991728882	1	1	1
GO_REGULATION_OF_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	1	0.376890368365	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.459844093633	1
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1	1	1	1	9.02435980565e-05	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_TRANSPORT	1	1	1	1	0.0245793457546	1	1	1	1	1	1	0.0500043641918	1	1	1
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	1	1	1	1	1	1	1	1	1	1	0.0	0.221801646312	1	1
GO_SIGNAL_RELEASE	1	1	1	1	1	1	1	1	1	1	1	1	0.345099041777	1	1
GO_SOMATODENDRITIC_COMPARTMENT	1	1	0.0332293201089	1	0.00736306423699	1	1	1	1	1	1	0.0	1	1	1
GO_SYNAPSE	0.00434362319061	0.486456439684	0.000869563977955	1	5.54185057311e-06	1	1	1	1	1	0.0195220537807	1.15733297251e-05	0.000795724078014	1	1
GO_SYNAPSE_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	0.0400344874804	1	1	1
GO_SYNAPTIC_MEMBRANE	1	1	0.741085191611	1	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_SIGNALING	1	1	1	1	0.000837318401086	1	1	1	1	1	1	0.0	0.000120543163809	1	1
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	1	1	0.971166476715	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	1	1	0.000911325817876	1	1	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	0.253462337408	1	1	1
GO_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000417636388793	1	1	1	1	1	1	0.0527348036023	1	1	1
GO_TRANSPORTER_ACTIVITY	1	1	1	1	0.0486374267918	1	1	1	1	1	1	1	1	1	1
GO_TRANSPORTER_COMPLEX	1	1	1	1	0.158187281399	1	1	1	1	1	1	0.000113070035397	1	1	1
GO_TRANSPORT_VESICLE	1	1	1	1	1	1	1	1	1	1	1	0.000143646198954	1	1	1
GO_TRANSPORT_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	0.786195655599	1	1	1
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	0.698413068723	1	1	1	1	1
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0695534661816	1	1	1	1	1	1	1	1	1	1
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	1	1	1	1	0.000235772033881	1	1	0.857556634775	1	1	1	1	1	1	1
