TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
MSX2	CNNM1	-0.98266	51	-1	rgb(  1, 86,255)	2	None
ESRRB	CNTN5	0.081986	47.74	0.739	rgb(225, 76, 77)	1.9348	None
MSX2	CNTN5	0.81187	50.92	0.917	rgb(227, 42, 44)	1.9984	None
ESRRB	COL8A1	-0.582	50.11	-7.6E-01	rgb( 52,117,246)	1.9822	None
GATA3	COL8A1	-0.62628	48.43	-4.3E-01	rgb(124,160,233)	1.9486	None
ESRRB	CORIN	-0.85509	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
MSX2	CORIN	-0.37306	43.62	-6.2E-01	rgb( 82,135,241)	1.8524	None
ESRRB	CPB1	-0.27887	48.83	-8.3E-01	rgb( 37,107,249)	1.9566	None
MSX2	CPB1	-0.10104	47.82	-8.2E-01	rgb( 38,108,248)	1.9364	None
ESRRB	CPLX1	0.67711	50.75	0.748	rgb(225, 74, 76)	1.995	None
MSX2	CPLX1	0.60806	47.92	0.918	rgb(227, 42, 44)	1.9384	None
ESRRB	CRYBA2	0.92054	50.98	0.979	rgb(228, 30, 32)	1.9996	None
MSX2	CRYBA2	0.56489	47.44	0.441	rgb(222,133,134)	1.9288	None
ESRRB	CRYM	0.60781	50.23	0.91	rgb(227, 43, 45)	1.9846	None
MSX2	CRYM	0.97266	50.88	0.879	rgb(227, 49, 51)	1.9976	None
ESRRB	DCST2	0.77354	49.9	0.901	rgb(227, 45, 47)	1.978	None
GATA3	DCST2	-0.10548	47.84	-8.4E-01	rgb( 35,106,249)	1.9368	None
ESRRB	DDX60	-0.618	48.32	-3.2E-01	rgb(147,174,229)	1.9464	None
MSX2	DDX60	0.96661	50.86	0.863	rgb(226, 52, 54)	1.9972	None
GATA3	DEPTOR	-0.87528	50.96	-9.6E-01	rgb( 10, 91,253)	1.9992	None
MSX2	DEPTOR	0.84885	50.64	0.638	rgb(224, 95, 96)	1.9928	None
ESRRB	DES	0.10548	47.84	0.838	rgb(226, 57, 59)	1.9368	None
GATA3	DES	0.53835	49.95	0.955	rgb(228, 35, 37)	1.979	None
MSX2	DES	-0.69152	49.38	-3.8E-01	rgb(134,166,232)	1.9676	None
ESRRB	DLGAP3	0.89841	50.97	0.967	rgb(228, 32, 34)	1.9994	None
MSX2	DLGAP3	0.41411	44.49	0.495	rgb(222,123,124)	1.8698	None
GATA3	DNAH7	-0.34198	48.98	-9.8E-01	rgb(  4, 87,254)	1.9596	None
MSX2	DNAH7	0.077515	37.2	0.196	rgb(219,180,180)	1.724	None
ESRRB	DNAH9	0.1337	47.94	0.939	rgb(227, 38, 40)	1.9388	None
GATA3	DNAH9	-0.92054	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
MSX2	DNAH9	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
ESRRB	DNER	-0.42569	44.63	-6.3E-01	rgb( 80,134,241)	1.8726	None
MSX2	DNER	0.7072	49.52	0.523	rgb(223,117,118)	1.9704	None
GATA3	DSEL	-0.98266	51	-1	rgb(  0, 85,255)	2	None
MSX2	DSEL	0.71468	49.57	0.57	rgb(223,108,109)	1.9714	None
ESRRB	EDN3	0.98266	51	1	rgb(228, 26, 28)	2	None
MSX2	EDN3	0.27224	41.52	0.515	rgb(223,119,120)	1.8104	None
