TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
RFX6	ST18	1	51	0.995	rgb(228, 27, 29)	2	None
ASCL1	SV2B	0.99707	50.99	0.987	rgb(228, 29, 31)	1.9998	None
INSM1	PGA5	0.99707	50.99	0.987	rgb(228, 29, 31)	1.9998	None
RFX6	NEUROD1	0.99707	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RFX6	NKX2-2	0.99707	50.99	0.992	rgb(228, 28, 30)	1.9998	None
ETS1	GSTM2	-0.99414	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
NEUROD1	CHGA	0.99414	50.98	0.984	rgb(228, 29, 31)	1.9996	None
NEUROD1	RGS4	0.99414	50.98	0.984	rgb(228, 29, 31)	1.9996	None
NEUROD1	SCN3A	0.99414	50.98	0.981	rgb(228, 30, 32)	1.9996	None
NFAT5	GPM6B	0.99414	50.98	0.978	rgb(228, 30, 32)	1.9996	2,2
RFX6	MARCH4	0.99414	50.98	0.979	rgb(228, 30, 32)	1.9996	None
ARX	AF131837	0.99121	50.97	0.972	rgb(228, 31, 33)	1.9994	2,2
ARX	MMRN1	0.99121	50.97	0.975	rgb(228, 31, 33)	1.9994	None
NEUROD1	SCG3	0.99121	50.97	0.972	rgb(228, 31, 33)	1.9994	None
NEUROD1	UBE2QL1	0.99121	50.97	0.971	rgb(228, 32, 34)	1.9994	None
RFX6	CA8	0.99121	50.97	0.971	rgb(228, 32, 34)	1.9994	None
ARX	ID4	0.98827	50.96	0.957	rgb(228, 34, 36)	1.9992	None
FOXP2	COL21A1	0.98827	50.96	0.959	rgb(228, 34, 36)	1.9992	None
NEUROD1	GPR119	0.98827	50.96	0.961	rgb(228, 33, 35)	1.9992	None
NEUROD1	SCG2	0.98827	50.96	0.961	rgb(228, 34, 35)	1.9992	None
NFAT5	TMEM212	0.98827	50.96	0.961	rgb(228, 33, 35)	1.9992	None
ATOH8	TMEM8C	0.98827	50.96	0.961	rgb(228, 33, 35)	1.9992	2,2
ETV1	SV2A	0.98534	50.95	0.949	rgb(227, 36, 38)	1.999	None
FEV	BRS3	0.98534	50.95	0.952	rgb(227, 35, 37)	1.999	None
GATA2	FAM171B	0.98534	50.95	0.946	rgb(227, 36, 38)	1.999	None
LMX1A	GFRA3	0.98534	50.95	0.952	rgb(227, 35, 37)	1.999	None
NEUROD1	LOC100507351	0.98534	50.95	0.947	rgb(227, 36, 38)	1.999	None
FEV	SLC18A1	0.98241	50.94	0.945	rgb(227, 37, 38)	1.9988	None
FEV	TUB	0.98241	50.94	0.939	rgb(227, 38, 40)	1.9988	None
HHEX	TTR	0.98241	50.94	0.943	rgb(227, 37, 39)	1.9988	None
ISL1	SGCD	0.98241	50.94	0.945	rgb(227, 37, 38)	1.9988	None
NEUROD1	DUSP26	0.98241	50.94	0.942	rgb(227, 37, 39)	1.9988	None
NEUROD1	HES6	0.98241	50.94	0.936	rgb(227, 38, 40)	1.9988	None
NEUROD1	LOC642366	0.98241	50.94	0.945	rgb(227, 37, 38)	1.9988	None
NEUROG3	C2CD4A	0.98241	50.94	0.936	rgb(227, 38, 40)	1.9988	None
RFX6	BTBD17	0.98241	50.94	0.94	rgb(227, 37, 39)	1.9988	None
ASCL2	RAB36	0.97948	50.93	0.931	rgb(227, 39, 41)	1.9986	None
ETV1	SCG5	0.97948	50.93	0.934	rgb(227, 39, 40)	1.9986	None
ETV1	SST	0.97948	50.93	0.927	rgb(227, 40, 42)	1.9986	None
