TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
ASCL2	CDK5R1	0.078221	40.27	0.274	rgb(220,165,165)	1.7854	None
FOXD4L5	PLGLB2	0.078221	40.27	0.265	rgb(220,166,167)	1.7854	2,2
GATA4	CELF4	0.078221	40.27	0.269	rgb(220,166,166)	1.7854	None
HSF2	MAPK10	0.078221	40.27	0.266	rgb(220,166,167)	1.7854	None
MAFA	FLJ00385	0.078221	40.27	0.269	rgb(220,166,166)	1.7854	2,2
MAFA	UCP2	0.078221	40.27	0.267	rgb(220,166,167)	1.7854	None
RORC	LRRN2	0.078221	40.27	0.268	rgb(220,166,166)	1.7854	None
SIX2	AB074188	0.078221	40.27	0.27	rgb(220,166,166)	1.7854	2,2
SOX4	CHRNB2	0.078221	40.27	0.27	rgb(220,165,166)	1.7854	None
TFCP2L1	AGT	-0.078221	40.27	-2.7E-01	rgb(159,182,227)	1.7854	None
ZNF846	GALNT16	-0.078221	40.27	-2.7E-01	rgb(159,182,227)	1.7854	None
FOXA2	OLFML3	0.077567	40.26	0.26	rgb(220,167,168)	1.7852	None
GATA4	TMEM178B	0.077567	40.26	0.256	rgb(220,168,169)	1.7852	None
HOMEZ	LOC100130000	-0.077567	40.26	-2.6E-01	rgb(160,182,227)	1.7852	2,2
HSF2	IMPG1	0.077567	40.26	0.264	rgb(220,167,167)	1.7852	None
NKX6-1	NXPE1	-0.077567	40.26	-2.6E-01	rgb(161,183,227)	1.7852	None
PDX1	RAB36	0.077567	40.26	0.26	rgb(220,167,168)	1.7852	None
POU2F2	CACNA2D2	-0.077567	40.26	-2.6E-01	rgb(160,182,227)	1.7852	None
PRDM16	AK095242	0.077567	40.26	0.259	rgb(220,168,168)	1.7852	2,2
PRDM16	DNAPTP1	0.077567	40.26	0.257	rgb(220,168,168)	1.7852	2,2
SIX2	NHSL2	0.077567	40.26	0.257	rgb(220,168,168)	1.7852	None
SMAD9	MAP1A	0.077567	40.26	0.257	rgb(220,168,168)	1.7852	None
TFCP2L1	NOXO1	-0.077567	40.26	-2.6E-01	rgb(160,182,227)	1.7852	None
HLF	AK124970	0.076912	40.25	0.254	rgb(220,168,169)	1.785	2,2
HSF2	ZFHX2	0.076912	40.25	0.248	rgb(220,170,170)	1.785	None
MAFB	LRRC37A	0.076912	40.25	0.248	rgb(220,170,170)	1.785	None
PBX3	MAGED4	-0.076912	40.25	-2.5E-01	rgb(163,184,226)	1.785	None
POU6F1	GADD45A	-0.076912	40.25	-2.5E-01	rgb(163,184,226)	1.785	None
SIX2	ZFHX2	0.076912	40.25	0.246	rgb(220,170,170)	1.785	None
SPIB	SLC30A8	0.076912	40.25	0.25	rgb(220,169,170)	1.785	None
ZBTB4	LOC440434	0.076912	40.25	0.251	rgb(220,169,169)	1.785	2,2
GATA6	FCGBP	-0.076257	40.24	-2.4E-01	rgb(164,185,226)	1.7848	None
INSM1	CPLX1	0.076257	40.24	0.243	rgb(220,171,171)	1.7848	None
NR4A3	GRIN1	0.076257	40.24	0.24	rgb(220,171,172)	1.7848	None
ONECUT2	PKIA	0.076257	40.24	0.237	rgb(220,172,172)	1.7848	None
PBX3	KTN1-AS1	0.076257	40.24	0.238	rgb(220,172,172)	1.7848	None
PDX1	YPEL4	0.076257	40.24	0.244	rgb(220,170,171)	1.7848	None
ZNF492	AX746823	0.076257	40.24	0.241	rgb(220,171,171)	1.7848	2,2
ZNF788	AK124970	0.076257	40.24	0.239	rgb(220,171,172)	1.7848	2,2
ARX	CLCA1	0.075603	40.23	0.232	rgb(220,173,173)	1.7846	None
EBF3	CFC1B	0.075603	40.23	0.233	rgb(220,173,173)	1.7846	None
LHX1	NEGR1	-0.075603	40.23	-2.3E-01	rgb(166,186,226)	1.7846	None
NR4A3	C2CD4A	0.075603	40.23	0.229	rgb(220,173,174)	1.7846	None
PLAG1	CREBRF	0.075603	40.23	0.234	rgb(220,172,173)	1.7846	None
RFX2	CNGA4	0.075603	40.23	0.226	rgb(219,174,174)	1.7846	None
SIX2	ZDHHC11	0.075603	40.23	0.232	rgb(220,173,173)	1.7846	None
TP73	CRLF1	0.075603	40.23	0.228	rgb(220,173,174)	1.7846	None
ASCL1	MIAT	0.074948	40.22	0.22	rgb(219,175,175)	1.7844	None
GATA4	KCNN3	-0.074948	40.22	-2.2E-01	rgb(168,187,226)	1.7844	None
NEUROG3	USP13	0.074948	40.22	0.224	rgb(219,174,175)	1.7844	None
PAX6	GUCY1A3	0.074948	40.22	0.223	rgb(219,174,175)	1.7844	2,2
RFX6	CACNA2D1	0.074948	40.22	0.22	rgb(219,175,175)	1.7844	None
RORC	CRY2	0.074948	40.22	0.218	rgb(219,175,176)	1.7844	None
RORC	GJD2	-0.074948	40.22	-2.2E-01	rgb(169,188,225)	1.7844	None
TGIF2	CAND2	0.074948	40.22	0.22	rgb(219,175,175)	1.7844	None
TGIF2	NPY	0.074948	40.22	0.216	rgb(219,176,176)	1.7844	None
ZNF846	LHX1	-0.074948	40.22	-2.2E-01	rgb(170,189,225)	1.7844	None
AEBP1	TRAM1L1	0.074948	40.22	0.223	rgb(219,174,175)	1.7844	2,2
FOXD4L5	CYMP	-0.074294	40.21	-2.1E-01	rgb(171,189,225)	1.7842	None
FOXP2	AK022997	0.074294	40.21	0.211	rgb(219,177,177)	1.7842	2,2
GATA2	PRPH	0.074294	40.21	0.206	rgb(219,178,178)	1.7842	None
HIF1A	NKAIN1	0.074294	40.21	0.208	rgb(219,177,178)	1.7842	None
HSF2	DEFB1	0.074294	40.21	0.215	rgb(219,176,176)	1.7842	None
POU5F1	AK126532	0.074294	40.21	0.208	rgb(219,177,178)	1.7842	2,2
SIX2	GNAO1	0.074294	40.21	0.214	rgb(219,176,176)	1.7842	None
SPIB	NHSL2	0.074294	40.21	0.215	rgb(219,176,176)	1.7842	None
ZNF117	TDRD6	0.074294	40.21	0.211	rgb(219,177,177)	1.7842	2,2
EGR3	ID4	-0.073639	40.2	-2.0E-01	rgb(173,190,225)	1.784	None
NFAT5	LOC100652999	0.073639	40.2	0.203	rgb(219,178,179)	1.784	2,2
NR4A2	GPR148	0.073639	40.2	0.198	rgb(219,179,179)	1.784	None
NR4A2	KIAA0845	-0.073639	40.2	-2.0E-01	rgb(174,191,225)	1.784	2,2
NR4A3	EFNB3	0.073639	40.2	0.197	rgb(219,179,180)	1.784	None
SIM1	CSH2	0.073639	40.2	0.198	rgb(219,179,179)	1.784	2,2
ATF6	AK128833	-0.072984	40.19	-1.9E-01	rgb(175,192,224)	1.7838	2,2
E2F7	GCH1	-0.072984	40.19	-1.9E-01	rgb(176,192,224)	1.7838	None
