TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
NEUROD1	IGFBPL1	1	50.99	0.988	rgb(228, 28, 30)	2	None
NEUROD1	NEUROD1	1	50.99	0.985	rgb(228, 29, 31)	2	None
NEUROD1	RGS4	1	50.99	0.986	rgb(228, 29, 31)	2	None
NEUROD1	SCG3	1	50.99	0.986	rgb(228, 29, 31)	2	None
NEUROD1	SSTR2	1	50.99	0.988	rgb(228, 28, 30)	2	None
NEUROD1	VWA5B2	1	50.99	0.991	rgb(228, 28, 30)	2	None
RFX6	CNIH2	1	50.99	0.985	rgb(228, 29, 31)	2	None
RFX6	JAM3	1	50.99	0.987	rgb(228, 29, 31)	2	None
RFX6	KCNH6	1	50.99	0.991	rgb(228, 28, 30)	2	None
RFX6	OR51E1	1	50.99	0.989	rgb(228, 28, 30)	2	None
NEUROD1	CHGA	0.99682	50.98	0.98	rgb(228, 30, 32)	1.9998	None
NEUROD1	HEPACAM2	0.99682	50.98	0.978	rgb(228, 30, 32)	1.9998	None
NEUROD1	RIMBP2	0.99682	50.98	0.976	rgb(228, 31, 33)	1.9998	None
NEUROD1	ST18	0.99682	50.98	0.985	rgb(228, 29, 31)	1.9998	None
NEUROG3	C2CD4A	0.99682	50.98	0.976	rgb(228, 31, 33)	1.9998	None
RFX6	CDK5R2	0.99682	50.98	0.981	rgb(228, 30, 32)	1.9998	None
RFX6	LOC728392	0.99682	50.98	0.979	rgb(228, 30, 32)	1.9998	None
RFX6	MAP2	0.99682	50.98	0.98	rgb(228, 30, 32)	1.9998	None
RFX6	MARCH4	0.99682	50.98	0.976	rgb(228, 31, 33)	1.9998	None
RFX6	RAP1GAP2	0.99682	50.98	0.985	rgb(228, 29, 31)	1.9998	None
GATA6	CNOT6L	0.99363	50.97	0.973	rgb(228, 31, 33)	1.9996	None
NEUROD1	AGT	0.99363	50.97	0.972	rgb(228, 31, 33)	1.9996	None
NEUROD1	ENPP2	0.99363	50.97	0.97	rgb(228, 32, 34)	1.9996	None
NEUROD1	NKX2-2	0.99363	50.97	0.968	rgb(228, 32, 34)	1.9996	None
NEUROG3	SOX4	0.99363	50.97	0.97	rgb(228, 32, 34)	1.9996	None
NEUROD1	DSCAML1	0.99045	50.96	0.96	rgb(228, 34, 36)	1.9994	None
NEUROD1	KCNJ11	0.99045	50.96	0.957	rgb(228, 34, 36)	1.9994	None
NEUROD1	LOC642366	0.99045	50.96	0.962	rgb(228, 33, 35)	1.9994	None
NEUROD1	SCG2	0.99045	50.96	0.964	rgb(228, 33, 35)	1.9994	None
NEUROD1	SLC6A17	0.99045	50.96	0.964	rgb(228, 33, 35)	1.9994	None
NEUROD1	SLC8A1	0.99045	50.96	0.959	rgb(228, 34, 36)	1.9994	None
NEUROD1	SSTR5-AS1	0.99045	50.96	0.958	rgb(228, 34, 36)	1.9994	None
RFX2	GPR137C	0.99045	50.96	0.956	rgb(228, 34, 36)	1.9994	None
RFX6	ARNT2	0.99045	50.96	0.956	rgb(228, 34, 36)	1.9994	None
RFX6	CACNA1A	0.99045	50.96	0.957	rgb(228, 34, 36)	1.9994	None
RFX6	GABBR2	0.99045	50.96	0.96	rgb(228, 34, 36)	1.9994	None
RFX6	GNG2	0.99045	50.96	0.961	rgb(228, 34, 35)	1.9994	None
RFX6	KIF1A	0.99045	50.96	0.964	rgb(228, 33, 35)	1.9994	None
RFX6	NFASC	0.99045	50.96	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	PDZRN3	0.99045	50.96	0.956	rgb(228, 34, 36)	1.9994	None
RFX6	PSD	0.99045	50.96	0.963	rgb(228, 33, 35)	1.9994	None
RFX6	SCGB1A1	0.99045	50.96	0.961	rgb(228, 33, 35)	1.9994	None
DACH1	AK092048	0.99045	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
ELF4	RFX6	-0.98727	50.95	-9.5E-01	rgb( 10, 91,253)	1.9992	None
