	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEYL	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846	ZNF883
GO_ACTIN_MEDIATED_CELL_CONTRACTION			CACNA1C CACNA2D1 KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	CACNA1G HCN4 KCNJ2 LIMCH1 SCN1B	ANK2 CACNA1G KCNH2 KCNJ2 SCN1B		ANK2 CACNA1G CACNA2D1 HCN4 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	CACNA1G HCN4 KCNE4 KCNJ2 SCN1B SGCD	ANK2 CACNA1C KCNE4 TMOD1	KCNE4 LIMCH1 SGCD TMOD1	ANK2 CACNA1C CACNA1G KCNE4 SCN3B TMOD1					ANK2 CACNA1C HCN4 KCNJ3 LIMCH1		CACNA1C KCNJ3 SGCD	ANK2 CACNA1C CACNA1G KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	ANK2 CACNA1G CACNA2D1 HCN4 KCNE4 KCNJ3 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 KCNE4 KCNJ2 KCNJ3 SGCD TMOD1	ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1		CACNA1G KCNE4 KCNH2 KCNJ2 TMOD1	CACNA1G CACNA2D1 KCNJ2 SCN3B	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN3B		ANK2 KCNH2 SCN1B		ANK2 CACNA1G CACNA2D1 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 TMOD1	CACNA1G CACNA2D1 HCN4	CACNA1G CACNA2D1 HCN4 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	ANK2 CACNA1G KCNE4 KCNJ2 TMOD1	CACNA1C LIMCH1		ANK2 CACNA2D1 LIMCH1	ANK2 CACNB2 HCN4 KCNH2 TMOD1			ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 HCN4 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN1B SGCD TMOD1	CACNA1C HCN4 KCNE4 KCNJ2 KCNJ3 LIMCH1 SCN3B TMOD1		ANK2 CACNA1C CACNA1G CACNA2D1 KCNH2 KCNJ2 LIMCH1 SCN3B TMOD1		KCNH2 SCN1B	CACNA1G KCNJ2 SCN1B TMOD1	HCN4 KCNH2 KCNJ2 LIMCH1 SCN1B SCN3B TMOD1	CACNA1C KCNH2
GO_ACTION_POTENTIAL		CACNA1G CACNA1H CHRNB2 KCNAB2 KCNJ2 NTRK2	CACNA1C CACNA2D1 KCNAB2 KCNE4 KCNJ2 KCNJ3 SLC8A1	CACNA1G CHRNB2 HCN4 KCNAB2 KCNJ2 KCNMB2 NTRK2 SCN1B SCN3A	ANK2 CACNA1G CHRNB2 KCNAB2 KCNH2 KCNJ2 NTRK2 SCN1B		ANK2 CACNA1G CACNA2D1 CHRNB2 HCN4 KCNAB2 KCNH2 KCNJ2 KCNJ3 KCNMB2 SCN1B SCN3A SCN3B SLC8A1	ANK2 CACNA1C CACNA2D1 CACNB2 CHRNB2 HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1	CACNA1G CACNA1H HCN4 KCNAB2 KCNE4 KCNJ2 NTRK2 SCN1B	ANK2 CACNA1C CHRNB2 KCNE4 KCNMB2 NTRK2		ANK2 CACNA1C CACNA1G KCNAB2 KCNE4 KCNMB2 SCN3B TAC1					ANK2 CACNA1C HCN4 KCNJ3 NTRK2		CACNA1C KCNJ3 KCNMB2 SCN3A	ANK2 CACNA1C CACNA1G KCNAB2 KCNE4 KCNJ2 KCNJ3 KCNMB2 TAC1	ANK2 CACNA1G CACNA2D1 HCN4 KCNAB2 KCNE4 KCNJ3	ANK2 CACNA1C CACNA1G CACNA1H CACNA2D1 CHRNB2 KCNE4 KCNJ2 KCNJ3 KCNMB2 NTRK2 SLC8A1	ANK2 CACNA1C CACNA1G CACNA1H HCN4 KCNAB2 KCNE4 KCNH2 KCNJ2 KCNJ3 KCNMB2 NTRK2 SCN3B SLC8A1		CACNA1G CACNA1H KCNAB2 KCNE4 KCNH2 KCNJ2	CACNA1G CACNA2D1 KCNAB2 KCNJ2 SCN3B SLC8A1	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNJ3 KCNMB2 NTRK2 SCN3A SCN3B SLC8A1	NTRK2 SLC8A1	ANK2 CACNA1H KCNH2 SCN1B	CACNB2 SCN3A	ANK2 CACNA1G CACNA1H CACNA2D1 CHRNB2 KCNAB2 KCNJ2 NTRK2 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 KCNMB2 NTRK2 SLC8A1	CACNA1G CACNA1H CACNA2D1 HCN4 NTRK2	CACNA1G CACNA1H CACNA2D1 CHRNB2 HCN4 KCNJ2 KCNJ3 KCNMB2 NTRK2 SCN1B SCN3B	ANK2 CACNA1G KCNAB2 KCNE4 KCNJ2 NTRK2 SLC8A1	CACNA1C CACNA1H KCNAB2 SLC8A1	CACNA2D1 KCNAB2 KCNJ3 KCNMB2 NTRK2	ANK2 CACNA2D1 KCNAB2 NTRK2	ANK2 CACNA1H CACNB2 HCN4 KCNH2 SLC8A1	CACNB2 SCN3A TAC1	ANK2 CACNA1G CACNA2D1 KCNE4 KCNMB2 NTRK2 SLC8A1 TAC1	ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNJ2 KCNMB2 NTRK2 SCN1B SCN3B	ANK2 CACNA1C CACNA1G CACNA2D1 CHRNB2 HCN4 KCNAB2 KCNE4 KCNH2 KCNJ3 KCNMB2 SCN1B SLC8A1 TAC1	CACNA1C HCN4 KCNAB2 KCNE4 KCNJ2 KCNJ3 NTRK2 SCN3A SCN3B SLC8A1	SCN3A TAC1	ANK2 CACNA1C CACNA1G CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ2 KCNMB2 NTRK2 SCN3B		KCNH2 SCN1B TAC1	CACNA1G KCNJ2 SCN1B	HCN4 KCNH2 KCNJ2 SCN1B SCN3B	CACNA1C KCNH2
GO_ADULT_BEHAVIOR	CARTPT CHL1 GABRG2 GRIN1 PCDH17	CHRNB2 NPY PBX3 SDK1 SPTBN4	EPHA4 SEZ6 SEZ6L TMOD1 UCHL1 UNC79	CHRNB2 NR4A3 SDK1	CHRNA3 CHRNB2 NR4A3 SPTBN4	CARTPT CHRNA5 CHRNB2 EFNB3 EPHA4 NR4A3 PBX3 SPTBN4 UNC79	CHRNA3 CHRNA5 CHRNB2 EFNB3 EPHA4 GABRG2 GHRL GIP NR4A3 SPTBN4 UCHL1 UNC79	BRS3 CHRNA5 CHRNB2 EFNB3 GABRG2 GHRL GIP NR4A3 PBX3 PCDH17 SEZ6 SPTBN4 UCHL1 UNC79	BRS3 CHRNA5 EPHA4 GABRG2 GHRL NR4A3 PBX3 PCDH17 SDK1 SEZ6 SEZ6L	CHRNB2 EPHA4 GABRG2 GHRL GIP SDK1 TMOD1	CHRNA3 CHRNA5 CHRNB2 GIP SDK1 SEZ6L TMOD1	CHL1 CHRNA5 EPHA4 GHRL NR4A3 PCDH17 SEZ6 SEZ6L SPTBN4 TMOD1	BRS3 SDK1		CHRNA5 PBX3		CHRNA5 EFNB3 NR4A3 PBX3 SDK1		NPY PBX3 PCDH17 SEZ6L SPTBN4	CARTPT EPHA4 GIP PBX3 PCDH17 SEZ6L SPTBN4 TMOD1 UNC79	EPHA4 GIP PBX3 SDK1 SEZ6L TMOD1 UNC79	CHRNA5 CHRNB2 EFNB3 GIP NPY PBX3 SDK1 SEZ6L TMOD1 UNC79	BRS3 CARTPT EFNB3 EPHA4 NPY PBX3 PCDH17 SEZ6 SEZ6L TMOD1 UNC79	CHRNA3 NPY PCDH17 UCHL1	BRS3 CHRNA3 NR4A3 SEZ6L TMOD1		CHL1 CXCL12 EFNB3 EPHA4 GHRL NR4A3 SDK1 SEZ6 SPTBN4	CHL1 EPHA4 SDK1	GRIN1 NR4A3 SEZ6	CARTPT NPY PCDH17	CHRNA3 CHRNA5 CHRNB2 CXCL12 EFNB3 EPHA4 GIP GRIN1 NPY PBX3 PCDH17 SDK1 SPTBN4 TMOD1	CARTPT CHL1 EPHA4 PBX3 PCDH17 SDK1 SPTBN4 TMOD1	BRS3 CHRNA3 EFNB3 GIP SDK1 UCHL1	BRS3 CHL1 CHRNB2 CXCL12 EFNB3 GIP GRIN1 NPY PBX3 SEZ6 SPTBN4 UCHL1 UNC79	BRS3 CHRNA3 EPHA4 NPY PBX3 SDK1 SPTBN4 TMOD1 UCHL1 UNC79	EPHA4 UNC79	BRS3 PBX3 SEZ6		CHRNA3 EFNB3 EPHA4 GHRL GRIN1 NR4A3 PBX3 SDK1 SEZ6L SPTBN4 TMOD1	CARTPT GABRG2 PCDH17	CARTPT EFNB3 EPHA4 GABRG2 GRIN1 PBX3 SDK1 SPTBN4 UCHL1 UNC79	BRS3 EFNB3 EPHA4 NR4A3 PBX3 SDK1 SEZ6 TMOD1 UNC79	BRS3 CARTPT CHL1 CHRNA5 CHRNB2 EFNB3 GIP NR4A3 PBX3 SEZ6 SEZ6L SPTBN4 TMOD1 UCHL1	BRS3 GABRG2 NR4A3 PBX3 PCDH17 SEZ6 TMOD1 UNC79		CARTPT CHRNB2 CXCL12 EPHA4 GHRL GIP NR4A3 PBX3 SDK1 SEZ6 SEZ6L TMOD1 UCHL1 UNC79	CHRNA3 CHRNA5 NR4A3 SDK1	EPHA4 GABRG2	GABRG2 NR4A3 PBX3 SEZ6L SPTBN4 TMOD1 UNC79	BRS3 CHRNA5 EFNB3 EPHA4 GRIN1 PBX3 SEZ6 TMOD1	
GO_ADULT_LOCOMOTORY_BEHAVIOR	CHL1 GRIN1	PBX3 SPTBN4	EPHA4 SEZ6 SEZ6L TMOD1 UCHL1			EFNB3 EPHA4 PBX3 SPTBN4	EFNB3 EPHA4 GIP SPTBN4 UCHL1	EFNB3 GIP PBX3 SEZ6 SPTBN4 UCHL1	EPHA4 PBX3 SEZ6 SEZ6L	EPHA4 GIP TMOD1	GIP SEZ6L TMOD1	CHL1 EPHA4 SEZ6 SEZ6L SPTBN4 TMOD1					EFNB3 PBX3		PBX3 SEZ6L SPTBN4	EPHA4 GIP PBX3 SEZ6L SPTBN4 TMOD1	EPHA4 GIP PBX3 SEZ6L TMOD1	EFNB3 GIP PBX3 SEZ6L TMOD1	EFNB3 EPHA4 PBX3 SEZ6 SEZ6L TMOD1		SEZ6L TMOD1		CHL1 CXCL12 EFNB3 EPHA4 SEZ6 SPTBN4	CHL1 EPHA4	GRIN1 SEZ6		CXCL12 EFNB3 EPHA4 GIP GRIN1 PBX3 SPTBN4 TMOD1	CHL1 EPHA4 PBX3 SPTBN4 TMOD1	EFNB3 GIP UCHL1	CHL1 CXCL12 EFNB3 GIP GRIN1 PBX3 SEZ6 SPTBN4 UCHL1	EPHA4 PBX3 SPTBN4 TMOD1 UCHL1		PBX3 SEZ6		EFNB3 EPHA4 GRIN1 PBX3 SEZ6L SPTBN4 TMOD1		EFNB3 EPHA4 GRIN1 PBX3 SPTBN4 UCHL1	EFNB3 EPHA4 PBX3 SEZ6 TMOD1	CHL1 EFNB3 GIP PBX3 SEZ6 SEZ6L SPTBN4 TMOD1 UCHL1	PBX3 SEZ6 TMOD1		CXCL12 EPHA4 GIP PBX3 SEZ6 SEZ6L TMOD1 UCHL1			PBX3 SEZ6L SPTBN4 TMOD1	EFNB3 EPHA4 GRIN1 PBX3 SEZ6 TMOD1	
GO_AMINE_TRANSPORT		CHRNB2 SV2A	DDC RGS4 SLC18A1 STX1A SYT5	CHRNB2 DDC SYT5	CHRNA3 CHRNB2 CRH DDC	CARTPT CHRNB2 CRH	CHRNA3 CHRNB2 DDC RGS4 SLC18A1 SV2A SYT5	AGT CHRNB2 CRH RGS4 SLC18A1 STX1A SV2A SYT5	CRH DDC RGS4 STX1A		CHRNA3 CHRNB2 SLC18A1 STX1A	ADORA2A AGT FFAR3 STX1A	ADORA2A AGT		CHGA STX1A SYT5				AGT DDC RGS4 SYT4	AGT CARTPT DDC FFAR3 RGS4 SLC18A1 STX1A SYT5		CHGA CHRNB2 CRH SYT5	ADORA2A AGT CARTPT CHGA CRH FFAR3 SLC18A1 STX1A SYT5	CHRNA3 FFAR3 SYT4	AGT CHGA CHRNA3 CRH	CRH SLC18A1	CXCL12 DDC RGS4 SLC18A1 STX1A		CRH DDC SV2A		AGT CHRNA3 CHRNB2 CRH CXCL12 DDC STX1A SV2A	AGT CARTPT DDC		CHRNB2 CRH CXCL12 DDC RGS4	ADORA2A CHRNA3 DDC FFAR3 RGS4 SLC18A1 SYT5		DDC SV2A			CARTPT CHGA FFAR3 SYT4	CARTPT CHGA DDC FFAR3 STX1A SV2A SYT5		AGT CARTPT CHGA CHRNB2 DDC FFAR3 RGS4 SLC18A1 STX1A SV2A SYT5	ADORA2A AGT CRH SLC18A1 SV2A SYT5	CARTPT FFAR3 SYT5	ADORA2A AGT CARTPT CHGA CHRNB2 CRH CXCL12 DDC STX1A SV2A SYT5		CRH DDC RGS4			
GO_AXON	GABRG2 GRIK3 GRIN1 KIF5C NTS TAC1	BASP1 BRSK2 CPLX2 KCNAB2 KIF5A MAP3K12 NTRK2 PRKCG PTPRN2 SPTBN4 SRCIN1	AP3B2 ATCAY BOC BRSK2 BSN C1QL1 CD200 CNGA3 CPLX1 CPT1C DDC ELAVL4 EPHA4 GAD2 GRIK3 GRIK5 KCNA6 KCNAB2 KIF1A KIF5A MAP1B MAP2 MAP6 NEFL NFASC PRKCG PRPH PTPRN SCGN SLC18A1 SLC8A1 SNAP25 SRCIN1 STMN2 STX1A SYN1 SYT5 TMOD2 UCHL1 UCN3 UNC13A VSTM2L	AP3B2 BASP1 BRSK2 CADM2 CDK5R1 CDK5R2 DDC ELAVL4 GRIK3 KCNA6 KCNAB2 KCNC1 KCNJ11 MAP1A NTRK2 PTPRN2 SCN1B SCN3A SYT5	ATP1A3 BASP1 BRSK2 CDK5R1 CDK5R2 CRH DDC KCNAB2 KCNC1 KCNJ11 MAP1A NTRK2 PTPRN PTPRN2 SCN1B SPTBN4 STMN3 TUBB4A	AP3B2 ATP1A3 BRSK1 BRSK2 BSN C1QL1 CADM2 CDK5R1 CDK5R2 CNGA3 CPT1C CRH DSCAML1 EPHA4 INSRR KCNIP3 KCNJ11 MAP2 MAP6 MAPK8IP1 PRKCG SNAP25 SPTBN4 SRCIN1 STMN3 SYN1 SYP TMOD2 UNC80	AP3B2 BOC BSN CDK5R1 CDK5R2 CNGA3 CPLX2 CRMP1 DDC EPHA4 GABRG2 GHRL GRIK5 HAP1 KCNAB2 KCNIP3 KIF5A KIF5C KIRREL3 MAP1A MAP1B MAP2 MAP6 MAP9 MAPK8IP1 MAST1 NEFM NFASC PRKCG PTPRN RET SCGN SCN1B SCN3A SLC18A1 SLC8A1 SPTBN4 SRCIN1 STMN2 STMN3 SYN1 SYP SYT5 TMOD2 UCHL1 UCN3 UNC80	AP3B2 ATCAY ATP1A3 BASP1 BRSK1 BRSK2 BSN C1QL1 CDK5R1 CDK5R2 CNGA3 CPLX2 CRH CRMP1 GABRG2 GHRL GRIK3 GRIK5 HAP1 KCNC1 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP3K12 MAP6 MAP9 MAPK8IP1 MAST1 NCS1 NEFM NFASC PRKCG PTPRN RET SCGN SCN1B SLC18A1 SLC8A1 SNAP25 SPTBN4 SRCIN1 STMN2 STX1A SYN1 SYP SYT5 TMOD2 UCHL1 UCN3 UNC80 USH2A	ATP1A3 BASP1 BOC BRSK2 CNGA3 CRH CRMP1 DDC DSCAML1 EPHA4 GABRG2 GHRL GRIK5 HAP1 KCNAB2 KCNC1 KIF5A KIRREL3 MAP3K12 MAP9 NEFM NFASC NTRK2 PTPRN2 SCN1B SNAP25 SRCIN1 STX1A SYP TMOD2 UCN3 UNC13A USH2A VSTM2L	BASP1 DDC EPHA4 GABRG2 GHRL HAP1 KCNC1 KIRREL3 MAP3K12 NTRK2 PTPRN2 SRCIN1 TMOD2	BASP1 CNGA3 CPLX1 CRMP1 KCNC1 MAP2 MAP3K12 NFASC SLC18A1 SRCIN1 STMN2 STX1A TMOD2 TUBB4A UNC80 USH2A	ADORA2A ATP1A3 BASP1 BRSK1 BSN CADM2 DSCAML1 ELAVL4 EPHA4 GHRL GRIK5 HAP1 KCNAB2 KIF5A KIF5C KIRREL3 MAP2 MAP9 MAST1 NEFM NTS PRPH PTPRN SCGN SNAP25 SPTBN4 SRCIN1 STMN2 STX1A SYP TAC1 UCN3 UNC80 VSTM2L	ADORA2A BRSK1 CDK5R1 MAP3K12 NEFM PRKCG SYN1 SYP TUBB4A UNC80	ADORA2A ATCAY BRSK2 CDK5R1	AP3B2 BRSK2 DSCAML1 KCNA6 MAP3K12 MAP6 NEFM PRKCG PTPRN2 STX1A SYT5	ATCAY CADM2 CD200 CDK5R1 KCNA6 MAST1 NEFM NTS SNAP25 TAC1	ADORA2A BASP1 BRSK1 CPLX1 DDC INSRR KIF5A MAP2 MAP3K12 NFASC NTRK2 SNAP25 TUBB4A	ATCAY CPLX1 MAP1A SYP	ATCAY BASP1 BSN C1QL1 CADM2 DDC KCNC1 KIF5C MAP1A MAP6 NFASC PRPH PTPRN SCN3A SNAP25 SPTBN4 SYT4 USH2A	ATCAY BASP1 BOC BSN C1QL1 CADM2 CD200 CPLX1 CPT1C DDC DSCAML1 ELAVL4 EPHA4 GAD2 GRIK5 HAP1 KCNAB2 KCNC1 KIF5A KIF5C KIRREL3 MAP2 MAP9 NEFL NTS PTPRN2 SCGN SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYN1 SYP SYT5 TAC1 UCN3 UNC80 USH2A	AP3B2 ATCAY ATP1A3 BRSK2 BSN CADM2 CD200 CPLX1 CPT1C DSCAML1 ELAVL4 EPHA4 HAP1 KCNAB2 KIF5A KIRREL3 MAP2 MAP3K12 MAP6 MAP9 NEFL NFASC PTPRN2 SCGN SLC18A1 SNAP25 SRCIN1 STX1A SYN1 SYP UCN3 UNC80 USH2A	BOC BRSK1 BRSK2 BSN C1QL1 CADM2 CDK5R2 CNGA3 CPLX1 CPLX2 CPT1C CRH ELAVL4 GRIK5 HAP1 INSRR KCNC1 KCNJ11 KIF5A KIRREL3 MAP1A MAP2 MAP9 MAPK8IP1 MAST1 NCS1 NEFM NFASC NTRK2 PRPH PTPRN SLC8A1 SNAP25 SRCIN1 STMN2 SYN1 SYT5 TMOD2 UNC80 USH2A VSTM2L	ADORA2A AP3B2 ATCAY ATP1A3 BASP1 BOC C1QL1 CADM2 CDK5R2 CNGA3 CPLX1 CPLX2 CPT1C CRH DSCAML1 ELAVL4 EPHA4 GRIK5 HAP1 INSRR KCNA6 KCNAB2 KCNC1 KCNJ11 KIF5A KIRREL3 MAP1A MAP2 MAP3K12 MAP6 MAP9 MAPK8IP1 MAST1 NCS1 NEFM NFASC NTRK2 NTS PRPH PTPRN SCGN SLC18A1 SLC8A1 SNAP25 SRCIN1 STMN2 STX1A SYN1 SYP SYT5 TMOD2 UNC80 USH2A VSTM2L	GRIK3 KCNA6 KIF1A KIF5C SCN3A SYT4 UCHL1 UNC13A	AP3B2 BSN C1QL1 CPLX1 CRH DSCAML1 INSRR KCNAB2 KCNIP3 KCNJ11 KIF5A MAP1A MAP2 MAP6 NFASC RET SRCIN1 TUBB4A USH2A	AP3B2 C1QL1 CRH KCNAB2 KCNC1 MAP1A MAP3K12 NCS1 RET SLC18A1 SLC8A1 TUBB4A USH2A	ATP1A3 BASP1 BRSK2 CADM2 CDK5R1 CNGA3 CPLX1 CPLX2 CPT1C DDC DSCAML1 EPHA4 GHRL KCNC1 KCNIP3 MAP3K12 MAP6 NCS1 NEFM NTRK2 PTPRN SCGN SCN3A SLC18A1 SLC8A1 SNAP25 SPTBN4 STMN3 STX1A USH2A	ATCAY BRSK1 CADM2 DDC EPHA4 KIF5A MAP2 NTRK2 SLC8A1 SRCIN1	CDK5R1 CRH DDC ELAVL4 GRIN1 KCNC1 KCNJ11 MAP1A MAPK8IP1 MAST1 PTPRN2 SCN1B SRCIN1 STMN3 UNC13A VSTM2L	KIF1A SCN3A UNC13A	AP3B2 ATP1A3 BASP1 BOC BRSK1 BRSK2 BSN CADM2 CD200 CPLX1 CRH DDC ELAVL4 EPHA4 GAD2 GRIK5 GRIN1 HAP1 INSRR KCNAB2 KCNC1 KCNIP3 KIF5A MAP1B MAP3K12 MAST1 NCS1 NEFM NTRK2 PRKCG SCN1B SNAP25 SPTBN4 STMN2 STMN3 STX1A SYP UNC13A USH2A VSTM2L	BASP1 CADM2 CPLX2 DDC DSCAML1 EPHA4 KCNC1 KIRREL3 MAST1 NTRK2 PTPRN2 SCGN SLC8A1 SNAP25 SPTBN4 SRCIN1 UNC80 USH2A	BOC BRSK2 C1QL1 CD200 CDK5R2 KCNJ11 KIF1A KIRREL3 MAP9 NTRK2 PTPRN PTPRN2 SNAP25 SRCIN1 SYP TUBB4A UCHL1 UCN3 UNC80 USH2A	AP3B2 ATP1A3 BASP1 BRSK2 CD200 CNGA3 CPLX1 CPLX2 CRH DDC GRIK5 GRIN1 KCNC1 KCNIP3 KCNJ11 MAP3K12 MAP6 MAP9 NEFM NTRK2 PTPRN PTPRN2 RET SCN1B SNAP25 SPTBN4 SYP UCHL1 UNC80	ADORA2A AP3B2 ATCAY ATP1A3 BASP1 BOC BRSK1 BRSK2 CDK5R2 CPLX1 DDC EPHA4 GRIK5 KCNAB2 KIF1A KIRREL3 NTRK2 SLC18A1 SLC8A1 SNAP25 SPTBN4 SRCIN1 SYN1 SYP SYT5 UCHL1 USH2A	BSN C1QL1 CDK5R2 EPHA4 INSRR KCNAB2 KCNC1 MAP9 SLC8A1 STMN3 UNC13A	CADM2 CPLX1 DDC KCNAB2 MAP2 MAP9 NEFL NFASC NTRK2 USH2A	ATCAY BOC CPLX1 DSCAML1 ELAVL4 KCNAB2 KCNC1 KIF5A KIRREL3 MAP2 NTRK2	ATP1A3 BASP1 BOC BRSK2 BSN CD200 CDK5R1 CDK5R2 CNGA3 CPLX2 DDC ELAVL4 EPHA4 GAD2 GHRL GRIK5 GRIN1 INSRR KCNJ11 KIF1A MAP1A MAP1B MAP2 MAP3K12 MAP6 MAP9 MAPK8IP1 MAST1 NCS1 NEFL NFASC PRKCG PTPRN PTPRN2 RET SCGN SLC8A1 SNAP25 SPTBN4 STMN2 SYT5 TUBB4A VSTM2L	ATCAY CRMP1 GABRG2 GRIK3 KCNA6 KIF1A KIF5C NTS PRPH SCN3A SYT4 TAC1 UNC13A	ATCAY ATP1A3 BASP1 BOC BRSK2 CPLX1 CPLX2 CPT1C DDC DSCAML1 EPHA4 GABRG2 GAD2 GRIN1 HAP1 KCNC1 KIF5A KIRREL3 MAP1A MAPK8IP1 NEFL NFASC NTRK2 NTS PRKCG PRPH PTPRN2 SCGN SLC8A1 SPTBN4 SRCIN1 STMN3 STX1A SYT5 TAC1 TMOD2 UCHL1 VSTM2L	ADORA2A ATP1A3 BRSK1 BRSK2 BSN C1QL1 CADM2 CDK5R1 CPLX1 CPLX2 DDC DSCAML1 EPHA4 GRIK5 KCNC1 KCNIP3 KCNJ11 KIF5C KIRREL3 MAP1A MAP3K12 MAP6 MAP9 MAPK8IP1 MAST1 NCS1 NEFL NFASC NTRK2 PRKCG PTPRN PTPRN2 RET SCN1B SRCIN1 STMN3 SYN1 SYT5 TMOD2 UCN3	ATP1A3 BASP1 BOC BRSK1 BRSK2 BSN CADM2 CD200 CDK5R1 CDK5R2 CPLX2 DDC DSCAML1 ELAVL4 GRIK3 GRIK5 HAP1 KCNAB2 KCNC1 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP3K12 MAP6 NEFM NFASC NTS PTPRN2 RET SCGN SCN1B SLC18A1 SLC8A1 SNAP25 SPTBN4 SRCIN1 STMN3 STX1A SYP SYT5 TAC1 TMOD2 UCHL1 UCN3 UNC80 USH2A	ADORA2A BSN C1QL1 CD200 CPLX1 CRH CRMP1 DSCAML1 ELAVL4 GABRG2 GAD2 GRIK5 HAP1 KCNAB2 KCNC1 KCNIP3 MAP1B MAP2 MAPK8IP1 NEFM NFASC NTRK2 RET SCN3A SLC18A1 SLC8A1 STMN2 SYN1 SYT5 UCN3 UNC80 USH2A	GRIK3 MAP2 SCN3A SYP SYT5 TAC1	ADORA2A AP3B2 ATP1A3 BRSK1 BSN C1QL1 CDK5R1 CDK5R2 CNGA3 CPLX1 CRH DDC DSCAML1 EPHA4 GHRL GRIK5 INSRR KCNAB2 KCNC1 KCNIP3 KIRREL3 MAP1A MAP6 MAP9 MAST1 NCS1 NEFM NTRK2 PRKCG PTPRN PTPRN2 RET SRCIN1 STMN3 STX1A SYN1 SYP SYT5 TUBB4A UCHL1 UNC13A UNC80	AP3B2 ATP1A3 CADM2 GRIK5 KCNAB2 MAP3K12 MAP9 NCS1 SRCIN1 STMN3 TUBB4A	CRH DDC DSCAML1 EPHA4 GABRG2 NTS SCN1B STMN3 TAC1 USH2A	AP3B2 ATP1A3 C1QL1 CADM2 CDK5R1 CDK5R2 CPLX2 CRH GABRG2 GRIK5 HAP1 KCNJ11 MAST1 NCS1 PRKCG PTPRN SCN1B SPTBN4 STMN3 SYP SYT5	CDK5R1 CDK5R2 CPT1C CRH EPHA4 GRIN1 KCNC1 KCNIP3 KCNJ11 MAP1A MAP2 MAP3K12 MAP6 MAP9 MAPK8IP1 PRKCG PTPRN PTPRN2 RET SCGN SCN1B SYN1 SYP TMOD2 UCN3	ADORA2A NEFL UNC80
