	ARX	ASCL1	E2F7	ETV1	FEV	FOXD4L5	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	0.857520967426	1	1	0.0024266053936	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.00702772919115	1	1	1
GO_AXON	0.019701644519	1	0.00323688956483	1	0.0811949971162	0.941033005113	1	1	1	0.552005152893	0.0	1	0.00833267643855	1
GO_AXON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	0.698931630673	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0	0.306734354697	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	0.000182384981162	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	0.500591717586	1	1	1	1	1	0.000334739483098	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000465477546291	1	1	1	1	1	0.0360079947179	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0625216780196	1	1	1	1	1	0.248776303321	1	1	1
GO_CATION_TRANSPORT	1	1	1	1	0.110338496604	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.0193873273075	1	1	1
GO_CELL_BODY	1	1	1	1	0.761596186204	1	1	1	1	1	0.0147154594483	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	0.0313360307688	1	1	1	1	1	0.0	0.0043018301904	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.824250339133	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	1	1	1	1	1	1	1	1	0.00750643596958	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.546700037306	1	1	1
GO_DENDRITIC_TREE	1	1	1	1	1	1	1	1	1	1	0.0	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	1	1	1	1	0.571315501203	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	1	1	0.089027121941	1	1	1
GO_GATED_CHANNEL_ACTIVITY	1	1	1	1	1.81589423582e-05	1	1	1	1	1	5.37283273716e-06	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000223625126996	1	1	1	1	1	0.0181148991667	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.000125791996116	1	1	1	1	1	0.0217595682606	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0478509905863	1	1	1	1	1	0.58032147123	1	1	1
GO_ION_TRANSPORT	1	1	1	1	0.0252298841356	1	1	1	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	0.0131320805227	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	0.582044101876	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	0.755100597769	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	0.0211513984483	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.382475764224	0.0309578510184	1	0.479069474528	1	1	1	0.008976941598	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	1	0.116086058759	1	1	1	1	1	0.517085603594	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	1	1	1	1	1	1	0.76071622164	1	1	1
GO_NEUROGENESIS	1	1	1	1	0.292267715912	1	1	1	1	1	0.00708182930764	0.0363229643771	1	1
GO_NEURON_DEVELOPMENT	1	1	1	1	0.13517584187	1	1	1	1	1	0.011032998352	0.632533163554	1	1
GO_NEURON_DIFFERENTIATION	1	1	1	1	0.574518519308	1	1	1	1	1	0.00938132219071	0.789035152422	1	1
GO_NEURON_PROJECTION	0.000310062443332	1	0.00123144950823	1	2.95207059375e-05	0.0292733598451	1	1	1	0.0260399024731	3.25196207174e-05	8.80433740451e-05	4.01093122528e-05	1
GO_NEURON_TO_NEURON_SYNAPSE	1	1	1	1	1	1	1	1	1	1	0.14456195098	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	0.0	1	1	1	1	1	0.000290925664452	1	1	1
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	1	1	1	1	1	1	1	1	1	1	1	1	1	0.521822430311
GO_POSTSYNAPSE	0.110781221817	1	1	1	1	1	1	1	1	1	4.72133739299e-05	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.197280855897	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	1	1	0.0131455159405	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.108091491686	1	1	1
GO_POTASSIUM_ION_TRANSPORT	1	1	1	1	1	1	1	1	1	1	0.055523374947	1	1	1
GO_PRESYNAPSE	0.266433557523	1	0.0135372618985	1	0.000177295124248	1	1	1	1	1	0.000135383647138	1	1	1
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	1	1	1	1	1	1	1	1	1	1	0.330939764318	1	1	1
