	partition_group
1	['ABCC8', 'NEUROD1', 'ADORA2A', 'ASXL3', 'BEX1', 'BHMT', 'CBLN1', 'CD99L2', 'DPEP1', 'DPYSL4', 'ENPP2', 'FAM167A', 'HEPACAM2', 'IGFBPL1', 'KCNJ11', 'KLK12', 'LRRN2', 'MUC16', 'PCSK1', 'RAB39B', 'RGS4', 'SCG2', 'SCG3', 'SEPT5-GP1BB', 'SLC6A17', 'SSTR2', 'TMEM200A', 'TMOD1', 'VWA5B2']
8	['AGT', 'HES4', 'C2CD4B', 'CFH', 'GRASP', 'HINT1', 'KCNF1', 'LINC00261', 'MFAP2', 'RAB26', 'SYNGR3', 'TMEM158']
9	['AKR1B1', 'NEUROD2', 'CADPS', 'DACH1', 'CHRNA1', 'CHRNA3', 'CSH1', 'CSH2', 'DOCK8', 'FAM171A2', 'GNAO1', 'GPC2', 'HES6', 'KCNB2', 'KCNK3', 'LOC145837', 'MMP2', 'PGA3', 'PGA4', 'PMP22', 'PPP1R16B', 'RGAG4', 'SDK2', 'SERPINI1', 'STARD9', 'TAGLN3', 'TMEM35', 'VASH2', 'WNT9A']
10	['GRHL3', 'BC041449', 'INSM1', 'CAMK2B', 'FAM105A', 'FAM19A5', 'NEURL', 'PCDHB15', 'PCDHB16', 'PGA5']
5	['LMX1B', 'RFX6', 'AMER3', 'BAALC', 'BCRP3', 'BTBD17', 'CA8', 'CACNA2D1', 'CACNG4', 'CDK5R2', 'CELF3', 'COL22A1', 'CPA1', 'CPLX1', 'CTXN1', 'DNAJC12', 'FAM110B', 'FFAR2', 'FLT1', 'GABBR2', 'GCK', 'GPR142', 'INSRR', 'JAKMIP2', 'JAM3', 'KCNH6', 'KCTD12', 'LINC00310', 'LTBP2', 'MAP6', 'MAPK4', 'MSMB', 'NKAIN1', 'NKX2-2', 'NOTUM', 'OR51E1', 'P2RX6', 'PDZRN3', 'PLCG2', 'PTCHD2', 'QDPR', 'RGS16', 'RGS9', 'RIMBP2', 'SAMD14', 'SCGB1A1', 'SCGN', 'SFRP1', 'SLC16A12', 'SLC18A1', 'SMOC2', 'SPARC', 'SYT5', 'TMEM196', 'TOX', 'TSNAX-DISC1', 'TUBA1A', 'VCAN', 'ZCCHC18', 'ZNRF3-AS1']
0	['MAFA', 'ADAMTSL2', 'AMBP', 'ANKRD20A8P', 'ASRGL1', 'CHGA', 'CHGB', 'CNGA3', 'CRLF1', 'DYNC1I1', 'ELFN1', 'FAM71E2', 'FJX1', 'GNG4', 'HOPX', 'LINC00643', 'LYPD8', 'MLLT11', 'MRPL34', 'NREP', 'PTP4A3', 'RAB4B-EGLN2', 'RASD1', 'SCIMP', 'SLC38A5', 'TUBA3FP', 'TUBB3', 'UBL5', 'VSTM2L']
2	['NEUROG3', 'HEYL', 'ATOH8', 'BAI1', 'BAI2', 'LTF', 'CCND2', 'CNTN3', 'CTSL2', 'DQ592230', 'EPHB3', 'FLJ00385', 'FRZB', 'HGFAC', 'IGHG1', 'LINGO1', 'LOC400891', 'MEX3B', 'MUC5B', 'NINJ1', 'NOXO1', 'NPSR1-AS1', 'NPTX1', 'NPW', 'PHLDA2', 'PPP1R3C', 'RASL11B', 'SDPR', 'SEMA6B', 'SH3GL1P1', 'SPON2', 'STMN3', 'SUSD2', 'TMEM59L', 'TUBB4A', 'ZCCHC12']
7	['PAX4', 'BCL2', 'C1QL1', 'C2CD4A', 'CACNA1H', 'CELA3A', 'CNIH2', 'COL16A1', 'CYGB', 'DLL1', 'DSCAML1', 'KIF1A', 'LAPTM5', 'LSP1', 'LZTS1', 'RIIAD1', 'RUNDC3A', 'SLC38A3', 'SOCS1', 'SPINK4', 'USP41']
3	['SOX4', 'AK316092', 'AMPD3', 'TP73', 'CBFA2T3', 'CDH5', 'CHRNB2', 'CLCNKA', 'CLPS', 'CSF1R', 'CXCR7', 'CYMP', 'DPYSL3', 'EVA1A', 'GFRA1', 'HMGB3', 'IGFN1', 'INHBE', 'LRFN1', 'MEX3A', 'MMP11', 'MUC15', 'MUC5AC', 'NPTXR', 'OSBPL6', 'PCBP4', 'PTGDR2', 'RBP1', 'RCOR2', 'SAP30', 'SBK1', 'SCN1B', 'SCUBE1', 'SFTPA2', 'SHF', 'SIDT1', 'SLC51B', 'TFPI2', 'TMEM70', 'TSPAN11']
6	['SPIB', 'AK5', 'ANKRD65', 'CABP7', 'CACNA1A', 'CCL20', 'CD200', 'CPE', 'CRYBA2', 'FSD1', 'GHRL', 'GNG2', 'HECW2', 'ISL1', 'KIF19', 'KLHL32', 'LRIG1', 'MDK', 'MS4A8', 'MYBPC2', 'MYT1', 'NFASC', 'NKD1', 'OLFML2B', 'PDE2A', 'SSTR5-AS1', 'TTYH2', 'VSTM4', 'VWCE']
4	['ST18', 'ACTN3', 'NHLH1', 'AL117485', 'PROX1', 'ARHGAP9', 'CDH22', 'CDKN1C', 'CELA3B', 'CORO2B', 'CYP27A1', 'DLL4', 'FLJ38723', 'FUT7', 'GAL', 'GGT5', 'GLT8D2', 'GOLGA7B', 'ID4', 'IL17C', 'KIT', 'LRRC10B', 'MAD2L2', 'POM121L9P', 'PPP1R14A', 'PRELP', 'SH3RF3', 'SLC7A4', 'SSTR1', 'SYP', 'TMEM61']
