	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF492	ZNF519	ZNF846
GO_ACTION_POTENTIAL	0	6	10	9	8	0	20	17	9	4	9	0	0	2	4	13	9	16	17	2	8	9	14	4	4	11	9	5	13	7	5	7	0	9	13	18	15	2	13	0	3	6	4	8
GO_ADULT_BEHAVIOR	5	7	10	6	8	13	15	16	11	8	12	0	0	2	6	13	10	18	17	4	8	5	14	3	5	20	12	6	18	11	4	12	0	16	12	22	15	2	18	6	3	0	9	11
GO_ALCOHOL_BINDING	0	4	7	3	5	6	9	9	5	6	9	0	0	2	5	7	11	9	9	0	0	3	7	4	5	12	4	8	5	6	3	8	0	6	6	15	9	0	13	3	5	3	7	7
GO_AXON	6	22	55	23	27	40	60	67	26	23	46	14	15	8	24	48	45	58	74	8	25	22	46	15	22	53	29	26	39	38	16	55	0	52	57	65	47	7	58	15	13	21	28	34
GO_AXON_DEVELOPMENT	5	10	35	13	15	22	45	42	12	19	30	7	8	5	12	30	30	38	35	6	18	9	37	11	12	38	14	21	25	26	13	29	0	32	31	48	29	0	37	0	8	13	14	17
GO_BEHAVIOR	9	12	29	16	19	34	37	45	20	19	34	9	8	7	17	38	30	49	51	9	20	16	32	10	14	46	27	24	40	27	14	31	3	43	35	55	39	4	51	11	12	0	23	34
GO_BIOLOGICAL_ADHESION	9	19	55	34	39	42	71	71	0	37	54	16	27	13	0	60	53	78	80	9	35	26	61	21	29	64	47	37	56	50	25	47	7	72	63	86	63	0	79	25	18	22	25	44
GO_CALCIUM_CHANNEL_COMPLEX	0	5	4	3	3	6	9	9	4	0	7	0	3	2	4	10	7	9	11	0	4	5	5	0	0	7	6	9	8	6	5	7	0	11	9	10	8	0	8	0	0	3	3	0
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0	2	0	4	3	4	0	0	2	0	0	0	0	0	0	0	0	4	4	0	2	3	4	3	0	0	0	0	3	0	3	0	4	3	0	4	3	0	7	0	0	2	0	0
GO_CALCIUM_ION_BINDING	5	19	36	20	25	31	41	47	15	26	27	12	11	7	15	37	38	42	44	7	18	16	38	11	15	30	24	0	32	30	14	34	6	37	38	54	34	0	46	14	10	18	24	28
