	ADNP	AEBP1	AKNA	ARNT2	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH8	CBX2	CXXC4	DACH1	DZIP1	EGR3	ELF4	ETS1	ETV1	FEV	FOXA1	FOXA2	FOXP2	GATA2	GATA4	GATA6	GLIS2	GRHL3	HES4	HES6	HEYL	HHEX	HIC1	HIF1A	HMGN3	HOMEZ	HOXB9	HSF2	INSM1	ISL1	JAZF1	KCNIP3	LHX1	LMX1A	LMX1B	LTF	MAFA	MAFB	MAFF	MLXIPL	MXI1	MYRF	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NKX2-2	NKX6-1	NPAS3	NR4A2	NR4A3	ONECUT1	ONECUT2	ONECUT3	PAX4	PAX6	PBX1	PDX1	POU2F2	POU6F1	PRDM16	PROX1	RFX2	RFX3	RFX6	RORC	SIM1	SMAD9	SOX4	SPIB	ST18	TEAD1	TEAD2	TFCP2L1	TGIF2	TP73	TSHZ1	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP82	ZFP90	ZFP92	ZNF117	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853
CHST9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49462	0	0	0	0	0	0	0	0	0	0	0	-0.82768	0	0	0	0	0	0	0	0	0	0	0	0
CIB4	0	0	0	0	0	-0.73951	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.069536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.49214	0	0	0	0	0	0	0	0	0	0
CIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93405	0	0	0	0	0	0	0	0	-0.43571	0	0	0	0	0	0.88411	0	0	0	0	0	0	-0.73482	0	0	0	0	0	0	0	-0.85858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITED1	-0.44605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48469	0.36327	0.11727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITED2	0	0	0	0.64528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62376	0	0	0	0	0	-0.4593	0	0	0	0	0	0	0	0	0	0	0	0	-0.76738	0	0	0
CLCA1	0	0	0	0	-0.030629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.099338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89859	0	0	0	0.42177	0	0	0	0	0	0	0	0	0	0	0	0
CLCN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5287	-0.89432	0	0	0	0	0	0	0	0	0	0	0	0.45723	0	0	0	0	0	0	0	0	0.55753	0	0	0	0	0	0	0.82354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.35637	0.5992	0	0	-0.14128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15618	0	0	0	0	0	0	0.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54815	0	0	0	0	0	0	0	0.85858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46413	0	0	0	0	0	0	0	0	0.07878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.61741	0	0	0	0	0	0	0	0	0	0	0	0
CLGN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52594	0.77359	-0.34065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25897	0	0	0	0	0.89859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11438	0.81416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065535	0	0	0	0	0.41198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9237	0.54815	0.92757	0	0	0	0	0	0.71703	0	-0.14335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5694	0	0.46909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSPN	0	0	0	0	0	0	0.57423	0	0	0	0	0	0	0	0	0	0	0	0.078091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53159	0	0	0.85334	0	0	-0.44495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.50304	0	0	0	0	0	0.66722	0	-0.93102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068019	0	0	0	0.12403	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48703	0	0	0	0	0	0.82768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNGA3	0	0	0	0	0.29512	0	0	0	0	0	0	0	0	0	0	-0.93405	0.38893	0.73482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5516	0	0	0	0	0	0	0	0	0	0	0	0	0.88411	0.074779	0	0	0	0	0	0.0020695	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.33858	0	0	0	0	0	0	0	0.56554	0.91887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNIH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46358	0	0	0	0	0	0	0	0	0	0.99793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT6L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98662	0	0	0	0	0	0	0	0.99407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069536	0	0	0	0	0	0.46551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68709	0
CNPY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15563	0	0.51642	0	0	0	0	0	-0.53905	-0.69288	0	0	0	0	0	0	0	0	0	-0.5287	0	0	0	0.84244	0.73482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.039045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57809	0	0	0	0	0	0	0	0	0	0.36038	0	0	0	-0.91004	0	-0.56554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTN3	0	0	0	0	0	0	0	0	0	-0.068295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12942	0	0	0	0	0	0	0	0	0	-0.56554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL10A1	0	0	0	0	-0.89859	0	0	0	0	0	0	0	0	0	-0.73482	0	-0.31747	0	0	0	0	0	0	0.10444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52594	0	0	0	0	0	0.61741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL12A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41198	0	0	0	0.59547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52594	0	0	0	-0.83444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4186	0	0	0	0	0	0	0	0	0	0.12141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL14A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30602	0	0	0	0	0	-0.079608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68709	0	0	-0.40591	0	0	0	-0.63383	0	0	0	0	0	0	0	0	0	0	0	0
COL16A1	0	0	0	0	-0.38893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94371	0	0.88866	0	0	0	0	0.54815	0	0	0	-0.94371	0	0.1835	0.67329	0	0	0	0	0	0	0.02649	0	0	0.83444	0.84851	0	0	0	0	-0.0084161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL21A1	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	-0.13121	0	0	0	0	0	0.99476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056291	0	0.20088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.071468	0	0	-0.93102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50442	0
COL22A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74572	0	0	0.37114	0	0	0	0	0	0.81002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46854	0	0	0	0	0	0	0	0	0	0.45075	0.72365	0	0	0	0	0.76118	0	0	0	0	0.76118	0	0	0	0	0	0	0	0	0	-0.1181	0	0
CORO2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33347	0	0	0	0	0	0	0	-0.97254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.96661	0	0	0	0	0	0	0	0	0	0	0	0	0.25497	0	0.13618	0	0	0	0	0	0	-0.10762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90549	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3463	0	0	0	0	0	0	0	0
CPA1	0	0	0	0	-0.16391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.23979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81002	0	0	0	0	0	0	0	0	-0.62873	0	0	0	0	0.5992	0	0	0	0	0	0	0	0	0	0	0	0
CPB1	0	0	0	0	0.98193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60541	0.27414	0	0	0	0	0	0	0	0	0	0	0	0	-0.38893	0	0	0	0	0	-0.81885	0.38825	0	0.59106	0	0	0	0	0	0	0.86369	0	0	0	0	-0.67826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10886	0	0	0	0	0	0	0	0	0	0	0	0
CPE	0	0	0	0	0	0	0	0.91887	0.85334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050497	0	0	0	0	0	0	0	0	0	0.9386	0	0	0.15163	0	0.96923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66211	0.67329	0.7936	0	0	0	0.51462	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64528	0	0	0
CPLX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056843	0	0.80491	0	0	0	0	0	0	0	0	0.7769	0	0	0	0	0	0	0.097406	0.09644	0.20171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPLX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42301	0	0	0.72365	0.54236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44495	0.57423	0	0	0	0	0	0	0	-0.034078	0	0	0	0	0	0	0	0	0	0	0	0.70268	0	0	0	0	0	0	0	0	0.90204	0.62376	0	0	-0.18143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPT1C	0	0	0	0	0.96661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.024834	0	0.84244	-0.15259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44274	0	0	0	0	0	0	0	0	0	0	0	0.50304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR627206	0	0	0	0	0.72861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR627225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072158	0	0	0	0	0	0	0	0	0
CR627394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.61741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77359	0	0	0	0	0	0	0.5992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68198	0	0	0	0	0	0	0	0	0.3423	0	0	0	0.43005	0
CREBRF	0	0	0	0	0	0	-0.021937	0	0	0	0	0	0	0	0	0	0.46509	-0.60927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71703	0	0	0	0	0	-0.25814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51642	0.63383	0	0	0	0	0	0.97765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.82354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25897	0	0	0	0	0	0	0	-0.30519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32671	-0.5992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84244	0	0	0	0	-0.73482	0	0	0	0	0	0	0	0	0	0	-0.3463	0
CRIP2	0	0	0	0	0	0	0.47958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25124	0	0	0	0	0	0	0.41198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64528	0	0	0	0	0	0	-0.53394	0	0	0	0	0	0.10265	0.1388	0	0	0	0	0	0	0	0	0.055188	0.65508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.44164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISPLD1	0	0	0	0	0	0.23206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISPLD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.71164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5992	0	0	0	0	0	0.047737	-0.44785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88866	0	0	0	0	0	0	0	0.62873	0	0	0	0	0	0	0	0
CRLF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38093	0.034078	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7987	-0.38093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387	0	0	0	0	0	0	0	0	-0.42784	0	0	0	0	0	0	0	0
CRMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8801	0	0.83444	0.53905	0	0	-0.72861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62873	0	0	0	0	0	0	0	0	0	0.43364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBA2	0	0	0	0	0	0	0.3165	0	0	0	0	0	0	0	0	-0.37279	0	0.73482	0.67329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97434	0	0	0	0	0	0	0	-0.25897	0	0.28284	0	0	0	0	-0.82768	0	0	0	-0.43515	0	0	0	0	0	0	0	0	0.33747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25607	0	0
CSF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092439	0	0	0	0	0	0	0	0	0.41722	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25428	0	0	0	0	0	0	0	0	0	0	0.62376	0	0	0	0	0	0	0	0	0	0.28284	0	0	0	0	0	0	0	0	0	0	0	0
CSH1	0	0	0	0	0	0	0	0	0	0	0	0	0.22296	0	0	0.22917	0	0	0	0	0.54815	0.90549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31402	0	0	0	0	0	0	0	0	0	0	0	-0.56222	0	0	0	0	0	0	-0.47958	0	0	0
CSH2	0	0	0	0	0	0	0	0	0	0	0	0	0.61741	0	0	0	0	0	0	0	0	0.041805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAGE15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.59547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80491	0.60541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.087748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTPS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8801	-0.82354	0.58692	0	0	0	0	0	0	0	0	0	0.5992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5694	0	0	0	-0.084437	0.22586	0	0	0	0	0	0	-0.84851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSL2	0	0	0	0	0	0	0	0	0	0.67329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.32671	0	0	0	0	0	0	0	0	0	0	-0.45075	0	0	0	0	0	0
CTTNBP2	0	0	0	0	-0.10375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69288	0	0	0	0	-0.26228	0	0.87362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTXN1	0	0	0	0	-0.51187	0	0	0	0	0	0	0	0	0	0	0	-0.43364	0	0	0	0	0	0	0	0.74986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072434	0	0	0	0	0	0	0	0	0	0	0	0.82354	0	0	0	0	0	0	0	0	0	0	0.89859	0	0	0	0	0	0	0.72861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR7	0	0	0	0	0	0	0	0	-0.2162	0	0	0	0	0	-0.048841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7987	0	0	0	0	0	0	0	0	0.30519	0	0	0	0	0	0	0	0	0	0.052152	0	0	-0.76738	0	-0.3779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXXC4	0	0	0	0	-0.65508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10927	0	0	0	0	0	0	0	0.76118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14128	0.36976	0	0	0	-0.95185	0	0.13121	0	0.43571	0	0	0	0	0	0.96923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20281	0	0	0	0	0	0	0	0	0	0
CYGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19288	0	0	0	-0.44371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22144	0	0	0	0	0	0	0	0.38093	0	0	0.44164	0	-0.97434	0	0	0	0	0	0	0	0	0	0	0	-0.20171	0	0	0.20709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
