	ADNP	AEBP1	AKNA	ARNT2	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH8	CBX2	CXXC4	DACH1	DZIP1	EGR3	ELF4	ETS1	ETV1	FEV	FOXA1	FOXA2	FOXP2	GATA2	GATA4	GATA6	GLIS2	GRHL3	HES4	HES6	HEYL	HHEX	HIC1	HIF1A	HMGN3	HOMEZ	HOXB9	HSF2	INSM1	ISL1	JAZF1	KCNIP3	LHX1	LMX1A	LMX1B	LTF	MAFA	MAFB	MAFF	MLXIPL	MXI1	MYRF	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NKX2-2	NKX6-1	NPAS3	NR4A2	NR4A3	ONECUT1	ONECUT2	ONECUT3	PAX4	PAX6	PBX1	PDX1	POU2F2	POU6F1	PRDM16	PROX1	RFX2	RFX3	RFX6	RORC	SIM1	SMAD9	SOX4	SPIB	ST18	TEAD1	TEAD2	TFCP2L1	TGIF2	TP73	TSHZ1	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP82	ZFP90	ZFP92	ZNF117	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60541	0	0	0.48938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73951	0	0	0	0	0	0	0	0.10168	0	0	0	0	0	-0.40811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42908	0	0	0.91391	0	0	0	0	0	0	0	0	0	0	0	0	-0.45723	0	0	0	0	-0.31457	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10762	0	0	0	0	0	0	0	0	0	0.13507	0.47875	0	0	0	0	-0.53394	0	0	0	0	0	0	0	0	0	0	0	0.46978	0.50759	0	-0.14597	0	0	0	0.33582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6B	0	0	0	0	-0.89432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89432	-0.73482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.30974	0.488	0	0	0.37652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01973	0	0	0	0	0	0	0	-0.58375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57809	-0.38893	0	0	0	0	0	0	0	0	0	0	0	0	0.80491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71164	0	0	0	0	0	0	0	0.96289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3016	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099338	0	0	-0.26118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42177	0	0	0	0	0	0	-0.66722	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90204	0	0	0	0.28615	0
ADAMTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0.20875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87362	0	0	0.7769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.81002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84244	0	0	0	0	0	0	0	0	0	0	-0.083057	0
ADAMTSL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45723	0	0	0.19288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66722	0	0	0	0	0	0	0.98372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55519	0	0	0	0	0	0	0	-0.52276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY1	0	0	0	0	0	0.01835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97434	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21882	0	0	0	0	0	0	0	0	-0.70792	0	0	0	0	0	0	0	0	0	0	0	0	-0.61327	0	0	0	0	0	0	0	0	0	0	0.24324	0.49807	0	-0.45392	0	0.093819	0	0	0	0	0.88866	0	0	0	0	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28146	0	0	0	0	0	0.19109	0	-0.68198	0	0	0	0	0	0	0	0	0	0	0	-0.11534	0	0	0	0	0	0.94123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7769	0	-0.67329	0	0	0	0	-0.5287	0	0	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90549	0	0	0	0	0	0	0	0	0	-0.4186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7936	0.38093	0	0	0	0	0	0	0	0	0	0	0	0	0.70792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.40149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61741	0	0	0	0	0	0	0	0	0	0	0	0	0.23855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.043046	0	0	0	0
ADNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18571	0	0	0	0	0	0	0	0	0.13618	0	0	0	0.54815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099338	0.86369	0	0	0	0	0	0.5992	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.033251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70268	0	0	0	0	0.988	0	0.91004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17232	0	0	0	-0.079608	0	0	0	0	0	-0.33347	0
AEBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67329	0	0	0	0	0	0	0	0	0	0	0	0.70268	0	0	-0.68709	0	-0.8699	0	0	0.76118	0	0	0	0	0	0	0	-0.83444	0	0	0	0	-0.32174	0	0	0	0	0	0	0	0	0	0	0	0
AF070581	0	0	0	0	0	0.53905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF090102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.61327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.40246	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131837	0	0	0	0	0.99669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.036148	0	0	0	0	0	0	0	0	0	0	0	0
AFF2	0	0	0	0	0	0	0	0	0	0	0	0.52276	0	0	0	0	0	0	0	0	0	0.10444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.93405	0	0	-0.25428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57809	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52001	0	-0.091474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27263	0	0	0	0	0	0	0	0	0	0.40591	0	0
AGT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74572	0	0	0	0	0.88866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99407	0	0	0	0	0	0	0	0	0.70268	0	0	0	0	0	-0.49462	0	0	0	-0.015453	0	0	0	0	0	0	0	0	0.80491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.81416	0
AK022997	0	0	0	0	0	0.29788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40811	0	0	0	0	0	0	0	0.81885	0	0	0	0	0	0	0	0.11686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK024092	0	0	0	0	0	0	0	-0.52001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.85334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83444	0
AK024119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95185	0	0	0	0	0	0	0	0	0	0.54815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.085265	0	0	0	0
AK026379	0	0	0	0	0	0	0	0.07878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91391	0	0	0.80491	0	0	0	0	0	0	0	0	0	-0.48938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK026714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72365	0
