	partition_group
AMER3	0
AX747853	0
BAALC	0
BTBD17	0
CA8	0
CACNA2D1	0
CACNG4	0
CDK5R2	0
COL22A1	0
CPA1	0
CPLX1	0
CTXN1	0
DNAJC12	0
FAM110B	0
FFAR2	0
FLT1	0
GABBR2	0
GCK	0
GPR142	0
INSRR	0
JAKMIP2	0
JAM3	0
KCNH6	0
KCTD12	0
LINC00310	0
LMX1B	0
LOC728392	0
LTBP2	0
MAP6	0
MAPK4	0
MSMB	0
NKAIN1	0
NOTUM	0
OR51E1	0
P2RX6	0
PCSK1	0
PDZRN3	0
PLCG2	0
PTCHD2	0
QDPR	0
RFX6	0
RGS16	0
RGS9	0
RIMBP2	0
SAMD14	0
SCGB1A1	0
SCGN	0
SEPT3	0
SFRP1	0
SLC16A12	0
SLC18A1	0
SMOC2	0
SPARC	0
SYT5	0
TMEM196	0
TOX	0
TSNAX-DISC1	0
TUBA1A	0
TUBA3FP	0
VCAN	0
ZCCHC18	0
ZNRF3-AS1	0
ACTN3	1
ARHGAP9	1
CDKN1C	1
CELA3B	1
CORO2B	1
CYP27A1	1
DLL4	1
FUT7	1
GAL	1
GGT5	1
GLT8D2	1
GOLGA7B	1
ID4	1
IL17C	1
LRRC10B	1
MAD2L2	1
NHLH1	1
POM121L9P	1
PPP1R14A	1
PRELP	1
SH3RF3	1
SLC7A4	1
SSTR1	1
ST18	1
SYP	1
TMEM61	1
ADORA2A	2
AL117485	2
ASXL3	2
BEX1	2
BHMT	2
CAMK2B	2
CBLN1	2
CD99L2	2
CDH22	2
CELF3	2
DPEP1	2
DPYSL4	2
ENPP2	2
FAM167A	2
FLJ38723	2
GNG4	2
HEPACAM2	2
IGFBPL1	2
INSM1	2
KCNJ11	2
KIT	2
LRRN2	2
MUC16	2
NEURL	2
NEUROD1	2
NKX2-2	2
PGA5	2
PROX1	2
RAB39B	2
RGS4	2
SCG2	2
SCG3	2
SCN3A	2
SEPT5-GP1BB	2
SLC6A17	2
SSTR2	2
TMEM200A	2
TMOD1	2
VWA5B2	2
ATOH8	3
BAI1	3
BCL2	3
C1QL1	3
C2CD4A	3
CACNA1H	3
CELA3A	3
CNIH2	3
CNTN3	3
COL16A1	3
CTSL2	3
CYGB	3
DLL1	3
DSCAML1	3
FAM65C	3
KIF1A	3
LAPTM5	3
LOC400891	3
LSP1	3
LZTS1	3
PAX4	3
RIIAD1	3
RUNDC3A	3
SLC38A3	3
SOCS1	3
SPINK4	3
TMEM8C	3
TUBB4A	3
USP41	3
ABCC8	4
ADAMTSL2	4
AMBP	4
ANKRD20A8P	4
ASRGL1	4
BCRP3	4
CHGA	4
CHGB	4
CNGA3	4
CRLF1	4
ELFN1	4
FAM71E2	4
FJX1	4
HOPX	4
KLK12	4
LINC00643	4
LYPD8	4
MAFA	4
MLLT11	4
MRPL34	4
NREP	4
PTP4A3	4
RAB4B-EGLN2	4
RASD1	4
SCIMP	4
SLC38A5	4
TUBB3	4
UBL5	4
VSTM2L	4
BAI2	5
CCND2	5
CTAGE15	5
DYNC1I1	5
EPHB3	5
FLJ00385	5
FRZB	5
GFRA1	5
HEYL	5
HGFAC	5
IFNE	5
IGHG1	5
LINGO1	5
LOC100506178	5
LTF	5
MEX3B	5
MUC5B	5
NEUROG3	5
NINJ1	5
NOXO1	5
NPSR1-AS1	5
NPTX1	5
NPW	5
PHLDA2	5
PPP1R3C	5
RASL11B	5
SDPR	5
SEMA6B	5
SH3GL1P1	5
SPON2	5
STMN3	5
TMEM59L	5
ZCCHC12	5
AGT	6
C2CD4B	6
CFH	6
GRASP	6
HES4	6
HINT1	6
KCNF1	6
LINC00261	6
MFAP2	6
RAB26	6
SYNGR3	6
TMEM158	6
AK316092	7
AMPD3	7
CBFA2T3	7
CDH5	7
CHRNB2	7
CLCNKA	7
CLPS	7
CSF1R	7
CXCR7	7
CYMP	7
DPYSL3	7
DQ592230	7
EVA1A	7
HMGB3	7
IGFN1	7
INHBE	7
LRFN1	7
MEX3A	7
MMP11	7
MUC15	7
MUC5AC	7
NPTXR	7
OSBPL6	7
PCBP4	7
PTGDR2	7
RBP1	7
RCOR2	7
SAP30	7
SBK1	7
SCN1B	7
SCUBE1	7
SFTPA2	7
SHF	7
SIDT1	7
SLC51B	7
SOX4	7
SUSD2	7
TFPI2	7
TMEM70	7
TP73	7
TSPAN11	7
AK092048	8
AKR1B1	8
ARHGEF25	8
BC041449	8
CADPS	8
CHRNA1	8
CHRNA3	8
CR627206	8
CSH1	8
CSH2	8
DACH1	8
DOCK8	8
FAM105A	8
FAM171A2	8
FAM19A5	8
GNAO1	8
GPC2	8
GRHL3	8
HES6	8
KCNB2	8
KCNK3	8
LIMD2	8
LOC100188947	8
LOC145837	8
MMP2	8
NEUROD2	8
PCDHB15	8
PCDHB16	8
PGA3	8
PGA4	8
PMP22	8
PPP1R16B	8
RGAG4	8
SDK2	8
SERPINI1	8
STARD9	8
TAGLN3	8
TMEM35	8
VASH2	8
WNT9A	8
AK5	9
ANKRD65	9
CABP7	9
CACNA1A	9
CCL20	9
CD200	9
CPE	9
CRYBA2	9
FSD1	9
GHRL	9
GNG2	9
HECW2	9
ISL1	9
KIF19	9
KLHL32	9
LRIG1	9
MDK	9
MS4A8	9
MYBPC2	9
MYT1	9
NFASC	9
NKD1	9
OLFML2B	9
PDE2A	9
SPIB	9
SSTR5-AS1	9
TTYH2	9
VSTM4	9
VWCE	9
