	partition_group
6	['AGT', 'HES4', 'GRASP', 'HINT1', 'C2CD4B', 'KCNF1', 'LINC00261', 'MFAP2', 'RAB26', 'SYNGR3', 'TMEM158', 'CFH']
4	['CHGA', 'ABCC8', 'ADAMTSL2', 'NREP', 'MAFA', 'CHGB', 'LINC00643', 'MLLT11', 'TUBB3', 'ASRGL1', 'ELFN1', 'CNGA3', 'KLK12', 'AMBP', 'PTP4A3', 'BCRP3', 'UBL5', 'HOPX', 'CRLF1', 'MRPL34', 'SLC38A5', 'LYPD8', 'RAB4B-EGLN2', 'SCIMP', 'VSTM2L', 'RASD1', 'FAM71E2', 'FJX1', 'ANKRD20A8P']
3	['CNIH2', 'C2CD4A', 'ATOH8', 'TMEM8C', 'DSCAML1', 'KIF1A', 'PAX4', 'CELA3A', 'USP41', 'C1QL1', 'SPINK4', 'LAPTM5', 'CACNA1H', 'COL16A1', 'RUNDC3A', 'SOCS1', 'RIIAD1', 'BCL2', 'DLL1', 'LOC400891', 'LZTS1', 'LSP1', 'BAI1', 'TUBB4A', 'CTSL2', 'CNTN3', 'CYGB', 'FAM65C', 'SLC38A3']
8	['HES6', 'DACH1', 'AK092048', 'NEUROD2', 'CADPS', 'STARD9', 'GNAO1', 'TAGLN3', 'KCNB2', 'AKR1B1', 'DOCK8', 'PMP22', 'CHRNA1', 'FAM105A', 'GPC2', 'VASH2', 'GRHL3', 'PPP1R16B', 'PGA3', 'CHRNA3', 'CSH1', 'MMP2', 'PGA4', 'FAM171A2', 'RGAG4', 'KCNK3', 'SERPINI1', 'SDK2', 'LIMD2', 'PCDHB16', 'BC041449', 'PCDHB15', 'WNT9A', 'CSH2', 'LOC145837', 'ARHGEF25', 'LOC100188947', 'TMEM35', 'CR627206', 'FAM19A5']
2	['INSM1', 'PGA5', 'NEUROD1', 'NKX2-2', 'IGFBPL1', 'RGS4', 'SCG3', 'SSTR2', 'VWA5B2', 'SCN3A', 'HEPACAM2', 'SCG2', 'ENPP2', 'KCNJ11', 'SLC6A17', 'ADORA2A', 'PROX1', 'ASXL3', 'CAMK2B', 'BHMT', 'MUC16', 'SEPT5-GP1BB', 'TMEM200A', 'GNG4', 'DPEP1', 'CDH22', 'CELF3', 'FAM167A', 'TMOD1', 'DPYSL4', 'NEURL', 'LRRN2', 'FLJ38723', 'BEX1', 'AL117485', 'RAB39B', 'KIT', 'CBLN1', 'CD99L2']
5	['NEUROG3', 'PHLDA2', 'SPON2', 'CCND2', 'RASL11B', 'MEX3B', 'GFRA1', 'HEYL', 'NOXO1', 'NPTX1', 'TMEM59L', 'BAI2', 'ZCCHC12', 'NPW', 'LTF', 'FLJ00385', 'SEMA6B', 'LOC100506178', 'STMN3', 'PPP1R3C', 'NINJ1', 'MUC5B', 'HGFAC', 'SDPR', 'LINGO1', 'DYNC1I1', 'NPSR1-AS1', 'IGHG1', 'CTAGE15', 'EPHB3', 'FRZB', 'SH3GL1P1', 'IFNE']
0	['RFX6', 'JAM3', 'KCNH6', 'OR51E1', 'CA8', 'RIMBP2', 'CDK5R2', 'LOC728392', 'SLC18A1', 'BTBD17', 'GABBR2', 'PDZRN3', 'SCGB1A1', 'AMER3', 'LMX1B', 'BAALC', 'TOX', 'GCK', 'KCTD12', 'TMEM196', 'SYT5', 'SMOC2', 'PTCHD2', 'MAP6', 'SPARC', 'SLC16A12', 'PLCG2', 'TUBA3FP', 'FAM110B', 'ZCCHC18', 'VCAN', 'QDPR', 'CACNA2D1', 'MAPK4', 'FLT1', 'CTXN1', 'CACNG4', 'LINC00310', 'FFAR2', 'SAMD14', 'TUBA1A', 'NKAIN1', 'P2RX6', 'COL22A1', 'CPA1', 'CPLX1', 'NOTUM', 'SCGN', 'SFRP1', 'SEPT3', 'TSNAX-DISC1', 'MSMB', 'INSRR', 'PCSK1', 'LTBP2', 'JAKMIP2', 'RGS9', 'GPR142', 'RGS16', 'DNAJC12', 'ZNRF3-AS1', 'AX747853']
7	['SOX4', 'TP73', 'AMPD3', 'PTGDR2', 'SUSD2', 'SHF', 'PCBP4', 'MMP11', 'SBK1', 'CDH5', 'MEX3A', 'CYMP', 'OSBPL6', 'TMEM70', 'CLPS', 'RCOR2', 'CBFA2T3', 'SAP30', 'SCN1B', 'SFTPA2', 'IGFN1', 'EVA1A', 'CLCNKA', 'SCUBE1', 'SLC51B', 'NPTXR', 'CXCR7', 'LRFN1', 'TFPI2', 'MUC15', 'TSPAN11', 'CHRNB2', 'DQ592230', 'RBP1', 'HMGB3', 'DPYSL3', 'AK316092', 'CSF1R', 'INHBE', 'SIDT1', 'MUC5AC']
9	['SSTR5-AS1', 'CACNA1A', 'GNG2', 'NFASC', 'MS4A8', 'GHRL', 'CRYBA2', 'NKD1', 'CABP7', 'OLFML2B', 'SPIB', 'KLHL32', 'AK5', 'CPE', 'CCL20', 'MDK', 'ANKRD65', 'KIF19', 'MYBPC2', 'HECW2', 'PDE2A', 'TTYH2', 'ISL1', 'VWCE', 'CD200', 'LRIG1', 'FSD1', 'VSTM4', 'MYT1']
1	['ST18', 'POM121L9P', 'CYP27A1', 'PRELP', 'CORO2B', 'ARHGAP9', 'ACTN3', 'LRRC10B', 'PPP1R14A', 'DLL4', 'NHLH1', 'CELA3B', 'GGT5', 'CDKN1C', 'SYP', 'IL17C', 'GOLGA7B', 'SLC7A4', 'SH3RF3', 'SSTR1', 'MAD2L2', 'ID4', 'FUT7', 'GLT8D2', 'TMEM61', 'GAL']
