TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
MAFA	ANKRD37	-0.82833	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
NKX2-2	ANKRD37	0.49727	46.11	0.108	rgb(218,196,197)	1.9022	None
MAFA	ANKRD65	0.016566	47.26	0.263	rgb(220,167,167)	1.9252	None
MAFA	ANO9	-0.2947	48.87	-8.7E-01	rgb( 28,102,250)	1.9574	None
MAFA	ANXA1	-0.8413	50.94	-9.4E-01	rgb( 12, 92,253)	1.9988	None
NKX2-8	ANXA1	-0.36243	49.15	-1.5E-01	rgb(184,197,223)	1.963	None
MAFA	ANXA13	0.7101	50.81	0.809	rgb(226, 62, 64)	1.9962	None
NKX2-2	ANXA13	-0.24552	41.07	-7.2E-02	rgb(201,207,220)	1.8014	None
NKX2-8	ANXA9	0.048891	47.56	0.561	rgb(223,110,111)	1.9312	None
NKX2-8	AP3B2	-0.14151	38.54	-5.4E-01	rgb(101,146,237)	1.7508	None
NKX2-2	APCDD1	0.83837	50.62	0.622	rgb(224, 98, 99)	1.9924	None
MAFA	APOH	-0.52172	49.92	-9.2E-01	rgb( 16, 95,252)	1.9784	None
MAFA	ARID5A	-0.39765	49.53	-5.3E-01	rgb(103,148,237)	1.9706	None
MAFA	ARL4A	-0.3606	49.12	-1.2E-01	rgb(190,201,222)	1.9624	None
NKX2-2	ARMC3	0.55921	49.98	0.981	rgb(228, 30, 32)	1.9796	None
NKX2-8	ARNTL	0.85509	50.95	0.95	rgb(227, 36, 38)	1.999	None
MAFA	ARRDC4	0.74818	50.86	0.858	rgb(226, 53, 55)	1.9972	None
MAFA	ARX	0.46502	49.8	0.797	rgb(226, 65, 66)	1.976	None
NKX2-8	ASB2	-0.79963	50.91	-9.1E-01	rgb( 19, 97,252)	1.9982	None
NKX2-2	ASCL2	0.72421	50.83	0.833	rgb(226, 58, 59)	1.9966	None
NKX2-8	ASCL2	-0.59549	50.35	-3.5E-01	rgb(142,171,230)	1.987	None
MAFA	ATP12A	0.095254	47.8	0.797	rgb(226, 65, 66)	1.936	None
NKX2-8	ATP1B2	0.17867	48.37	0.37	rgb(221,146,147)	1.9474	None
MAFA	ATP2A3	0.39938	49.55	0.547	rgb(223,112,114)	1.971	None
NKX2-8	ATP2A3	-0.41143	44.45	-4.5E-01	rgb(120,158,234)	1.869	None
NKX2-8	ATP2C2	-0.23211	48.68	-6.8E-01	rgb( 69,127,243)	1.9536	None
NKX2-2	AVPR1A	-0.52945	46.64	-6.4E-01	rgb( 77,132,241)	1.9128	None
MAFA	AX747167	-0.59223	50.3	-3.0E-01	rgb(151,177,228)	1.986	2,2
NKX2-8	AX747593	-0.79447	50.35	-3.5E-01	rgb(140,170,230)	1.987	2,2
MAFA	AX748395	0.78761	50.9	0.9	rgb(227, 45, 47)	1.998	2,2
NKX2-2	AX748395	0.93799	50.82	0.816	rgb(226, 61, 63)	1.9964	2,2
MAFA	B2M	-0.73879	50.85	-8.5E-01	rgb( 32,105,249)	1.997	None
NKX2-8	BAALC	-0.40803	49.6	-6.0E-01	rgb( 87,138,240)	1.972	None
MAFA	BAAT	0.14484	47.98	0.98	rgb(228, 30, 32)	1.9396	None
NKX2-8	BAAT	-0.11079	47.86	-8.6E-01	rgb( 30,103,250)	1.9372	None
MAFA	BANK1	-0.98266	51	-1	rgb(  0, 85,255)	2	None
MAFA	BC007880	-0.055562	47.6	-6.0E-01	rgb( 86,137,240)	1.932	2,2
NKX2-8	BC010924	-0.7101	50.81	-8.1E-01	rgb( 40,109,248)	1.9962	2,2
NKX2-2	BC018887	-0.45193	45.3	-3.0E-01	rgb(152,178,228)	1.886	2,2
MAFA	BC032415	-0.69826	50.79	-7.9E-01	rgb( 45,112,247)	1.9958	2,2
NKX2-8	BC040577	0.19461	48.5	0.501	rgb(223,121,122)	1.95	2,2
NKX2-8	BC069776	0.82833	50.93	0.927	rgb(227, 40, 42)	1.9986	2,2
MAFA	BC087859	-0.44116	49.73	-7.3E-01	rgb( 59,121,245)	1.9746	2,2
MAFA	BC131768	0.28268	48.84	0.842	rgb(226, 56, 58)	1.9568	2,2
MAFA	BCAN	-0.94964	50.99	-9.9E-01	rgb(  3, 87,254)	1.9998	None
NKX2-2	BCAN	-0.4431	45.08	-7.8E-02	rgb(200,207,220)	1.8816	None
MAFA	BCL6	0.87528	50.96	0.956	rgb(228, 34, 36)	1.9992	None
NKX2-8	BCL6	0.52172	49.92	0.919	rgb(227, 42, 43)	1.9784	None
MAFA	BCRP3	-0.69826	50.79	-7.9E-01	rgb( 45,113,247)	1.9958	None
MAFA	BDKRB2	0.63368	50.62	0.62	rgb(224, 99,100)	1.9924	None
NKX2-2	BDKRB2	0.38435	43.79	0.79	rgb(226, 66, 68)	1.8558	None
NKX2-2	BEX1	-0.36881	49.26	-2.6E-01	rgb(160,182,227)	1.9652	None
NKX2-8	BEX1	-0.041488	36.3	-3.0E-01	rgb(151,177,229)	1.706	None
MAFA	BIRC3	-0.12146	47.9	-9.0E-01	rgb( 23, 99,251)	1.938	None
NKX2-8	BRD7P3	0.048891	47.56	0.56	rgb(223,110,111)	1.9312	2,2
MAFA	BSN	0.16932	48.28	0.276	rgb(220,164,165)	1.9456	None
NKX2-2	C10orf10	0.69196	50.78	0.779	rgb(226, 68, 70)	1.9956	2,2
MAFA	C11orf96	0.13945	47.96	0.958	rgb(228, 34, 36)	1.9392	None
MAFA	C15orf48	-0.060839	47.63	-6.3E-01	rgb( 81,134,241)	1.9326	None
NKX2-8	C15orf59	0.65831	50.7	0.696	rgb(225, 84, 85)	1.994	2,2
NKX2-8	C16orf93	-0.30977	42.43	-4.3E-01	rgb(124,160,233)	1.8286	2,2
MAFA	C17orf72	0.47653	49.83	0.827	rgb(226, 59, 61)	1.9766	2,2
MAFA	C1QL1	0.02221	47.33	0.332	rgb(221,154,154)	1.9266	None
NKX2-2	C1orf173	0.02954	47.41	0.414	rgb(222,138,139)	1.9282	2,2
MAFA	C1orf53	0.52681	49.93	0.933	rgb(227, 39, 41)	1.9786	None
