TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
EGR2	DYSF	0.86648	50.68	0.68	rgb(224, 87, 89)	1.9936	None
LHX1	DYSF	-0.44849	45.25	-2.5E-01	rgb(162,184,227)	1.885	None
MEF2C	DYSF	0.32172	42.56	0.564	rgb(223,109,110)	1.8312	None
CEBPA	ENTPD3	0.92054	50.98	0.98	rgb(228, 30, 32)	1.9996	None
EGR2	ENTPD3	-0.96661	50.86	-8.6E-01	rgb( 31,104,250)	1.9972	None
LHX1	ENTPD3	-0.43211	49.7	-7.0E-01	rgb( 65,124,244)	1.974	None
EGR2	FGF1	0.70068	49.47	0.465	rgb(222,128,129)	1.9694	None
ESRRG	FGF1	-0.0020524	35.31	-3.1E-01	rgb(149,176,229)	1.6862	None
LHX1	FGF1	0.52681	49.93	0.928	rgb(227, 40, 42)	1.9786	None
EGR2	FLJ16779	0.8508	50.65	0.648	rgb(224, 93, 94)	1.993	2,2
ESRRG	FLJ16779	-0.87084	50.7	-7.0E-01	rgb( 64,124,244)	1.994	2,2
LHX1	FLJ16779	0.68649	50.77	0.77	rgb(225, 70, 72)	1.9954	2,2
EGR2	FOS	0.11548	38.11	0.112	rgb(218,196,196)	1.7422	None
LHX1	FOS	0.2626	47.75	0.754	rgb(225, 73, 74)	1.935	None
MEF2C	FOS	0.037566	36.23	0.228	rgb(220,173,174)	1.7046	None
CEBPA	FOXO1	-0.81081	50.51	-5.1E-01	rgb(106,149,237)	1.9902	None
LHX1	FOXO1	-0.76049	49.8	-8.0E-01	rgb( 44,112,247)	1.976	None
MEF2C	FOXO1	0.87293	50.71	0.714	rgb(225, 81, 82)	1.9942	None
CEBPA	GPC6	-0.91853	50.8	-8.0E-01	rgb( 44,112,247)	1.996	None
EGR2	GPC6	0.80773	50.47	0.468	rgb(222,128,129)	1.9894	None
ESRRG	GPC6	-0.14415	38.58	-5.8E-01	rgb( 91,140,239)	1.7516	None
LHX1	GPC6	-0.55661	47.31	-3.1E-01	rgb(149,176,229)	1.9262	None
CEBPA	GPR115	-0.094411	37.47	-4.7E-01	rgb(115,155,235)	1.7294	2,2
EGR2	GPR115	0.7971	50.4	0.401	rgb(221,140,141)	1.988	2,2
MEF2C	GPR115	0.87084	50.7	0.705	rgb(225, 82, 84)	1.994	2,2
EGR2	HBEGF	0.65303	48.67	0.672	rgb(224, 89, 90)	1.9534	None
ESRRG	HBEGF	-0.64834	48.64	-6.4E-01	rgb( 78,133,241)	1.9528	None
LHX1	HBEGF	-0.82448	50.57	-5.7E-01	rgb( 94,142,239)	1.9914	None
CEBPA	HIVEP3	-0.96932	50.87	-8.7E-01	rgb( 29,103,250)	1.9974	None
EGR2	HIVEP3	0.85509	50.95	0.945	rgb(227, 36, 38)	1.999	None
MEF2C	HIVEP3	0.71629	49.59	0.592	rgb(224,104,105)	1.9718	None
ESRRG	HLA-DQB1	-0.42063	44.57	-5.7E-01	rgb( 94,142,239)	1.8714	2,2
LHX1	HLA-DQB1	0.47227	49.82	0.824	rgb(226, 60, 61)	1.9764	2,2
MEF2C	HLA-DQB1	0.53245	49.94	0.939	rgb(227, 38, 40)	1.9788	2,2
CEBPA	HSPB1	-0.79813	50.42	-4.2E-01	rgb(126,161,233)	1.9884	None
LHX1	HSPB1	-0.37218	43.61	-6.1E-01	rgb( 85,136,240)	1.8522	None
MEF2C	HSPB1	0.62628	48.43	0.434	rgb(222,134,135)	1.9486	None
CEBPA	IGF2	-0.83647	50.61	-6.1E-01	rgb( 84,136,240)	1.9922	None
EGR2	IGF2	0.65622	48.69	0.691	rgb(225, 85, 86)	1.9538	None
LHX1	IGF2	-0.82327	50.56	-5.6E-01	rgb( 95,143,238)	1.9912	None
CEBPA	ISG15	-0.96661	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	None
