	ARX	ASCL1	ASCL2	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.124498202575	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.337326812611	1	1	1	1	1
NABA_MATRISOME	1	1	1	1	1	1	1	1	1	1	1	0.561394748835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	0.233670733912	0.0122422578651	1	1	1	1	1	1	1	0.408475559114	1	0.118351684629	1	1	1	1	1	1	1	1	1	0.0441299103983	1	0.540976810932	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	0.927415783675	1	1	1	1	1	1	1	1	1	1	0.151022276927	1	1	1	1	1	1	1	1	1	1	1	0.147019034772	1	1
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1	1	1	1	0.418507434841	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	1	0.67442201316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	1	1	0.657003280456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	0.00922805052292	1	1	1	1	0.0883452453699	1	1	1	1	1	1	0.674061785485	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_ION_CHANNEL_TRANSPORT	1	1	1	1	1	1	1	0.170681897314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	0.081913104221	0.0279128944137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027439533187	1	1	1	1	0.904052064979
REACTOME_NEURONAL_SYSTEM	3.43021536561e-05	5.61327824955e-06	6.92684560404e-05	3.97106947658e-06	6.37233472922e-06	0.0130700769945	0.018306611691	0.00237537474916	0.00422777741635	8.18322085094e-07	0.0374011839744	1.90243698128e-05	2.19471452465e-05	0.0272121696059	0.000270685535843	0.000521538342968	1	0.188839071463	0.189265654293	0.047295089591	0.117974470679	0.249927993773	2.78876202253e-06	4.31705827408e-06	4.78039508423e-06	1.49781578473e-06	8.98696719842e-06	6.14767818853e-05	0.800481061357	0.664364200967
