	genes
RAPGEFL1	4
RASD1	6
RBP2	0
RCOR2	4
REEP1	2
RELB	8
RGAG1	1
RGS16	0
RGS7	0
RNF165	6
RTEL1	2
RTN4RL2	0
RYR2	7
S100P	4
S100Z	7
SCG2	1
SCN3A	2
SCN4B	7
SCN7A	3
SCN8A	1
SERPINE1	7
SFRP2	4
SGCD	0
SGK1	1
SH3GL2	2
SH3RF3	0
SHANK1	7
SHD	7
SKAP1	7
SLC12A2	6
SLC18A1	2
SLC1A3	0
SLC24A5	5
SLC25A25	1
SLC26A3	3
SLC26A4	6
SLC2A1	5
SLC2A3	0
SLC38A5	0
SLC43A1	0
SLC46A3	7
SLC47A1	1
SLC5A7	6
SLC6A12	0
SLC6A17	7
SLFN12	6
SLIT1	4
SLITRK1	2
SLITRK2	4
SMIM5	6
SMIM6	1
SOCS1	8
SOD3	4
SOX2-OT	8
SOX3	1
SP5	4
SPEG	7
SPOCK2	0
SPP1	4
SPRED3	8
SRRM4	6
SST	7
ST3GAL6	1
ST7	2
ST8SIA1	4
STAR	1
STARD13	3
STEAP4	7
STMN2	3
STON1-GTF2A1L	1
STXBP1	6
SUCNR1	5
SUSD2	7
SV2C	7
SVOP	2
TAGLN3	6
TBC1D8	6
TBX4	7
TFPI2	4
TGFA	6
THBS1	8
TIMM23B	0
TMEM105	0
TMEM171	2
TMEM189-UBE2V1	7
TMEM231	5
TMEM51	5
TMEM51-AS1	7
TMEM88	4
TNC	7
TNFSF8	7
TNR	3
TP63	7
TPBGL	4
TPCN1	8
TTC6	1
TTLL7	0
TXNIP	8
UBE2F-SCLY	8
UBXN11	7
UCA1	2
UNC13C	4
UNC5B	1
UNC93B1	2
VSTM2A	7
VWA5B2	1
WNT1	8
WNT3A	7
WNT7A	4
ZAP70	3
ZDHHC22	1
ZFAND4	1
ZFR2	4
ZIC1	6
