	genes
RFX6	0
ST18	1
CNIH2	2
DACH1	0
KCNH6	3
TOX	1
ARX	2
DOK6	4
ASCL1	3
INSM1	5
PGA5	1
NEUROD1	0
NKX2-2	0
GSTM2	0
NEUROG3	0
SSTR2	2
CDK5R2	6
CELF3	3
KIF1A	6
LOC728392	0
NFASC	2
PCSK1N	0
SYT4	0
TMEM200A	0
MMRN1	1
FEV	3
SLC18A1	6
BTBD17	0
CA8	0
IGFBPL1	0
MARCH4	0
CACNA2D1	0
AK092048	2
AMER3	0
ASIC4	3
GCK	3
MAP2	1
MAP6	0
NOL4	3
PDE2A	0
PSD	3
SCGB1A1	1
SCGN	1
SVOP	5
GATA2	1
FAM171B	1
KCNIP3	5
SCG2	0
BRS3	3
HMP19	5
TMEFF1	5
FOXP2	1
ATOH8	0
AGT	3
CPLX2	3
DPP10	3
ELAVL4	1
GNG4	0
MIAT	2
OR51E1	0
TAGLN3	0
SPIB	3
ARNT2	3
SDK1	2
ETV1	3
COL14A1	4
PGM5	4
HHEX	4
TTR	4
ISL1	2
SGCD	2
LMX1A	5
UNC80	1
LMX1B	2
BAALC	2
HES6	0
DUSP26	0
CPB1	1
FAM105A	0
RGAG4	0
SST	3
SV2A	3
ADORA2A	0
ACTL6B	0
CELA3A	0
ENPP2	0
PPP1R1A	1
CYP27C1	1
BHMT	0
CACNG4	0
CD200	2
DSCAML1	0
GRIK3	0
JAM3	1
LINC00643	6
LOC646903	0
LY6H	0
MTSS1	6
OR51E2	4
RAPGEF4	3
RTN1	3
SIM1	5
SYT5	6
VSTM2L	1
SMAD9	0
CAMKV	3
EVL	1
HEPACAM2	0
KCNK16	3
MMP2	0
MYT1	5
PTP4A3	0
SPTBN4	3
AF131837	5
SUCNR1	5
BRSK1	0
USP13	3
CHST9	5
GPC5-AS1	5
ADAMTS2	0
ASXL3	0
FXYD6	4
RBP1	0
TP73	0
SAMD11	1
CELF4	6
TMOD1	1
COL12A1	6
ABCC8	2
TUBB4A	0
PCYT1B	3
FGF14	2
B3GAT1	3
CACNA1A	3
GPBAR1	0
IGSF21	0
KCNH2	3
MIR7-3HG	3
MPP2	1
PCSK1	2
SAMD14	2
SFRP1	3
STMN2	4
ID4	1
KIAA2022	5
PYY	4
KCNE4	1
PBX3	6
PRR18	0
GFRA1	1
PAK6	2
C1QL1	2
OLFML3	1
AB074188	5
AL109792	5
CHGA	1
MAP1A	0
MAPK8IP1	3
FAM227A	2
BAIAP3	3
KCNH8	1
KCTD12	3
RAP1GAP2	4
SIX2	5
S100A1	4
RUNDC3A	3
SRCIN1	1
ASCL2	3
SH3RF3	3
CCDC17	4
BX649158	4
GHRL	3
WNK3	3
DDC	5
GFRA3	2
RGS11	1
ARHGAP33	1
PROX1	0
PDZD4	0
MAFB	1
GPC2	3
SCG3	2
WNK2	0
GABBR2	1
LINC00261	1
MAP1B	0
PAK7	3
PAX6	3
SSTR5-AS1	0
LZTS1	2
P2RX6	0
PLCL1	3
REEP2	3
TRPM3	4
CIT	4
FKBP7	3
CACNA1G	6
TUB	0
FOXD4L5	1
GIP	2
CLEC4G	5
HAP1	5
SEPT5-GP1BB	0
ST8SIA3	3
MANEAL	3
CELSR2	1
PODXL2	1
NCAM1	4
TMEM132B	0
NUP210	3
GNG2	6
NAV3	0
RGS9	0
SLC6A17	0
GUCY1B3	5
GRASP	0
KCNB2	3
KIAA1324	1
RAB36	3
CHGB	0
LEFTY1	4
CCDC154	0
LINC00930	0
NR4A3	0
STMND1	0
DKK3	0
MS4A8	3
PTPRN2	3
AB007962	4
STX1A	1
MCF2L	0
ANKRD13B	1
KCNJ6	3
KIF19	0
LRRN2	0
RASD1	0
SDK2	2
STARD9	4
BASP1	5
BOC	5
CERS1	3
CHST8	3
JAKMIP2	0
KCNJ11	0
SLC16A12	1
SLC8A1	0
AK094786	5
AVPR1B	2
SCG5	2
ACSS3	6
DTX3	4
KCNJ2	2
FAM171A2	3
ONECUT1	1
EDAR	1
PDGFD	3
SMTNL2	3
PDZRN3	0
CACNA1C	1
FLJ00385	0
CNTNAP4	4
SSTR1	1
RUNX1T1	3
ST8SIA5	2
SYT14	3
CAMK2B	0
MAST1	4
TMEM151A	3
C7	6
CCDC74B	3
RIMBP2	3
CACNG7	5
ADH6	6
CSH1	1
RTN4RL1	0
ADCY2	1
BC043205	4
CLPS	0
ARHGAP22	3
VASH2	6
CXXC4	5
SSPO	1
CD37	1
CCDC40	0
RPS15AP10	1
LRRC49	0
NKD1	0
GTF2IRD1P1	3
SNAP25	2
USP41	2
RGS4	3
AK316321	4
PGA4	0
AKT3	3
RPLP0P2	0
JAKMIP1	0
KCNMA1	5
TEKT2	6
AK096718	5
RAB3C	5
GAD2	5
KCTD16	5
XKR7	0
GABRG2	3
PTCHD2	5
PAX4	2
FTCD	6
CBX2	5
EBF3	1
SUSD4	2
AP3B2	6
ITGBL1	3
LRRC36	1
KIAA0922	3
CFC1B	1
SCHIP1	0
FGF17	1
FXYD1	3
MYBPC3	0
SSTR3	1
TMOD2	1
VGF	3
AK123868	5
CRYBA2	3
SEZ6	0
BRSK2	3
FSTL5	0
RET	3
TTC7B	5
CNGA4	1
LINC00617	5
ELAVL3	1
STXBP5L	6
RGS16	1
AK125301	1
LONRF2	2
LIPC	0
KIT	0
KLHL32	3
VAV3	0
MMP13	1
HCP5	5
CNPY1	0
EFNB3	3
NACAD	3
VWA5B2	0
KCNJ3	2
ZG16	1
NHSL2	1
CPT1C	2
PEX5L	3
CCNA1	5
MLLT11	0
MBOAT4	3
NPTX2	5
THRA1	4
CTPS1	2
SNED1	5
TPH1	4
TSPAN7	5
ELFN1	3
NCS1	0
RGS5	5
PGA3	3
QSOX2	3
HECW2	6
APLP1	2
CACNA1H	3
KCNN3	6
PELI3	3
PLXNC1	3
RAB26	0
TUBA3FP	0
DNAJC12	0
STMN3	0
TAC3	0
UNC79	3
SLC25A53	3
SCUBE3	0
PLCXD3	2
CHRNA5	0
ACSL6	1
CRH	3
HSPA12A	3
DHRS2	1
LIMCH1	3
SLC12A5	3
CLCA1	5
FAM155B	3
PNMAL1	4
ASIC1	3
IGSF10	1
FAM181B	5
ABCC4	2
ARHGAP24	2
DACT1	0
KLK12	2
HSPA6	2
CHRM4	5
DPY19L2	3
TMEM196	2
KIF5A	3
AK311213	5
SCN1B	0
CBFA2T3	0
HLF	4
CAND2	1
KCNMB2-IT1	5
GNAO1	2
CABP7	0
LRRTM3	5
NTS	5
CES1	5
GABRA1	5
NTRK2	3
BGN	0
HCN4	0
FAM179A	5
ISLR2	3
ATP6V1G2	1
DLL1	2
TMEM151B	3
FAM65C	0
IGHG1	0
CRMP1	1
FAM131B	3
GALNT16	3
AIF1	4
ERO1LB	5
KCNH3	3
SPINK4	2
SLC25A27	3
CCK	1
UPK2	5
KSR2	3
GPR137C	3
SERPINA10	5
PCSK2	3
KIAA1549	4
MED12L	4
CNTD2	0
ABLIM2	4
KIF5C	5
CALY	5
LGI3	0
CCDC78	3
BAI1	5
FFAR2	1
SLC30A8	2
ST6GALNAC5	2
SAMD5	6
CYP4F24P	2
CFC1	1
SV2B	5
AK055386	5
CDHR3	4
AF070581	5
AMPH	0
CXCL12	4
ENTPD1	0
FZD4	3
ACTN3	6
ANK2	1
FBXL16	6
PAK3	5
TNFRSF6B	6
CDKN1C	3
AX747516	5
LRP1B	4
ALAS2	2
HIC1	6
LRRC16B	5
ADAMTSL1	0
NPSR1-AS1	0
ATP1A3	6
MAPK4	3
ZNF883	3
PKHD1L1	1
GRIK5	2
ZDHHC8P1	0
B3GNTL1	0
RPS6KL1	6
ZNF853	5
ITPR1	1
VCAN	5
NPAS3	5
CARTPT	5
PALMD	1
GLYATL3	4
FAXC	1
GPR162	2
PAPPA2	5
COL1A2	1
RAB39B	0
KAL1	5
CACNB2	4
CPE	0
FAM161A	6
CACNA1B	5
MARCH1	3
PCDH20	5
PDE8B	1
MIR137HG	1
SLC1A2	3
ICA1L	5
CHRNB2	3
ADCY1	3
PTPRN	2
SPOCK3	1
LGR6	1
DQ583756	4
NEFM	4
MEP1B	1
SYNM	5
PRICKLE2	1
AK056490	5
GPR148	3
KIRREL3	2
BC040894	4
CNGA3	1
MAP3K12	1
RD3	3
ATCAY	5
TUBB2B	2
TAC1	4
DUSP2	3
HOPX	1
DOCK8	2
NEURL	5
CSH2	0
COL6A4P2	4
CLCA4	6
SCN3B	3
DNAH14	3
LINC00890	5
LOC100996634	0
GABRB3	4
ADCY5	0
UNC13A	0
EPM2A	5
CHST10	0
LOC283731	5
MURC	0
UBE2QL1	5
F10	5
AADAT	0
WDR17	3
FAT3	1
SRRM4	3
MTUS2	3
UCHL1	5
KCNT2	4
UCN3	1
CPLX1	5
PPP1R16B	1
SLC26A7	2
KNDC1	6
SPAG8	3
CRISPLD1	5
H1FX-AS1	3
AK057596	4
DGKB	6
GDAP1	3
SLC14A1	1
STX2	0
BC033961	5
TSPAN11	0
KIAA1817	5
C2CD4A	1
ANKRD65	0
BC006435	1
C2CD4B	6
NPTXR	0
GPR112	5
GREB1	3
ARL9	1
NALCN	3
FABP5	0
COL22A1	1
KLB	3
SYP	2
FAM101B	4
AK022997	5
DCX	5
GPR173	3
DTX1	6
PRKCG	6
CELF5	3
TPPP3	0
CCDC113	2
MYO3A	1
SORCS2	1
GRIN1	3
MAPK8IP2	5
INA	3
SCT	1
GPR142	0
SPON2	0
HNRPF	4
AX746734	6
CLEC4GP1	5
SPP1	3
GRB14	2
CACNA2D2	3
CCDC88A	2
KCNC1	3
LSAMP	4
BEX1	5
TMEM35	0
CERKL	0
NEGR1	1
RPRML	5
GRIN2C	3
LOC400891	0
BC073817	4
GPR133	0
PRKD1	0
DZIP1	4
AK054990	5
GPR119	5
NEK10	6
KCNK17	3
LINC00494	0
GPR83	0
TMEM59L	5
TMEM145	1
HBT8	4
SEPT3	5
PRPH	2
LINC00907	5
MAPK10	4
CAMK1	2
MPPED1	0
SCN3A	5
CADM3	1
CDK5R1	3
SPEG	3
CADM2	2
ZFP92	4
AX746771	4
FAM92B	2
CLGN	6
FFAR3	5
AK128153	5
G0S2	3
SGOL1-AS1	0
BAI2	0
TDO2	5
FBN1	5
TTLL6	2
INSRR	0
NCALD	4
ADAM12	2
KRTAP5-2	0
SCARA3	0
BSN	5
CLCN4	1
ADAMTSL2	1
MLN	2
NEFL	2
KCNAB2	0
OGFRL1	3
FLJ35024	4
SGSM1	4
LRFN2	0
FLJ35282	0
KCNH7	3
AK5	3
DPYSL4	3
EPHA4	3
SH3TC2	2
FFAR1	5
DBC1	5
KCNMB2	1
FRMPD4	5
DQ586822	1
AK092251	0
CELSR3	3
PRRT3	3
SIRPA	0
NPM2	3
TRAM1L1	6
TTLL10	3
WBSCR27	4
TMEM190	5
LOC100216479	5
LPPR5	5
AK302511	1
ADAM20P1	4
CYSLTR2	5
AK095045	5
LIN7A	4
TMEFF2	0
ELOVL4	5
LHFPL4	4
SLC7A2	3
INS-IGF2	5
SMKR1	0
LOC100507351	5
YPEL4	0
CHL1	3
RNF157-AS1	1
CLSTN2	5
DCHS1	1
TMEM132C	1
ASIC5	5
LOC642366	5
GPC6	1
AK056486	4
GAST	5
SEZ6L	1
TTLL7	2
PPM1E	6
GDAP1L1	5
CRIP2	3
LOC283335	4
NAIP	0
BC042825	4
GUCY1A3	5
SYN1	3
KL	3
FLJ22184	0
MAP9	0
AL832212	4
KCNK3	0
SCUBE1	1
CHD5	1
PTPRT	4
FAM167A	0
CPNE9	6
SHC3	2
NOV	0
LOC100527964	0
BX647938	4
DIRAS1	5
AK311257	0
NPY	3
GPR64	5
RSPH10B2	4
MAGED4	6
ZCCHC12	0
GRIA2	5
KCNA6	6
ARHGEF25	2
GPR116	5
FIGNL2	0
SLC35F3	0
USH2A	2
CHRNA3	0
PODN	3
FHL1	5
TRPA1	5
RNF150	1
CSRNP3	4
PPP4R4	3
CACNA1E	1
HLA-DQA2	5
CADPS	1
SLC7A14	4
NXF2	5
AK128833	5
AX747755	0
DNAH11	3
SOGA3	1
GOLGA6L4	4
AX747090	4
