	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0	5	4	5	4	14	10	8	3	10	0	6	9	6	14	17	0	8	4	14	5	2	11	10	0	8	5	14	0	6	14	7	8	9	0	2	0
GO_NEURAL_NUCLEUS_DEVELOPMENT	3	0	4	6	2	5	8	3	4	3	0	2	6	3	5	7	3	0	0	4	0	2	4	3	0	7	3	4	0	4	0	4	0	4	2	0	2
GO_NEUROGENESIS	15	44	24	31	29	65	46	32	21	43	14	20	50	52	51	56	16	36	24	66	26	12	53	24	21	32	43	63	0	38	52	42	43	43	16	7	24
GO_NEURON_DEVELOPMENT	11	36	14	20	23	53	34	23	15	37	11	15	44	45	38	46	15	26	14	50	19	11	42	21	17	25	32	45	0	31	40	29	36	30	14	5	16
GO_NEURON_DIFFERENTIATION	13	41	20	28	28	61	40	29	17	39	12	16	47	48	45	51	15	33	19	59	25	11	50	21	20	28	38	55	0	34	49	37	40	37	14	5	20
GO_NEURON_PROJECTION	15	46	29	22	22	73	49	36	21	51	16	21	62	47	61	78	16	32	19	65	18	10	63	33	24	45	42	65	0	45	66	35	50	44	13	8	28
GO_NEURON_PROJECTION_GUIDANCE	3	13	0	8	5	25	10	8	6	15	4	7	18	10	9	12	4	5	0	19	5	3	12	8	4	8	12	14	0	15	14	11	10	12	0	2	4
GO_NEURON_PROJECTION_TERMINUS	2	12	3	0	4	12	7	0	0	7	2	0	9	7	6	12	5	4	0	10	0	0	8	4	4	8	8	9	0	7	11	0	9	8	0	0	6
GO_NEURON_RECOGNITION	0	3	0	3	2	8	3	2	3	5	2	3	5	4	3	6	0	0	0	8	0	0	3	4	2	2	4	4	0	6	6	4	4	6	0	0	4
GO_NEURON_TO_NEURON_SYNAPSE	6	15	7	5	11	19	19	10	9	18	0	8	22	19	20	24	4	0	0	22	0	0	25	12	9	11	13	23	0	13	20	15	16	19	8	4	11
GO_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	2	3	0	0	0	0	2	4	0	5	0	3	6	6	6	6	0	2	0	4	0	0	7	0	3	4	2	4	0	3	5	2	3	5	0	0	0
GO_NEUROTRANSMITTER_SECRETION	2	11	4	6	4	16	10	7	4	8	2	6	11	10	16	13	4	5	3	7	0	3	16	4	4	8	7	12	0	9	13	5	12	14	0	0	4
GO_NEUROTRANSMITTER_TRANSPORT	0	12	5	6	5	18	12	7	4	9	0	6	13	12	17	16	4	6	3	9	0	3	18	4	4	9	8	13	0	9	13	5	13	15	0	0	4
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	13	15	7	8	28	18	12	5	21	6	8	18	12	22	27	9	12	6	20	7	4	16	16	5	17	0	19	0	9	21	15	15	16	0	3	8
GO_PEPTIDE_HORMONE_SECRETION	4	11	7	7	0	15	15	11	4	17	0	6	16	12	17	17	0	8	0	16	0	0	7	8	9	12	8	14	0	9	15	6	14	8	0	0	9
GO_PEPTIDE_SECRETION	4	13	9	8	0	18	18	15	7	23	0	7	22	19	22	22	0	13	0	20	6	0	11	14	11	14	11	18	0	12	20	10	20	12	5	0	9
GO_PERIKARYON	4	12	6	4	3	15	7	10	6	11	2	4	9	8	11	14	0	5	4	16	6	0	15	6	0	8	4	10	0	8	10	6	12	8	3	0	6
