	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_ACTION_POTENTIAL			CHRNB2 HCN4 KCNJ2 SCN3A	ANK2 CHRNB2 KCNH2 SCN1B		ANK2 CACNA2D1 CHRNB2 CHRNB4 CNR1 GJD2 KCNH2 KCNJ2 KCNMB2 SCN1B SCN3A SLC8A1	CACNA2D1 CHRNB2 GJD2 HCN4 KCNH2	CACNA1H CHRNB4 HCN4 KCNJ2 SCN1B SCN2A	CACNA1C CHRNB2 CHRNB4 KCNMB2	ANK2 CACNA1C GJD2 KCNMB2		ANK2 CACNA1C CHRNB4 HCN4	ANK2 CACNA1C CHRNB4 KCNJ2 KCNMB2 SCN2A		ANK2 CACNA1H CACNA2D1 CHRNB2 CHRNB4 CNR1 KCNJ2 KCNMB2 SLC8A1	ANK2 CACNA1C CACNA1H CHRNB4 CNR1 HCN4 KCNH2 KCNJ2 KCNMB2 SLC8A1	GJD2 SCN3A	CACNA1H CHRNB4 KCNH2	CACNA2D1 CHRNB4 SLC8A1	CACNA1C CACNA2D1 CHRNB4 KCNH2 KCNMB2 SCN2A SCN3A SLC8A1	ANK2 CACNA1H KCNH2 SCN1B	CACNB2 GJD2 SCN3A	ANK2 CACNA1H CACNA2D1 CHRNB2 CHRNB4 KCNJ2	ANK2 CACNA1C CACNA2D1 CACNB2 KCNMB2 SCN2A SLC8A1		CACNA2D1 CHRNB2 HCN4 KCNJ2 KCNMB2		ANK2 CACNA1H CACNB2 HCN4 KCNH2 SLC8A1			ANK2 CACNA1C CHRNB4 CNR1 HCN4 KCNJ2 KCNMB2 SCN1B	CACNA2D1 CHRNB2 CHRNB4 KCNH2 SCN2A SLC8A1	CACNA1C CNR1 KCNJ2 SCN2A SCN3A SLC8A1	ANK2 CACNA2D1 CHRNB2 CHRNB4 CNR1 KCNJ2 KCNMB2			
GO_ADENYL_NUCLEOTIDE_BINDING			ABCA9 ABCC8 ADCY5 AK5 ATP6V1B1 BRSK2 CAMK2B CSF1R DGKB GCK HCN4 KCNJ11 KSR2 MAPK4 PAK3 RTEL1 TTBK1 WNK2	ABCA9 ABCC8 ADCY1 AK5 ATP6V1B1 ATP8B2 BRSK2 CAMK2B CLCN4 CSF1R DGKB EPHB3 GCK HSPA12A KCNJ11 KIF19 MAPK4 RTEL1 SBK1 TTLL6 WNK2	ATP1A3 CIT CNGA4 CSF1R CTPS1 EPHA4 HSPA12A INSRR KIF19 KSR2 MSH5 PRKCG PRKD1 STARD9 TTLL7	ABCC8 ACSL6 ACSS3 AK5 ATP8B2 CACNA1B CAMK2B CAMKV CENPE CIT CTPS1 DGKB DNAH11 ENTPD1 EPHA4 EPHA8 EPHB3 FLT1 GCK HSPA12A KIF5A KIF5C KSR2 MSH5 NEK10 PDE2A PRKCG RET ROS1 RTEL1 SBK1 STARD9 SYN1 TTLL6 WNK3	ABCC8 ACSS3 ADCY1 ADCY2 ADCY5 AK5 AKT3 ATP1A3 BRSK1 BRSK2 CSF1R DNAH11 ENTPD1 GCK HCN4 KIF19 KSR2 MAP3K12 MAPK12 PRKCH RAPGEF4 ROS1 STARD9 SYN1 WNK2	ABCA9 ADCY5 ATP8B2 BRSK2 DGKB DNAH11 ENTPD1 FLT1 HCN4 HSPA12A KIF5A KSR2 MAP3K12 MAPK10 MAPK12 MSH5 STARD9 STK31 TTBK1 TTLL7 UBE2QL1 WNK2	CIT DNAH11 EPHA4 FLT1 MAP3K12 NEK10 PRKCH SBK1 STK31 TTBK1 TTLL6 TTLL7 WNK2	ABCA9 ABCC8 ACSL6 ADCY1 ADCY2 ADCY5 AKT3 ATP1A3 ATP8B2 BRSK1 CAMKV CNGA4 DGKB EPHA4 FLT1 GCK KIF5A KIF5C KSR2 MAPK10 PDE2A PRKCH STK33 TTBK1 TTLL6 UBE2QL1 WNK2	CACNA1B DNAH11 ENTPD1 IQCA1 NAV3 PRKCH ROS1 WNK2	ABCA9 ACSS3 ADCY1 ADCY2 ADCY5 AK5 AKT3 CNGA4 DGKB EPHB3 HCN4 INSRR KIF5A KSR2 MAP3K12 MSH5 NAV3 NEK10 PDE2A RAPGEF4 ROS1 STK33 TTBK1 TTLL7		ABCA9 ABCC8 ACBD7 ADCY1 AKT3 ATP8B2 BRSK2 CAMK2B CNGA4 CTPS1 DGKB DNAH11 EPHA4 EPHB3 HCN4 HSPA12A KIF5A KSR2 MAP3K12 MSH5 NAIP NAV3 PRKCH RAPGEF4 SBK1 STARD9 STK31 TTLL6 TTLL7		ABCA9 ADCY1 AKT3 ATP1A3 ATP6V1B1 CLCN4 CNGA4 DNAH11 EPHA4 FLT1 GCK HCN4 HSPA12A KCNJ11 KIF5A KSR2 MAP3K12 NAV3 PAK3 PDE2A RAPGEF4 ROS1 SBK1 STK31 STK33 SYN1 TTBK1 TTLL6 TTLL7 WNK2		ABCC8 ACSL6 ADCY2 ATP8B2 CAMK2B FLT1 GCK HSPA12A INSRR KCNJ11 KIF19 KIF5A NEK10 PDE2A RAPGEF4 RET STARD9 TTLL7	ACSL6 ADCY5 ATP8B2 CIT KIT KSR2 MAP3K12 MAPK10 NAIP NAV3 NEK10 STARD9 STK31	ABCC8 ACSL6 ADCY5 AK5 AKT3 ATP1A3 ATP6V1B1 ATP8B2 BRSK2 CAMK2B CAMKV CIT CSF1R CTPS1 DGKB DNAH11 ENTPD1 EPHA4 EPHB3 FLT1 IQCA1 KIF19 KIT KSR2 MAP3K12 MAPK10 MAPK4 NAIP NAV3 NEK10 PAK3 ROS1 STK31 STK33 TTBK1 TTLL7			ABCA9 ACBD7 ACSL6 ADCY1 ADCY2 ADCY5 AKT3 ATP1A3 ATP6V1B1 ATP8B2 BRSK1 BRSK2 CACNA1B CAMK2B EPHA4 INSRR KIF5A MAP3K12 MAPK10 MSH5 NAIP NAV3 PRKCG PRKD1 RAPGEF4 ROS1 RTEL1 STARD9 STK31 STK33 TTBK1 TTLL6 TTLL7 WNK3	ABCA9 ACSL6 ADCY2 ADCY5 CACNA1B DGKB EPHA4 FLT1 KSR2 MSH5 NAV3 NEK10 PRKCH ROS1 STARD9 STK31 TTLL6		ACSS3 ADCY5 AK5 AKT3 ATP1A3 ATP6V1B1 ATP8B2 BRSK2 DGKB HCN4 KCNJ11 KSR2 MAP3K12 MAPK10 RAPGEF4 RET TTBK1 TTLL6	ABCA9 ACBD7 ACSS3 ADCY5 AK5 ATP1A3 BRSK2 CIT CTPS1 DGKB ENTPD1 EPHA4 EPHA8 EPHB3 FLT1 HSPA12A KSR2 MAPK10 NAV3 NEK10 PDE2A RTEL1 STK31 STK33 SYN1 TTBK1 TTLL6 WNK2	ACBD7 ACSL6 AK5 ATP1A3 BRSK2 CAMK2B CAMKV CLCN4 CNGA4 DGKB DNAH11 EPHA4 GCK HCN4 HSPA12A INSRR IQCA1 KCNJ11 KIF1A MAP3K12 MAPK12 MAPK4 NAV3 NEK10 PDE2A PRKCG PRKCH RAPGEF4 RET ROS1 STK33 TTLL6 TTLL7 WNK2		ACSL6 ADCY5 AK5 ATP1A3 BRSK2 CACNA1B CENPE CIT CNGA4 DGKB ENTPD1 EPHA4 GCK HSPA12A KIF5A MAPK10 MSH5 NAIP PDE2A PRKCG PRKCH STK33 TTLL7	ABCA9 ABCC8 ACBD7 ACSS3 ADCY5 ATP1A3 ATP8B2 BRSK1 BRSK2 CACNA1B CAMK2B CAMKV CNGA4 CSF1R DGKB EPHA4 EPHB3 HCN4 HSPA12A IQCA1 KCNJ11 KIF19 KIF5C KSR2 MAP3K12 MAPK10 MAPK12 MAPK4 MSH5 PRKCG PRKCH RET ROS1 RTEL1 SBK1 TTLL7 WNK2	ACSL6 ACSS3 ADCY1 AK5 ATP6V1B1 ATP8B2 BRSK2 CENPE CLCN4 CNGA4 CSF1R DGKB DNAH11 EPHB3 FLT1 HSPA12A KIF19 MAP3K12 MAPK4 NAV3 RAPGEF4 ROS1 RTEL1 SBK1 STARD9 TTBK1 WNK2		ABCA9 ADCY1 ADCY5 ATP1A3 CNGA4 CSF1R CTPS1 DNAH11 EPHA4 EPHB3 FLT1 GCK HSPA12A KIT KSR2 MAPK10 MAPK12 MSH5 NAV3 NEK10 PRKCG PRKCH RET RTEL1 SBK1 STARD9 TTBK1 WNK2	ABCC8 ATP1A3 CAMK2B CENPE KIT MAP3K12 MAPK12 PRKCH WNK2		ABCC8 ACSL6 ACSS3 ADCY5 CENPE CIT CNGA4 DNAH11 ENTPD1 EPHA4 MAP3K12 MAPK12 MAPK4 MSH5 NAV3 PRKCG RAPGEF4 RTEL1 SYN1 TTLL6 TTLL7 WNK3
GO_ADULT_BEHAVIOR		CEND1 DRD2 EPHA4 UCHL1	ATP6V1B1 CEND1 CHRNB2 NR4A3	ATP6V1B1 CEND1 CHRNA3 CHRNB2 NR4A3 SPTBN4	CEND1 CHRNB2 EFNB3 EPHA4 SPTBN4	CHRNA3 CHRNB2 CHRNB4 EFNB3 EPHA4 GHRL NR4A3 SPTBN4 UCHL1 UNC79	BRS3 CHRNB2 EFNB3 GHRL SEZ6 SPTBN4 UCHL1	CHRNB4 GHRL NR4A3 PCDH17 SDK1 SEZ6	CHRNB2 CHRNB4 DRD2 EPHA4 SDK1	CHL1 EPHA4 GHRL NR4A3 PCDH17 SEZ6 SPTBN4		CHRNB4 EFNB3 SDK1	CEND1 CHRNB4 EPHA4 PCDH17 SPTBN4 UNC79	CEND1 DRD2 EPHA4 SDK1	CEND1 CHRNB2 CHRNB4 DRD2 SDK1 UNC79	ATP6V1B1 BRS3 CHRNB4 EFNB3 EPHA4 NPY PCDH17 SEZ6 UNC79	CHRNA3 NPY PCDH17 UCHL1	CEND1 CHRNA3 CHRNB4 NR4A3	BRS3 CEND1 CHRNB4	ATP6V1B1 CHL1 CHRNB4 DRD2 EFNB3 EPHA4 GHRL NR4A3 SEZ6 SPTBN4	CEND1 NR4A3 SEZ6	NPY PCDH17	ATP6V1B1 CEND1 CHRNA3 CHRNB2 CHRNB4 EFNB3 EPHA4 NPY PCDH17 SDK1 SPTBN4	CHL1 EPHA4 PCDH17 SDK1 SPTBN4	BRS3 CHRNA3 EFNB3 SDK1 UCHL1	ATP6V1B1 BRS3 CHL1 CHRNB2 EFNB3 NPY SEZ6 SPTBN4 UCHL1 UNC79	BRS3 CHRNA3 EPHA4 SDK1 UCHL1 UNC79	CHRNA3 EFNB3 EPHA4 GHRL NR4A3 SDK1 SPTBN4		CEND1 EFNB3 EPHA4 SDK1 SPTBN4 UCHL1 UNC79	BRS3 CHRNB4 EFNB3 EPHA4 NR4A3 SDK1 SEZ6	ATP6V1B1 CHRNB2 CHRNB4 NR4A3	BRS3 CEND1 PCDH17 SEZ6 UNC79	CHRNB2 CHRNB4 EPHA4 NR4A3 SDK1 UNC79	CHRNA3 NR4A3 SDK1		
GO_AXON	BASP1 BRSK2 CABP4 CPLX2 DLG2 KIF5A MX1 NTNG2 PTCH1	AP3B2 ATCAY BOC BSN CD200 CNGA3 CPLX1 CPT1C DRD2 ELAVL4 EPHA4 GAD2 GRIK3 GRIK5 KCNA6 KIF1A KIF5A MAP1B MAP2 MAP6 NFASC PTPRN SCGN SCN2A STMN2 STXBP1 SYT5 TMOD2 UCHL1 UNC13A VSTM2L	AP3B2 BRSK2 CADM2 CDK5R1 CDK5R2 ELAVL4 GRIK3 KCNA6 KCNJ11 MAP1A MX2 SCN3A SH2D3C STXBP1 SYT5	BASP1 BRSK2 CDK5R1 CDK5R2 KCNJ11 MAP1A PTPRN SCN1B SH2D3C SPTBN4 STMN3 STXBP1 TUBB4A	ATP1A3 BSN CABP4 CPT1C EPHA4 INSRR MAPK8IP1 PRKCG SPTBN4 SRCIN1 STMN3 STXBP1 TMOD2	AP3B2 BOC BSN CABP4 CDK5R1 CDK5R2 CNGA3 CNR1 CPLX2 CRMP1 EPHA4 GAP43 GHRL GRIK5 KIF5A KIF5C MAP1B MAP2 MAP6 MAPK8IP1 NEFM NFASC PRKCG PTPRN RET ROBO1 SCGN SCN1B SCN3A SLC8A1 SPTBN4 SRCIN1 STMN2 STMN3 SYN1 SYP SYT5 TMOD2 UCHL1 UCN3	AP3B2 ATCAY ATP1A3 BASP1 BRSK1 BRSK2 C1QL1 CDK5R1 CDK5R2 CRMP1 DLG2 GAP43 GHRL GRIK3 GRIK5 KCNIP3 MAP2 MAP3K12 MAP6 MAPK8IP1 MX1 NFASC NTNG2 SCGN SLC18A1 SNAP25 SPTBN4 STMN2 STX1A SYN1 SYT5 TENM2 UCHL1	BASP1 BOC BRSK2 CNGA3 DLG2 DSCAML1 GHRL GRIK5 KIF5A MAP3K12 MX2 NFASC ROBO1 SCN1B SCN2A SNAP25 SRCIN1 STX1A SYP	BASP1 DRD2 EPHA4 GAP43 MAP3K12 MX2 PTCH1 ROBO1 SH2D3C SRCIN1 TMOD2	ADORA2A ATP1A3 BASP1 BRSK1 BSN CADM2 DLG2 DSCAML1 ELAVL4 EPHA4 GAP43 GHRL GRIK5 KIF5A KIF5C MAP2 NEFM PTCH1 PTPRN ROBO1 SCGN SH2D3C SNAP25 SPTBN4 SRCIN1 STMN2 STX1A SYP TENM2 UCN3	ATCAY CADM2 CDK5R1 KCNA6 NEFM ROBO1 SNAP25	BASP1 CPLX1 INSRR KIF5A MAP2 MAP3K12 NFASC ROBO1 SH2D3C SNAP25 TENM2 TUBB4A	ATCAY BASP1 BOC BSN C1QL1 CADM2 CD200 CPT1C DSCAML1 ELAVL4 EPHA4 GAD2 GAP43 GRIK5 KIF5A KIF5C MAP2 MX1 MX2 ROBO1 SCGN SCN2A SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYN1 SYP SYT5 TENM2 UCN3	AP3B2 ATCAY BRSK2 BSN CADM2 CD200 CPLX1 DRD2 DSCAML1 ELAVL4 EPHA4 KIF5A MAP2 MAP3K12 MAP6 MX1 MX2 NFASC PTCH1 SCGN SH2D3C SLC18A1 SNAP25 SRCIN1 STXBP1 TENM2	BOC BRSK1 BRSK2 BSN C1QL1 CADM2 CDK5R2 CNGA3 CNR1 CPLX1 CPLX2 CPT1C DRD2 ELAVL4 GRIK5 INSRR KCNJ11 KIF5A MAP1A MAP2 MAPK8IP1 MX1 MX2 NEFM NFASC NTNG2 SLC8A1 SNAP25 SRCIN1 STMN2 SYN1 SYT5 TMOD2 VSTM2L	ADORA2A AP3B2 ATCAY ATP1A3 BASP1 BOC C1QL1 CADM2 CDK5R2 CNGA3 CNR1 CPLX1 CPLX2 DLG2 DSCAML1 ELAVL4 EPHA4 GAP43 GRIK5 ITGA4 KCNA6 KCNJ11 KIF5A MAP1A MAP2 MAP3K12 MAP6 MAPK8IP1 MX2 NEFM NFASC NTNG2 PTPRN SCGN SH2D3C SLC18A1 SLC8A1 SNAP25 STMN2 STX1A SYN1 SYP SYT5 TENM2 TMOD2 VSTM2L	GRIK3 KCNA6 KIF1A KIF5C SCN3A SYT4 UCHL1 UNC13A	AP3B2 BSN C1QL1 CABP4 CPLX1 DSCAML1 INSRR KCNIP3 KCNJ11 KIF5A MAP1A MAP2 MAP6 NFASC RET SRCIN1 STXBP1 TUBB4A	AP3B2 C1QL1 CABP4 MAP1A MAP3K12 SLC8A1 STXBP1 TENM2 TUBB4A	ATP1A3 BASP1 BRSK2 CABP4 CADM2 CDK5R1 CNGA3 CPLX1 CPT1C DLG2 DRD2 DSCAML1 EPHA4 GAP43 GHRL ITGA4 KCNIP3 MAP3K12 MAP6 NEFM NTNG2 PTCH1 PTPRN ROBO1 SCGN SCN2A SCN3A SH2D3C SLC18A1 SLC8A1 SNAP25 SPTBN4 STMN3 STX1A TENM2	CABP4 ELAVL4 MAP1A SCN1B SH2D3C STMN3 UNC13A VSTM2L	ITGA4 KIF1A SCN3A UNC13A	AP3B2 ATP1A3 BASP1 BOC BRSK1 BRSK2 BSN CABP4 CADM2 CD200 CPLX1 DLG2 ELAVL4 EPHA4 GAD2 GAP43 GRIK5 INSRR ITGA4 KIF5A MAP1B MAP3K12 MX1 MX2 NEFM PRKCG SNAP25 SPTBN4 STMN2 STX1A SYP UNC13A	BASP1 CADM2 CPLX2 DLG2 DSCAML1 EPHA4 ROBO1 SCGN SCN2A SLC8A1 SNAP25 SPTBN4 SRCIN1 TENM2	BRSK2 C1QL1 CD200 CDK5R2 KCNJ11 MX2 PTPRN ROBO1 SNAP25 SRCIN1 SYP TENM2 TUBB4A UCHL1 UCN3	AP3B2 ATP1A3 BASP1 BRSK2 CNGA3 CPLX1 CPLX2 GRIK5 KCNIP3 KCNJ11 MAP3K12 MAP6 MX1 NEFM PTPRN RET ROBO1 SNAP25 SPTBN4 SYP TENM2 UCHL1	AP3B2 ATCAY ATP1A3 BOC BRSK2 CPLX1 EPHA4 GAP43 ITGA4 ROBO1 SH2D3C SLC18A1 SLC8A1 SRCIN1 SYN1 SYP SYT5 TENM2 UCHL1	ATP1A3 BASP1 BOC BRSK2 BSN CD200 CDK5R1 CDK5R2 CNGA3 CPLX2 ELAVL4 EPHA4 GAD2 GHRL GRIK5 INSRR KCNJ11 KIF1A MAP1A MAP1B MAP2 MAP3K12 MAP6 MAPK8IP1 MX2 NFASC NTNG2 PRKCG PTCH1 PTPRN RET SCGN SH2D3C SLC8A1 SNAP25 SPTBN4 STMN2 SYT5 TENM2 TUBB4A VSTM2L		ATCAY ATP1A3 BASP1 BOC BRSK2 CPLX2 CPT1C DLG2 DSCAML1 EPHA4 GAD2 GAP43 KIF5A MAP1A MAPK8IP1 PRKCG ROBO1 SCGN SH2D3C SLC8A1 SPTBN4 SRCIN1 STX1A STXBP1 SYT5 TENM2 TMOD2 UCHL1 VSTM2L	ADORA2A ATP1A3 BRSK1 BRSK2 BSN C1QL1 CABP4 CADM2 CNR1 CPLX1 CPLX2 DSCAML1 EPHA4 GRIK5 ITGA4 KCNIP3 KCNJ11 KIF5C MAP1A MAP3K12 MAP6 MAPK8IP1 MX1 NFASC PRKCG PTCH1 PTPRN RET SCN1B SH2D3C SRCIN1 STMN3 STXBP1 SYT5 TENM2 TMOD2 UCN3	BRSK2 CADM2 CD200 CDK5R1 DSCAML1 ELAVL4 GRIK3 MAP3K12 MX1 MX2 PTCH1 SCN2A SLC8A1 STMN3 SYT5 TENM2 TMOD2	ADORA2A BSN C1QL1 CABP4 CD200 CNR1 CPLX1 DLG2 DSCAML1 ELAVL4 GAD2 GAP43 GRIK5 KCNIP3 MAP1B MAP2 MAPK8IP1 MX2 NEFM NFASC RET SCN2A SCN3A SLC18A1 SLC8A1 STMN2 SYN1 SYT5 TENM2 UCN3	AP3B2 ATP1A3 BSN CDK5R1 CNR1 CPLX1 EPHA4 GRIK5 KCNIP3 MAP1A MX1 MX2 NEFM PRKCG PTCH1 RET ROBO1 SH2D3C SRCIN1 STX1A SYP SYT5 TUBB4A UNC13A	AP3B2 ATP1A3 CADM2 MAP3K12 SRCIN1 STMN3 TUBB4A	AP3B2 DLG2 PTCH1 SH2D3C	CABP4 CDK5R1 CDK5R2 CNR1 EPHA4 KCNIP3 MAP2 MAP3K12 MX1 PRKCG PTCH1 PTPRN SH2D3C SYN1 TMOD2 UCN3
GO_AXON_DEVELOPMENT	BRSK2 KIF5A NTNG2 PTCH1	ADCY1 BOC CELSR3 CSF1R DOK6 DRD2 EPHA4 ETV1 ISL1 JAM3 KIF5A LGR6 LMX1A MAP1B MAP2 MAP6 NFASC PAK3 PAX6 STXBP1 UCHL1 VASH2 VSTM2L	BRSK2 CDK5R1 CHRNB2 CSF1R MAP1A NR4A3 PAK3 STXBP1	ADCY1 BRSK2 CDK5R1 CELSR3 CHRNB2 CSF1R EPHB3 MAP1A NR4A3 SCN1B SPTBN4 STXBP1	CHRNB2 CSF1R EFNB3 EPHA4 EVL NREP SPTBN4 STXBP1 VASH2	BOC CDK5R1 CELSR3 CHRNB2 CNR1 CRMP1 EFNB3 EPHA4 EPHA8 EPHB3 EVL GAP43 GFRA1 GFRA3 ISL1 ISLR2 JAM3 KIF5A KIF5C LGR6 MAP1B MAP2 MAP6 NCAM1 NFASC NR4A3 PAX6 PLXNC1 RET ROBO1 SCN1B SPTBN4 UCHL1 VASH2	ADCY1 ARX BRSK1 BRSK2 CDK5R1 CHRNB2 CRMP1 CSF1R EFNB3 GAP43 ISL1 MAP2 MAP6 NFASC NTNG2 SPP1 SPTBN4 TMEFF1 UCHL1	BOC BRSK2 DSCAML1 KIF5A NFASC NR4A3 PAX6 ROBO1 RTN4RL1 SCN1B VASH2	CHRNB2 DRD2 EPHA4 GAP43 LGR6 NREP PAX6 PTCH1 ROBO1	ADCY1 BCL2 BRSK1 CELSR3 CHL1 DSCAML1 EPHA4 GAP43 ISL1 KIF5A KIF5C LGR6 MAP2 NCAM1 NR4A3 NREP PLXNC1 PTCH1 ROBO1 RTN4RL1 SPTBN4	CDK5R1 DOK6 NCAM1 ROBO1	ADCY1 EFNB3 EPHB3 EVL KIF5A MAP2 NFASC PLXNC1 ROBO1	ARX BCL2 BOC CELSR3 DSCAML1 EPHA4 ETV1 GAP43 GFRA3 ISL1 JAM3 KIF5A KIF5C LGR6 LMX1A MAP2 NCAM1 PAK3 PAX6 ROBO1 RTN4RL1 SPTBN4 TUBB2B	ADCY1 BCL2 BRSK2 CELSR3 DRD2 DSCAML1 EPHA4 EPHB3 EVL JAM3 KIF5A LGR6 MAP2 MAP6 NFASC NREP PTCH1 RTN4RL1 STXBP1 TUBB2B VASH2	ADCY1 BOC BRSK1 BRSK2 CHRNB2 CNR1 CSF1R DOK6 DRD2 EPHB3 ETV1 JAM3 KIF5A MAP1A MAP2 NFASC NREP NTNG2 PLXNC1 VSTM2L	ADCY1 BCL2 BOC CNR1 DOK6 DSCAML1 EFNB3 EPHA4 EVL GAP43 GFRA3 ITGA4 JAM3 KIF5A MAP1A MAP2 MAP6 NFASC NREP NTNG2 PAK3 PLXNC1 VSTM2L	ARX EPHA8 KIF5C PAK3 TMEFF1 UCHL1	DSCAML1 ISLR2 KIF5A MAP1A MAP2 MAP6 NFASC NR4A3 NREP RET STXBP1 VASH2		BRSK2 CDK5R1 CELSR3 CHL1 CSF1R DRD2 DSCAML1 EFNB3 EPHA4 EPHB3 ETV1 EVL GAP43 ISL1 ISLR2 ITGA4 LMX1A MAP6 NCAM1 NR4A3 NREP NTNG2 PAK3 PLXNC1 PTCH1 ROBO1 RTN4RL1 SPTBN4 VASH2	CSF1R LGR6 MAP1A NR4A3 SCN1B VSTM2L	ARX ITGA4 TMEFF1 TUBB2B	ADCY1 BCL2 BOC BRSK1 BRSK2 CHRNB2 EFNB3 EPHA4 ETV1 EVL GAP43 GFRA1 ISLR2 ITGA4 KIF5A LGR6 MAP1B NCAM1 PLXNC1 RTN4RL1 SPTBN4	BCL2 CELSR3 CHL1 DSCAML1 EPHA4 LMX1A PAX6 ROBO1 SPTBN4	BRSK2 EFNB3 EVL NREP PLXNC1 ROBO1 UCHL1	BCL2 BRSK2 CHL1 CHRNB2 EFNB3 GFRA1 ISLR2 MAP6 NCAM1 PLXNC1 RET ROBO1 RTN4RL1 SPP1 SPTBN4 UCHL1	BOC BRSK2 DOK6 EPHA4 EPHA8 EPHB3 ETV1 GAP43 GFRA3 ITGA4 LGR6 LMX1A NREP PAX6 ROBO1 UCHL1 VASH2	BOC BRSK2 CDK5R1 EFNB3 EPHA4 ETV1 JAM3 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC NR4A3 NTNG2 PAX6 PLXNC1 PTCH1 RET SPTBN4 VSTM2L		BOC BRSK2 DSCAML1 EFNB3 EPHA4 ETV1 EVL GAP43 GFRA1 GFRA3 ISLR2 KIF5A LGR6 MAP1A NCAM1 NREP ROBO1 RTN4RL1 SPTBN4 STXBP1 UCHL1 VSTM2L	BRSK1 BRSK2 CELSR3 CNR1 CSF1R DSCAML1 EFNB3 EPHA4 EPHB3 EVL ITGA4 KIF5C LGR6 MAP1A MAP6 NFASC NR4A3 NREP PTCH1 RET SCN1B STXBP1	ADCY1 BCL2 BRSK2 CDK5R1 CELSR3 CHRNB2 CSF1R DSCAML1 EPHB3 EVL GFRA1 LGR6 NR4A3 PTCH1 VASH2	ADCY1 CELSR3 CNR1 DOK6 DSCAML1 EPHA8 GAP43 GFRA1 ISL1 MAP1B MAP2 NFASC PAX6 RET RTN4RL1 SPP1	ADCY1 BCL2 CDK5R1 CELSR3 CHRNB2 CNR1 CSF1R EPHA4 EPHB3 EVL GFRA1 ISLR2 LGR6 MAP1A NR4A3 NREP PTCH1 RET ROBO1 RTN4RL1	BCL2 EVL NR4A3 RTN4RL1	LGR6 PTCH1 SPP1	CDK5R1 CELSR3 CNR1 EPHA4 MAP2 PTCH1 RTN4RL1
