	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_AXON	0.0190950282907	0.0003083665456	0.810377092203	1	1	1	1	1	0.0	1	0.0184966483547	1
GO_AXON_DEVELOPMENT	1	1	0.257987560732	1	1	1	1	1	0.00427504877679	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	1	1	0.927053942996	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.00790011793061	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	1	1	1	1	1	1	0.0359555995678	1	1	1
GO_CELL_BODY	1	1	1	1	1	1	1	1	0.000296945436657	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	1	1	1	1	0.000205426716208	1	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	1	1	0.187228224035	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	1	1	1	1	1	1	1	0.168751251297	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	1	0.063075829212	1	1	1	1	1	0.0485803491975	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	1	1	1	1	1	1	0.0112048242854	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	1	1	1	0.405497821783	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	1	1	0.454583468787
GO_DENDRITIC_SHAFT	1	1	1	1	1	1	1	1	1	1	1	0.477228457324
GO_DENDRITIC_TREE	0.0955160898765	1	0.0837339776211	1	1	1	1	1	6.13805244742e-06	1	1	1
GO_DISTAL_AXON	1	1	1	1	1	1	1	1	0.11038833636	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	0.514115872466	1	1	1
GO_HEART_PROCESS	1	1	1	1	1	1	1	1	0.390484493229	1	1	1
GO_MAIN_AXON	1	1	1	1	1	1	1	1	0.468848552726	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	0.270763855678	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	0.0127545284887	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	0.381339749102	1	1	1
GO_NEUROGENESIS	1	1	0.0533618436288	1	1	0.175444206847	1	1	0.00218522111235	0.000192576039756	1	1
GO_NEURON_DEVELOPMENT	1	1	0.00173836428485	1	1	1	1	1	0.000827806041631	0.018732923014	1	1
GO_NEURON_DIFFERENTIATION	1	1	0.0448819283485	1	1	0.0576787755339	1	1	0.00513414449384	0.00202365687699	1	1
GO_NEURON_PROJECTION	8.53735365661e-05	0.000676833921956	0.000406598011298	1	1	1	1	1	4.31376638343e-05	0.0054789692385	0.0821370714054	1
GO_NEURON_TO_NEURON_SYNAPSE	0.0338277249042	0.805660368665	1	1	1	1	1	1	0.00671823432774	1	1	1
