AC023509.3_ATF7	AC023509.3, ATF7
SOX13_SOX5_SOX6	SOX13, SOX5, SOX6
SOX14_SOX15_SOX17_SOX18_SOX1_SOX21_SOX2_SOX3_SOX7_SRY	SOX14, SOX15, SOX17, SOX18, SOX1, SOX21, SOX2, SOX3, SOX7, SRY
SP8_SP9	SP8, SP9
SREBF1_SREBF2	SREBF1, SREBF2
T_TBX19	T, TBX19
TBP_TBPL2	TBP, TBPL2
TBX15_TBX18	TBX15, TBX18
TBX2_TBX3	TBX2, TBX3
TCF12_TCF3_TCF4	TCF12, TCF3, TCF4
TFAP2A_TFAP2B_TFAP2E	TFAP2A, TFAP2B, TFAP2E
TFAP2C_TFAP2D	TFAP2C, TFAP2D
TFCP2_UBP1	TFCP2, UBP1
TFDP1_TFDP2_TFDP3	TFDP1, TFDP2, TFDP3
TGIF2LX_TGIF2LY	TGIF2LX, TGIF2LY
TLX1_TLX3	TLX1, TLX3
TWIST1_TWIST2	TWIST1, TWIST2
YBX1_YBX2_YBX3	YBX1, YBX2, YBX3
ZEB1_ZEB2	ZEB1, ZEB2
ZFX_ZFY	ZFX, ZFY
ZNF143_ZNF76	ZNF143, ZNF76
ZNF324_ZNF324B	ZNF324, ZNF324B
ZNF354A_ZNF354B	ZNF354A, ZNF354B
ZNF417_ZNF587	ZNF417, ZNF587
ZNF492_ZNF98	ZNF492, ZNF98
ZNF75A_ZNF75D	ZNF75A, ZNF75D
