	ADNP	AEBP1	AKNA	ARNT2	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	EGR3	ELF4	ETS1	ETV1	FEV	FOXA1	FOXA2	FOXD4L5	FOXJ1	FOXP2	GATA2	GATA4	GATA6	GLIS2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HIF1A	HLF	HMBOX1	HMGN3	HOMEZ	HOXB9	HSF2	INSM1	ISL1	JAZF1	KCNIP3	LHX1	LMX1A	LMX1B	LTF	MAFA	MAFB	MAFF	MLXIPL	MXI1	MYRF	MYSM1	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NKX2-2	NKX6-1	NPAS3	NR4A2	NR4A3	ONECUT1	ONECUT2	ONECUT3	PAX4	PAX6	PBX1	PBX3	PDX1	PLAG1	POU2F2	POU5F1	POU6F1	PRDM16	PROX1	RFX2	RFX3	RFX6	RORC	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TEAD1	TEAD2	TET1	TFCP2L1	TGIF2	TP73	TSHZ1	ZBTB25	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP69B	ZFP82	ZFP90	ZFP92	ZNF117	ZNF382	ZNF492	ZNF514	ZNF518A	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
DGKB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70385	0	0	0	0	0	0	0	0	0.85979	0.62193	0	0	0	0.75912	0	0	0	0	0	0.65217	0	0	0	0.74772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51383	0	0	0	0	0	0	0	0.83421	0	0	0	0	0	0	0
DHRS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9559	0	0.46389	0	0	0	0	0.5466	0	0.86512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38407	0	0	0	0	0	0	0	0	0	-0.87847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.39523	0.75451	0.84164	0.38562	0	0	0	0	0	0	0	0	0	0	0	0	0.9654	0.72261	0	0	0	0	-0.94779	0	0	0	0	0	0	0	0	0	0	0	-0.42483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIRAS1	0	0.59213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42141	0	0.82932	0	0.8122	0	0	0	0	0	0	0	0	0	0.53687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68085	0.6948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZP434K028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.71923	0	0	0	-0.33568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33162	0	0	0	0.43226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31824	0.82841	0	0	0	0	0	0	0
DKK3	0	0	0	0	-0.84768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75836	0	0	0.59829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54021	0	0	0	-0.47787	0	-0.31776	0	0	0.57656	0	0	0	0	0	0	0	0	0.80151	0	0	0	0	0	0	0.45836	0	0	0	0	0	0	0	0	-0.77731	0	-0.76369	0	0	0	0	0	0	0	0	0	0	0	-0.98474	0	0	0.76555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32455	0	0
DLC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677	0	0	0	0	0.91196	0	0	0	0	-0.7093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38685	0	0	0	0	0	0	0	0	0	0	0	-0.78367	0	0	0	0.36452	0.84164	0	0	0	0	0	0	0	0	0	0	0	0	0.75252	0	0	0	0	0	0	0	0	0	0	0	0	-0.45173	0	0	0	0	0	0	0	0	0	0	0	0	0
DLG2	0	0	0	0.32956	0	-0.7681	-0.5325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.65812	0	0	0	0	0	0	0	0	-0.8828	0	0	0	0	0	0.63214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95423	0.8828	0	0.57135	0	0	0	0	0	0	0	0	0	0	0	0	0.52809	0	0	0	0	0	-0.76047	0	0	-0.76468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45379	0	0	0	0	0	0	0	0
DLL1	0	0	0	0	0	0	0.93123	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.65308	0	0	0	-0.92018	0	0	-0.95797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46635	-0.66647	0	0.8176	0.90505	0	0	0	0	0	0	0	0	0	0	0	0.42984	0	0	-0.50799	0	0	0	0	0.83421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34954	0.93965	0	0	0	0	0	0.95979	0	0	0	0	0	-0.74636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99126	0	0	0	0	0	0	0.82932	0	0	0	0	0	0	0	0	0	0.5708	0	0	0	0	0	0	0	0	0.90882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63659	0	0	0	0	0	0	0
DLL4	0	0	0	0	0.55447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.94386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.92018	0	0	0	0	0	0.39523	0	-0.45729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90882	0.70107	0	0	0	0	0	0	0	-0.34895	0	0	0	0.50425	0	0.69221	0	0	0	0	0	0	0.62813	0.87612	0	0	0	0.5733	0.97704	0	0	-0.53754	0	0	0	0	0	0	0	0	-0.85089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72189	0	0.47684	0.64331	0	0.40715	0	0.34561	0.79174	0	0	0	0	-0.78121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53564	0	-0.4654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.49758	0	0.35487	0	0.59277	0	0	0	0	0	0.33194	0	-0.30878	0	0	0	-0.36508	0	0.61315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH14	0	0	0	0	-0.81816	-0.66011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53159	-0.66393	-0.93123	0	0	0	0	0	0	0	0	0	0	0.42126	0	0	0	0.79174	0	0	0	0	-0.84076	0.63242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.70969	0	0	0	0	0	-0.71391	0	0	0	0	0	0	0	0	0	0	0.57958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB13	0	0	0	-0.52809	0	0	0.59277	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84636	0.52861	0	0	0	0	0.43309	0	0	0.46508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.69579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98915	0	-0.44978	0	0	0	0	0	0	0	0	-0.95797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54776	0	0	0	0	0	0.92229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.49241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57668	0	0	0	0	0	0	0	0	0	0	0	0	0.37704	0	0	0	0	0	0	0	0	0	0.93762	0	0	0	0	0	0	0	0	-0.51383	-0.6091	0	0	0	0	0	0	0	0	0	0	0.42793	0	0	0.80266	0	0	0	0	0	0	0	0	-0.96679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50262	0	0	0	0	0	0	0	0	0	0	0	0
DNAPTP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36869	0	0	0	0	0	0	0	0	0.93548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3389	0	0	0	0	0	0
DNER	0	0	0	0	0	0.58411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4677	-0.66393	0	0	0.37859	0	0	0	0	0.44537	0	0	0	0	0	0	0	0	0	-0.66524	0	0	0	0	0	0.58852	0	0	0	0	0	-0.60393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46154	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73278	0	0	0	0	0	0	0.58355	0	0	0	0	0	0	0	0
DNLZ	0	0	0	0	0	0	0	0	0.60703	0	0	0	0	0	0	0	0	-0.66965	0	0	0	0	0	0	0.62431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74112	0.92646	0	0	0	0	0	0	0	0	0.92646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78367	0	0	-0.51923	0	0	0	0	0	0	0	-0.69221	0	0	0	0	0	0	0	0	0	0	0	0	-0.90703	0	0
DNM3	0	0	0	0	0.64565	0	-0.3532	0	0	0	0	0	0	0	0	0.76639	0	-0.61355	0	0	0	0	0	0	0	0	0	-0.71391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.74772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60004	0	-0.84164	0.89019	0	0	0	0.90306	0.75395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34068	0	0
DOCK4	0	0.38979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35181	0	0	0.79058	0	0.65495	0	0	0.32455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK8	0	0	0	0	0	0	0	0	0.40544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39003	0	0	-0.8447	0	0	0	0	0	0	0	0	0	0	0	-0.54736	0	0	0	0	0	-0.37255	0	0	0	0	0	0	0.54823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74406	0	0	0	0.76369	0	0	0.42237	0	0	0	0	0	0	0	0.89019	0	0	0	0	0	0	0	0	0	0	0	0	0.93548	0	-0.77863	0	0	0	0	0	0	0	0	-0.8828	0	0	0	0	0	0	0	0	0	-0.63794	0	0	0	0	0	0	0
DOK6	0	0	0	0	0.9996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94386	0	0	0	0	-0.59476	0	0	0	0	0	0	0	0	0.62308	0.36242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68176	0	0	0	0	0.46893	0.7826	-0.42483	0	0	0	0	0	0	0	0	0	-0.55018	0	0	-0.84636	0	0	0	-0.61939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41426	0	0	-0.45642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3758	0	-0.65693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.32479	0	-0.51673	0	0	0	0.68681	0	-0.74438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPEP1	0	0	0	0	0.48784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97612	0	0.89229	-0.3325	0	0	0	0	0	0	0	0	-0.64239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73027	0	0	0	0	0	0	0	0	0.97457	0.8828	0	0	0	0	0	0	0	0	0	0	-0.83798	0	0	0	0	0	-0.7435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61013	0	0	0.92912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42447	0	0	0	0	0	0.6555	0	0.37318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56206	0	0	0	0	0	0	0	0	-0.96329	0	0	0	0	0	0	0	0	0	0	0	0	0.58788	0	0	0	0	0.55018	0	0	0	-0.54311	0	0	0	0	0.85979	0	0	0	0	0	0.73687	0	0	0	0	0	0	0	0	0	0	0
DPP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8888	0.77616	0	0	0	0.63854	0.89472	0	0.8828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70334	0	0.49503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9973	0	0	0	0	0	0	0.88085	0	0	0	0	0	0	0	0	0	0	0.34156	0	0.37755	0	0	0	0	0	0	0.41526	0	0	0	0	0	0	0	0
DPY19L2	0	0	0	0	-0.36126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46265	0	0	0	0	0	-0.74287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63659	0	0	0	0.64203	-0.69885	0	0	0	0	0	0	0	0	0	0	0	-0.56456	0	0	0	0	0	0	0	0	0.50155	0	0	-0.85979	0	0	0	0	0	0	0	0	0	-0.5965	0	0	0	0	0	0	0	-0.33631	0	0	0.83075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96329	0	0
DPYSL3	0	0	0	0.6671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65089	0	0.57731	0	0	0	0	0	-0.89229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49845	0.74859	0	0	0	0	0	0.32241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPYSL4	0	0	0	0.88498	0	0	0.74164	0	0	0	0	0	0	0	0	0	0	-0.77461	0	0.51692	0.44386	0	-0.56206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.85431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78482	0.85284	0	0	0	0	-0.62459	0	0	0	0	0	0	0	0	0	0	0	0	0.33866	0	0	0	0	0	0	0	0	0	0.64756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ570835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34156	0	0	0	0	0	0	0	0.7263	0.5143	0	0.40091	0	0	0.35963	0	0	0
DQ571357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.47449	0	0	0	0	0	0	0	0	0	0	0.47787	0	0	0	0	0	0.43278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ573539	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76877	0	0	0	0	-0.76214	0	0	0.33079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63552	0.62082	0	0	0	0	0	0
DQ583756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60703	0.31438	0	0	0	0	0	0	0	0	0	0	0	0.76877	0	0	0	0	0	0	0	0	0	0.93965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.35129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55117	0	0	0	0	0	0	0	0	0	0	0.39778	0.87847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85431	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ586822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.51593	0	0	0	0	0	0	0	0	0	0	0	0	0.6503	0	0	0	0	0	0	0.69428	0	0	0	0	0.65618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35673	0	0	0.40211	0	0	0	0	0	0
DQ588114	-0.45042	0	-0.64478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57747	0	0	0	0	0	0	0	0	0	-0.56933	0	0	-0.37418	0	0	0	0	0	0	0	0	0	-0.57525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52384	0	0	0	-0.4934
DQ588732	0	0	0	0	0	0	0	0	0	-0.43401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ598910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8122	0	0	0	0	0	0	0	0	0.39825	0	0.50858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52896	0.90882	0.37318	0	0	0.33957	0	0
DQ600483	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.40822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88498	0.37731	0	0	0	0	0	0
DRD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45924	0.90127	-0.49555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55487	0	0.34887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46508	-0.69988	0	0	-0.65888	0	0	0	0	0	0	0	0	0	0	0	0.49094	0	0	0	0.31081	0	0	0	0	0	0	0	0	-0.74533	0	0	0	0	0.62126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCAML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62563	0.43075	0	0	0	0	0	0	0	0	0	0.86909	0	0.84768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76639	0	0	0	0.99468	0	0	0	0	0.50536	0.92229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DST	0	0	0	0	0	0	0	-0.31104	0	0	0	0	0	0	0	0	0	0	0	0	-0.88673	0.76369	0	-0.72578	0	-0.68788	0	-0.36452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75963	0	0	-0.73278	0	0	0	0	0	0	0	0	-0.67338	0	0	0	0	0	0.79174	0	0	0	0.46965	0	0	0	0	0	0.84636	0.7851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55447	0	0	0	0	0	0	0	0.62193	0	0	0	0	0	0	0
DTX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61609	0	0	0	0	0	-0.39579	-0.70107	0	0	0	0	0	0	0	0.91653	0	0	0	0	0	0.50064	-0.37104	0	0	0	0	0	-0.85431	0	0	0.51248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63854	0	0.54712	0	0	0.75451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39658	0	-0.45443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTX3	0	0	0	0	-0.6503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55145	0	0	0	0	0	0.98196	0	0	0	0	0.32868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP2	0	0	0	0	0	0.38518	0	0	0	0	0	0	0	0	0	0	0	0.68935	0	0.54636	0.39432	-0.75777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.86909	0	0	0	0	0	0	0	0	0.30755	0.93548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8234	-0.31681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63496	0	0
DUSP26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.83421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNC1I1	0	0	0	0	0	0	-0.44108	0	0	0	0	0	0	0	0	0	0	0	0	0.77616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65419	0	0	0	0	0	0	0	0	0	0	0.45312	0	0	0.84926	0	0	0	0	0	0	0	0	0	0	0	0.45836	0	0.53349	0	0	0	0	0.37795	-0.71391	0	0	0.58689	0	0	0	0	0	-0.78657	0	0	0	0	0	0	0	0	-0.61001	0.83687	0	0	0	-0.59213	0.39106	0	0.95797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
