	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_REGULATION_OF_CELLULAR_LOCALIZATION	26	16	20	25	40	45	19	0	12	25	7	0	17	12	22	26	34	34	0	13	10	19	16	35	13	17	22	22	11	0	32	7	22	23	40	33	38	0	7	14	23
GO_REGULATION_OF_CELL_DEVELOPMENT	30	0	13	24	37	42	23	13	11	19	0	7	15	14	25	31	30	31	8	20	12	31	13	32	0	19	32	24	9	0	34	10	24	26	39	26	34	10	11	14	22
GO_REGULATION_OF_CELL_MORPHOGENESIS	23	0	8	13	24	22	12	0	6	0	0	0	12	0	13	17	18	15	5	10	0	16	7	22	0	14	18	10	0	6	17	6	14	19	24	13	17	6	6	0	13
GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	16	0	6	11	19	16	0	4	0	7	3	0	9	0	9	12	12	13	3	10	4	11	0	19	0	12	15	9	4	4	16	0	11	13	17	10	11	5	5	0	12
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	25	9	11	17	31	35	20	10	11	17	6	8	15	11	19	24	22	24	5	14	11	25	13	30	9	13	25	15	7	0	24	8	19	20	33	22	22	8	6	11	20
GO_REGULATION_OF_EXOCYTOSIS	13	6	8	10	15	18	12	5	10	10	7	0	8	6	11	13	19	19	0	6	4	8	4	14	5	9	12	11	4	0	16	3	12	11	17	13	19	7	0	11	10
GO_REGULATION_OF_HEART_RATE	6	3	6	4	12	14	0	3	0	8	0	0	5	5	9	4	7	10	0	3	4	10	4	8	7	0	8	7	2	3	7	3	5	7	13	7	8	0	4	5	5
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	4	2	4	2	8	10	2	2	0	4	0	0	4	2	4	3	6	7	0	2	3	5	3	6	4	2	5	2	2	2	4	0	0	6	7	4	6	0	2	3	4
GO_REGULATION_OF_HORMONE_LEVELS	23	12	12	15	25	32	18	7	9	26	5	0	9	10	30	17	28	31	0	12	0	19	0	18	11	13	22	15	0	0	23	11	25	19	34	20	27	0	6	8	13
GO_REGULATION_OF_HORMONE_SECRETION	15	8	8	10	17	23	13	5	6	17	4	3	6	0	20	13	17	18	0	7	0	12	0	10	7	9	11	11	0	0	14	6	16	10	23	15	16	0	3	5	9
GO_REGULATION_OF_INSULIN_SECRETION	13	7	6	8	13	18	10	3	6	11	4	0	4	0	15	13	13	15	0	6	0	11	0	7	5	9	9	9	0	0	12	4	10	8	17	10	13	0	0	5	8
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	17	15	12	13	32	33	18	7	6	20	4	8	12	10	21	18	21	28	5	11	10	18	10	19	15	11	21	14	14	12	22	7	26	19	28	20	21	6	4	9	17
GO_REGULATION_OF_ION_TRANSPORT	22	19	18	16	42	40	20	9	10	26	6	10	15	14	27	22	27	35	8	15	11	22	13	28	17	14	25	21	15	13	28	10	33	24	36	26	30	8	8	13	19
GO_REGULATION_OF_MEMBRANE_POTENTIAL	20	14	12	11	35	35	20	8	6	27	4	9	11	11	26	20	23	31	6	12	12	24	11	23	14	11	22	19	13	10	22	8	22	21	35	20	27	8	4	12	16
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	30	11	14	25	37	44	23	15	11	22	0	0	15	14	25	30	28	30	8	20	13	34	13	34	0	19	32	23	9	0	34	10	27	26	42	28	35	9	9	16	23
GO_REGULATION_OF_NEURON_DIFFERENTIATION	28	9	11	20	31	35	18	9	11	17	5	6	14	11	21	27	23	25	7	17	8	25	12	29	8	17	27	20	7	0	29	9	21	23	32	21	26	7	7	12	18
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	22	7	9	17	27	29	16	7	9	14	4	6	12	8	15	20	19	21	5	13	8	19	10	27	0	13	23	12	6	0	23	7	18	19	27	17	19	7	6	9	18
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	16	6	8	11	18	21	12	4	11	11	6	3	9	6	12	13	18	17	4	4	4	9	4	19	4	6	10	14	4	0	15	4	13	14	18	15	20	6	0	10	6
