TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
TBX15	IER3	0	NaN	0.0E+00	rgb(217,217,217)	NaN	None
UNCX	IER3	0	NaN	0.0E+00	rgb(217,217,217)	NaN	None
ALX1	BCRP3	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ALX1	CITED1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ALX1	GHRL	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ALX1	NFRKB	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ALX1	PITX1	1	51	0.999	rgb(228, 26, 28)	2	None
ALX1	SOHLH2	1	51	1	rgb(228, 26, 28)	2	None
ARID5A	ADAM12	1	51	0.997	rgb(228, 27, 29)	2	None
ARX	PTGER3	1	51	0.997	rgb(228, 27, 29)	2	None
ARX	VSTM2L	1	51	0.996	rgb(228, 27, 29)	2	None
ASCL1	DGKG	1	51	0.997	rgb(228, 27, 29)	2	None
ASCL1	GPR119	1	51	0.999	rgb(228, 26, 28)	2	None
ATF5	PRDM8	1	51	0.997	rgb(228, 27, 29)	2	None
ATF6	THBD	1	51	0.998	rgb(228, 26, 28)	2	None
BCL6	TAGLN	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
CREB5	BANK1	1	51	0.997	rgb(228, 27, 29)	2	None
DLX5	TFAP2B	1	51	0.997	rgb(228, 26, 28)	2	None
EBF3	CRYBA2	1	51	0.996	rgb(228, 27, 29)	2	None
EBF3	KCNMB1	1	51	0.997	rgb(228, 27, 29)	2	None
EBF3	SNED1	1	51	0.996	rgb(228, 27, 29)	2	None
EGR2	COL1A1	1	51	0.996	rgb(228, 27, 29)	2	None
EGR2	CST1	1	51	0.997	rgb(228, 27, 29)	2	None
EGR2	RASD1	1	51	1	rgb(228, 26, 28)	2	None
EGR4	TFAP2B	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
EHF	RHOB	1	51	1	rgb(228, 26, 28)	2	None
EHF	ST3GAL5	1	51	0.998	rgb(228, 26, 28)	2	None
ELF4	ASIC4	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
ELF4	LTB	1	51	0.998	rgb(228, 26, 28)	2	None
ELF4	THBD	1	51	0.997	rgb(228, 27, 29)	2	None
ELF4	UGT2B15	1	51	0.999	rgb(228, 26, 28)	2	None
ELF5	CITED1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ELF5	UGT2B15	1	51	0.999	rgb(228, 26, 28)	2	None
ESRRB	CRYBA2	1	51	0.999	rgb(228, 26, 28)	2	None
ESRRB	HPCA	1	51	0.999	rgb(228, 26, 28)	2	None
ESRRB	JPH4	1	51	0.996	rgb(228, 27, 29)	2	None
ESRRG	PDE3A	1	51	0.997	rgb(228, 27, 29)	2	None
ETS1	CADPS	1	51	0.995	rgb(228, 27, 29)	2	None
ETS1	DLK1	1	51	1	rgb(228, 26, 28)	2	None
ETS1	RASD1	1	51	1	rgb(228, 26, 28)	2	None
ETV1	CRH	1	51	0.996	rgb(228, 27, 29)	2	None
ETV1	DLK1	1	51	1	rgb(228, 26, 28)	2	None
ETV1	SSTR2	1	51	0.998	rgb(228, 26, 28)	2	None
ETV4	CLEC4GP1	1	51	0.996	rgb(228, 27, 29)	2	None
ETV4	GHRL	1	51	0.999	rgb(228, 26, 28)	2	None
ETV5	CYB5A	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ETV5	LINC00305	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ETV5	LTB	1	51	0.999	rgb(228, 26, 28)	2	None
ETV5	OLFML2B	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ETV5	SCPEP1	1	51	0.995	rgb(228, 27, 29)	2	None
FEV	ACTL6B	1	51	0.998	rgb(228, 26, 28)	2	None
FEV	CA8	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	CDK5R2	1	51	1	rgb(228, 26, 28)	2	None
FEV	CDKAL1	1	51	0.996	rgb(228, 27, 29)	2	None
FEV	CHGB	1	51	0.996	rgb(228, 27, 29)	2	None
FEV	CNGA3	1	51	0.996	rgb(228, 27, 29)	2	None
FEV	CRYBA2	1	51	0.998	rgb(228, 26, 28)	2	None
FEV	GHRL	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	GNAO1	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	GRIA2	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	HPCA	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	HTRA1	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	MFAP4	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	NFASC	1	51	0.996	rgb(228, 27, 29)	2	None
FEV	SEZ6	1	51	0.999	rgb(228, 26, 28)	2	None
FEV	SYP	1	51	0.999	rgb(228, 26, 28)	2	None
FLI1	DKK1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
FLI1	LTB	1	51	1	rgb(228, 26, 28)	2	None
FOSB	TAGLN	1	51	0.999	rgb(228, 26, 28)	2	None
FOSL1	DLK1	1	51	1	rgb(228, 26, 28)	2	None
FOXA2	CD163L1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
FOXA2	DLK1	1	51	1	rgb(228, 26, 28)	2	None
FOXA2	GABRP	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
FOXA2	SLC24A5	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
FOXA2	SYNPR	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
FOXA2	XIRP1	1	51	0.999	rgb(228, 26, 28)	2	None
FOXC2	PALMD	1	51	0.999	rgb(228, 26, 28)	2	None
FOXL1	ATOH7	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
FOXL1	ELF4	1	51	0.995	rgb(228, 27, 29)	2	None
FOXP2	IGFBPL1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
FOXP2	RAB17	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
GATA2	CRIP2	1	51	0.996	rgb(228, 27, 29)	2	None
GATA3	COL28A1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
GATA4	ANKRD1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
GATA6	COL1A1	1	51	0.997	rgb(228, 27, 29)	2	None
GATA6	DNAJC12	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
GATA6	ELF4	1	51	0.999	rgb(228, 26, 28)	2	None
GATA6	ENTPD3	1	51	0.998	rgb(228, 26, 28)	2	None
GATA6	GCG	1	51	1	rgb(228, 26, 28)	2	None
GATA6	NFRKB	1	51	1	rgb(228, 26, 28)	2	None
GATA6	PCED1B	1	51	0.998	rgb(228, 26, 28)	2	None
GATA6	PRDM8	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
GATA6	SCTR	1	51	0.997	rgb(228, 27, 29)	2	None
GATA6	SSX2IP	1	51	0.995	rgb(228, 27, 29)	2	None
GATA6	ST3GAL5	1	51	1	rgb(228, 26, 28)	2	None
GFI1	FFAR4	1	51	0.998	rgb(228, 26, 28)	2	None
GFI1	OLFM1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
GFI1	SYNPR	1	51	0.998	rgb(228, 26, 28)	2	None
HAND2	MAST1	1	51	0.996	rgb(228, 27, 29)	2	None
HIF1A	PITX1	1	51	1	rgb(228, 26, 28)	2	None
HIF1A	SATB2	1	51	0.995	rgb(228, 27, 29)	2	None
HOXB2	FOXC2	1	51	0.997	rgb(228, 27, 29)	2	None
HOXB2	IGFBPL1	1	51	0.999	rgb(228, 26, 28)	2	None
HOXB3	POSTN	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
HOXB5	ESRG	1	51	0.998	rgb(228, 26, 28)	2	None
HOXB9	ADAM12	1	51	0.995	rgb(228, 27, 29)	2	None
HOXB9	CALCRL	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
HOXB9	GFOD1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
HOXB9	KCNG2	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
HOXD3	FZD10	1	51	0.999	rgb(228, 26, 28)	2	None
HOXD3	POU5F1	1	51	0.996	rgb(228, 27, 29)	2	None
HSF2	CDHR1	1	51	0.995	rgb(228, 27, 29)	2	None
HSF2	DKK1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
HSF2	DLK1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
HSF2	ENTPD3	1	51	0.998	rgb(228, 26, 28)	2	None
HSF2	GPRC5A	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
HSF2	KIF19	1	51	0.995	rgb(228, 27, 29)	2	None
HSF2	LTB	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
HSF2	NFRKB	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
HSF2	SYT12	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
HSF4	CNOT6L	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
INSM1	NKX2-2	1	51	0.996	rgb(228, 27, 29)	2	None
IRF4	GCG	1	51	0.999	rgb(228, 26, 28)	2	None
IRF4	KCNG2	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
IRF4	NEUROD2	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
IRF4	NTS	1	51	0.997	rgb(228, 27, 29)	2	None
IRF4	PRX	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
IRF4	SIM1	1	51	0.996	rgb(228, 27, 29)	2	None
IRF4	SORCS3	1	51	0.995	rgb(228, 27, 29)	2	None
IRF4	ST3GAL5	1	51	0.996	rgb(228, 27, 29)	2	None
IRF8	ANGPTL1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
IRF8	DKK1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
IRF8	POSTN	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
IRF8	VSTM2L	1	51	0.997	rgb(228, 27, 29)	2	None
IRX2	WDR17	1	51	0.998	rgb(228, 26, 28)	2	None
IRX3	CPEB2	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
IRX3	GAS1	1	51	0.999	rgb(228, 26, 28)	2	None
ISL1	NTS	1	51	0.997	rgb(228, 26, 28)	2	None
JUNB	FSTL3	1	51	0.995	rgb(228, 27, 29)	2	None
KLF7	MICAL2	1	51	0.995	rgb(228, 27, 29)	2	None
KLF7	VGLL3	1	51	0.998	rgb(228, 26, 28)	2	None
LHX8	FAM155B	1	51	0.997	rgb(228, 27, 29)	2	None
LHX8	NKX2-2	1	51	0.996	rgb(228, 27, 29)	2	None
LHX8	OLFML2B	1	51	0.997	rgb(228, 27, 29)	2	None
LHX8	SLC24A5	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
LMX1A	CPEB2	1	51	0.998	rgb(228, 26, 28)	2	None
LMX1A	CYP27C1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
