	genes
CYP27A1	2
ZNF883	1
BOC	1
CERKL	1
FLJ22184	3
MAP1B	1
NEGR1	1
CDKN1C	0
CPT1C	1
CNTNAP4	3
LINC00939	0
CCDC85B	0
CNGA4	1
SLC6A16	1
GABRP	2
DNAH14	1
KCNE4	1
PMP22	1
UCP2	1
DNLZ	0
MAPK10	0
POU5F1	3
GPBAR1	2
LOC653513	3
NOXO1	0
abParts	3
ZFP69B	3
TMEM178B	0
PNISR	1
NHSL2	1
HIC1	3
GPR162	1
DSCAML1	1
CACNA1A	1
NCAM1	4
RPRML	1
SCN3B	1
BAIAP3	0
DDN	1
LRRC49	0
MAPK12	0
NACAD	1
NDRG4	1
TEKT2	0
KIRREL3	1
MAD2L2	0
PTGDR2	0
AK024119	2
CCDC28B	0
CCDC86	0
RGS5	1
NALCN	1
SH3TC2	4
FAM181B	2
UNC80	1
DTX3	0
SLC30A8	1
DEFB1	4
IMPG1	1
BMS1P1	3
C9orf16	0
CACNA1G	0
DOCK4	3
GPRIN3	4
ITGA7	0
PLGLB2	3
BC029255	3
FDPSP2	1
ATP13A4	0
CACNG4	1
SEPT3	2
BCRP3	0
GAP43	1
NTRK2	0
KTN1-AS1	0
BSN	1
CTXN1	1
ELFN1	0
MAP2	1
NFASC	1
SFRP1	1
SPOCK3	1
SPP1	1
ST6GALNAC5	1
UCN3	1
ZDHHC11	1
CYP27C1	1
SETBP1	3
ANGPT2	1
GSTA2	1
MFAP2	3
PCSK1N	2
DQ583756	3
CXXC4	0
MSH5	2
DNAPTP1	3
KHK	1
FXYD1	0
PTPN22	1
TMEM151B	0
BRSK2	0
ACTN3	0
CFH	3
ANKRD13B	0
CADPS	0
GOLGA7B	0
DENND2A	0
PLXNC1	1
PLCL1	0
PPP1R1A	1
USP41	1
AF131837	2
SOCS1	0
SYNGR3	0
ERO1LB	2
CRMP1	1
TRPC7	0
ANKFN1	1
STK31	4
ABCC4	0
PAPPA2	1
SAMD14	0
PPP1R14A	0
AX748371	3
KCNH7	4
MMP11	1
SUSD4	0
NAALADL1	0
PLEKHO1	4
AX747158	3
GRB14	0
TCTEX1D4	2
ICA1L	1
SLC7A4	0
HEY1	3
DNAH11	3
BX647938	3
KRT4	1
UNC13A	0
FLT1	1
WIF1	1
AVPR1B	1
CHL1	3
GABRB3	0
SMOC2	0
CD96	0
PRELP	0
MYO3A	1
REM2	1
TPST2	0
NOTUM	0
CLDN6	0
NKTR	1
ITPRIP	0
GRHL3	3
CR627206	3
CCDC78	3
USP6	1
DTX1	0
COL14A1	1
TPH1	1
KLB	1
MSI1	0
NKX6-1	3
COL21A1	4
PGF	1
NPM2	1
PPP1R3C	0
MDK	1
LINC00340	3
PLAC4	0
ECE2	0
ZNF518A	1
AK131337	4
TMEM169	0
CSF1R	1
C9orf66	3
CHRNB4	0
KCNJ11	0
SDK2	0
DPP10	1
GPR142	2
INSM1	0
SPARC	1
NREP	0
MAP1A	0
MS4A8	1
IGSF21	1
MSMB	0
AX747853	3
CAND2	1
GREB1	1
NEK10	4
RD3	4
UCKL1-AS1	3
LRRC16B	3
SULT1A4	4
AADAT	0
LRIG1	0
STARD4-AS1	0
LSP1	0
SLC38A3	0
CELF4	0
LOC100128288	3
ANKRD45	0
STRC	0
GAL	1
CTSL2	3
AK055386	0
APLN	1
RGS17	1
TMSB15B	1
MUC17	4
CD52	3
NEFL	4
SLC30A4	1
GPC2	0
MPPED1	3
GABBR2	0
SSTR5-AS1	1
SYNM	0
TAC3	1
TTC7B	0
DPYSL4	0
HMGB3	4
CD200	1
RAB3C	1
MPP1	1
SSTR1	1
CD99L2	1
CPB1	1
ASIC1	1
DZIP1	0
CCDC74B	0
NXPE1	1
HEYL	3
LRP4-AS1	1
TMEM196	1
DRD2	1
MEX3A	3
ANKRD36C	1
PLCG2	0
LOC100129175	0
AK128619	3
ANKS1B	0
PRKCH	4
CD70	1
AK056490	3
DKFZp686O16217	3
LOC400891	3
PSD	0
SRRM3	0
C6orf226	0
PLEKHH2	1
CSRNP3	1
AF070581	0
LOC728392	2
HSPA2	0
KSR2	4
MX2	1
SLC16A12	1
LOC283731	3
AIF1	3
EML5	1
SIRPA	1
UBE2QL1	1
FAM155B	1
SLC25A27	0
C2CD4A	0
PLAG1	0
KCTD16	1
SFTPA2	1
FAXC	1
P2RX6	0
WSCD1	0
CITED4	1
LTF	3
TMEM212	3
WNK2	0
STMND1	1
LDHD	1
ARHGAP33	1
RTEL1	0
SULT1C2P1	1
TNFRSF6B	1
LOC149134	3
CDHR3	1
LOC284581	3
CABP4	0
UBN2	2
AX747516	1
ARHGEF25	3
FAM105A	3
VCAN	1
CD37	1
PITRM1-AS1	1
CRISPLD2	0
GDF11	0
VWA5B2	0
GGT5	0
CPE	1
GRAP2	0
LRAT	3
WDR17	0
SPON1	0
FAM171A2	0
RTN1	1
LPPR3	3
ZNF853	0
SULT2A1	1
KCNK17	1
RAB36	0
AX746775	3
CPLX2	1
CLCNKA	1
CLCA4	1
NEFM	1
LIMD2	3
ZCCHC12	3
ARHGAP24	3
IGFBPL1	2
SH2D3C	2
PAK7	2
FLJ00385	0
NPSR1-AS1	4
hCG_2023280	3
GPM6B	3
MTUS2	1
BAI2	0
LOC646903	4
FAM161A	4
CATSPERB	4
DPY19L2	1
LRP2BP	4
SORCS2	4
CRISPLD1	2
MUC5AC	3
SEMA6B	1
TUBB4A	0
CXCL12	0
SNED1	1
CCL19	1
CLIP3	1
GALNT16	0
SLC12A5	0
CCDC146	0
DPF3	0
TMOD2	1
RBP2	1
HLF	3
ZSCAN12P1	3
LINC00890	3
IGHG1	3
POM121L10P	0
RGS14	2
LRRC37A	1
DPCR1	3
NKAIN1	1
MTSS1	0
ATP6V0E2	1
GOLGA8B	2
FZD4	0
AK125437	3
KCNT2	3
CCDC154	3
TSSK4	0
FBXL16	0
PLCXD3	1
SMOC1	1
NUTM1	0
TUBA3FP	0
ATP8B2	0
RPLP0P2	1
SMKR1	0
CHST10	1
FMN2	1
SLC25A34	0
SPAG8	0
PCYT1B	3
APLP1	0
C5orf49	1
STMN2	1
EPHA4	3
AK096718	2
CFC1	1
COLQ	1
BEX1	2
JX088243	3
ELAVL4	1
SERPINA10	1
VAV3	0
CELF5	0
LCP1	0
HECW2	0
SPRED3	1
AK123889	3
FUT7	0
NEURL	3
CSH2	3
CACNG6	1
PCED1B-AS1	0
PODXL2	0
MCOLN3	4
MUC5B	0
TRPM2	1
CBFA2T3	0
CCDC125	1
SPEG	0
THBS4	1
CEND1	0
MCM3AP-AS1	0
CCDC40	0
RAPGEF4	1
RGS4	1
PRICKLE2	3
CLCN4	1
MLN	0
ROS1	4
AEBP1	3
SAMD5	1
YPEL4	0
MYBPC2	4
CBX2	0
AX746734	3
ARHGEF26-AS1	4
KCNQ1OT1	0
SYN1	1
MAST1	0
GLYATL3	1
ANXA6	3
FAM92B	1
UGDH-AS1	2
LOC100506123	3
SCARA3	1
SMTNL2	4
CHRNB2	0
FAM131B	1
COL6A4P2	4
GPR112	3
MX1	0
TAC1	3
ALAS2	1
CAMK2N2	0
SLC7A14	1
TPGS1	4
SCHIP1	1
KCNJ3	1
SLC38A5	2
GAN	1
AK095242	3
PAK6	1
NR2F2-AS1	3
CCR6	0
TMEM45A	2
UPK2	0
C3orf18	1
AX747756	3
BC010924	3
SHC3	1
TDO2	2
KIAA1456	3
SLC35F3	2
MANEAL	0
RRAGD	0
FAM179A	2
ZCCHC18	1
LRRC10B	0
TUBA1A	1
NPTXR	0
POU2F2	0
SHISA9	3
AK126318	3
LOC283335	3
ABLIM2	4
MMP2	0
RASL11B	1
AX747590	3
LOC100996634	0
AK022997	2
CDK5R1	3
DKFZp434C0631	0
DPEP1	1
UCHL1	2
SYNE2	2
SRM	0
HOOK3	0
AX746771	3
FAT3	1
DCX	2
SGSM1	0
TMEM35	3
BHMT	3
ENPP7	1
KCNG1	2
KIT	0
LINC00494	0
NAIP	3
MRPL34	0
PTPRT	1
