	genes
RFX6	0
ST18	1
CNIH2	2
DACH1	3
KCNH6	4
TOX	2
ARX	2
DOK6	2
ASCL1	5
GCH1	5
INSM1	3
PGA5	3
NEUROD1	0
NKX2-2	0
SSTR2	0
CDK5R2	6
CELF3	4
KIF1A	2
LOC728392	0
NFASC	7
PCSK1N	0
SYT4	0
TMEM200A	8
MMRN1	2
FEV	4
SLC18A1	2
RAD51L3-RFFL	0
SSTR5	2
BTBD17	0
CA8	0
IGFBPL1	0
MARCH4	6
CACNA2D1	8
AK092048	3
AMER3	0
ASIC4	4
GCK	5
MAP2	1
MAP6	2
NOL4	8
PDE2A	1
PSD	5
SCGB1A1	4
SCGN	4
SVOP	1
GATA2	4
HMBOX1	1
RNF213	7
SCG2	0
BRS3	4
HMP19	3
TMEFF1	3
ATOH8	0
PLEKHB1	5
AGT	1
CPLX2	6
DPP10	4
ELAVL4	5
GNG4	8
MIAT	7
OR51E1	2
TAGLN3	2
SPIB	4
ARNT2	4
ETV1	7
COL14A1	8
PGM5	8
FAM13A-AS1	5
HHEX	7
TTR	7
ISL1	7
SGCD	7
LMX1A	2
LMX1B	2
BAALC	2
HES6	0
PRRT2	8
DUSP26	0
SUSD2	8
CPB1	4
FAM105A	3
RGAG4	3
SST	7
SV2A	4
ADORA2A	0
ACTL6B	2
CELA3A	2
ENPP2	4
PPP1R1A	4
AHNAK	1
BHMT	0
CACNG4	0
CD200	4
DSCAML1	0
GRIK3	6
JAM3	0
LINC00643	2
LOC646903	0
LY6H	0
OR51E2	0
RAPGEF4	4
RTN1	4
SIM1	3
SYT5	2
TNP1	3
TPST2	0
VSTM2L	0
MMP11	0
TFCP2L1	0
PTGDR2	5
CAMKV	4
HEPACAM2	0
KCNK16	4
MMP2	0
MYT1	3
PTP4A3	0
SPTBN4	4
NPW	3
AF131837	3
MUC16	0
SUCNR1	3
BRSK1	4
NOVA2	4
HES4	1
BLMH	2
CHST9	3
ADAMTS2	0
ASXL3	3
RBP1	0
ZNF117	7
TP73	0
SAMD11	5
TMOD1	4
ABCC8	2
TUBB4A	6
POU5F1	8
PCYT1B	8
FGF14	4
APBB1	4
B3GAT1	4
CACNA1A	5
GPBAR1	1
IGSF21	0
KCNH2	5
MIR7-3HG	4
MPP2	4
PCSK1	0
SAMD14	5
SFRP1	6
STMN2	4
ID4	2
NDRG4	2
PYY	2
DLL3	3
PBX3	2
FCGBP	2
GFRA1	7
PLEKHO1	2
PAK6	2
C1QL1	2
ZNF518A	5
OLFML3	2
AB074188	3
AL109792	3
CHGA	0
MAP1A	0
MAPK8IP1	4
BAIAP3	5
KCNH8	7
KCTD12	4
SCGB1C1	0
S100A1	2
RUNDC3A	4
TRPM2	5
ASCL2	5
SH3RF3	5
GHRL	7
WNK3	4
NREP	0
LOC728175	1
DDC	2
GFRA3	2
RGS11	2
UTS2B	7
LINC00893	5
SRRM3	5
PDZD4	0
NAT14	7
MAFB	1
AKR1B1	0
GPC2	7
SCG3	7
WNK2	0
GABBR2	8
LINC00261	1
MAP1B	0
PAK7	5
PAX6	4
EIF4EBP1	8
SSTR5-AS1	2
LZTS1	2
P2RX6	0
MDK	4
PLCL1	1
REEP2	2
TBC1D8B	7
TUB	1
SLC38A3	1
GIP	2
CLEC4G	3
SEPT5-GP1BB	3
KIAA1328	7
ST8SIA3	4
PRKXP1	4
MANEAL	5
PODXL2	5
NCAM1	4
TMEM132B	4
TCTEX1D4	1
GNG2	2
NAV3	4
RGS9	0
SLC6A17	0
GRASP	1
KCNB2	5
KIAA1324	5
RAB36	5
CHGB	0
LEFTY1	2
LINC00894	8
HOXB9	8
GABRP	7
MEX3B	2
SPARC	2
MS4A8	4
TUBB3	6
STX1A	2
SEMA6B	2
GYLTL1B	1
ANKRD13B	4
KCNJ6	5
KIF19	0
LRRN2	6
RASD1	4
SDK2	5
STARD9	4
BOC	8
CERS1	4
CHST8	5
JAKMIP2	0
KCNJ11	0
SLC16A12	4
SLC8A1	7
SRM	0
AK094786	3
AVPR1B	7
SCG5	2
ACSS3	1
LOC389332	1
KCNJ2	2
FAM171A2	5
CCND2	7
EDAR	4
CCDC14	4
PRR7	7
PDGFD	5
SMTNL2	3
UGDH-AS1	7
NAT8L	0
PDZRN3	1
CACNA1C	4
CYMP	0
SLC22A17	4
SSTR1	4
KHK	8
RUNX1T1	4
ST8SIA5	7
ZNF519	6
CLIP3	4
CAMK2B	3
MAST1	0
QDPR	2
TMEM151A	5
CCDC74B	7
RIMBP2	5
CACNG7	4
CSH1	5
RTN4RL1	4
ADCY2	2
CLPS	0
ARHGAP22	1
ANXA6	2
LRRC49	2
ZCCHC18	2
NKD1	0
SNAP25	4
USP41	2
RGS4	8
CD70	0
PGA4	4
AKT3	4
JAKMIP1	0
CPA1	0
KCNMA1	3
TEKT2	5
AK096718	3
RAB3C	2
GAD2	2
FER1L6-AS1	5
XKR7	3
GABRG2	5
PTCHD2	3
TMEM45A	7
PAX4	2
EBF3	7
DPEP1	0
AP3B2	2
ITGBL1	5
TMPRSS6	7
NNMT	1
UBN2	0
IFI6	4
KCNQ1OT1	5
SSTR3	5
TMOD2	7
FOXJ1	5
VGF	4
NAALADL1	0
AK123868	3
CRYBA2	3
SEZ6	4
BRSK2	4
CTXN1	7
DDN	4
FSTL5	0
RET	4
RRAGD	0
TTC7B	0
LSP1	2
LINC00617	3
ELAVL3	8
STXBP5L	4
RGS16	5
C7	2
LCP1	6
REM2	8
LIPC	0
NFAT5	7
KIT	0
UBE2S	2
KLHL32	5
ACBD7	2
VAV3	4
AK127339	1
CNPY1	0
EFNB3	6
NACAD	4
RGS14	5
VWA5B2	0
KCNJ3	1
ZG16	0
CPT1C	2
PEX5L	4
SULT1C2P1	1
MSI1	2
MLLT11	4
HNF1A-AS1	5
MBOAT4	5
NPTX2	3
CCDC28B	2
SYNE2	7
CACNB4	6
TPH1	7
TSPAN7	3
SERPINI1	0
ELFN1	5
NCS1	0
ZNF514	1
GOLGA8B	6
PLGLB2	6
TRIM66	6
ATP6V0E2	0
RGS5	0
PGA3	4
HECW2	8
APLP1	2
CACNA1H	4
KCNN3	2
PELI3	5
PLXNC1	1
RAB26	1
TUBA3FP	0
DNAJC12	0
STMN3	3
TAC3	0
UNC79	4
SLC25A53	4
PLCXD3	7
CHRNA5	0
CRH	6
DHRS2	7
LIMCH1	2
SLC12A5	3
PNMAL1	7
IGSF10	1
FAM181B	3
STRC	7
DACT1	0
KLK12	2
SH3BP5-AS1	5
CITED4	7
HEY1	6
TPGS1	0
PARD6A	4
NXPE1	8
RNPC3	4
TMEM196	7
KIF5A	4
NKX6-1	3
CFH	8
SCN1B	5
CBFA2T3	0
PTPN22	6
KCNMB2-IT1	3
GNAO1	7
CABP7	2
LRRTM3	4
NTS	3
CES1	3
GABRA1	0
TRPC6	2
BGN	8
FAM179A	3
ISLR2	4
TMEM198	0
DLL1	5
TMEM151B	4
GLUD1P3	8
TMEM158	1
CRMP1	4
DNAJB13	4
HOOK3	4
FAM131B	8
GALNT16	4
TUBA1A	8
SPDYE5	0
TMEM61	1
WSCD1	7
ERO1LB	3
KCNH3	8
FAM110B	2
ZBTB25	4
MFAP2	1
FER1L4	2
SPINK4	2
WDR52	8
CCK	2
UPK2	3
NKTR	7
NRXN2	5
NTRK1	0
KSR2	2
AX747158	6
PCSK2	4
LRP4-AS1	2
KCNMB3	3
GAN	2
ABLIM2	1
KIF5C	3
CALY	2
LGI3	0
BAI1	0
CLDN6	4
MUC17	4
FFAR2	5
ZNF846	4
SLC30A8	2
ST6GALNAC5	2
MSMB	1
SAMD5	2
SPC25	8
MYBPC2	8
PLAC4	2
CFC1	7
SV2B	5
FSD1	4
APOA1	2
AF070581	3
AMPH	2
CXCL12	4
ANK2	7
FBXL16	3
PAK3	3
CDKN1C	4
LRP1B	7
ALAS2	2
ACOT7	7
ANKS1B	1
ADAMTSL1	2
CAMK2N2	4
BC131755	6
ATP1A3	2
MAPK4	6
TDRD6	0
MUC5AC	6
LOC284581	1
PLAG1	6
GRIK5	2
ZDHHC8P1	2
RPS6KL1	4
ZNF853	3
UCP2	5
VCAN	4
EXOSC4	7
NPAS3	3
CARTPT	2
PALMD	8
MPP1	2
AK091996	0
WSB1	0
GLYATL3	7
FAXC	8
GPR162	8
PAPPA2	8
RAB39B	3
CNTN3	0
PNISR	1
CACNB2	0
PCED1B-AS1	5
CPE	1
CCDC125	2
CSF1R	5
CACNA1B	3
PDE8B	1
MIR137HG	2
SLC1A2	5
EML1	0
LTBP2	8
TRPC7	4
CHRNB2	4
ADCY1	4
PTPRN	7
SPOCK3	2
LGR6	5
NEFM	1
MEP1B	1
LINC00939	0
LRP3	2
GAP43	2
NEAT1	2
BC005905	6
MYSM1	1
TAF9B	4
CNGA3	7
MAP3K12	1
RD3	4
ATCAY	3
NUTM1	0
FW340027	6
TAC1	0
DUSP2	5
DNAPTP1	8
HOPX	8
DOCK8	8
MUC5B	1
TMEM178B	4
HERC2P4	6
ARL4D	2
NPPB	6
USP6	8
NEURL	0
CSH2	3
MIPOL1	1
COL6A4P2	5
SCN3B	4
ZSCAN12P1	6
LINC00890	3
GABRB3	3
GGT5	0
MAD2L2	0
UNC13A	8
CDHR3	7
CHST10	7
LOC283731	3
UBE2QL1	3
F10	2
MINOS1-NBL1	3
WDR17	2
GDF1	4
CCDC146	5
FAT3	2
UTY	7
SH2D3C	7
MTUS2	4
AEBP1	3
SEC11C	7
UCHL1	3
ABCC9	6
KCNT2	3
UCN3	2
CPLX1	2
AGAP11	6
PPP1R16B	1
FAM153A	3
DNLZ	4
SLC26A7	8
CRISPLD1	3
THBS4	2
H1FX-AS1	8
AGAP9	8
RUSC1-AS1	0
GCG	4
GSTA2	5
PMS2L14	5
LIMD2	3
BC033961	3
TSPAN11	0
C2CD4A	0
ANKRD65	0
ANKRD45	7
LINC00202-1	6
NPTXR	0
GPR112	3
ARHGAP9	4
CEP290	7
NALCN	7
FABP5	0
LIMS2	4
SYP	1
AK022997	3
DCX	3
KTN1-AS1	4
C2CD4B	1
GRAP2	3
UCKL1-AS1	1
SHISA9	5
PRKCG	1
ANKRD36C	0
ACE	5
IFIT1	3
GRIN1	4
MAPK8IP2	3
INA	3
SCT	7
GPR142	0
SPON2	0
FDPSP2	4
CELA3B	1
HNRPF	2
LRFN1	0
CLEC4GP1	3
PNPO	4
BEX1	3
CERKL	2
NEGR1	4
RPRML	0
FCAMR	1
CR627394	4
TMPRSS11E	0
C1RL-AS1	7
HNRNPU-AS1	6
SPRY3	0
AK054990	3
GPR119	3
SERPINA10	2
KCNK17	5
LINC00494	0
DNM3	5
SLC30A4	2
TMEM59L	0
HBT8	7
SEPT3	3
PRPH	4
IMPG1	0
LINC00907	3
SCN3A	1
CADM3	7
CADM2	4
SPP1	4
CLGN	2
AK126318	6
FFAR3	3
CCDC39	1
SGOL1-AS1	0
TDO2	3
FBN1	3
NCALD	7
BEGAIN	4
ADAM12	7
CCDC86	5
MDN1	7
BSN	7
PFN1P2	7
CLCN4	4
ADAMTSL2	7
JPH4	0
MLN	2
GPR123	3
AK122764	8
PLEKHH2	4
KCNAB2	0
OGFRL1	1
AK054970	6
DST	1
SGSM1	7
LRFN2	0
CRISP3	0
FUT7	1
ECE2	5
KCNH7	5
AK5	4
DPYSL4	4
LOC644172	8
EPHA4	2
TUBB2B	2
TPPP3	2
FFAR1	3
DBC1	3
KCNMB2	4
FRMPD4	8
DQ586822	8
JMJD7-PLA2G4B	2
FAM19A5	0
LRRC37A	1
CELSR3	4
LRP2BP	5
MALAT1	2
NPM2	4
GPRASP2	1
PGF	2
TMEM190	4
KIAA0845	8
CEND1	4
AK311113	1
LOC100652999	5
LOC100216479	2
LPPR5	3
ZRANB2-AS1	6
ANP32A-IT1	6
WNT9A	5
AK095045	3
SPDYA	0
LIN7A	7
TMEFF2	4
IFI27	3
ELOVL4	7
BMS1P1	1
INS-IGF2	3
SMKR1	6
LOC100131564	1
LOC100507351	3
CATSPER2	8
CCR6	5
DCHS1	4
LOC100506585	0
ASIC5	3
LOC642366	3
BC090058	1
