	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_METENCEPHALON_DEVELOPMENT	3	11	6	7	7	12	14	10	4	5	9	4	0	0	0	5	11	12	13	14	0	7	5	9	7	0	9	0	5	11	5	4	3	5	11	0	0	7	9	18	10	0	16	0	0	12	10
GO_MICROTUBULE	9	18	9	12	17	25	23	0	9	11	19	0	0	13	0	11	18	18	23	26	0	9	0	0	0	0	17	0	12	0	15	9	13	11	27	0	0	16	17	29	20	0	27	9	0	12	23
GO_MICROTUBULE_BASED_PROCESS	19	29	17	18	31	41	48	30	15	17	31	11	0	22	0	19	28	33	43	42	6	17	0	0	18	0	33	0	20	25	28	11	13	17	40	0	0	31	33	49	40	0	49	12	0	20	31
GO_MICROTUBULE_BINDING	9	17	8	10	18	24	23	18	7	9	18	6	9	12	4	12	16	18	22	23	3	8	6	13	8	0	16	10	9	14	16	7	11	7	22	0	0	16	15	29	17	0	26	7	0	9	20
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	15	21	0	15	25	29	36	24	0	12	21	10	0	16	0	17	0	23	34	31	0	12	0	0	15	0	24	13	14	19	18	9	10	0	33	0	0	0	26	38	31	0	37	10	0	15	25
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	23	21	18	13	33	30	23	0	0	23	0	0	0	7	9	21	18	26	35	5	16	14	27	11	0	19	14	9	23	18	6	8	8	18	0	5	19	24	38	23	4	17	7	0	15	17
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	0	28	26	25	23	45	43	30	0	12	30	0	8	13	7	15	32	30	34	43	5	19	13	34	15	0	30	20	12	32	23	8	11	14	26	0	0	29	27	47	33	0	28	9	0	20	24
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	7	14	11	12	13	26	27	18	10	6	16	0	0	11	0	11	18	16	24	29	0	12	11	21	8	4	18	14	12	21	10	4	8	7	18	0	4	19	23	29	20	2	24	0	0	11	14
GO_NERVOUS_SYSTEM_PROCESS	20	45	30	32	45	63	75	62	28	30	47	17	16	28	0	23	53	48	69	73	9	27	21	56	0	9	63	35	32	54	41	16	0	0	49	5	12	58	48	81	58	7	79	19	17	33	44
GO_NEURAL_NUCLEUS_DEVELOPMENT	4	4	6	7	7	7	11	7	6	7	5	0	0	3	0	5	9	6	7	10	3	0	0	5	3	2	6	6	6	10	6	4	0	0	4	0	3	8	7	12	4	0	9	3	2	3	5
GO_NEUROGENESIS	36	76	40	46	71	106	110	84	36	39	69	22	24	46	14	39	75	86	105	104	16	50	35	85	43	13	94	42	52	65	76	22	28	33	86	0	16	77	91	119	82	0	106	24	26	45	55
GO_NEURONAL_DENSE_CORE_VESICLE	0	3	2	0	0	3	2	2	0	2	0	3	0	0	0	2	3	3	6	5	3	3	0	2	0	2	2	0	2	3	4	0	0	0	4	0	3	3	0	3	3	2	4	0	0	2	0
GO_NEURON_DEVELOPMENT	25	63	30	32	52	84	85	59	25	32	54	16	20	37	12	29	63	70	77	78	15	36	22	65	31	12	74	34	38	47	55	16	18	24	64	0	16	58	65	87	62	0	76	20	19	30	41
GO_NEURON_DIFFERENTIATION	29	72	36	41	62	97	97	73	28	36	61	19	22	41	14	33	71	77	93	93	15	47	30	76	41	12	86	36	48	57	66	18	23	26	76	0	16	69	82	103	74	0	91	20	23	38	47
