	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	11	29	18	21	27	43	45	33	14	15	27	12	7	18	8	11	30	29	41	42	9	14	11	33	16	7	42	21	22	31	28	9	9	8	34	0	9	34	35	47	31	5	47	16	9	17	31
GO_RESPONSE_TO_AXON_INJURY	0	9	0	0	7	11	7	8	6	7	8	0	0	5	2	0	11	13	8	10	0	5	0	8	0	0	13	4	4	6	7	4	4	0	7	0	0	7	5	12	8	0	12	4	3	5	4
GO_SECRETION	20	56	38	46	46	68	76	62	30	30	63	0	0	32	12	24	66	61	77	76	10	38	22	47	31	0	65	35	36	56	45	0	20	0	50	0	18	59	59	82	70	13	81	21	16	30	0
GO_SENSORY_ORGAN_DEVELOPMENT	12	20	14	16	23	32	30	34	13	16	20	8	0	15	0	14	27	25	42	40	0	18	13	30	11	0	31	21	17	23	23	9	9	0	23	0	0	22	32	40	32	0	40	9	8	16	21
GO_SIGNAL_RELEASE	13	37	23	27	31	45	56	37	17	19	38	11	9	21	8	13	42	34	52	48	7	20	10	30	19	6	43	21	23	37	31	0	0	10	33	0	12	41	43	52	44	10	52	11	8	22	29
GO_SITE_OF_POLARIZED_GROWTH	5	13	5	0	11	16	19	13	9	8	13	0	4	0	3	0	14	12	14	21	0	0	0	12	5	0	14	6	6	0	10	0	0	5	18	0	4	11	14	18	13	0	0	0	3	7	10
GO_SODIUM_CHANNEL_ACTIVITY	2	7	8	4	3	9	8	8	0	0	6	0	0	0	2	3	5	4	4	7	3	0	4	6	4	0	6	4	3	8	3	2	0	0	5	0	3	4	6	10	7	2	4	0	0	4	3
GO_SOMATODENDRITIC_COMPARTMENT	22	57	29	31	46	70	78	54	24	25	52	11	20	24	8	28	60	53	74	83	12	30	25	52	28	7	71	38	33	55	52	11	18	20	63	0	16	58	60	80	57	5	68	16	13	35	48
GO_SYNAPSE	38	81	53	53	70	101	118	91	45	37	86	21	32	45	20	37	99	95	108	128	18	42	37	85	43	18	103	60	53	72	78	20	28	28	91	8	25	103	94	139	86	12	111	31	18	42	69
GO_SYNAPSE_ASSEMBLY	11	8	8	6	9	15	15	14	11	5	12	0	6	7	3	5	14	10	17	16	3	5	6	14	0	6	21	11	8	10	7	5	6	5	11	4	5	15	11	20	12	0	18	5	4	0	0
GO_SYNAPSE_ORGANIZATION	17	31	16	16	22	38	35	31	18	12	24	0	8	14	4	11	35	30	33	37	8	13	10	28	9	9	33	22	17	19	21	8	12	10	35	6	10	28	29	42	26	0	35	8	6	13	18
GO_SYNAPTIC_MEMBRANE	12	28	17	15	26	36	44	33	22	14	34	10	17	19	7	12	35	31	42	47	5	11	13	33	14	5	43	25	18	30	29	9	9	8	32	0	8	40	34	49	32	5	40	10	0	13	30
GO_SYNAPTIC_SIGNALING	22	43	31	34	41	67	73	55	27	23	48	17	16	26	13	22	53	51	69	73	14	25	22	50	25	15	68	32	32	50	45	10	16	15	52	5	17	66	56	82	53	10	76	19	12	30	42
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	6	14	6	7	8	14	17	11	5	8	10	7	0	7	4	4	9	12	17	16	2	4	4	9	5	2	17	4	4	11	10	0	3	0	11	0	3	12	13	15	13	3	19	5	0	10	8
GO_SYNAPTIC_VESICLE_LOCALIZATION	4	7	4	0	9	8	10	4	0	0	7	2	2	6	2	3	9	10	9	8	2	3	0	0	0	0	7	0	4	5	7	0	3	3	6	0	2	4	8	8	5	2	6	0	0	0	5
GO_SYNAPTIC_VESICLE_MEMBRANE	3	14	4	5	7	14	13	10	5	4	6	3	0	0	2	5	13	13	12	14	2	5	3	8	7	0	12	5	6	7	8	5	4	0	9	0	2	14	8	18	13	2	14	3	0	4	7
GO_TAXIS	0	27	13	15	17	44	36	29	12	16	31	0	10	20	0	13	36	29	36	34	5	13	0	35	13	5	31	15	18	22	26	0	0	14	27	3	7	26	26	45	29	0	38	0	8	15	0
GO_TRANSMEMBRANE_TRANSPORT	0	64	43	42	55	96	105	68	32	33	68	0	23	33	0	29	73	71	83	96	13	37	35	64	30	0	71	49	37	70	49	20	32	26	55	0	18	75	67	102	81	0	82	25	0	38	52
GO_TRANSMISSION_OF_NERVE_IMPULSE	5	5	5	4	0	13	9	10	6	4	5	0	0	4	2	5	10	5	10	11	0	6	4	10	0	3	7	6	3	8	0	0	4	0	7	0	3	9	8	13	7	2	9	0	0	3	4
GO_TRANSPORTER_ACTIVITY	0	50	34	31	39	78	78	51	25	23	57	0	13	27	10	22	59	53	68	77	10	29	29	54	22	0	53	38	32	52	37	13	26	23	41	0	15	55	54	79	64	6	62	19	0	31	39
GO_TRANSPORTER_COMPLEX	10	23	22	20	20	44	42	33	16	13	31	6	12	12	5	12	34	25	33	40	5	20	15	33	9	3	27	19	19	34	18	6	13	10	20	0	9	31	29	44	33	4	33	8	0	13	24
GO_TRANSPORT_VESICLE	8	27	13	14	18	31	33	24	13	0	25	7	0	10	4	15	28	27	31	33	4	12	0	21	14	4	28	15	13	20	19	0	0	8	26	0	7	27	23	42	24	3	33	7	6	9	19
GO_TRANSPORT_VESICLE_MEMBRANE	5	20	6	6	12	22	24	14	7	7	12	5	0	0	0	10	19	20	18	21	3	6	0	12	8	0	17	9	9	12	11	5	5	5	15	0	3	21	15	24	17	3	20	0	0	7	14
GO_TUBULIN_BINDING	11	21	10	13	22	31	30	21	10	13	23	7	11	15	4	15	19	22	30	29	0	9	0	17	11	0	24	13	11	16	20	8	13	10	29	0	0	21	20	35	23	0	30	8	0	11	24
GO_T_TUBULE	2	7	4	5	5	11	9	5	3	0	4	0	0	5	0	3	6	4	10	9	0	0	5	8	3	2	4	6	3	7	4	2	2	2	6	0	2	7	7	8	7	0	7	0	0	3	5
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	9	22	10	12	16	22	29	18	8	9	16	9	5	14	6	9	18	20	25	25	3	7	7	16	10	3	29	8	11	19	17	0	7	6	21	0	4	20	22	28	20	3	28	6	0	13	14
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	3	4	3	3	4	9	10	7	3	0	6	0	0	3	2	3	8	5	10	11	0	3	5	6	2	2	7	6	7	6	3	2	4	3	8	0	3	10	9	8	7	0	8	0	0	5	0
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	5	4	3	3	6	9	9	10	4	0	7	0	3	4	2	4	10	7	9	11	0	4	5	5	2	2	7	6	9	8	6	2	4	5	7	0	3	11	9	10	8	0	8	0	0	3	3
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	6	12	15	13	8	25	25	17	6	0	18	3	3	11	5	8	17	14	20	27	3	14	11	19	8	2	16	11	14	16	10	4	9	7	17	0	5	19	21	24	19	0	19	5	0	12	14
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	7	15	18	17	9	34	32	20	6	0	21	0	4	11	5	9	19	15	24	31	4	17	14	23	11	4	19	12	14	19	12	5	11	11	20	0	6	23	26	30	25	2	21	6	0	14	17
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	3	8	11	9	4	15	14	10	3	0	12	3	0	8	3	5	9	9	10	16	2	11	6	12	5	0	8	5	6	8	7	2	5	4	8	0	2	7	11	16	11	0	10	4	0	7	10
