	partition_group
ACSS3	0
AMER3	0
AP3B2	0
ATP1A3	0
B3GAT1	0
CA8	0
CELF4	0
CERS1	0
CHL1	0
CNGA3	0
CPLX2	0
CRIP2	0
DHRS2	0
DOCK8	0
DTX1	0
DZIP1	0
EFNB3	0
EYA4	0
FAM131B	0
FAM155B	0
FAM57B	0
FAXC	0
FBXL16	0
FEV	0
FGF14	0
FLJ35024	0
GNG2	0
GPR133	0
GRAMD2	0
GRIK5	0
GRIN1	0
HIC1	0
ITGBL1	0
JAM3	0
KCNK16	0
KCTD12	0
KNDC1	0
LINC00907	0
LOC728392	0
LRRC16B	0
LY6H	0
MAP3K12	0
MAPK8IP1	0
MARCH4	0
MIR7-3HG	0
MTSS1	0
MURC	0
NALCN	0
NEFM	0
NEGR1	0
NPTX2	0
NTNG2	0
PAX6	0
PCSK1N	0
PCYT1B	0
PELI3	0
PGA3	0
PLXNC1	0
PRKCG	0
PRR18	0
PTP4A3	0
RET	0
RFX6	0
RGS4	0
RPS6KL1	0
RTN1	0
SAMD5	0
SCGN	0
SLC25A53	0
SPAG8	0
SPTBN4	0
ST8SIA3	0
STXBP5L	0
SYN1	0
SYT5	0
TEKT2	0
TMEFF1	0
TMEM145	0
TRAM1L1	0
TUB	0
VGF	0
ZNF853	0
ACSL6	1
ADAMTS2	1
ADAMTSL2	1
ASXL3	1
ATOH8	1
BAI1	1
BHMT	1
BTBD17	1
C1QL1	1
C2CD4A	1
CABP7	1
CACNB2	1
CACNG4	1
CAMK2B	1
CELA3A	1
CELA3B	1
CLCN4	1
CLPS	1
CNIH2	1
CPLX1	1
DACT1	1
DKK3	1
DLL1	1
DNAJC12	1
DPP10	1
DSCAML1	1
DUSP26	1
ELFN1	1
ENPP2	1
F10	1
FFAR1	1
FFAR2	1
GALNT16	1
GOLGA6L5	1
GPR119	1
GRAP2	1
HECW2	1
HEPACAM2	1
HES6	1
IGFBPL1	1
INS-IGF2	1
INSM1	1
KCNE4	1
KCNK3	1
KCNN3	1
KIF19	1
KIF1A	1
KIT	1
KLK12	1
LINC00494	1
LOC100507351	1
LOC400891	1
LOC642366	1
LRRN2	1
LRRTM3	1
LZTS1	1
MPP2	1
NEURL	1
NEUROD1	1
NEUROG3	1
NKX2-2	1
NPSR1-AS1	1
PAX4	1
PGA5	1
RAPGEF4	1
RUNDC3A	1
SCG3	1
SCN3A	1
SFRP1	1
SLC38A3	1
SLC6A17	1
SPINK4	1
SPON2	1
SSTR1	1
SSTR2	1
ST18	1
STARD9	1
SUCNR1	1
SYP	1
