	ARX	ASCL1	ASCL2	ETV1	FEV	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PBX3	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1
KEGG_DILATED_CARDIOMYOPATHY	ADCY1 CACNA1C CACNA2D1 ITGA7 SLC8A1	ADCY1 ADCY5 ITGA7	ADCY1 ADCY5 ITGA7	CACNA2D1 ITGA7 MYBPC3 SLC8A1	ADCY1 ADCY2 ADCY5 CACNA1C CACNA2D1 CACNB2 ITGA7 MYBPC3 SLC8A1	ADCY1 ADCY2 ADCY5 CACNA1C	ADCY1 ADCY2 ADCY5 CACNA1C		ADCY1 ADCY2 CACNA2D1 ITGA7	ADCY1 ADCY2 ADCY5 CACNA1C CACNA2D1 CACNG4 ITGA7 MYBPC3 SGCD SLC8A1	ADCY1 CACNA1C CACNG4 ITGA4 ITGA7 SGCD SLC8A1		ADCY5 CACNA1C CACNA2D1 CACNG4 ITGA4 SLC8A1	ADCY1 ADCY2 ADCY5 CACNA2D1 ITGA4 MYBPC3 SGCD	ADCY2 ADCY5 CACNA1C CACNA2D1 CACNB2 SLC8A1	ADCY5 ITGA4 ITGA7 SLC8A1	CACNB2 CACNG4 ITGA7 SLC8A1	ADCY1 ADCY5 CACNA2D1 CACNG4 SLC8A1	ADCY5 CACNA1C ITGA4 ITGA7 MYBPC3 SGCD	ADCY1 ADCY2 CACNA1C CACNA2D1 ITGA7 MYBPC3 SGCD SLC8A1	ADCY1 CACNA1C ITGA7 MYBPC3 SLC8A1	ADCY1 ADCY2 ADCY5 CACNA1C CACNA2D1 CACNG4 ITGA7 MYBPC3
REACTOME_CARDIAC_CONDUCTION	CACNA1C CACNA2D1 CAMK2B FGF14 KCNJ2 KCNK17 SCN2A SLC8A1	CAMK2B KCNJ11 KCNJ2 KCNK17 SCN1B SCN3A	ATP1A3 CAMK2B KCNH2 KCNJ11 KCNJ2 KCNK17 SCN1B	CACNA2D1 CAMK2B FGF14 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SCN2A SCN3A SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNB2 FGF14 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 SCN1B SLC8A1	ATP1A3 CACNA1C ITPR1 KCNK3		CACNA1C FGF14 KCNJ2 KCNK17 SCN2A	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNK17 KCNK3	CACNA1C CACNA2D1 CACNG4 ITPR1 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	ATP1A3 CACNA1C CACNG4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1	CAMK2B KCNH2 KCNIP3 KCNJ11 KCNJ2 KCNK17 KCNK3	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SLC8A1	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNIP3 KCNJ2 KCNK3 SCN1B	CACNA1C CACNA2D1 CACNB2 ITPR1 SCN2A SLC8A1	ATP1A3 KCNJ2 KCNK3 SLC8A1	ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 SLC8A1	ATP1A3 CACNA2D1 CACNG4 ITPR1 KCNK16 KCNK17 SLC8A1	ATP1A3 CACNA1C CAMK2B ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK16 KCNK3 SCN1B	ATP1A3 CACNA1C CACNA2D1 FGF14 ITPR1 KCNH2 KCNIP3 KCNK3 SCN1B SCN2A SLC8A1	CACNA1C FGF14 KCNIP3 KCNJ2 KCNK17 SCN2A SCN3A SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK3
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	CPLX1 SNAP25 STX1A STXBP1 SYN1			LIN7A SYN1	LIN7A SNAP25 STX1A SYN1	SNAP25 STX1A	CPLX1 LIN7A SNAP25	CPLX1 LIN7A SNAP25 STX1A SYN1	CPLX1 LIN7A SNAP25 STX1A STXBP1 SYN1	CPLX1 LIN7A SNAP25 SYN1	CPLX1 SNAP25 STX1A SYN1	CPLX1 STXBP1	CPLX1 SNAP25 STX1A	CPLX1 SNAP25 STX1A STXBP1		CPLX1 LIN7A SNAP25 SYN1	LIN7A SNAP25	CPLX1 STX1A STXBP1	CPLX1 LIN7A STXBP1 SYN1	LIN7A SNAP25 STX1A	CPLX1 LIN7A SYN1	CPLX1 STX1A SYN1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	ADCY1 APLN CAMK2B CHRM4 GNG2 GNG4 LRAT PRKCG RGS4 RGS9 SSTR1 SSTR3	ADCY1 ADCY5 CAMK2B GABBR2 GPC2 RGS5 RGS9		APLN CAMK2B CHRM4 CNR1 GNAO1 GNG2 GNG4 GPC2 PRKCG RGS17 RGS4 RGS5 SST SSTR2 SSTR3 SUCNR1	ADCY1 ADCY2 ADCY5 AGT APOB CHRM4 CLPS CNR1 GNAO1 GNG2 GNG4 GPC2 HRH3 ITPR1 LRAT PRKCG RBP1 RGS17 RGS4 RGS9 SST SSTR1 SSTR3	ADCY1 ADCY2 ADCY5 AGT ITPR1 LRAT RBP1 RGS17 RGS5 SSTR1	ADCY1 ADCY2 ADCY5 APLN APOB GNG2 LRAT RGS17 SSTR1	ADCY2 ADCY5 AGT APLN CHRM4 GNG2 LRAT RGS17 RGS4 RGS5 SSTR1	ADCY1 ADCY2 APLN CAMK2B CHRM4 GABBR2 GPC2 HRH3 ITPR1 RGS17 RGS4 RGS5 RGS9 SSTR1 SSTR2	ADCY1 ADCY2 ADCY5 APLN CHRM4 CNR1 GNG2 GNG4 ITPR1 LRAT NPY RBP1 RGS17 RGS5 SST SSTR1	ADCY1 AGT APLN CHRM4 CNR1 GABBR2 GNAO1 GNG2 GNG4 NPY RBP1 RGS17 SST	ADCY2 AGT CAMK2B CLPS GNAO1 GPC2 SSTR2 SSTR3	ADCY5 APOB CAMK2B CLPS GABBR2 GNAO1 GNG4 RBP1 RGS4 RGS9 SSTR2 SUCNR1	ADCY1 ADCY2 ADCY5 AGT CAMK2B CHRM4 CLPS GNAO1 GNG4 ITPR1 LRAT NPY PRKCG RBP1 RGS9 SST	ADCY2 ADCY5 AGT APLN CLPS ITPR1 RGS17 SUCNR1	ADCY5 CHRM4 GABBR2 GNG2 GNG4 GPC2 NPY RBP1 RGS17 RGS4 SST	CAMK2B GABBR2 GNG2 GNG4 LRAT PRKCG RBP1 RGS17 RGS5 RGS9 SSTR1	ADCY1 ADCY5 APLN CHRM4 GABBR2 GNAO1 GPC2 HRH3 ITPR1 LRAT PRKCG RGS17 RGS5 RGS9 SUCNR1	ADCY5 APLN CAMK2B CNR1 GABBR2 GNAO1 GNG4 ITPR1 LRAT PRKCG RGS17 RGS9 SSTR1	ADCY1 ADCY2 AGT APLN CHRM4 GABBR2 GNAO1 GNG2 GNG4 GPC2 ITPR1 LRAT RBP1 RGS17 RGS4 RGS5 RGS9 SSTR2 SSTR3	ADCY1 AGT APLN CNR1 GABBR2 GNAO1 GNG2 GNG4 HRH3 LRAT RGS17 RGS5	ADCY1 ADCY2 ADCY5 AGT CHRM4 CLPS CNR1 GABBR2 GNAO1 GNG4 GPC2 ITPR1 LRAT PRKCG RBP1 RGS17 RGS5 RGS9 SSTR1 SSTR3
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	ADCY1 GNG2 GNG4 PRKCG RGS4	ADCY1 ADCY5	ADCY1 ADCY5	GNG2 GNG4 PRKCG RGS17 RGS4	ADCY1 ADCY2 ADCY5 GNG2 GNG4 PRKCG PRKCH RGS17 RGS4	ADCY1 ADCY2 ADCY5 PRKCH RGS17	ADCY1 ADCY2 ADCY5 GNG2 RGS17	ADCY2 ADCY5 GNG2 RGS17 RGS4	ADCY1 ADCY2 PRKCH RGS17 RGS4	ADCY1 ADCY2 ADCY5 GNG2 GNG4 PRKCH RGS17	ADCY1 GNG2 GNG4 RGS17		ADCY5 GNG4 RGS4	ADCY1 ADCY2 ADCY5 GNG4 PRKCG	ADCY2 ADCY5 PRKCH RGS17	ADCY5 GNG2 GNG4 PRKCH RGS17 RGS4	GNG2 GNG4 PRKCG PRKCH RGS17	ADCY1 ADCY5 PRKCG PRKCH RGS17	ADCY5 GNG4 PRKCG PRKCH RGS17	ADCY1 ADCY2 GNG2 GNG4 RGS17 RGS4	ADCY1 GNG2 GNG4 RGS17	ADCY1 ADCY2 ADCY5 GNG4 PRKCG PRKCH RGS17
REACTOME_INSULIN_PROCESSING	KIF5A PCSK1 PCSK2 STX1A			KIF5A KIF5C PCSK1 PCSK2	CPE KIF5A PCSK1 PCSK2 STX1A	CPE KIF5A KIF5C PCSK1 STX1A	CPE KIF5A	CPE KIF5A KIF5C PCSK1 PCSK2 STX1A	KIF5A PCSK2 STX1A	KIF5A PCSK1	CPE KIF5A STX1A	KIF5A PCSK1	PCSK1 PCSK2 STX1A	KIF5A STX1A				CPE KIF5A STX1A	CPE KIF5C PCSK1	CPE KIF5A PCSK1 PCSK2 STX1A	CPE PCSK1	CPE PCSK1 PCSK2 STX1A
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	ABCC8 ADCY1 CACNA1C GNG2 GNG4 SNAP25 STX1A STXBP1 SYT5	ABCC8 ADCY1 ADCY5 CACNA1A KCNJ11 STXBP1 SYT5	ABCC8 ADCY1 ADCY5 KCNJ11 STXBP1	ABCC8 CACNA1A GNG2 GNG4 SYT5	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1C CACNB2 GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNA1C ITPR1 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1C GNG2 RAPGEF4 SNAP25	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1C GNG2 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY1 ADCY2 CACNA1A ITPR1 RAPGEF4 SNAP25 STX1A STXBP1	ADCY1 ADCY2 ADCY5 CACNA1C GNG2 GNG4 ITPR1 KCNJ11 RAPGEF4 SNAP25 SYT5	ADCY1 CACNA1A CACNA1C GNG2 GNG4 KCNJ11 RAPGEF4 SNAP25 STX1A SYT5	ABCC8 ADCY2 KCNJ11 RAPGEF4 STXBP1	ABCC8 ADCY5 CACNA1A CACNA1C GNG4 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A STXBP1	ADCY2 ADCY5 CACNA1A CACNA1C CACNB2 ITPR1 RAPGEF4 SNAP25	ADCY5 CACNA1A GNG2 GNG4 SNAP25 SYT5	CACNA1A CACNB2 GNG2 GNG4 KCNJ11 RAPGEF4 SNAP25 SYT5	ADCY1 ADCY5 CACNA1A ITPR1 RAPGEF4 STX1A STXBP1 SYT5	ABCC8 ADCY5 CACNA1C GNG4 ITPR1 KCNJ11 STXBP1 SYT5	ABCC8 ADCY1 ADCY2 CACNA1A CACNA1C GNG2 GNG4 ITPR1 RAPGEF4 SNAP25 STX1A SYT5	ADCY1 CACNA1A CACNA1C GNG2 GNG4 RAPGEF4 SYT5	ADCY1 ADCY2 ADCY5 CACNA1C GNG4 ITPR1 STX1A SYT5
REACTOME_MUSCLE_CONTRACTION	CACNA1C CACNA2D1 CAMK2B FGF14 KCNJ2 KCNK17 SCN2A SLC8A1 TMOD2	CAMK2B KCNJ11 KCNJ2 KCNK17 SCN1B SCN3A	ATP1A3 CAMK2B KCNH2 KCNJ11 KCNJ2 KCNK17 SCN1B	CACNA2D1 CAMK2B FGF14 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 MYBPC2 MYBPC3 SCN1B SCN2A SCN3A SLC8A1 TMOD2	ATP1A3 CACNA1C CACNA2D1 CACNB2 FGF14 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK16 KCNK17 MYBPC2 MYBPC3 SCN1B SLC8A1 TMOD2					CACNA1C CACNA2D1 CACNG4 ITPR1 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 MYBPC3 SLC8A1 TMOD2	ATP1A3 CACNA1C CACNG4 KCNH2 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 SLC8A1 TMOD2	CAMK2B KCNH2 KCNIP3 KCNJ11 KCNJ2 KCNK17 KCNK3	ATP1A3 CACNA1C CACNA2D1 CACNG4 CAMK2B FGF14 KCNH2 KCNIP3 KCNK3 SCN2A SCN3A SLC8A1	ATP1A3 CACNA2D1 CAMK2B ITPR1 KCNIP3 KCNJ2 KCNK3 MYBPC3 SCN1B	CACNA1C CACNA2D1 CACNB2 ITPR1 SCN2A SLC8A1		ATP1A3 CACNB2 CACNG4 CAMK2B FGF14 KCNH2 KCNJ11 KCNK16 MYBPC2 SLC8A1	ATP1A3 CACNA2D1 CACNG4 ITPR1 KCNK16 KCNK17 MYBPC2 SLC8A1 TMOD2	ATP1A3 CACNA1C CAMK2B ITPR1 KCNIP3 KCNJ11 KCNJ2 KCNK16 KCNK3 MYBPC2 MYBPC3 SCN1B TMOD2	ATP1A3 CACNA1C CACNA2D1 FGF14 ITPR1 KCNH2 KCNIP3 KCNK3 MYBPC2 MYBPC3 SCN1B SCN2A SLC8A1 TMOD2	CACNA1C FGF14 KCNIP3 KCNJ2 KCNK17 MYBPC2 MYBPC3 SCN2A SCN3A SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 ITPR1 KCNH2 KCNIP3 KCNJ2 KCNK3 MYBPC3
REACTOME_NEURONAL_SYSTEM	ABCC8 ADCY1 CACNA1B CAMK2B CPLX1 DLG2 GAD2 GNG2 GNG4 GRIK3 GRIK5 KCNA6 KCNB2 KCNJ2 KCNK17 PRKCG SNAP25 STX1A STXBP1 SYN1 TUBA1A TUBB2B	ABCC8 ADCY1 ADCY5 CACNA1A CAMK2B CHRNB2 GABBR2 GRIK3 HCN4 KCNA6 KCNB2 KCNH7 KCNJ11 KCNJ2 KCNJ6 KCNK17 KCNMB2 LRRTM3 PPM1E STXBP1	ABCC8 ADCY1 ADCY5 CAMK2B CHRNA3 CHRNB2 DLG2 KCNB2 KCNH2 KCNH7 KCNJ11 KCNJ2 KCNK17 PPM1E STXBP1 TUBB4A	ABCC8 CACNA1A CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 GABRB3 GJD2 GNG2 GNG4 GRIK5 HCN4 KCNB2 KCNG1 KCNH2 KCNH3 KCNH6 KCNH7 KCNH8 KCNJ2 KCNJ6 KCNK16 KCNK17 KCNMA1 KCNMB2 LIN7A PRKCG SYN1 TUBA1A	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A CACNB2 CHRNB2 DLG2 GJD2 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ2 KCNK16 KCNK17 LIN7A LRRTM3 PPM1E PRKCG SNAP25 STX1A SYN1 TUBA1A	ABCC8 ADCY1 ADCY2 ADCY5 CACNA1A DLG2 GABRB3 GJD2 GRIK5 KCNG1 KCNH6 KCNH7 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 PPM1E SNAP25 STX1A TUBA1A	ADCY1 ADCY2 ADCY5 CHRNB4 CPLX1 GNG2 HCN4 KCNH3 KCNH6 KCNH7 KCNJ6 KCNK3 LIN7A PPM1E SNAP25 TUBB2B TUBB4A	ABCC8 ADCY2 ADCY5 CACNA1A CACNA1B CHRNB4 CPLX1 GABRB3 GAD2 GNG2 GRIK5 KCNH8 KCNJ2 KCNK17 KCNMA1 KCNMB2 LIN7A LRRTM3 PPM1E SNAP25 STX1A SYN1 TUBA1A TUBB2B	ABCC8 ADCY1 ADCY2 CACNA1A CAMK2B CPLX1 GABBR2 HCN4 KCNH8 KCNK17 KCNK3 KCNMA1 LIN7A PPM1E SNAP25 STX1A STXBP1 SYN1 TUBA1A TUBB2B	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 GNG2 GNG4 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMB2 LIN7A PPM1E SNAP25 SYN1	ADCY1 CACNA1A CACNG4 CHRNB4 CPLX1 DLG2 GABBR2 GNG2 GNG4 GRIK5 HCN4 KCNA6 KCNB2 KCNH2 KCNH6 KCNH7 KCNJ11 KCNJ2 KCNK16 KCNK17 KCNK3 KCNMA1 KCNMB2 SNAP25 STX1A SYN1	ABCC8 ADCY2 CAMK2B CHRNA3 CHRNB4 CPLX1 KCNB2 KCNH2 KCNH8 KCNJ11 KCNJ2 KCNK17 KCNK3 KCNMA1 STXBP1 TUBB4A	ABCC8 ADCY5 CACNA1A CACNG4 CAMK2B CHRNB4 CPLX1 DLG2 GABBR2 GABRB3 GNG4 KCNG1 KCNH2 KCNH7 KCNJ6 KCNK3 KCNMA1 KCNMB2 LRRTM3 SNAP25 STX1A	ADCY1 ADCY2 ADCY5 CACNA1B CAMK2B CHRNA3 CHRNB2 CHRNB4 CPLX1 DLG2 GAD2 GNG4 GRIK5 KCNB2 KCNH6 KCNH8 KCNJ2 KCNK3 LRFN1 PRKCG SNAP25 STX1A STXBP1	ADCY2 ADCY5 CACNA1A CACNA1B CACNB2 DLG2 GABRB3 KCNH7 KCNMA1 KCNMB2 PPM1E SNAP25	ADCY5 CACNA1A CHRNA3 CPLX1 DLG2 GABBR2 GNG2 GNG4 GRIK5 KCNH7 KCNJ2 KCNK3 KCNMA1 LIN7A PPM1E SNAP25 SYN1	CACNA1A CACNB2 CACNG4 CAMK2B CHRNA3 GABBR2 GAD2 GNG2 GNG4 GRIK5 HCN4 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ11 KCNK16 LIN7A PPM1E PRKCG SNAP25 TUBA1A TUBB4A	ADCY1 ADCY5 CACNA1A CACNA1B CACNG4 CPLX1 DLG2 GABBR2 GABRB3 GAD2 KCNB2 KCNH7 KCNH8 KCNK16 KCNK17 KCNMA1 KCNMB2 PPM1E PRKCG STX1A STXBP1	ABCC8 ADCY5 CACNA1B CAMK2B CHRNB4 CPLX1 GABBR2 GABRB3 GNG4 GRIK5 HCN4 KCNH3 KCNH6 KCNJ11 KCNJ2 KCNJ6 KCNK16 KCNK3 KCNMB2 LIN7A PPM1E PRKCG STXBP1 SYN1	ABCC8 ADCY1 ADCY2 CACNA1A CHRNB2 CHRNB4 DLG2 GABBR2 GABRB3 GNG2 GNG4 GRIK3 GRIK5 HCN4 KCNB2 KCNH2 KCNH3 KCNH6 KCNH8 KCNJ6 KCNK3 KCNMA1 KCNMB2 LIN7A LRFN1 LRRTM3 PPM1E SNAP25 STX1A TUBA1A TUBB2B	ADCY1 CACNA1A CHRNB4 CPLX1 DLG2 GABBR2 GAD2 GJD2 GNG2 GNG4 GRIK5 HCN4 KCNB2 KCNG1 KCNH3 KCNJ2 KCNJ6 KCNK17 LIN7A LRRTM3 SYN1 TUBB2B	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 CPLX1 DLG2 GABBR2 GNG4 GRIK5 KCNH2 KCNH7 KCNH8 KCNJ2 KCNJ6 KCNK3 KCNMB2 LRFN1 PPM1E PRKCG STX1A SYN1 TUBA1A TUBB4A
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	ADCY1 CAMK2B DLG2 GNG2 GNG4 GRIK3 GRIK5 KCNJ2 PRKCG TUBA1A TUBB2B	ADCY1 ADCY5 CAMK2B CHRNB2 GABBR2 GRIK3 KCNJ2 KCNJ6 PPM1E	ADCY1 ADCY5 CAMK2B CHRNA3 CHRNB2 DLG2 KCNJ2 PPM1E TUBB4A	CAMK2B CHRNA3 CHRNB2 CHRNB4 GABRB3 GNG2 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A PRKCG TUBA1A	ADCY1 ADCY2 ADCY5 CHRNB2 DLG2 GNG2 GNG4 GRIK3 GRIK5 KCNJ2 LIN7A PPM1E PRKCG TUBA1A	ADCY1 ADCY2 ADCY5 DLG2 GABRB3 GRIK5 KCNJ6 PPM1E TUBA1A	ADCY1 ADCY2 ADCY5 CHRNB4 GNG2 KCNJ6 LIN7A PPM1E TUBB2B TUBB4A	ADCY2 ADCY5 CHRNB4 GABRB3 GNG2 GRIK5 KCNJ2 LIN7A PPM1E TUBA1A TUBB2B	ADCY1 ADCY2 CAMK2B GABBR2 LIN7A PPM1E TUBA1A TUBB2B	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 GNG2 GNG4 GRIK5 KCNJ2 LIN7A PPM1E	ADCY1 CACNG4 CHRNB4 DLG2 GABBR2 GNG2 GNG4 GRIK5 KCNJ2	ADCY2 CAMK2B CHRNA3 CHRNB4 KCNJ2 TUBB4A	ADCY5 CACNG4 CAMK2B CHRNB4 DLG2 GABBR2 GABRB3 GNG4 KCNJ6	ADCY1 ADCY2 ADCY5 CAMK2B CHRNA3 CHRNB2 CHRNB4 DLG2 GNG4 GRIK5 KCNJ2 PRKCG	ADCY2 ADCY5 DLG2 GABRB3 PPM1E	ADCY5 CHRNA3 DLG2 GABBR2 GNG2 GNG4 GRIK5 KCNJ2 LIN7A PPM1E	CACNG4 CAMK2B CHRNA3 GABBR2 GNG2 GNG4 GRIK5 LIN7A PPM1E PRKCG TUBA1A TUBB4A	ADCY1 ADCY5 CACNG4 DLG2 GABBR2 GABRB3 PPM1E PRKCG	ADCY5 CAMK2B CHRNB4 GABBR2 GABRB3 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A PPM1E PRKCG	ADCY1 ADCY2 CHRNB2 CHRNB4 DLG2 GABBR2 GABRB3 GNG2 GNG4 GRIK3 GRIK5 KCNJ6 LIN7A PPM1E TUBA1A TUBB2B	ADCY1 CHRNB4 DLG2 GABBR2 GNG2 GNG4 GRIK5 KCNJ2 KCNJ6 LIN7A TUBB2B	ADCY1 ADCY2 ADCY5 CACNG4 CHRNB2 CHRNB4 DLG2 GABBR2 GNG4 GRIK5 KCNJ2 KCNJ6 PPM1E PRKCG TUBA1A TUBB4A
