Hormone	CCK	GHRL	PYY	SST	CCK	GHRL	PYY	SST
	pos	pos	pos	pos	neg	neg	neg	neg
TF								
ARX	0.004476325440692552	0.4639642792855857	0.0027580501600944773	0.0019306604208167077	-0.02599350534639382	-0.036338187479428234	-0.0160156790501243	-0.011568014255307544
ETS1	0.0059084610289393815	0.006284843149876357	0.00034758438217558654	5.2465196217652484e-05	-0.0003957035152074843	-0.0012713765956055675	-0.0006698409644101899	-0.0005176312920301332
INSM1	0.0013173472756526933	0.0014012652297852792	7.749722587247538e-05	1.169761177494221e-05	-8.822584174991967e-05	-0.00028346543818200305	-0.0001493473791676573	-0.00011541079293043699
NEUROD1	0.0052972080260793334	0.19558337738186193	0.003263830040498906	0.00228471097829779	-0.030760275804600636	-0.043001998161112616	-0.01895268445770184	-0.013689392956543983
NEUROD2	0.05775237307308201	0.13240529615888424	0.027524301425056564	0.011750336295753233	-0.14071924941368885	-0.08550121583586938	-0.30474609492189847	-0.027218729172868116
NEUROG3	0.21809372366170898	0.500010000200004	0.10394165762472833	0.044373494293909806	-0.20528571134633955	-0.32288333010405085	-0.15237609498284888	-0.1027877069421626
PAX4	0.01330846575445967	0.49137482749654987	0.008199898910616406	0.005740004482327051	-0.07728072507778291	-0.10803627440776181	-0.047615866852616505	-0.034392611440700584
PAX6	0.015047970525467393	0.03449955193171672	0.007171737792561465	0.0030616701069421225	-0.036665837347730657	-0.022278214856412078	-0.0794047068565124	-0.007092117821993094
RORC	0.026680425731357083	0.02815680585014807	0.04338573596208419	0.16617832356647133	-0.0156215782340141	-0.059332247266157746	-0.009625103652558628	-0.017859746907732413
