	CCK	GHRL	PYY	SST
ARX	0.004476325440692552	0.4639642792855857	0.0027580501600944773	0.0019306604208167077
ETS1	0.0059084610289393815	0.006284843149876357	0.00034758438217558654	5.2465196217652484e-05
INSM1	0.0013173472756526933	0.0014012652297852792	7.749722587247538e-05	1.169761177494221e-05
NEUROD1	0.0052972080260793334	0.19558337738186193	0.003263830040498906	0.00228471097829779
NEUROD2	0.05775237307308201	0.13240529615888424	0.027524301425056564	0.011750336295753233
NEUROG3	0.21809372366170898	0.500010000200004	0.10394165762472833	0.044373494293909806
PAX4	0.01330846575445967	0.49137482749654987	0.008199898910616406	0.005740004482327051
PAX6	0.015047970525467393	0.03449955193171672	0.007171737792561465	0.0030616701069421225
RORC	0.026680425731357083	0.02815680585014807	0.04338573596208419	0.16617832356647133
