Hormone	ARX	EBF1	FOXE3	FOXP2	GATA3	IRX1	IRX3	LHX8	NEUROD2	NEUROG3	PAX4	RARB	RFX4	RORC	SOX9	TFAP2B	ZIC5
CCK	0.0	0.4361787235744715	0.0	0.0	0.0	0.20905918118362368	0.09018680373607472	-0.4105632112642253	0.0	0.0	0.0	0.0	0.1143072861457229	0.0	0.0	-0.018234864697293948	0.0
GHRL	0.4639642792855857	0.4639642792855857	0.0	-0.4704294085881718	-0.4389787795755915	0.0	0.0	0.0	0.0	0.500010000200004	0.49137482749654987	-0.24898497969959402	0.0	0.0	0.4253985079701594	0.0	0.18323366467329347
PYY	0.0	0.0	0.28852077041540836	0.0	0.0	0.0	0.0	-0.25296505930118607	-0.30474609492189847	0.0	0.0	0.20787915758315167	0.0	0.0	0.0	0.0	0.0
SST	0.0	0.0	0.2229594591891838	-0.1497579951599032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16617832356647133	0.0	0.0	0.0
