	CCK	GAST	GCG	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1
ARX	0.49351581512270987	0.7643157984000001	0.51545	0.986914521	0.9485901945999999	0.8363002923999999	0.9761333724	0.79706	0.8367976558195919	0.7871431755454295	0.9539077905999999
ASCL1	0.3175820984547635	0.49184445097802143	0.33169695404352	0.63508883600159	0.6104267692004461	0.5381671542434479	0.6281510648274499	0.5129156546511361	0.5384872123117984	0.5065340842459263	0.6138486925606828
DACH1	0.07215646692982663	0.09095273918622691	0.05680405125031981	0.13584768526566	0.1373378004	0.09910161410029333	0.11326270873994661	0.08783827158711788	0.1079821737869888	0.10834938193244767	0.11068383000352973
ETV1	0.5938165286146938	0.6658947213926458	0.5708360748127177	0.8924156804856598	0.9312299999999999	0.725555297194056	0.8292332980333619	0.653264587431456	0.9946799999999999	0.7932612271	0.8971
FEV	0.525394077374685	0.6622556857713219	0.4136082788924571	0.98915	0.801431349395046	0.7215902236067365	0.8247016364763813	0.6395782612746569	0.7862523898918422	0.7889261486413589	0.805924004033559
HHEX	0.547671046176046	0.6141480425932232	0.5264764034390212	0.823066057955119	0.8588641166999998	0.6691723950491059	0.7647935784431892	0.6024993963421575	0.9173834171999998	0.7316168971420589	0.8867299999999999
HOXB9	0.29313707260027133	0.297183750270748	0.2817927892569761	0.4438758517232498	0.3596380961537072	0.32380981155397104	0.3700805148951238	0.2870073754910413	0.3528266180383988	0.3540264531920602	0.3616541512557325
INSM1	0.22695667723653598	0.75574	0.21817354779342069	0.3410812730816192	0.35591610599999995	0.6977800000000001	0.3169329665083509	0.2496777253163025	0.38016669599999997	0.30318444099762	0.34287162
ISL1	0.5230632892302531	0.6696323572942081	0.5028209564987823	0.8646555501385201	0.8310788412929521	0.7326994121774881	0.8552099702270881	0.6983202072000001	0.876163878	0.698744151891035	0.835737693500472
LMX1A	0.16212310553848358	0.7761600000000001	0.4876709670732529	0.8614382088000601	0.96329	0.84926	0.99126	0.6957217916	0.8497650708	0.6870657922065836	0.9686899999999999
MAFB	0.6205950669903171	0.43803980769496753	0.5965782948402123	0.5870501454739858	0.6080191658450222	0.4772858120729042	0.5454874212625185	0.5222837333319735	0.9376200000000001	0.5218242226699764	0.5330672175844773
MYT1	0.4415584701065909	0.683848631144448	0.461183424	0.88301216022912	0.848722618912512	0.748254597616128	0.873366050953728	0.7131455232	0.7486995986149053	0.7042727420240066	0.853480378405632
NEUROD1	0.11749550557513916	0.2329644124	0.10520870217480152	0.1984830374811917	0.17922657608068815	0.2150976628	0.18443058248891087	0.14303086844609164	0.1758320583315632	0.1764299992859611	0.1802312823590007
PAX4	0.07748511853121855	0.09766946853755454	0.06099894897105957	0.145879842	0.14748	0.10642012617752149	0.12162699734753671	0.09432500197278638	0.11595650246124888	0.11635082840162761	0.11885767211486928
PAX6	0.19062758109322128	0.2402847783793886	0.17069317083549043	0.32202373305996934	0.29078157924970743	0.2618129986428671	0.299224686488041	0.23757528600000002	0.2852742306551701	0.286244344679664	0.29241163928142005
RFX6	0.5824295455802688	0.7341485081999999	0.4585085601408	0.9838877219999999	0.8884327340999999	0.7999242552000001	0.9142291854	0.70900927916544	0.8716059846817199	0.8745700000000001	0.8934131000999999
ST18	0.12105253702655748	0.1549730164485986	0.11636785396251322	0.20010723396855773	0.1923365762404279	0.1695686249602361	0.19792124340965503	0.16161224555229606	0.20277060628554	0.16171035907214223	0.19341477440681426
