	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
155	INSM1	SST	0.38016669599999997	INSM1->ETV1->SST	3	-0.18241848372245892	INSM1->ETV1->SPIB->RFX6->MYT1->ARX->MAFB->SST	8
156	INSM1	GHRL	0.3410812730816192	INSM1->ETV1->RFX6->FEV->GHRL	5	-0.2706037809385913	INSM1->ETV1->SPIB->RFX6->FEV->GHRL	6
157	INSM1	GIP	0.35591610599999995	INSM1->ETV1->GIP	3	-0.28026955862168745	INSM1->ETV1->ISL1->ARX->GIP	5
158	INSM1	TPH1	0.34287162	INSM1->ETV1->TPH1	3	-0.28348071103962186	INSM1->ETV1->ARNT2->HHEX->TPH1	5
159	INSM1	TAC1	0.30318444099762	INSM1->ETV1->RFX6->TAC1	4	-0.24053755667810214	INSM1->ETV1->SPIB->RFX6->TAC1	5
160	INSM1	CCK	0.22695667723653598	INSM1->ETV1->SPIB->RFX6->LMX1A->CCK	6	-0.28606648487213415	INSM1->ETV1->RFX6->LMX1A->CCK	5
161	INSM1	PYY	0.3169329665083509	INSM1->ETV1->RFX6->LMX1A->PYY	5	-0.25144522965563376	INSM1->ETV1->SPIB->RFX6->LMX1A->PYY	6
162	INSM1	SCT	0.2496777253163025	INSM1->ETV1->ISL1->ARX->SCT	5	-0.2407493704788084	INSM1->ETV1->RFX6->TFCP2L1->SCT	5
163	INSM1	NTS	0.6977800000000001	INSM1->NTS	2	-0.22000734746602174	INSM1->ETV1->SPIB->RFX6->GATA2->NTS	6
164	INSM1	GAST	0.75574	INSM1->GAST	2	-0.19688248234521388	INSM1->ETV1->SPIB->RFX6->LMX1A->GAST	6
165	ASCL1	GCG	0.33169695404352	ASCL1->MYT1->ARX->GCG	4	-0.4594390155301927	ASCL1->MYT1->ARX->FEV->SPIB->RFX6->GATA2->GCG	8
166	ASCL1	SST	0.5384872123117984	ASCL1->MYT1->ARX->LMX1A->ETV1->SST	6	-0.4646586812604907	ASCL1->MYT1->ARX->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->SST	10
167	ASCL1	GHRL	0.63508883600159	ASCL1->MYT1->ARX->FEV->GHRL	5	-0.390938704494377	ASCL1->MYT1->ARX->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->GHRL	10
168	ASCL1	GIP	0.6104267692004461	ASCL1->MYT1->ARX->LMX1A->GIP	5	-0.5757607890616322	ASCL1->MYT1->ARX->GIP	4
169	ASCL1	TPH1	0.6138486925606828	ASCL1->MYT1->ARX->LMX1A->TPH1	5	-0.448761737112002	ASCL1->MYT1->ARX->FEV->SPIB->RFX6->ARNT2->HHEX->TPH1	9
170	ASCL1	TAC1	0.5065340842459263	ASCL1->MYT1->ARX->FEV->SPIB->RFX6->TAC1	7	-0.34070948274722745	ASCL1->MYT1->ARX->LMX1A->ETV1->SPIB->RFX6->TAC1	8
171	ASCL1	CCK	0.3175820984547635	ASCL1->MYT1->ARX->MAFB->HHEX->ETV1->RFX6->LMX1A->CCK	9	-0.5669746794205516	ASCL1->MYT1->ARX->LMX1A->CCK	5
