Hormone	CCK	GAST	GCG	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1	CCK	GAST	GCG	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1
	pos	pos	pos	pos	pos	pos	pos	pos	pos	pos	pos	neg	neg	neg	neg	neg	neg	neg	neg	neg	neg	neg
TF																						
ARX	0.49351581512270987	0.7643157984000001	0.51545	0.986914521	0.9485901945999999	0.8363002923999999	0.9761333724	0.79706	0.8367976558195919	0.7871431755454295	0.9539077905999999	-0.8810665728	-0.44444561579790476	-0.7139584420903858	-0.6075104180944265	-0.8947200000000001	-0.48426554603471494	-0.5467660127174282	-0.6250460062056415	-0.722069691433752	-0.5294552775996142	-0.6973661789008532
ASCL1	0.3175820984547635	0.49184445097802143	0.33169695404352	0.63508883600159	0.6104267692004461	0.5381671542434479	0.6281510648274499	0.5129156546511361	0.5384872123117984	0.5065340842459263	0.6138486925606828	-0.5669746794205516	-0.2860049607103727	-0.4594390155301927	-0.390938704494377	-0.5757607890616322	-0.31162946273729164	-0.3518491046520351	-0.40222302142880656	-0.4646586812604907	-0.34070948274722745	-0.448761737112002
DACH1	0.07215646692982663	0.09095273918622691	0.05680405125031981	0.13584768526566	0.1373378004	0.09910161410029333	0.11326270873994661	0.08783827158711788	0.1079821737869888	0.10834938193244767	0.11068383000352973	-0.10223191772471908	-0.06259496085060605	-0.09827558483543243	-0.08362313282134914	-0.0986006804436631	-0.06849025516901887	-0.07994212648522438	-0.08603688700572047	-0.09939208927878829	-0.06253194609354411	-0.09599167827650096
ETV1	0.5938165286146938	0.6658947213926458	0.5708360748127177	0.8924156804856598	0.9312299999999999	0.725555297194056	0.8292332980333619	0.653264587431456	0.9946799999999999	0.7932612271	0.8971	-0.7484732728208638	-0.5283011514759425	-0.719507667050004	-0.7080161720005005	-0.7333060141854721	-0.5756340854683981	-0.6578891409095599	-0.629904161378358	-0.47728541005352937	-0.629349965144171	-0.741707773520727
FEV	0.525394077374685	0.6622556857713219	0.4136082788924571	0.98915	0.801431349395046	0.7215902236067365	0.8247016364763813	0.6395782612746569	0.7862523898918422	0.7889261486413589	0.805924004033559	-0.7443829552167422	-0.45577372484703094	-0.7155756430436645	-0.6088865015880156	-0.7179427670785902	-0.49869922897803215	-0.5820839292051482	-0.6264618098960065	-0.7237052653334056	-0.45531489445307965	-0.6989457964007189
HHEX	0.547671046176046	0.6141480425932232	0.5264764034390212	0.823066057955119	0.8588641166999998	0.6691723950491059	0.7647935784431892	0.6024993963421575	0.9173834171999998	0.7316168971420589	0.8867299999999999	-0.6903094147899544	-0.48724686899474695	-0.6635947262435481	-0.6529962352743415	-0.6763208038231191	-0.5309015606866488	-0.606764575769478	-0.5809543089976458	-0.44019556083826955	-0.5804431793528174	-0.5929491524949413
HOXB9	0.29313707260027133	0.297183750270748	0.2817927892569761	0.4438758517232498	0.3596380961537072	0.32380981155397104	0.3700805148951238	0.2870073754910413	0.3528266180383988	0.3540264531920602	0.3616541512557325	-0.3340379297933591	-0.338987177	-0.32111080021070487	-0.34951163871786717	-0.36471313810410955	-0.31298921900000004	-0.32476646837641376	-0.33426795519596175	-0.3895631199697129	-0.3106781262115243	-0.5185218400999999
INSM1	0.22695667723653598	0.75574	0.21817354779342069	0.3410812730816192	0.35591610599999995	0.6977800000000001	0.3169329665083509	0.2496777253163025	0.38016669599999997	0.30318444099762	0.34287162	-0.28606648487213415	-0.19688248234521388	-0.27499583034651154	-0.2706037809385913	-0.28026955862168745	-0.22000734746602174	-0.25144522965563376	-0.2407493704788084	-0.18241848372245892	-0.24053755667810214	-0.28348071103962186
