	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_9PLUS2_MOTILE_CILIUM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006786230868787602	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	1	1	1	1	4.386861340432979e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	6.739919468023992e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	6.739919468023992e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	1	1	1	1	0.00012939399763256532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_BASED_CELL_PROJECTION	1	1	1	1	1	1	0.010620830093776013	1	1	1	1	1	1	1	1	1	0.04855346378870662	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024910709850846535	1	1	0.02732937764652965	1	1	1	1	1	1
GO_ACTIN_BINDING	1	1	0.02987173408475563	1	1	1	0.06169872502623042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02912209015934142	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_CYTOSKELETON	1	1	0.0009852076455075798	1	1	1	0.08588210687271336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_FILAMENT	1	1	0.014221971281413337	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008502995243377165	1	1	1	1	1	1	1	0.04402896366053899	1	1	0.046953801108308824	1	1	1	1	1	0.0397761779275021
GO_ACTIN_FILAMENT_BASED_MOVEMENT	1	1	0.023543586651733728	1	1	1	0.040105369715483064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09915024595012323	1	1	1	1	0.003920928402652457	0.07074537241189394	1	1	1	1	1	1	1	1	0.008154861720192752
