	partition_group
4	['ASCL1', 'GCH1', 'CACNA2D1', 'ASIC4', 'GCK', 'PSD', 'AGT', 'ELAVL4', 'GNG4', 'ARNT2', 'SDK1', 'CAMKV', 'COL12A1', 'CACNA1A', 'KCNH2', 'BAIAP3', 'ASCL2', 'LINC00261', 'MAP1B', 'PAK7', 'MANEAL', 'PODXL2', 'NCAM1', 'KCNB2', 'KIAA1324', 'NR4A3', 'SDK2', 'BOC', 'CHST8', 'ACSS3', 'STXBP1', 'RIMBP2', 'RTN4RL1', 'CCDC40', 'AKT3', 'TEKT2', 'GAD2', 'MUC15', 'BRSK2', 'MBOAT4', 'ELFN1', 'CACNA1H', 'PELI3', 'UNC79', 'SLC25A53', 'PNMAL1', 'KIF5A', 'SCN1B', 'BGN', 'HCN4', 'TMEM151B', 'SPON1', 'MED12L', 'FFAR2', 'SV2B', 'CDKN1C', 'MAPK4', 'CSF1R', 'CHRNB2', 'LGR6', 'GPR148', 'CLSPN', 'MUC5B', 'SH3RF3-AS1', 'MTUS2', 'H1FX-AS1', 'GPR173', 'CELF5', 'APLN', 'CERKL', 'FAM71E2', 'TTLL6', 'DPYSL4', 'CELSR3', 'CEND1', 'ELOVL4', 'DCHS1', 'ABCA9', 'AK093555', 'CCDC181']
2	['CNIH2', 'KCNH6', 'CDK5R2', 'CELF3', 'KIF1A', 'NFASC', 'TMEM200A', 'FEV', 'MAP6', 'NOL4', 'SCGN', 'CPLX2', 'ETV1', 'CPB1', 'SST', 'SV2A', 'CELA3A', 'CD200', 'RTN1', 'SYT5', 'KCNK16', 'SPTBN4', 'BRSK1', 'ABCC8', 'PCYT1B', 'FGF14', 'B3GAT1', 'MPP2', 'SAMD14', 'NDRG4', 'C1QL1', 'MAPK8IP1', 'KCTD12', 'RUNDC3A', 'PAX6', 'LZTS1', 'REEP2', 'CIT', 'CD300LF', 'SLC38A3', 'ST8SIA3', 'RGS9', 'GRASP', 'RASD1', 'CD96', 'CERS1', 'LAPTM5', 'POU2F2', 'SLC8A1', 'SYT14', 'CLIP3', 'RGS4', 'CDHR1', 'PAX4', 'ITGBL1', 'MYBPC3', 'DDN', 'RET', 'RRAGD', 'TTC7B', 'LSP1', 'EFNB3', 'NACAD', 'MLLT11', 'PLXNC1', 'FAM155B', 'IGSF10', 'KLK12', 'NTNG2', 'DLL1', 'IFI44L', 'FAM131B', 'GALNT16', 'KCNH3', 'SPINK4', 'GPR137C', 'PCSK2', 'TENM2', 'ANK2', 'ALAS2', 'IFI44', 'WDR17', 'SLC26A7', 'MCOLN3', 'PRKCG', 'HNRPF', 'SPP1', 'NEGR1', 'KCNK17', 'MAPK10', 'KCNH7', 'EPHA4', 'LIN7A', 'MMD2', 'SLC14A2', 'TTLL7', 'SYN1', 'LQFBS-1', 'DNAH11', 'RNF157']
5	['INSM1', 'PGA5', 'AK094786', 'CAMK2B', 'KCNMA1', 'CRYBA2', 'SNED1', 'STMN3', 'SLC12A5', 'FBXL16', 'CACNA1B', 'SYNM', 'SYP', 'IFIT1', 'ASIC5', 'STARD8']
7	['PCSK1N', 'SCGB1A1', 'HMP19', 'TMEFF1', 'DPP10', 'PGM5', 'SIM1', 'TNP1', 'EVL', 'MYT1', 'SUCNR1', 'MIR7-3HG', 'ADD2', 'DLL3', 'AB074188', 'AL109792', 'CXXC4', 'ZNF382', 'USP41', 'AK096718', 'PTCHD2', 'AP3B2', 'SSTR3', 'AK123868', 'LINC00617', 'KLHL32', 'ACBD7', 'NPTX2', 'FAM181B', 'PCDHB10', 'HEYL', 'FAM179A', 'XAF1', 'ERO1LB', 'CALY', 'ST6GALNAC5', 'AF070581', 'PAK3', 'LRRC16B', 'NPAS3', 'ATCAY', 'LOC653513', 'LINC00890', 'UBE2QL1', 'UCHL1', 'FAM153A', 'CRISPLD1', 'BC033961', 'GPR112', 'AK022997', 'DCX', 'MAPK8IP2', 'INA', 'BEX1', 'AK054990', 'GPR119', 'SEPT3', 'TDO2', 'LPPR5', 'AK095045', 'LOC100507351', 'LOC642366', 'AK056486', 'NAIP', 'PGM5P2', 'NOV', 'DIRAS1', 'NPY', 'AFF2', 'KCNA6', 'FHL1', 'HLA-DQA2', 'NXF2', 'AK127443', 'PCDH17', 'FAM57B', 'AK024119', 'GRAMD2']
0	['RFX6', 'NEUROD1', 'NKX2-2', 'LOC728392', 'SYT4', 'BTBD17', 'CA8', 'IGFBPL1', 'MARCH4', 'AMER3', 'PDE2A', 'SCG2', 'DUSP26', 'ADORA2A', 'BHMT', 'CACNG4', 'DSCAML1', 'GRIK3', 'LOC646903', 'VSTM2L', 'IGFN1', 'HEPACAM2', 'MMP2', 'PTP4A3', 'ASXL3', 'TP73', 'PRR18', 'SCGB1C1', 'AKR1B1', 'WNK2', 'TUB', 'SEPT5-GP1BB', 'PLCG2', 'NAV3', 'SLC6A17', 'CHGB', 'MCF2L', 'KIF19', 'LRRN2', 'JAKMIP2', 'KCNJ11', 'NAT8L', 'PDZRN3', 'CYMP', 'CLPS', 'NKD1', 'CPA1', 'DPEP1', 'VWA5B2', 'RAB26', 'ITGA7', 'CBFA2T3', 'CRLF1', 'CACNB2', 'EML1', 'HOPX', 'TSPAN11', 'ANKRD65', 'NPTXR', 'L1TD1', 'GPR142', 'SPON2', 'LRFN1', 'RPRML', 'LINC00494', 'INSRR', 'OLFML2B', 'ADAMTSL2', 'SGSM1', 'LOC100128288', 'LOC100652999', 'PPM1E', 'KCNK3']
6	['SSTR2', 'MMRN1', 'SVOP', 'GATA2', 'BRS3', 'MIAT', 'SPIB', 'ISL1', 'SGCD', 'CENPE', 'ENPP2', 'PPP1R1A', 'MTSS1', 'RAPGEF4', 'PCSK1', 'SFRP1', 'SPRED3', 'STMN2', 'DENND2A', 'RIIAD1', 'GHRL', 'WNK3', 'NREP', 'SCG3', 'ZNF492', 'TMEM132B', 'GNG2', 'MS4A8', 'STX1A', 'KCNJ6', 'SLC16A12', 'AVPR1B', 'CACNA1C', 'RUNX1T1', 'ST8SIA5', 'C7', 'CCDC74B', 'CSH1', 'ADCY2', 'SNAP25', 'SEZ6', 'NHSL2', 'PEX5L', 'TPH1', 'HECW2', 'PLCXD3', 'TMEM196', 'GNAO1', 'LRRTM3', 'KIF5C', 'SAMD5', 'MYBPC2', 'FSD1', 'CDHR3', 'GLYATL3', 'GPR162', 'CPE', 'PTPRN', 'SPOCK3', 'TUBB2B', 'MAPK12', 'DOCK8', 'FAT3', 'UCN3', 'DGKB', 'BC006435', 'RSAD2', 'GPR155', 'CADM2', 'AK130076', 'ADAM12', 'BSN', 'CLCN4', 'OGFRL1', 'AK5', 'KCNMB2', 'AX746834', 'TMEFF2', 'BC022892', 'EPHA8', 'DKFZP434K028', 'GPR64', 'PCDHA2', 'MX2']
1	['ST18', 'DACH1', 'AK092048', 'MAP2', 'ATOH8', 'HES6', 'FAM105A', 'RGAG4', 'LINC00643', 'NOVA2', 'PTCH1', 'ID4', 'AMPD3', 'MAP1A', 'SH3RF3', 'PROX1', 'CCDC154', 'SCN2A', 'SSTR1', 'NHLH1', 'XKR7', 'CORO2B', 'VGF', 'LOC100129175', 'KIT', 'MSI1', 'DNAJC12', 'TMEM61', 'AK026379', 'WSCD1', 'CNTD2', 'LRAT', 'BAI1', 'RSPH4A', 'RAB39B', 'ADCY1', 'ZCCHC12', 'NEURL', 'CSH2', 'PRELP', 'GGT5', 'UNC13A', 'MURC', 'KIAA1456', 'PCDHB16', 'ATP8B2', 'C2CD4A', 'ZFR2', 'ARHGAP9', 'COL22A1', 'CELA3B', 'TMEM35', 'LOC400891', 'GPR133', 'TMEM59L', 'HBT8', 'SCN3A', 'SDCBP2-AS1', 'SDPR', 'DBC1', 'FAM19A5', 'FLJ38723', 'PRRT3', 'YPEL1', 'BC041484', 'FLJ22184', 'AX746995', 'AX746617', 'ARHGEF25', 'CHRNA3', 'CDH22']
3	['TOX', 'ARX', 'DOK6', 'SLC18A1', 'FOXP2', 'COL21A1', 'NEUROD2', 'OR51E1', 'TAGLN3', 'LMX1A', 'LMX1B', 'BAALC', 'SUSD2', 'ACTL6B', 'JAM3', 'CD52', 'FGF9', 'TUBB4A', 'CCDC162P', 'GFRA1', 'CHGA', 'KCNH8', 'RAP1GAP2', 'S100A1', 'SRCIN1', 'GFRA3', 'GPC2', 'GABBR2', 'SSTR5-AS1', 'GIP', 'FLT1', 'LINC00930', 'MEX3B', 'SBK1', 'SPARC', 'STARD9', 'BASP1', 'BCAT1', 'KCNJ2', 'FAM171A2', 'VASH2', 'PMP22', 'LRRC49', 'ZCCHC18', 'PGA4', 'RPLP0P2', 'RAB3C', 'TMOD2', 'FSTL5', 'NKAIN1', 'STXBP5L', 'FUT1', 'CPT1C', 'CTTNBP2', 'CTPS1', 'SERPINI1', 'GDF11', 'BCL2', 'RGS5', 'PGA3', 'APLP1', 'TUBA3FP', 'ACSL6', 'HSPA12A', 'LIMCH1', 'CHRM4', 'CABP7', 'ISLR2', 'CRMP1', 'FAM110B', 'SLC6A16', 'KSR2', 'SPC25', 'CHRNB4', 'ROBO1', 'CFC1', 'ADAMTSL1', 'ATP1A3', 'GRIK5', 'ZDHHC8P1', 'VCAN', 'FAXC', 'PAPPA2', 'PDE8B', 'LTBP2', 'ICA1L', 'DQ583756', 'NEFM', 'CNGA3', 'MAP3K12', 'CPLX1', 'GDAP1', 'STK33', 'MLN', 'FRMPD4', 'HERC5', 'PCDHB9', 'FAM167A', 'BEND5', 'CADPS', 'STK31']
