	partition_group
ADAMTSL2	0
ADORA2A	0
AKR1B1	0
AMER3	0
ANKRD65	0
ASXL3	0
BHMT	0
BTBD17	0
CA8	0
CACNB2	0
CACNG4	0
CBFA2T3	0
CHGB	0
CLPS	0
CPA1	0
CRLF1	0
CYMP	0
DPEP1	0
DSCAML1	0
DUSP26	0
EML1	0
GPR142	0
GRIK3	0
HEPACAM2	0
HOPX	0
IGFBPL1	0
IGFN1	0
INSRR	0
ITGA7	0
JAKMIP2	0
KCNJ11	0
KCNK3	0
KIF19	0
L1TD1	0
LINC00494	0
LOC100128288	0
LOC100652999	0
LOC646903	0
LOC728392	0
LRFN1	0
LRRN2	0
MARCH4	0
MCF2L	0
MMP2	0
NAT8L	0
NAV3	0
NEUROD1	0
NKD1	0
NKX2-2	0
NPTXR	0
OLFML2B	0
PDE2A	0
PDZRN3	0
PLCG2	0
PPM1E	0
PRR18	0
PTP4A3	0
RAB26	0
RFX6	0
RPRML	0
SCG2	0
SCGB1C1	0
SEPT5-GP1BB	0
SGSM1	0
SLC6A17	0
SPON2	0
SYT4	0
TP73	0
TSPAN11	0
TUB	0
VSTM2L	0
VWA5B2	0
WNK2	0
ADCY1	1
AK026379	1
AK092048	1
AMPD3	1
ARHGAP9	1
ARHGEF25	1
ATOH8	1
ATP8B2	1
AX746617	1
AX746995	1
BAI1	1
BC041484	1
C2CD4A	1
CCDC154	1
CDH22	1
CELA3B	1
CHRNA3	1
CNTD2	1
COL22A1	1
CORO2B	1
CSH2	1
DACH1	1
DBC1	1
DNAJC12	1
FAM105A	1
FAM19A5	1
FLJ22184	1
FLJ38723	1
GGT5	1
GPR133	1
HBT8	1
HES6	1
ID4	1
KIAA1456	1
KIT	1
LINC00643	1
LOC100129175	1
LOC400891	1
LRAT	1
MAP1A	1
MAP2	1
MSI1	1
MURC	1
NEURL	1
NHLH1	1
NOVA2	1
PCDHB16	1
PRELP	1
PROX1	1
PRRT3	1
PTCH1	1
RAB39B	1
RGAG4	1
RSPH4A	1
SCN2A	1
SCN3A	1
SDCBP2-AS1	1
SDPR	1
SH3RF3	1
SSTR1	1
ST18	1
TMEM35	1
TMEM59L	1
TMEM61	1
UNC13A	1
VGF	1
WSCD1	1
XKR7	1
YPEL1	1
ZCCHC12	1
ZFR2	1
ABCC8	2
ALAS2	2
ANK2	2
B3GAT1	2
BRSK1	2
C1QL1	2
CD200	2
CD300LF	2
CD96	2
CDHR1	2
CDK5R2	2
CELA3A	2
CELF3	2
CERS1	2
CIT	2
CLIP3	2
CNIH2	2
CPB1	2
CPLX2	2
DDN	2
DLL1	2
DNAH11	2
EFNB3	2
EPHA4	2
ETV1	2
FAM131B	2
FAM155B	2
FEV	2
FGF14	2
GALNT16	2
GPR137C	2
GRASP	2
HNRPF	2
IFI44	2
IFI44L	2
IGSF10	2
ITGBL1	2
KCNH3	2
KCNH6	2
KCNH7	2
KCNK16	2
KCNK17	2
KCTD12	2
KIF1A	2
KLK12	2
LAPTM5	2
LIN7A	2
LQFBS-1	2
LSP1	2
LZTS1	2
MAP6	2
MAPK10	2
MAPK8IP1	2
MCOLN3	2
MLLT11	2
MMD2	2
MPP2	2
MYBPC3	2
NACAD	2
NDRG4	2
NEGR1	2
NFASC	2
NOL4	2
NTNG2	2
PAX4	2
PAX6	2
PCSK2	2
PCYT1B	2
PLXNC1	2
POU2F2	2
PRKCG	2
RASD1	2
REEP2	2
RET	2
RGS4	2
RGS9	2
RNF157	2
RRAGD	2
RTN1	2
