	genes
NEUROG3	0
ASCL2	1
CAMKV	2
DPP4	3
HOXD4	2
MAFB	0
RIMBP2	0
SOX2-OT	2
CHGA	4
RFX4	5
CA8	5
TFCP2L1	3
ARX	4
PODN	6
IGFBPL1	4
PCSK2	7
CFC1	1
SLC18A1	7
ZIC5	5
CDK5R2	5
SCG2	4
GRPR	8
TCN1	2
HEPACAM2	3
CLCA1	4
INSM1	0
IRX1	8
VWA5B2	0
PAX4	4
FBXL16	1
KCNK17	0
SCRT1	1
PRDM8	4
CRYM	2
AMER3	4
HSF4	8
CORO6	5
BAALC	0
GC	2
AK096159	7
TMEM132C	4
CELF3	5
SYNPR	1
SCG3	5
SYT4	6
ASCL1	7
KCNA5	7
HGFAC	6
LINC00643	0
ESRRB	2
NPR1	1
ETV1	2
MYO16	0
TNP1	2
ETV4	6
GHRL	5
FEV	5
CHGB	4
NPY	4
ST6GALNAC5	7
MLN	4
GFI1	3
HES6	0
SGCD	0
RGS4	0
HOXB3	6
SLC6A17	7
HOXD1	5
KIF19	0
RRN3P1	2
LMX1A	3
C1QL1	2
POU3F4	4
NEUROD1	0
KCNK16	0
MUSTN1	0
IL32	0
OLIG3	4
PRDM14	7
FUT5	6
PGM5	8
TFPI	6
SOX9	4
TBX2	0
AJ420422	4
AK097012	4
LHFPL4	5
RGS17	2
LIMCH1	2
RRAD	2
INPP1	1
ACOT12	5
SUSD2	4
GRIN3A	5
COL6A3	1
PRRT4	3
SCN3A	2
VSTM2A	8
KCNS1	2
SST	2
GAST	1
MMD2	5
LRRTM1	4
ANGPT2	4
MIAT	4
CALCA	6
LHX6	6
GRIP2	8
KCNH6	5
POPDC3	2
AX747164	8
CACNA2D1	1
MYRIP	3
COL5A3	3
COL25A1	2
AFP	6
APOH	4
UNC80	2
OTOGL	0
CA3	2
CHL1	4
GPR119	7
SLC17A8	6
CDH5	3
DRD2	4
PCSK1	4
KCNMB1	2
DLL3	6
CEBPD	2
CRYBA2	2
UNC13A	1
CRH	7
LINC00305	4
MFAP4	5
SPTBN4	5
ADCYAP1	5
NRSN1	8
AK309255	3
CNTN6	1
FFAR4	3
AVPR1A	6
LHX1	8
EPHA8	7
AJ420489	2
C1QL3	0
TLL1	2
NAP1L3	8
OCA2	0
COL21A1	8
OSR2	8
C7	4
FSTL5	4
LINC00617	7
HS3ST5	4
SLC7A2	4
PGA4	0
UGT2B15	8
TFPI2	0
SEZ6L	4
SLITRK2	3
L1CAM	2
STAC	4
TMEM51-AS1	0
MAN1A1	3
MMRN1	4
TMEM151A	2
IL18	0
SERPINB2	4
NRN1L	8
PGA3	0
DRC1	3
ATP2A3	0
P2RX1	0
STXBP1	0
CDH13	8
RUNDC3A	5
FRMPD4	5
NEGR1	4
ANK2	3
SLC7A7	2
CPA4	8
MAP6	3
LHFPL3-AS2	0
COMP	0
DNAJC12	2
SOX1	8
SLC6A15	7
ABCC8	5
CNTNAP3	1
MME	5
VSTM2L	7
MAMLD1	0
FAM49A	7
CADPS	0
NOV	0
UCN3	0
FAM57B	1
ST8SIA5	4
OPCML	7
C2CD4A	2
ITGB3	2
ACTL6B	0
MAPK8IP2	0
RAB26	5
ST18	5
CNTNAP4	3
ZIC1	5
SRRM4	0
PITX1	3
RAB3IL1	3
MAOA	8
CNTNAP3B	7
TRPA1	3
AB074188	7
NRXN1	8
CD274	6
PPP1R17	0
KIAA1377	7
ANKRD18A	2
DNAH7	2
OR6T1	3
BTBD17	5
DQ583756	5
TUBA3FP	0
ADAMTSL1	5
IGSF10	0
NPAS3	0
MBOAT4	4
NTM	4
KLHL35	3
SYP	5
HECW2	4
KCNIP1	8
CPLX2	5
TMEM198	7
TPH1	3
GCK	5
GPR1	6
NGFR	0
TM4SF1	6
KLK10	2
RAB3C	4
ALK	8
RSPH4A	7
UNC5A	4
TAGLN3	4
ALDH1A1	2
SUCNR1	6
AP3B2	6
SCGN	5
BIRC3	4
ENTPD3	8
KCNB1	3
MUC15	6
SMPD3	0
INHBA	6
LPPR1	0
PGA5	0
LYZ	0
FABP7	1
NPFFR2	8
MVP	6
AVPR1B	2
COL14A1	3
MYT1	0
PTPRN	5
CLRN3	2
FLJ46481	5
TYRP1	2
CORIN	7
SULF1	4
CALY	1
DLL4	0
PTPRN2	7
DLX5	8
PRLHR	3
FLJ46300	2
CPA1	2
SSTR5-AS1	0
CALCB	3
GNG2	8
NKX2-2	0
SSTR2	0
FW340055	8
AMPH	6
PTGER3	4
MINOS1-NBL1	2
ADCYAP1R1	3
GALR1	6
UCA1	1
PLXNA2	6
LOC642423	0
ELAVL4	3
TSPAN8	0
ETS1	0
CELA3B	8
GAL	8
MARCH4	0
DGKG	1
CLPS	3
AK131337	0
NPAS4	2
TNC	6
PALM2-AKAP2	3
PTAFR	0
TMEM132B	8
CRTAM	8
ELAVL2	4
DDC	3
HMP19	5
KRT81	6
DCHS2	4
CDHR3	7
AK055386	1
KIRREL2	4
ERO1LB	0
TTYH1	4
KLK12	0
THSD4	0
NRTN	2
CIDEA	8
FAM19A2	0
DLK1	2
PHGR1	8
IL20RA	4
BCAT1	6
PSD	1
CHST5	8
SLITRK1	8
MIR7-3HG	5
GPAT2	0
CNTNAP5	5
CCL2	2
SVOP	5
CLDN10	5
AGT	4
GRAP2	6
ADAM12	3
SLC25A47	8
FFAR2	3
PRG4	8
AK026392	8
LTBP2	3
BC007880	3
TMEM196	6
FAM135B	0
CPED1	1
LOC100130476	3
AK092048	4
DL490846	1
PPM1E	3
AK095045	7
AK054990	0
HDAC9	1
CLVS1	4
NAV3	2
CHRNB2	4
BMP5	3
PDZK1	0
MLXIPL	1
PRLR	4
NKX2-8	4
SLC35D3	6
FGG	4
GPR112	6
HOXA-AS4	6
RGS5	4
IL8	2
MGAT4C	5
CITED1	4
PTH2R	3
RYR1	7
DCC	8
LDB2	3
INSRR	4
RAB33A	0
CDH22	5
KCTD12	6
ITPR1	4
SCUBE1	8
WNT7A	6
GAD2	0
NALCN	8
JPH4	2
AK094611	3
TAP1	6
AK123868	5
LOC340508	2
CLEC4GP1	5
IL23A	3
SYT5	4
HSD17B2	4
ELTD1	8
FAM27A	7
MEGF11	3
CHRNA4	1
AL109792	0
DOK6	4
BC069776	2
TSGA10IP	3
IL10RA	1
TPBGL	6
OPRD1	7
BCO2	0
LOC100129175	0
LRRC16B	7
BC069815	3
ALS2CR11	4
LYSMD2	2
CYP4A11	3
AL355711	8
VEPH1	8
AK129879	4
