Hormone	ARX	ASCL2	CCDC17	CSRNP3	EBF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HHEX	HLF	INSM1	LMX1A	LMX1B	MAFB	NEUROG3	NR4A3	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	ZFP92
CCK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9542299999999999	-0.9417200000000001	0.0	0.0	0.0	0.0	-0.8947200000000001	0.0	0.027770999999999997	0.0	0.0	0.0	0.0	0.27573000000000003	0.0	0.0	0.0	0.0	0.0
GAST	0.0	0.0	0.85431	0.44585	0.0	0.0	0.0	0.0	0.0	-0.41128000000000003	0.0	0.61128	0.75574	0.7761600000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8293200000000001	0.0	0.0
GHRL	0.0	0.0	0.0	0.0	0.8784700000000001	0.8368700000000001	0.98915	0.40278	0.0	0.9702799999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.18681	0.0	0.0	0.0	0.0	0.9654	0.0	0.0	0.0	0.0
GIP	-0.8947200000000001	0.0	0.0	0.0	0.0	0.9312299999999999	0.11907000000000001	0.0	-0.98721	0.0	0.0	0.0	0.0	0.96329	0.090783	0.60334	0.0	0.27573000000000003	0.14748	0.26006999999999997	0.0	0.0	0.0	0.0	0.0	0.0
NTS	0.0	0.0	0.8637299999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.81462	0.0	0.0	0.6977800000000001	0.84926	0.0	0.0	0.9597899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.78852	0.0	0.0
PYY	0.14748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99126	0.27573000000000003	0.14748	0.0	-0.33596	0.0	0.20195	0.0	0.0	0.0	0.11907000000000001	0.0	-0.38518
SCT	0.79706	0.24609	0.0	0.0	0.79138	0.0	0.0	0.090783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79046	0.8651200000000001	0.0
SST	0.0	0.0	0.0	0.0	0.0	0.9946799999999999	0.17414000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9376200000000001	0.0	-0.52463	0.0	0.0	0.26006999999999997	0.0	0.20195	0.0	0.0	0.0
TAC1	0.0	0.0	0.55562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93548	0.0	0.0	0.0	0.0	-0.8234	0.0	0.0	0.0	0.0	0.8745700000000001	0.0	0.58609	0.0	0.0
TPH1	-0.42423999999999995	0.0	0.0	0.0	0.0	0.8971	0.0	0.0	0.0	0.8990100000000001	0.8867299999999999	0.0	0.0	0.9686899999999999	0.0	0.21649000000000002	0.0	0.0	0.0	0.0	0.0	0.8828	0.0	0.0	0.0	0.0
