	CCK	GAST	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1
ARX	0.5591124364687413	0.7643157984000001	0.986914521	0.9485901945999999	0.8363002923999999	0.9761333724	0.79706	0.8367976558195919	0.7871431755454295	0.9539077905999999
ASCL1	0.3922359540743769	0.49184445097802143	0.63508883600159	0.6104267692004461	0.5578802713253639	0.6281510648274499	0.5129156546511361	0.5384872123117984	0.5079240119749554	0.6138486925606828
DACH1	0.3624012746684189	0.20670641740159046	0.27614744002561475	0.37990715113346835	0.22617436101122795	0.26399170701079744	0.24426982540053238	0.3282210327107895	0.28628275307154366	0.31699190553466866
ETV1	0.6374423345535293	0.6658947213926458	0.8924156804856598	0.9312299999999999	0.725555297194056	0.8292332980333619	0.653264587431456	0.9946799999999999	0.7932612271	0.8971
FEV	0.525394077374685	0.6622556857713219	0.98915	0.801431349395046	0.7215902236067365	0.8247016364763813	0.6395782612746569	0.7862523898918422	0.7889261486413589	0.805924004033559
HHEX	0.5879066907353745	0.6141480425932232	0.823066057955119	0.8588641166999998	0.6691723950491059	0.7647935784431892	0.6024993963421575	0.9173834171999998	0.7316168971420589	0.8867299999999999
INSM1	0.35810101148415074	0.75574	0.3410812730816192	0.37539916275248314	0.6977800000000001	0.31852924002406796	0.2496777253163025	0.38016669599999997	0.30318444099762	0.34287162
ISL1	0.5746890431504407	0.6696323572942081	0.8646555501385201	0.8310788412929521	0.7326994121774881	0.8552099702270881	0.6983202072000001	0.876163878	0.698744151891035	0.835737693500472
LMX1A	0.5445733608324257	0.7761600000000001	0.8614382088000601	0.96329	0.84926	0.99126	0.6957217916	0.8497650708	0.6870657922065836	0.9686899999999999
MAFB	0.7030826760418261	0.43803980769496753	0.5870501454739858	0.7370452455244139	0.4772858120729042	0.5454874212625185	0.4773717805087842	0.9376200000000001	0.5554076605230621	0.5330672175844773
MYT1	0.5002490791573123	0.683848631144448	0.88301216022912	0.848722618912512	0.748254597616128	0.873366050953728	0.7131455232	0.7486995986149053	0.7042727420240066	0.853480378405632
NEUROD1	0.4419161031790415	0.4803751311725172	0.6437869017449829	0.5813278736037151	0.6285407367266038	0.5982072563697522	0.5225177662048004	0.5893323655695983	0.5722570757510782	0.5845866747097787
NEUROG3	0.6748117216381841	0.733539164938194	0.98307109519074	0.887695334930697	0.9597899999999999	0.9134703751761181	0.7978915248	0.8999182998	0.8738441069000001	0.892671567226917
PAX4	0.38916408907404076	0.2219713898839068	0.29654053244162537	0.4079627494104232	0.24287701320965607	0.28348711597650156	0.262308801692957	0.35245968526657173	0.3074243238206928	0.34040130315246353
PAX6	0.31009440061871035	0.3908718974560066	0.523836875627132	0.4730151797095143	0.42589191145768635	0.48674960503986664	0.3774873873145753	0.4640563608878759	0.46563444798960607	0.47566680276221013
RFX6	0.5824295455802688	0.7341485081999999	0.9838877219999999	0.8884327340999999	0.7999242552000001	0.9142291854	0.70900927916544	0.8716059846817199	0.8745700000000001	0.8934131000999999
ST18	0.1330002852563065	0.1549730164485986	0.20010723396855773	0.1923365762404279	0.1695686249602361	0.19792124340965503	0.16161224555229606	0.20277060628554	0.16171035907214223	0.19341477440681426
ZFP92	0.6096429883958674	0.3945275258089225	0.5892692362457854	0.6390919323942194	0.4298750643958622	0.49130192939097866	0.4139290708791668	0.8130103020000001	0.48159398243954715	0.4801154752353037
