	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
0	NEUROG3	SST	0.8999182998	NEUROG3->MAFB->SST	3	-0.8016030173840584	NEUROG3->RFX6->ARNT2->LMX1B->ETV1->SST	6
1	NEUROG3	GHRL	0.98307109519074	NEUROG3->RFX6->FEV->GHRL	4	-0.7101914437222224	NEUROG3->MAFB->HHEX->ETV1->RFX6->FEV->GHRL	7
2	NEUROG3	GIP	0.887695334930697	NEUROG3->RFX6->LMX1A->GIP	4	-0.9278342590028626	NEUROG3->RFX6->ARNT2->LMX1B->FOXP2->GIP	6
3	NEUROG3	TPH1	0.892671567226917	NEUROG3->RFX6->LMX1A->TPH1	4	-0.7741785036268937	NEUROG3->RFX6->ARNT2->HHEX->TPH1	5
4	NEUROG3	TAC1	0.8738441069000001	NEUROG3->RFX6->TAC1	3	-0.8234	NEUROG3->TAC1	2
5	NEUROG3	CCK	0.6748117216381841	NEUROG3->MAFB->HHEX->ETV1->ARNT2->LMX1B->FOXP2->CCK	8	-0.8850802548476777	NEUROG3->RFX6->ARNT2->LMX1B->FOXP2->CCK	6
6	NEUROG3	PYY	0.9134703751761181	NEUROG3->RFX6->LMX1A->PYY	4	-0.6599104049722224	NEUROG3->MAFB->HHEX->ETV1->RFX6->LMX1A->PYY	7
7	NEUROG3	SCT	0.7978915248	NEUROG3->SMAD9->SCT	3	-0.5965718512301393	NEUROG3->RFX6->GATA2->ISL1->SMAD9->SCT	6
8	NEUROG3	NTS	0.9597899999999999	NEUROG3->NTS	2	-0.5774026334164495	NEUROG3->MAFB->HHEX->ETV1->RFX6->GATA2->NTS	7
9	NEUROG3	GAST	0.733539164938194	NEUROG3->RFX6->INSM1->GAST	4	-0.5299242762021923	NEUROG3->MAFB->HHEX->ETV1->RFX6->INSM1->GAST	7
10	MAFB	SST	0.9376200000000001	MAFB->SST	2	-0.8247368658969719	MAFB->HHEX->ETV1->SST	4
11	MAFB	GHRL	0.5870501454739858	MAFB->HHEX->ETV1->SPIB->RFX6->FEV->GHRL	7	-0.7399446167622317	MAFB->HHEX->ETV1->RFX6->FEV->GHRL	6
12	MAFB	GIP	0.7370452455244139	MAFB->HHEX->ETV1->ARNT2->LMX1B->FOXP2->GIP	7	-0.7721274295544669	MAFB->HHEX->ETV1->GIP	4
