Hormone	CCK	GAST	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1	CCK	GAST	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1
LMX1A	0.5445733608324257	0.7761600000000001	0.8614382088000601	0.96329	0.84926	0.99126	0.6957217916	0.8497650708	0.6870657922065836	0.9686899999999999	-0.8947200000000001	-0.45133295671741247	-0.6048652959017475	-0.7809652992000001	-0.49176995555650727	-0.208926091993668	-0.49185853286767495	-0.6391260500883583	-0.5722625597122286	-0.6336483679964923
MAFB	0.7030826760418261	0.43803980769496753	0.5870501454739858	0.7370452455244139	0.4772858120729042	0.5454874212625185	0.4773717805087842	0.9376200000000001	0.5554076605230621	0.5330672175844773	-0.528533994038009	-0.5521252317717338	-0.7399446167622317	-0.7721274295544669	-0.6015926748730968	-0.6875570749562117	-0.541652982305563	-0.8247368658969719	-0.6577309066996825	-0.7971791373
MYT1	0.5002490791573123	0.683848631144448	0.88301216022912	0.848722618912512	0.748254597616128	0.873366050953728	0.7131455232	0.7486995986149053	0.7042727420240066	0.853480378405632	-0.788307884015616	-0.39765438136670134	-0.5435517212774453	-0.8005238784000002	-0.43328206934818014	-0.4892024868985373	-0.4808057754954551	-0.6460501943196066	-0.5635014512162396	-0.6239474675861714
NEUROD1	0.4419161031790415	0.4803751311725172	0.6437869017449829	0.5813278736037151	0.6285407367266038	0.5982072563697522	0.5225177662048004	0.5893323655695983	0.5722570757510782	0.5845866747097787	-0.5796153277739189	-0.34703319994315235	-0.4650853345566176	-0.6076137787576885	-0.3781255030740644	-0.432157630434566	-0.39067890984751424	-0.5249483231840764	-0.5392225826698399	-0.506988744441542
NEUROG3	0.6748117216381841	0.733539164938194	0.98307109519074	0.887695334930697	0.9597899999999999	0.9134703751761181	0.7978915248	0.8999182998	0.8738441069000001	0.892671567226917	-0.8850802548476777	-0.5299242762021923	-0.7101914437222224	-0.9278342590028626	-0.5774026334164495	-0.6599104049722224	-0.5965718512301393	-0.8016030173840584	-0.8234	-0.7741785036268937
PAX4	0.38916408907404076	0.2219713898839068	0.29654053244162537	0.4079627494104232	0.24287701320965607	0.28348711597650156	0.262308801692957	0.35245968526657173	0.3074243238206928	0.34040130315246353	-0.2558779658278307	-0.3225324476054815	-0.43225003061532	-0.39031392294818934	-0.3514296154618923	-0.40164704218005187	-0.3114880649215048	-0.3829214504245736	-0.38422362717037806	-0.39250194024715457
PAX6	0.31009440061871035	0.3908718974560066	0.523836875627132	0.4730151797095143	0.42589191145768635	0.48674960503986664	0.3774873873145753	0.4640563608878759	0.46563444798960607	0.47566680276221013	-0.47162171448924156	-0.26900356534359154	-0.3593727125707729	-0.4944035092818716	-0.29433875477182353	-0.343553486629675	-0.31788782740566335	-0.42714023652406746	-0.3725626046868525	-0.41252687674528243
RFX6	0.5824295455802688	0.7341485081999999	0.9838877219999999	0.8884327340999999	0.7999242552000001	0.9142291854	0.70900927916544	0.8716059846817199	0.8745700000000001	0.8934131000999999	-0.8858154816974865	-0.5052513815468319	-0.6749856987385879	-0.9286050011538203	-0.5528367711457205	-0.6452735060710582	-0.597067417186404	-0.8022689005715327	-0.699759389769749	-0.774821605559508
ST18	0.1330002852563065	0.1549730164485986	0.20010723396855773	0.1923365762404279	0.1695686249602361	0.19792124340965503	0.16161224555229606	0.20277060628554	0.16171035907214223	0.19341477440681426	-0.17864545619059233	-0.11022832974648485	-0.14772528860685058	-0.18141383125555208	-0.12010419361960492	-0.13726644539428548	-0.14243275294624003	-0.14640717672178025	-0.1365530664588522	-0.15120092383831568
ZFP92	0.6096429883958674	0.3945275258089225	0.5892692362457854	0.6390919323942194	0.4298750643958622	0.49130192939097866	0.4139290708791668	0.8130103020000001	0.48159398243954715	0.4801154752353037	-0.5710227277761978	-0.47874778846927024	-0.641605977194531	-0.6695116941666782	-0.5216410083824621	-0.596180739694531	-0.4696673009571538	-0.7151293364192643	-0.5703184691992946	-0.69123402995283
