Hormone	CCK	GAST	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1	CCK	GAST	GHRL	GIP	NTS	PYY	SCT	SST	TAC1	TPH1
	pos	pos	pos	pos	pos	pos	pos	pos	pos	pos	neg	neg	neg	neg	neg	neg	neg	neg	neg	neg
TF																				
ARX	0.5591124364687413	0.7643157984000001	0.986914521	0.9485901945999999	0.8363002923999999	0.9761333724	0.79706	0.8367976558195919	0.7871431755454295	0.9539077905999999	-0.8810665728	-0.44444561579790476	-0.6075104180944265	-0.8947200000000001	-0.48426554603471494	-0.5467660127174282	-0.5373812762601207	-0.722069691433752	-0.629807594796405	-0.6973661789008532
ASCL1	0.3922359540743769	0.49184445097802143	0.63508883600159	0.6104267692004461	0.5578802713253639	0.6281510648274499	0.5129156546511361	0.5384872123117984	0.5079240119749554	0.6138486925606828	-0.5669746794205516	-0.3080197741063942	-0.4128005035650562	-0.5757607890616322	-0.3356166846855546	-0.38357452752824495	-0.3467588391516319	-0.4659337030323811	-0.47860325217944	-0.4499931377255814
DACH1	0.3624012746684189	0.20670641740159046	0.27614744002561475	0.37990715113346835	0.22617436101122795	0.26399170701079744	0.24426982540053238	0.3282210327107895	0.28628275307154366	0.31699190553466866	-0.2382812381178507	-0.3003518911836525	-0.40252419600990447	-0.3634720344670423	-0.32726180080657796	-0.37402577508932966	-0.29006703069685297	-0.35658794227887564	-0.3578005683298711	-0.3655095818163577
ETV1	0.6374423345535293	0.6658947213926458	0.8924156804856598	0.9312299999999999	0.725555297194056	0.8292332980333619	0.653264587431456	0.9946799999999999	0.7932612271	0.8971	-0.8479580641089556	-0.5283011514759425	-0.7080161720005005	-0.8889188723495327	-0.5756340854683981	-0.6578891409095599	-0.5757377683366401	-0.47728541005352937	-0.6698535188774902	-0.741707773520727
FEV	0.525394077374685	0.6622556857713219	0.98915	0.801431349395046	0.7215902236067365	0.8247016364763813	0.6395782612746569	0.7862523898918422	0.7889261486413589	0.805924004033559	-0.799070396174678	-0.45577372484703094	-0.6088865015880156	-0.8376696744335936	-0.49869922897803215	-0.5820839292051482	-0.5385985088902125	-0.7237052653334056	-0.6312341840523635	-0.6989457964007189
HHEX	0.5879066907353745	0.6141480425932232	0.823066057955119	0.8588641166999998	0.6691723950491059	0.7647935784431892	0.6024993963421575	0.9173834171999998	0.7316168971420589	0.8867299999999999	-0.7820632429470485	-0.48724686899474695	-0.6529962352743415	-0.8198409867792504	-0.5309015606866488	-0.606764575769478	-0.5309971863591998	-0.44019556083826955	-0.6177992019255205	-0.5929491524949413
INSM1	0.35810101148415074	0.75574	0.3410812730816192	0.37539916275248314	0.6977800000000001	0.31852924002406796	0.2496777253163025	0.38016669599999997	0.30318444099762	0.34287162	-0.32408957210244277	-0.2893883465731272	-0.3977478331716051	-0.3591590656184648	-0.32337850355572395	-0.36958757527324004	-0.28662508757947025	-0.352356660251684	-0.3535548972496384	-0.3611724353766266
ISL1	0.5746890431504407	0.6696323572942081	0.8646555501385201	0.8310788412929521	0.7326994121774881	0.8552099702270881	0.6983202072000001	0.876163878	0.698744151891035	0.835737693500472	-0.7719200457615362	-0.4762923119149844	-0.6383152080838723	-0.7838820864000001	-0.5189655343715375	-0.593122954648427	-0.6154463680000001	-0.632619698058939	-0.5900404721032372	-0.6533332923057324
